Iteration,IP_CPU_Time(ms)
0,0.0
1,0.054854
2,0.026297
3,0.008901
4,0.009591
5,0.013393
6,0.012258
7,0.016062
8,0.010169
9,0.013275
10,0.010641
11,0.011206
12,0.016687
13,0.011041
14,0.009638
15,0.016349
16,0.012923
17,0.016856
18,0.0068
19,0.01104
20,0.009519
21,0.014958
22,0.010656
23,0.013034
24,0.011199
25,0.008811
26,0.012325
27,0.008417
28,0.017488
29,0.006531
30,0.009608
31,0.011602
32,0.039073
33,0.017663
34,0.013636
35,0.013314
36,0.00873
37,0.013615
38,0.01318
39,0.013726
40,0.011037
41,0.011772
42,0.011591
43,0.009236
44,0.01646
45,0.008529
46,0.010516
47,0.012313
48,0.008634
49,0.018978
50,0.018329
51,0.018484
52,0.015565
53,0.007505
54,0.012695
55,0.011924
56,0.009254
57,0.013158
58,0.011412
59,0.013324
60,0.022706
61,0.01296
62,0.015621
63,0.014303
64,0.015632
65,0.021996
66,0.012094
67,0.015912
68,0.015267
69,0.028713
70,0.012905
71,0.150675
72,0.017029
73,0.023017
74,0.018213
75,0.020132
76,0.020207
77,0.015273
78,0.024008
79,0.017476
80,0.015427
81,0.019815
82,0.027743
83,0.014119
84,0.017567
85,0.013548
86,0.016684
87,0.011662
88,0.019729
89,0.014843
90,0.019299
91,0.025441
92,0.016767
93,0.032863
94,0.010543
95,0.017446
96,0.018657
97,0.016562
98,0.030883
99,0.034463
100,0.042797
101,0.013986
102,0.013178
103,0.018834
104,0.02324
105,0.043948
106,0.028022
107,0.031024
108,0.019986
109,0.012506
110,0.029375
111,0.016626
112,0.012814
113,0.02031
114,0.016842
115,0.011725
116,0.007076
117,0.015917
118,0.074378
119,0.014278
120,0.024944
121,0.020478
122,0.022605
123,0.017399
124,0.014729
125,0.020821
126,0.014316
127,0.018667
128,0.024085
129,0.022516
130,0.022748
131,0.014677
132,0.015336
133,0.017791
134,0.0118
135,0.017787
136,0.013885
137,0.023484
138,0.010419
139,0.013733
140,0.01325
141,0.007537
142,0.01197
143,0.008542
144,0.008924
145,0.019289
146,0.011805
147,0.012473
148,0.019716
149,0.016579
150,0.020337
151,0.01853
152,0.03087
153,0.026187
154,0.029387
155,0.018849
156,0.030765
157,0.014144
158,0.021288
159,0.017814
160,0.02104
161,0.015773
162,0.022316
163,0.012602
164,0.009011
165,0.013427
166,0.010367
167,0.010797
