Iteration,IP_CPU_Time(ms)
0,0.0
1,0.057662
2,0.02289
3,0.026593
4,0.018509
5,0.034121
6,0.024625
7,0.025837
8,0.03936
9,0.022462
10,0.019942
11,0.022976
12,0.025957
13,0.021685
14,0.027488
15,0.027106
16,0.017185
17,0.015336
18,0.013713
19,0.020526
20,0.028745
21,0.020231
22,0.026386
23,0.017107
24,0.019561
25,0.018834
26,0.032558
27,0.021149
28,0.025006
29,0.031657
30,0.01801
31,0.01585
32,0.013274
33,0.014674
34,0.01007
35,0.012121
36,0.010868
37,0.009151
38,0.013848
39,0.018402
40,0.082028
41,0.031428
42,0.012829
43,0.019127
44,0.017342
45,0.020427
46,0.013303
47,0.025489
48,0.053952
49,0.019095
50,0.026677
51,0.019472
52,0.020858
53,0.017272
54,0.021935
55,0.018741
56,0.037958
57,0.024846
58,0.023726
59,0.125169
60,0.014346
61,0.017999
62,0.011186
63,0.009205
64,0.011394
65,0.012586
66,0.013573
67,0.020022
68,0.012961
69,0.011853
70,0.014327
71,0.010034
72,0.013261
73,0.01365
74,0.014871
75,0.012561
76,0.014259
77,0.011859
78,0.014584
79,0.013848
80,0.012081
81,0.033461
82,0.017375
83,0.010727
84,0.012772
85,0.015582
86,0.016993
87,0.014416
88,0.012882
89,0.017652
90,0.014606
91,0.014095
92,0.01137
93,0.01121
94,0.013743
95,0.011514
96,0.017699
97,0.011758
98,0.016091
99,0.015659
100,0.013313
101,0.01434
102,0.021703
103,0.010875
104,0.011133
105,0.012198
106,0.012928
107,0.012458
108,0.012639
109,0.016746
110,0.012535
111,0.013903
112,0.01325
113,0.015346
114,0.011681
115,0.013153
116,0.015043
117,0.012839
118,0.013365
119,0.012117
120,0.010184
121,0.014907
122,0.014027
123,0.009865
124,0.017813
125,0.013657
126,0.012558
127,0.014367
128,0.015446
129,0.014049
130,0.013902
131,0.013913
132,0.013938
133,0.011271
134,0.012305
135,0.014146
136,0.012477
137,0.009577
138,0.012319
139,0.014442
140,0.012413
141,0.012495
142,0.015603
143,0.011059
144,0.013538
145,0.01277
146,0.016683
147,0.013045
148,0.017277
149,0.014862
150,0.014502
151,0.010263
152,0.011169
153,0.010892
154,0.01354
155,0.015128
156,0.012253
157,0.010081
158,0.014485
159,0.012482
160,0.011699
161,0.016778
162,0.010972
163,0.011412
164,0.01533
165,0.016032
166,0.011473
167,0.01145
168,0.009598
169,0.021768
170,0.009562
171,0.010425
172,0.013908
173,0.014037
174,0.010678
175,0.018048
176,0.017175
177,0.012058
178,0.010337
179,0.016763
180,0.011672
181,0.012512
182,0.012692
183,0.010555
184,0.010265
185,0.017246
186,0.012558
187,0.013318
188,0.015765
189,0.011151
190,0.013709
191,0.014493
192,0.01814
193,0.014485
194,0.010669
195,0.014701
196,0.013458
197,0.011072
198,0.0125
199,0.011345
200,0.009988
201,0.01352
202,0.01377
203,0.01158
204,0.015671
205,0.009779
206,0.014172
