Iteration,IP_CPU_Time(ms)
0,0.0
1,0.03085
2,0.023674
3,0.022991
4,0.022876
5,0.018647
6,0.0197
7,0.025369
8,0.013927
9,0.016008
10,0.028727
11,0.018937
12,0.017465
13,0.027637
14,0.023074
15,0.020614
16,0.030092
17,0.019742
18,0.015734
19,0.017526
20,0.022113
21,0.02205
22,0.027806
23,0.019818
24,0.026169
25,0.018117
26,0.018764
27,0.016294
28,0.01679
29,0.01458
30,0.014054
31,0.024912
32,0.018984
33,0.016443
34,0.018005
35,0.017096
36,0.016963
37,0.017949
38,0.010501
39,0.021833
40,0.015172
41,0.014369
42,0.01752
43,0.017041
44,0.013835
45,0.018452
46,0.021365
47,0.01624
48,0.017473
49,0.024974
50,0.013825
51,0.020337
52,0.013416
53,0.013205
54,0.012871
55,0.020329
56,0.020738
57,0.016106
58,0.016833
59,0.024855
60,0.022485
61,0.016583
62,0.01234
63,0.020917
64,0.018751
65,0.0204
66,0.022633
67,0.021104
68,0.032346
69,0.017332
70,0.018078
71,0.014413
72,0.017217
73,0.017753
74,0.015287
75,0.017875
76,0.01934
77,0.019001
78,0.01362
79,0.01607
80,0.018711
81,0.020617
82,0.021437
83,0.017657
84,0.012894
85,0.018081
86,0.019523
87,0.019389
88,0.018443
89,0.015884
90,0.018602
91,0.018991
92,0.01406
93,0.013748
94,0.019424
95,0.023179
96,0.01295
97,0.019642
98,0.020003
99,0.013656
100,0.015838
101,0.015419
102,0.01776
103,0.018446
104,0.022793
105,0.023837
106,0.026196
107,0.014534
108,0.019021
109,0.015197
110,0.060812
111,0.026908
112,0.012333
113,0.020131
114,0.012206
115,0.014139
116,0.011952
117,0.018251
118,0.023681
119,0.024801
120,0.011549
121,0.021928
122,0.025174
123,0.020369
124,0.02002
125,0.013925
126,0.011498
127,0.036985
128,0.016349
129,0.019763
130,0.0166
131,0.018404
132,0.021358
133,0.016165
134,0.014434
135,0.021565
136,0.020649
137,0.011402
138,0.015053
139,0.021309
140,0.021577
141,0.016429
142,0.023846
143,0.017822
144,0.024886
145,0.017278
146,0.013985
147,0.019272
148,0.014975
149,0.01733
150,0.018583
151,0.020128
152,0.019149
153,0.01554
154,0.020665
155,0.017646
156,0.022721
157,0.017798
158,0.016183
159,0.021336
160,0.016871
161,0.014656
162,0.01468
163,0.014895
164,0.021831
165,0.015896
166,0.01506
167,0.012698
168,0.018004
169,0.01189
170,0.020331
171,0.015974
172,0.015659
173,0.010827
174,0.024244
175,0.019845
176,0.016415
177,0.015322
178,0.01328
179,0.018842
180,0.017916
181,0.019446
182,0.018999
183,0.017401
184,0.018491
185,0.018305
186,0.020838
187,0.017814
188,0.011776
189,0.024058
190,0.01829
191,0.01916
192,0.018504
193,0.014308
194,0.020414
195,0.016155
196,0.01865
197,0.011954
198,0.015312
199,0.012487
200,0.020823
201,0.016977
202,0.020705
203,0.018744
204,0.020553
205,0.012837
206,0.017581
207,0.016296
208,0.012206
209,0.009573
210,0.012429
211,0.025845
212,0.018905
213,0.020051
214,0.022783
215,0.013062
216,0.020585
217,0.020593
218,0.014156
219,0.014542
220,0.014819
221,0.018473
222,0.017424
223,0.014691
224,0.022863
225,0.020798
226,0.013987
227,0.014132
228,0.022915
229,0.02111
230,0.013204
231,0.015036
232,0.010529
233,0.007257
234,0.013569
235,0.007748
236,0.012931
237,0.012506
238,0.01014
239,0.012059
240,0.012245
241,0.00915
242,0.018434
243,0.008726
244,0.012435
245,0.008795
246,0.01134
247,0.011734
248,0.0081
249,0.009573
250,0.008689
251,0.010522
252,0.023682
253,0.010589
254,0.012383
255,0.010558
256,0.016311
257,0.00888
258,0.012715
259,0.009234
260,0.011461
261,0.009969
262,0.009816
263,0.012465
264,0.011654
265,0.011808
266,0.010552
267,0.011066
268,0.011338
269,0.012727
270,0.01313
271,0.011608
272,0.007564
273,0.009057
274,0.009663
275,0.009632
276,0.012591
277,0.00903
278,0.007377
279,0.009886
280,0.009191
281,0.012607
282,0.007183
283,0.010385
284,0.010423
285,0.008109
286,0.010542
287,0.00971
288,0.008886
289,0.010471
290,0.012054
291,0.012434
292,0.011638
293,0.013319
294,0.011123
295,0.008838
296,0.013656
297,0.01135
298,0.013109
299,0.013842
300,0.01033
301,0.036081
302,0.007502
303,0.0175
304,0.013692
305,0.012608
306,0.013392
307,0.013927
308,0.011805
309,0.008975
310,0.009888
311,0.01311
312,0.020898
313,0.014476
314,0.010414
315,0.009877
316,0.016023
317,0.008549
318,0.014391
319,0.018942
320,0.009578
321,0.010824
322,0.017996
323,0.012386
324,0.011662
325,0.008087
326,0.01216
327,0.012523
328,0.010558
329,0.011363
330,0.007161
331,0.011181
332,0.008243
333,0.012702
334,0.008954
335,0.013864
336,0.006238
337,0.009575
338,0.010675
339,0.009857
340,0.009117
341,0.008251
342,0.009672
343,0.011282
344,0.011494
345,0.010554
346,0.008058
347,0.013284
348,0.012026
349,0.012065
350,0.0143
351,0.013686
352,0.011494
353,0.012721
354,0.007935
355,0.009372
356,0.009976
357,0.00691
358,0.011311
359,0.014608
360,0.01472
361,0.009467
362,0.010856
363,0.009236
364,0.008145
365,0.008978
366,0.012636
367,0.011191
368,0.013068
369,0.011982
370,0.01057
371,0.008209
372,0.009051
373,0.007638
374,0.022606
375,0.008215
376,0.011476
377,0.012535
378,0.008956
379,0.010763
380,0.009988
381,0.008839
382,0.010965
383,0.012718
384,0.00951
385,0.009577
386,0.013687
387,0.014863
388,0.007317
389,0.013333
390,0.010396
391,0.011034
392,0.009859
393,0.007741
394,0.0132
395,0.007366
396,0.00697
397,0.01099
398,0.012144
399,0.012616
400,0.011768
401,0.00892
402,0.007422
403,0.008514
404,0.008506
405,0.011117
406,0.008418
407,0.010078
408,0.011623
409,0.008301
410,0.008871
411,0.012134
412,0.013961
413,0.010376
414,0.008943
415,0.013487
416,0.011854
417,0.012508
418,0.013182
419,0.010511
420,0.01145
421,0.010326
422,0.012864
423,0.0079
424,0.013811
425,0.011294
426,0.006585
427,0.011946
428,0.012074
429,0.011017
430,0.012773
431,0.008037
432,0.033125
433,0.009807
434,0.015807
435,0.011038
436,0.017199
437,0.007848
438,0.010066
439,0.007967
440,0.020544
441,0.015552
442,0.024608
443,0.016552
444,0.014171
445,0.007273
446,0.008689
447,0.008902
448,0.011027
449,0.009476
450,0.010489
451,0.012015
452,0.012713
453,0.012159
454,0.017768
455,0.009878
456,0.009873
457,0.009308
458,0.010721
459,0.009721
460,0.010995
461,0.010491
462,0.011139
463,0.008976
