Iteration,IP_CPU_Time(ms)
0,0.0
1,0.011861
2,0.012932
3,0.015757
4,0.008887
5,0.018014
6,0.010805
7,0.014054
8,0.010699
9,0.01064
10,0.007833
11,0.006249
12,0.009027
13,0.009668
14,0.012295
15,0.012905
16,0.008518
17,0.007316
18,0.007082
19,0.006785
20,0.011194
21,0.007537
22,0.011651
23,0.015044
24,0.007253
25,0.010754
26,0.010354
27,0.008034
28,0.011122
29,0.008865
30,0.005926
31,0.010816
32,0.005132
33,0.01027
34,0.008949
35,0.007501
36,0.009422
37,0.014343
38,0.012798
39,0.007948
40,0.009328
41,0.00693
42,0.009377
43,0.010767
44,0.010051
45,0.005004
46,0.01103
47,0.010932
48,0.007916
49,0.013145
50,0.012162
51,0.005783
52,0.012415
53,0.006411
54,0.007809
55,0.011542
56,0.013332
57,0.008962
58,0.020535
59,0.008625
60,0.013115
61,0.008637
62,0.008451
63,0.010267
64,0.009351
65,0.014851
66,0.005948
67,0.007693
68,0.005038
69,0.006717
70,0.013362
71,0.011928
72,0.006837
73,0.013237
74,0.007135
75,0.011325
76,0.005235
77,0.008104
78,0.008857
79,0.013584
80,0.010181
81,0.013023
82,0.006451
83,0.012849
84,0.008126
85,0.009438
86,0.007755
87,0.007285
88,0.011035
89,0.010014
90,0.010709
91,0.008855
92,0.01295
93,0.011174
94,0.010554
95,0.008671
96,0.011843
97,0.011499
98,0.006282
99,0.010178
100,0.006376
101,0.009005
102,0.009783
103,0.011063
104,0.012703
105,0.00503
106,0.006969
107,0.007926
108,0.009242
109,0.005705
110,0.006786
111,0.009633
112,0.020591
113,0.008174
114,0.011333
115,0.013649
116,0.007956
117,0.011061
118,0.008394
119,0.010827
120,0.008511
121,0.013368
122,0.00955
123,0.020999
124,0.015973
125,0.01015
126,0.007821
127,0.011415
128,0.010601
129,0.008758
130,0.010045
131,0.008258
132,0.00788
133,0.006513
134,0.006679
135,0.009877
136,0.010448
137,0.009432
138,0.007637
139,0.010001
140,0.010634
141,0.013134
142,0.005769
143,0.017841
144,0.011515
145,0.00913
146,0.016321
147,0.012425
148,0.015245
149,0.013269
150,0.011721
151,0.011756
152,0.01555
153,0.012212
154,0.014814
155,0.018287
156,0.019692
157,0.020354
158,0.015635
159,0.012981
160,0.019463
161,0.017528
162,0.010799
163,0.015158
164,0.027439
165,0.018752
166,0.016023
167,0.014081
168,0.023554
169,0.009322
170,0.013273
171,0.01402
172,0.014829
173,0.006963
174,0.018823
175,0.015764
176,0.009527
177,0.017135
178,0.017919
179,0.014822
180,0.020311
181,0.016987
182,0.010287
183,0.019665
184,0.02209
185,0.00895
186,0.024595
187,0.009832
188,0.018666
189,0.015111
190,0.015338
191,0.010834
192,0.014202
193,0.013431
194,0.019788
195,0.021773
196,0.013603
197,0.011266
198,0.010306
199,0.022826
200,0.011789
201,0.01567
202,0.018724
203,0.019907
204,0.013427
205,0.022534
206,0.020509
207,0.015959
208,0.018192
209,0.018195
210,0.017041
211,0.015901
212,0.010525
213,0.014547
214,0.020201
215,0.021328
216,0.015847
217,0.011993
218,0.008423
219,0.022913
220,0.033118
221,0.015027
222,0.01652
223,0.014507
224,0.019227
225,0.015511
226,0.013282
227,0.008801
228,0.009013
229,0.014253
230,0.012759
231,0.015651
232,0.01525
233,0.016196
234,0.013984
235,0.019967
236,0.023628
237,0.01921
238,0.014402
239,0.021893
240,0.014917
241,0.015061
242,0.015345
243,0.021799
244,0.015058
245,0.01075
246,0.009023
247,0.021406
248,0.014703
249,0.019733
250,0.009162
251,0.011698
