Iteration,IP_CPU_Time(ms)
0,0.0
1,0.078995
2,0.050444
3,0.051233
4,0.039519
5,0.057538
6,0.100153
7,0.056986
8,0.040989
9,0.075875
10,0.045465
11,0.054894
12,0.049547
13,0.037492
14,0.041305
15,0.08983
16,0.033668
17,0.058151
18,0.050985
19,0.043953
20,0.038613
21,0.119512
22,0.056607
23,0.055372
24,0.077187
25,0.062833
26,0.077176
27,0.250751
28,0.158877
29,0.149365
30,0.069251
31,0.130951
32,0.058578
33,0.105018
34,0.097808
35,0.070383
36,0.044792
37,0.045593
38,0.034515
39,0.09218
40,0.078175
41,0.069992
42,0.033914
43,0.054466
44,0.033049
45,0.072139
46,0.04818
47,0.045697
48,0.102918
49,0.064268
50,0.043554
51,0.038056
52,0.044514
53,0.086685
54,0.048032
55,0.062211
56,0.057204
57,0.033156
58,0.077738
59,0.034936
60,0.062963
61,0.053306
62,0.036611
63,0.052489
64,0.04289
65,0.067518
66,0.048756
67,0.081078
68,0.065623
69,0.038024
70,0.033131
71,0.049853
72,0.035597
73,0.030604
74,0.062217
75,0.049973
76,0.106922
77,0.025971
78,0.091297
79,0.105458
80,0.072467
81,0.056339
82,0.067307
83,0.046217
84,0.075464
85,0.047988
86,0.056504
87,0.044206
88,0.086278
89,0.036332
90,0.049396
91,0.035714
92,0.070553
93,0.074487
94,0.052952
95,0.071134
96,0.098191
97,0.06803
98,0.187057
99,0.089682
100,0.067091
101,0.054192
102,0.049479
103,0.083333
104,0.080207
105,0.063414
106,0.046585
107,0.078148
108,0.030397
109,0.090714
110,0.047257
111,0.113368
112,0.062381
113,0.074927
114,0.027447
115,0.062711
116,0.094815
117,0.109738
118,0.072518
119,0.042143
120,0.045007
121,0.056242
122,0.05978
123,0.112754
124,0.088858
125,0.040113
126,0.047869
127,0.036949
128,0.076002
129,0.043274
130,0.117366
131,0.038448
132,0.045008
133,0.051807
134,0.099094
135,0.051171
136,0.089674
137,0.116438
138,0.029711
139,0.104417
140,0.10639
141,0.105127
142,0.164852
143,0.114048
144,0.051207
145,0.077514
146,0.054419
147,0.165862
148,0.050486
149,0.035691
150,0.038319
151,0.170383
152,0.173776
153,0.070523
154,0.04794
155,0.036253
156,0.078255
157,0.092251
158,0.077584
159,0.028748
160,0.035621
161,0.103077
162,0.111222
163,0.075853
164,0.043226
165,0.057485
166,0.068577
167,0.094749
168,0.055176
169,0.171885
170,0.084521
171,0.058666
172,0.037342
173,0.060777
174,0.049063
175,0.045171
176,0.028572
177,0.054109
178,0.083502
179,0.089621
180,0.149298
181,0.067575
182,0.060612
183,0.068225
184,0.262109
185,0.052587
186,0.035043
187,0.044975
188,0.044431
189,0.038662
190,0.070673
191,0.07867
192,0.040739
193,0.314012
194,0.042457
195,0.077878
196,0.038052
197,0.066269
198,0.062379
199,0.057106
200,0.297612
201,0.040374
202,0.105982
203,0.043729
204,0.061137
205,0.065556
206,0.210366
207,0.049887
208,0.118276
209,0.046554
210,0.078408
211,0.050319
212,0.066833
213,0.044531
214,0.024306
215,0.046329
216,0.038686
217,0.060053
218,0.073587
219,0.038742
220,0.080921
221,0.073968
222,0.081683
223,0.065429
224,0.049891
225,0.056492
226,0.053913
227,0.043212
228,0.042535
229,0.076837
230,0.07995
231,0.059214
232,0.040515
233,0.146611
234,0.060658
235,0.038002
236,0.110098
237,0.043891
238,0.065926
239,0.055822
240,0.065152
241,0.104617
242,0.087339
243,0.045683
244,0.316469
245,0.072203
246,0.035727
247,0.05739
248,0.075388
249,0.04194
250,0.089103
251,0.059388
252,0.047576
253,0.143169
254,0.036734
255,0.146363
256,0.047496
257,0.080695
258,0.079978
259,0.135211
260,0.085177
261,0.089254
262,0.129088
263,0.088578
264,0.291656
265,0.04945
266,0.062814
267,0.067547
268,0.119907
269,0.1502
270,0.088472
271,0.078245
272,0.097987
273,0.064865
274,0.063472
275,0.129378
276,0.114114
277,0.120734
278,0.034451
279,0.090887
280,0.129995
281,0.052697
282,0.06081
283,0.045215
284,0.049727
285,0.065792
286,0.060404
287,0.084884
288,0.0429
289,0.125486
290,0.086058
291,0.061556
292,0.044374
293,0.053272
294,0.079682
295,0.051137
296,0.041678
297,0.122375
298,0.224297
299,0.036619
300,0.11662
301,0.037857
302,0.28015
303,0.030893
304,0.14121
305,0.050675
306,0.054427
307,0.048277
308,0.098351
309,0.115058
310,0.139869
311,0.056011
312,0.052431
313,0.141893
314,0.08533
315,0.206477
316,0.105765
317,0.172763
318,0.10351
319,0.065463
320,0.110383
321,0.072737
322,0.057464
323,0.105495
324,0.166831
325,0.08141
326,0.059458
327,0.074856
328,0.089814
329,0.080153
330,0.062028
331,0.04428
332,0.032673
333,0.061563
334,0.092163
335,0.12295
336,0.045722
337,0.039427
338,0.065943
339,0.065527
340,0.073862
341,0.114583
342,0.260415
343,0.131603
344,0.066641
345,0.072233
346,0.07765
347,0.148861
348,0.114812
349,0.104762
350,0.077998
351,0.071264
352,0.055599
353,0.066081
354,0.049188
355,0.054652
356,0.064349
357,0.054527
358,0.108802
359,0.031273
360,0.125679
361,0.147056
362,0.061577
363,0.094945
364,0.166136
365,0.156108
366,0.095369
367,0.067199
368,0.06351
369,0.158552
370,0.13457
371,0.104611
372,0.06363
373,0.065664
374,0.118431
375,0.1202
376,0.041146
377,0.032185
378,0.0453
379,0.053769
380,0.061601
381,0.053368
382,0.097018
383,0.037539
384,0.05518
385,0.03036
386,0.063342
387,0.109109
388,0.116786
389,0.042306
390,0.041399
391,0.064755
392,0.082155
393,0.028861
394,0.314039
395,0.066903
396,0.058528
397,0.070236
398,0.050127
399,0.0694
400,0.092688
401,0.03504
402,0.036673
403,0.141593
404,0.064857
405,0.100949
406,0.053677
407,0.036446
408,0.054165
409,0.054838
410,0.06809
411,0.099856
412,0.09824
413,0.081412
414,0.053371
415,0.067999
416,0.063368
417,0.138988
418,0.054223
419,0.116375
420,0.084629
421,0.059334
422,0.038092
423,0.04035
424,0.1164
425,0.064553
426,0.06403
427,0.032275
428,0.081098
429,0.046656
430,0.045309
431,0.101828
432,0.165542
433,0.05536
434,0.116258
435,0.05179
436,0.072488
437,0.042957
438,0.054821
439,0.326762
440,0.04019
441,0.072314
442,0.067643
443,0.089898
444,0.109198
445,0.035342
446,0.060209
447,0.06059
448,0.152759
449,0.198603
450,0.102549
451,0.101067
452,0.104359
453,0.093531
454,0.141405
455,0.494052
456,0.116801
457,0.072456
458,0.0376
459,0.048114
460,0.097358
461,0.173523
462,0.084325
463,0.056356
464,0.074703
465,0.129168
466,0.141631
467,0.052517
468,0.04259
469,0.117369
470,0.051032
471,0.076191
472,0.083532
473,0.108125
474,0.028921
475,0.08097
476,0.099706
477,0.062589
478,0.115975
479,0.184174
480,0.11977
481,0.150591
482,0.077129
483,0.064592
484,0.082261
485,0.079156
486,0.095501
487,0.045477
488,0.046658
489,0.121701
490,0.044831
491,0.030673
492,0.069028
493,0.197135
494,0.045882
495,0.055501
496,0.028661
497,0.036098
498,0.057148
499,0.084183
500,0.046629
501,40.908187
