Iteration,IP_CPU_Time(ms)
0,0.0
1,0.128566
2,0.021936
3,0.013633
4,0.011125
5,0.011744
6,0.009681
7,0.010207
8,0.010259
9,0.009578
10,0.008394
11,0.008888
12,0.009237
13,0.008267
14,0.007601
15,0.012544
16,0.010527
17,0.008723
18,0.010502
19,0.011087
20,0.010255
21,0.011944
22,0.010542
23,0.011041
24,0.010022
25,0.018431
26,0.012608
27,0.012905
28,0.012379
29,0.052964
30,0.010887
31,0.014279
32,0.012244
33,0.01091
34,0.014111
35,0.01345
36,0.010525
37,0.011008
38,0.008097
39,0.009475
40,0.014628
41,0.009814
42,0.008863
43,0.009819
44,0.010436
45,0.007091
46,0.009711
47,0.033458
48,0.010417
49,0.010113
50,0.007401
51,0.008607
52,0.009349
53,0.009562
54,0.008199
55,0.009802
56,0.008815
57,0.009937
58,0.006981
59,0.007179
60,0.008132
61,0.008504
62,0.00794
63,0.00785
64,0.006746
65,0.007601
66,0.007638
67,0.00697
68,0.008126
69,0.007268
70,0.006388
71,0.007679
72,0.009731
73,0.006711
74,0.007173
75,0.008887
76,0.007026
77,0.010928
78,0.00833
79,0.01057
80,0.008187
81,0.008289
82,0.007804
83,0.009227
84,0.007742
85,0.008917
86,0.007811
87,0.008386
88,0.009406
89,0.008794
90,0.007673
91,0.008632
92,0.008523
93,0.008393
94,0.008121
95,0.007563
96,0.006991
97,0.008346
98,0.006467
99,0.008182
100,0.008798
101,0.007973
102,0.008756
103,0.008498
104,0.007953
105,0.009249
106,0.00721
107,0.008094
108,0.007755
109,0.008626
110,0.009941
111,0.008361
112,0.009417
113,0.01006
114,0.008981
115,0.008543
116,0.008775
117,0.007536
118,0.00999
119,0.022259
120,0.010446
121,0.011151
122,0.008576
123,0.012528
124,0.010283
125,0.014075
126,0.012005
127,0.011495
128,0.009661
129,0.008548
130,0.007377
131,0.009052
132,0.009073
133,0.008884
134,0.006852
135,0.008156
136,0.007153
137,0.006999
138,0.007251
139,0.009721
140,0.009548
141,0.006859
142,0.007457
143,0.007583
144,0.009222
145,0.006998
146,0.007424
147,0.008611
148,0.007109
149,0.007162
150,0.007513
151,0.007779
152,0.008691
153,0.007035
154,0.006719
155,0.011785
156,0.00765
157,0.00642
158,0.010518
159,0.008703
160,0.007486
161,0.009129
162,0.007592
163,0.008952
164,0.008962
165,0.006726
166,0.007424
167,0.008411
168,0.006655
169,0.006098
170,0.00628
171,0.010446
172,0.007044
173,0.009481
174,0.008315
175,0.008489
176,0.007282
177,0.007915
178,0.008035
179,0.009321
180,0.00754
181,0.007362
182,0.008134
183,0.006292
184,0.00754
185,0.006022
186,0.009224
187,0.009742
188,0.008431
189,0.008996
190,0.007945
191,0.00694
192,0.007785
193,0.009069
194,0.007809
195,0.007295
196,0.006927
197,0.007385
198,0.009863
199,0.006879
200,0.01006
201,0.008695
202,0.00756
203,0.008629
204,0.006843
205,0.008857
206,0.007248
207,0.007339
208,0.006965
209,0.006948
210,0.007816
211,0.007726
212,0.008026
213,0.006936
214,0.009702
215,0.007594
216,0.009346
217,0.008305
218,0.009268
219,0.008849
220,0.007575
221,0.006551
222,0.008522
223,0.00987
224,0.033253
225,0.009924
226,0.01059
227,0.01024
228,0.011877
229,0.008935
230,0.008446
231,0.006969
232,0.007723
233,0.006965
234,0.008722
235,0.007271
236,0.009475
237,0.008152
238,0.007402
239,0.007024
240,0.007041
241,0.007187
242,0.007924
243,0.007687
244,0.0064
245,0.007773
246,0.007354
247,0.007761
248,0.011184
249,0.009989
250,0.009401
251,0.010372
252,0.010133
253,0.010741
254,0.011403
255,0.011361
256,0.011313
257,0.006841
258,0.008722
259,0.006444
260,0.007732
261,0.007807
262,0.007979
263,0.009469
264,0.008727
265,0.009452
266,0.009219
267,0.010875
268,0.008829
269,0.009934
270,0.009949
271,0.011818
272,0.013064
273,0.009879
274,0.009912
275,0.00996
276,0.010224
277,0.012079
278,0.0122
279,0.009407
280,0.012108
281,0.013661
282,0.015176
283,0.01137
284,0.012127
285,0.011002
286,0.011686
287,0.010934
288,0.017309
289,0.015926
290,0.00971
291,0.012482
292,0.011859
293,0.010678
294,0.011972
295,0.012832
296,0.008038
297,0.008518
298,0.008009
299,0.008672
300,0.007351
301,0.008999
302,0.007604
303,0.009524
304,0.025036
305,0.010377
306,0.008976
307,0.014252
308,0.010924
309,0.011388
310,0.015263
311,0.012356
312,0.01173
313,0.007242
314,0.013476
315,0.011015
316,0.013895
317,0.01556
318,0.013538
319,0.01479
320,0.012687
321,0.014368
322,0.020251
323,0.012934
324,0.010603
325,0.011064
326,0.01653
327,0.012831
328,0.012134
329,0.010575
330,0.016847
331,0.010537
332,0.007098
333,0.010213
334,0.008175
335,0.010059
336,0.009662
337,0.007189
338,0.00746
339,0.007479
340,0.009789
341,0.007563
342,0.010709
343,0.009694
344,0.024439
345,0.007255
346,0.006751
347,0.007913
348,0.010105
349,0.008035
350,0.006679
351,0.007871
352,0.007432
353,0.006647
354,0.008251
355,0.009552
356,0.007719
357,0.009537
358,0.007804
359,0.007368
360,0.007718
361,0.007369
362,0.008156
363,0.008821
364,0.008037
365,0.007796
366,0.007496
367,0.007513
368,0.006839
369,0.007319
370,0.010293
371,0.021003
372,0.010742
373,0.008718
374,0.00809
375,0.007717
376,0.010203
377,0.007679
378,0.008037
379,0.010252
380,0.007244
381,0.008957
382,0.00922
383,0.009631
384,0.009234
385,0.008497
386,0.011824
387,0.008883
388,0.008204
389,0.008491
390,0.008543
391,0.008021
392,0.008835
393,0.007174
394,0.008619
395,0.007535
396,0.007838
397,0.00798
398,0.006439
399,0.007771
400,0.007282
401,0.008225
402,0.0078
403,0.008096
404,0.008123
405,0.007545
406,0.008846
407,0.007401
408,0.00749
409,0.00956
410,0.007428
411,0.009665
412,0.006696
413,0.007397
414,0.009177
415,0.009429
416,0.007665
417,0.007433
418,0.007097
419,0.007549
420,0.009056
421,0.007728
422,0.008219
423,0.00788
424,0.006501
425,0.008219
426,0.008171
427,0.007179
428,0.007343
429,0.008785
430,0.008951
431,0.008707
432,0.007687
433,0.007802
434,0.006721
435,0.007003
436,0.006827
437,0.009162
438,0.007106
439,0.00784
440,0.007669
441,0.00756
442,0.008257
443,0.007513
444,0.008004
445,0.009063
446,0.009489
447,0.007031
448,0.007282
449,0.008965
450,0.006924
451,0.008061
452,0.00739
453,0.007538
454,0.006837
455,0.006854
456,0.007625
457,0.006366
458,0.007192
459,0.00784
460,0.008592
461,0.024828
462,0.026241
463,0.010116
464,0.010099
465,0.00798
466,0.007805
467,0.008731
468,0.007567
469,0.008097
470,0.007235
471,0.007911
472,0.00723
