Iteration,IP_CPU_Time(ms)
0,0.0
1,0.149913
2,0.053386
3,0.066441
4,0.035739
5,0.059461
6,0.034881
7,0.057942
8,0.051901
9,0.057909
10,0.057816
11,0.040784
12,0.039899
13,0.041601
14,0.044279
15,0.050267
16,0.044143
17,0.049304
18,0.026777
19,0.049784
20,0.074721
21,0.069235
22,0.051451
23,0.053251
24,0.064381
25,0.050524
26,0.05013
27,0.046455
28,0.037015
29,0.043322
30,0.057076
31,0.061071
32,0.039076
33,0.056336
34,0.061584
35,0.054609
36,0.051793
37,0.043634
38,0.050217
39,0.060093
40,0.062153
41,0.05541
42,0.041866
43,0.040611
44,0.063303
45,0.05189
46,0.047969
47,0.024282
48,0.030361
49,0.062173
50,0.066916
51,0.055799
52,0.062294
53,0.048756
54,0.042443
55,0.044039
56,0.045503
57,0.024068
58,0.062156
59,0.055241
60,0.062212
61,0.043994
62,0.037203
63,0.061057
64,0.044049
65,0.048709
66,0.045153
67,0.048329
68,0.04076
69,0.060037
70,0.045671
71,0.041516
72,0.045338
73,0.034519
74,0.043037
75,0.059278
76,0.053062
77,0.06428
78,0.049417
79,0.057454
80,0.056144
81,0.06725
82,0.052081
83,0.031203
84,0.036479
85,0.053374
86,0.050177
87,0.045864
88,0.023868
89,0.047314
90,0.04272
91,0.06299
92,0.071395
93,0.061098
94,0.043545
95,0.050142
96,0.051728
97,0.048451
98,0.041477
99,0.041555
100,0.037905
101,0.051175
102,0.044246
103,0.063452
104,0.050866
105,0.036801
106,0.03349
107,0.059866
108,0.065541
109,0.045191
110,0.034488
111,0.044473
112,0.047553
113,0.032766
114,0.034552
115,0.042109
116,0.040233
117,0.054738
118,0.031499
119,0.046625
120,0.038192
121,0.059679
122,0.065394
123,0.0427
124,0.065919
125,0.041238
126,0.054411
127,0.030121
128,0.050725
129,0.058012
130,0.028254
131,0.071442
132,0.025244
133,0.040347
134,0.042797
135,0.063606
136,0.043154
137,0.046742
138,0.055318
139,0.041222
140,0.038105
141,0.042902
142,0.041204
143,0.034282
144,0.050917
145,0.048341
146,0.03907
147,0.055815
148,0.051072
149,0.057357
150,0.0443
151,0.065542
152,0.051081
153,0.052993
154,0.038095
155,0.042263
156,0.026936
157,0.045663
158,0.054309
159,0.050434
160,0.039513
161,0.051582
162,0.060495
163,0.042278
164,0.040626
165,0.055949
166,0.045591
167,0.053718
168,0.075071
169,0.082157
170,0.042602
171,0.048255
172,0.048139
173,0.059776
174,0.049557
175,0.043928
176,0.045979
177,0.043806
178,0.041095
179,0.048504
180,0.038814
181,0.039514
182,0.052726
183,0.042926
184,0.062454
185,0.046385
186,0.051537
187,0.07309
188,0.078516
189,0.045209
190,0.051999
191,0.045938
192,0.052681
193,0.037463
194,0.083701
195,0.057008
196,0.052467
197,0.045728
198,0.046739
199,0.060606
200,0.056775
201,0.038358
202,0.052935
203,0.04459
204,0.027253
205,0.045566
206,0.025432
207,0.066953
208,0.049487
209,0.06317
210,0.045575
211,0.032941
212,0.040922
213,0.044848
214,0.044721
215,0.046711
216,0.065554
217,0.045271
218,0.043685
219,0.047675
220,0.03819
221,0.025075
222,0.033491
223,0.030513
224,0.042147
225,0.051509
226,0.040708
227,0.054141
228,0.028718
229,0.046417
230,0.050394
231,0.032223
232,0.053804
233,0.041561
234,0.052191
235,0.050172
236,0.046859
237,0.051746
238,0.049562
239,0.059581
240,0.046721
241,0.052633
242,0.058511
243,0.043457
244,0.042493
245,0.048585
246,0.038801
247,0.060158
248,0.031328
249,0.04869
250,0.037495
251,0.041161
252,0.059101
253,0.045485
254,0.049155
255,0.065483
256,0.060624
257,0.055764
258,0.052244
259,0.046497
260,0.041621
261,0.034174
262,0.05166
263,0.046547
264,0.038159
265,0.030508
266,0.054539
267,0.0642
268,0.055019
269,0.044288
