Iteration,IP_CPU_Time(ms)
0,0.0
1,0.044765
2,0.026843
3,0.018716
4,0.024177
5,0.018473
6,0.022871
7,0.023076
8,0.018015
9,0.021549
10,0.021658
11,0.018902
12,0.017927
13,0.023005
14,0.027837
15,0.019967
16,0.019918
17,0.025383
18,0.020488
19,0.025521
20,0.017015
21,0.019673
22,0.020681
23,0.01888
24,0.026931
25,0.020196
26,0.020882
27,0.021926
28,0.021979
29,0.021713
30,0.032285
31,0.018336
32,0.015888
33,0.024622
34,0.019467
35,0.022589
36,0.01695
37,0.015874
38,0.021281
39,0.018055
40,0.022611
41,0.02001
42,0.0217
43,0.023137
44,0.022218
45,0.018127
46,0.016217
47,0.018587
48,0.027167
49,0.019573
50,0.016385
51,0.02585
52,0.016529
53,0.019694
54,0.018144
55,0.019003
56,0.019647
57,0.019005
58,0.018988
59,0.016134
60,0.01777
61,0.016898
62,0.017817
63,0.0174
64,0.029853
65,0.021477
66,0.016381
67,0.023944
68,0.020249
69,0.026148
70,0.017771
71,0.020645
72,0.016877
73,0.023987
74,0.056636
75,0.016738
76,0.018183
77,0.015088
78,0.022767
79,0.016611
80,0.016796
81,0.023765
82,0.018745
83,0.016777
84,0.018777
85,0.016777
86,0.01785
87,0.016986
88,0.021234
89,0.029105
90,0.021176
91,0.021986
92,0.015891
93,0.022213
94,0.018295
95,0.018885
96,0.016544
97,0.023937
98,0.016439
99,0.016612
100,0.018193
101,0.019741
102,0.016265
103,0.013857
104,0.025291
105,0.015822
106,0.020405
107,0.023271
108,0.016259
109,0.020005
110,0.020488
111,0.019122
112,0.01823
113,0.016819
114,0.02975
115,0.019564
116,0.020914
117,0.017734
118,0.030347
119,0.021116
120,0.024877
121,0.022732
122,0.014842
123,0.024724
124,0.02672
125,0.022324
126,0.015527
127,0.018953
128,0.018056
129,0.025852
130,0.019985
131,0.02268
132,0.02064
133,0.019363
134,0.022466
135,0.025533
136,0.021492
137,0.018271
138,0.016047
139,0.016137
140,0.019306
141,0.020384
142,0.016507
143,0.025582
144,0.020209
145,0.016889
146,0.016113
147,0.022443
148,0.026591
149,0.021408
150,0.022129
151,0.026143
152,0.017512
153,0.028143
154,0.036279
155,0.022445
156,0.018495
157,0.019452
158,0.017046
159,0.017414
160,0.020206
161,0.017381
162,0.015187
163,0.029508
164,0.025103
165,0.02562
166,0.01869
167,0.034348
168,0.017045
169,0.02136
170,0.019731
171,0.054666
172,0.02648
173,0.023542
174,0.021634
175,0.029104
176,0.028153
177,0.021194
178,0.019285
