Iteration,IP_CPU_Time(ms)
0,0.0
1,0.067535
2,0.03406
3,0.039662
4,0.032287
5,0.043108
6,0.041359
7,0.045748
8,0.035008
9,0.038155
10,0.036186
11,0.02529
12,0.041054
13,0.031527
14,0.037502
15,0.033025
16,0.027461
17,0.039846
18,0.053711
19,0.04557
20,0.040074
21,0.025122
22,0.02749
23,0.036518
24,0.032826
25,0.02862
26,0.034893
27,0.033155
28,0.031825
29,0.028683
30,0.033061
31,0.034376
32,0.032873
33,0.034717
34,0.046079
35,0.03254
36,0.02002
37,0.027062
38,0.040137
39,0.038984
40,0.031176
41,0.039325
42,0.033429
43,0.037927
44,0.03152
45,0.033033
46,0.030258
47,0.039314
48,0.024467
49,0.036722
50,0.042499
51,0.038549
52,0.024736
53,0.039567
54,0.026047
55,0.035662
56,0.038519
57,0.033178
58,0.041272
59,0.038081
60,0.026603
61,0.026503
62,0.038097
63,0.035707
64,0.029979
65,0.02845
66,0.025347
67,0.039272
68,0.037737
69,0.035814
70,0.035105
71,0.036202
72,0.036059
73,0.039254
74,0.039308
75,0.045361
76,0.032771
77,0.030377
78,0.026368
79,0.043672
80,0.036931
81,0.044681
82,0.033866
83,0.027293
84,0.044348
85,0.036965
86,0.031608
87,0.024206
88,0.031302
89,0.039052
90,0.029852
91,0.030429
92,0.030872
93,0.038461
94,0.040263
95,0.036355
96,0.031926
97,0.036684
98,0.028794
99,0.033451
100,0.030359
101,0.026364
102,0.035606
103,0.03337
104,0.028249
105,0.033005
106,0.040775
107,0.04416
108,0.034303
109,0.04428
110,0.03785
111,0.048866
112,0.037682
113,0.03038
114,0.04071
115,0.061985
116,0.03511
117,0.033737
118,0.038483
119,0.026769
120,0.060714
121,0.03086
122,0.028519
123,0.041486
124,0.025623
125,0.034359
126,0.085988
127,0.04707
128,0.03287
129,0.0256
130,0.037914
131,0.024036
132,0.028411
133,0.026108
134,0.030647
135,0.031646
136,0.025821
137,0.033552
138,0.031377
139,0.033798
140,0.033792
141,0.021535
142,0.028256
143,0.022137
144,0.024568
145,0.019224
146,0.035226
147,0.024143
148,0.037921
149,0.042528
150,0.040848
151,0.028931
152,0.029197
153,0.038206
154,0.040092
155,0.039894
156,0.043819
157,0.037657
158,0.040131
159,0.041213
160,0.038913
161,0.038022
162,0.044994
163,0.04368
164,0.038714
165,0.038898
166,0.023438
167,0.029817
168,0.027276
169,0.027325
170,0.034629
171,0.036149
172,0.027359
173,0.030394
174,0.036006
175,0.042771
176,0.028894
177,0.024831
178,0.031634
179,0.04403
180,0.040153
181,0.035179
182,0.043862
183,0.03296
184,0.033154
185,0.026531
186,0.032254
187,0.03128
188,0.028153
189,0.024496
190,0.039106
191,0.043769
192,0.0182
193,0.029276
194,0.025989
195,0.040992
196,0.027943
197,0.029083
198,0.027666
199,0.034241
200,0.047655
201,0.02677
202,0.029835
203,0.026565
204,0.034303
205,0.057072
206,0.031967
207,0.034307
208,0.042598
209,0.026719
210,0.054778
211,0.036593
212,0.038618
213,0.035335
214,0.029627
215,0.033388
216,0.028055
217,0.024365
218,0.041869
219,0.03709
220,0.038897
221,0.040163
222,0.02115
223,0.02643
224,0.027869
225,0.027283
226,0.02583
227,0.038249
228,0.030722
229,0.030604
230,0.044878
231,0.031644
232,0.03921
233,0.031932
234,0.039229
235,0.037094
236,0.033987
237,0.020233
238,0.04154
239,0.030219
240,0.04262
241,0.046126
242,0.045494
243,0.033037
244,0.034822
245,0.04873
246,0.028671
247,0.033318
248,0.026057
249,0.026505
250,0.033743
251,0.077542
252,0.03192
253,0.024451
254,0.026909
255,0.030827
256,0.035256
257,0.028012
258,0.034786
259,0.019712
260,0.01907
261,0.026065
262,0.02181
263,0.02202
264,0.030022
265,0.021444
266,0.013765
267,0.020404
268,0.024648
269,0.018466
270,0.023669
271,0.022509
272,0.021438
273,0.029066
274,0.026774
275,0.030295
276,0.029414
277,0.029828
278,0.019593
279,0.023017
280,0.015651
281,0.029997
282,0.018059
283,0.018327
284,0.023535
285,0.02494
286,0.020494
287,0.016815
288,0.018433
289,0.017855
290,0.02893
291,0.039974
292,0.032027
293,0.026048
294,0.033441
295,0.030916
296,0.031824
297,0.031807
298,0.039342
299,0.040813
300,0.0386
301,0.022163
302,0.043677
303,0.02782
304,0.030076
305,0.028814
306,0.029973
307,0.074744
308,0.038946
309,0.035943
310,0.026489
311,0.027281
312,0.025164
313,0.028648
314,0.041766
315,0.024569
316,0.033304
