Iteration,IP_CPU_Time(ms)
0,0.0
1,0.312886
2,0.032713
3,0.031055
4,0.031414
5,0.029316
6,0.02834
7,0.025212
8,0.022824
9,0.028967
10,0.022349
11,0.028418
12,0.021547
13,0.026698
14,0.022641
15,0.022305
16,0.025699
17,0.025938
18,0.034461
19,0.027068
20,0.029898
21,0.032063
22,0.023013
23,0.017978
24,0.022454
25,0.025212
26,0.021909
27,0.024868
28,0.021329
29,0.023217
30,0.020164
31,0.072244
32,0.023165
33,0.025297
34,0.020718
35,0.023706
36,0.023355
37,0.03043
38,0.031321
39,0.031266
40,0.02963
41,0.029851
42,0.030649
43,0.0294
44,0.030478
45,0.028104
46,0.029552
47,0.031355
48,0.036234
49,0.034692
50,0.036126
51,0.034545
52,0.028837
53,0.029106
54,0.030476
55,0.034425
56,0.030068
57,0.026995
58,0.035973
59,0.030022
60,0.031727
61,0.04332
62,0.033122
63,0.035785
64,0.03091
65,0.029508
66,0.029583
67,0.03103
68,0.040366
69,0.027237
70,0.030547
71,0.031244
72,0.031086
73,0.031279
74,0.037387
75,0.034708
76,0.029239
77,0.03444
78,0.041543
79,0.029576
80,0.030764
81,0.029239
82,0.069776
83,0.039437
84,0.031897
85,0.030149
86,0.028856
87,0.03599
88,0.031225
89,0.037558
90,0.034097
91,0.029884
92,0.028985
93,0.02803
94,0.031617
95,0.035867
96,0.033506
97,0.028963
98,0.037166
99,0.030849
100,0.026984
101,0.029026
102,0.030146
103,0.030447
104,0.025722
105,0.031896
106,0.026887
107,0.035547
108,0.031008
109,0.025588
110,0.028315
111,0.03137
112,0.029473
113,0.031693
114,0.028416
115,0.034227
116,0.030919
117,0.034703
118,0.032191
119,0.026815
120,0.035871
121,0.032891
122,0.028252
123,0.032246
124,0.034142
125,0.037939
126,0.034416
127,0.034015
128,0.036063
129,0.030592
130,0.033919
131,0.031461
132,0.032934
133,0.027953
134,0.030257
135,0.03325
136,0.030751
137,0.031487
138,0.029195
139,0.035213
140,0.033426
141,0.035902
142,0.027233
143,0.028318
144,0.030178
145,0.032948
146,0.033948
147,0.027163
148,0.036392
149,0.032833
150,0.029245
151,0.031537
152,0.030253
153,0.029413
154,0.029973
155,0.028192
156,0.033643
157,0.03123
158,0.026721
159,0.033278
160,0.030407
161,0.034145
162,0.026679
163,0.030098
164,0.035108
165,0.030776
166,0.031002
167,0.031191
168,0.033407
169,0.036349
170,0.029751
171,0.03156
172,0.031039
173,0.034835
174,0.030093
175,0.041097
176,0.031039
177,0.03018
178,0.039277
179,0.034852
180,0.029891
181,0.028332
182,0.031389
183,0.032732
184,0.030109
185,0.027116
186,0.030804
187,0.028737
188,0.027585
189,0.028947
190,0.026285
191,0.03047
192,0.031465
193,0.035605
194,0.030966
195,0.029055
196,0.030582
197,0.029859
198,0.034493
199,0.028712
200,0.034182
201,0.037501
202,0.034597
203,0.03239
204,0.030602
205,0.031568
206,0.032431
207,0.033725
208,0.035724
209,0.029692
210,0.028271
211,0.030681
212,0.034364
213,0.035393
214,0.032879
215,0.032635
216,0.030661
217,0.029793
218,0.03024
219,0.028098
220,0.028079
221,0.037067
222,0.030576
223,0.027934
224,0.034174
225,0.029543
226,0.028475
227,0.033853
228,0.030941
229,0.038281
230,0.03099
231,0.026686
232,0.032013
233,0.033348
234,0.028776
235,0.031344
236,0.032023
237,0.042974
238,0.034064
239,0.032056
240,0.032591
241,0.03246
242,0.031499
243,0.032056
244,0.031193
245,0.029975
246,0.032726
247,0.032094
248,0.032852
249,0.030377
250,0.030869
251,0.028633
252,0.029529
253,0.029673
254,0.029773
255,0.032787
256,0.02642
257,0.032542
258,0.031028
259,0.035237
260,0.02918
261,0.03663
262,0.029768
263,0.028956
264,0.031544
265,0.023729
266,0.022002
267,0.024659
268,0.021106
269,0.021376
270,0.021747
271,0.022066
272,0.022102
273,0.019687
274,0.027292
275,0.024188
276,0.019602
277,0.020841
278,0.024514
279,0.025221
280,0.019139
281,0.021265
282,0.022883
283,0.022515
284,0.018373
285,0.023313
286,0.020458
287,0.023219
288,0.020807
289,0.022778
290,0.019532
291,0.022802
292,0.021607
293,0.020881
294,0.023999
295,0.021582
296,0.020737
297,0.020225
298,0.023796
299,0.020598
300,0.019935
301,0.023651
302,0.019585
303,0.019815
304,0.01872
305,0.022813
306,0.021788
307,0.020739
308,0.01964
309,0.022408
310,0.022378
311,0.023399
312,0.025362
313,0.017894
314,0.020035
315,0.018167
316,0.020015
317,0.021581
318,0.025307
319,0.018464
320,0.024736
321,0.019871
322,0.0188
323,0.020879
324,0.021336
325,0.018415
326,0.019558
327,0.022371
328,0.023158
329,0.020415
330,0.025543
331,0.021518
332,0.02407
333,0.0201
334,0.019537
335,0.019007
336,0.018404
337,0.019117
338,0.020998
339,0.020658
340,0.022816
341,0.025653
342,0.019189
343,0.023635
344,0.018956
345,0.019956
346,0.021422
347,0.020974
348,0.019707
349,0.021582
350,0.017441
351,0.032538
352,0.020425
353,0.018507
354,0.023392
355,0.018823
356,0.019712
357,0.022308
358,0.021015
359,0.020738
360,0.020398
361,0.021146
362,0.019804
363,0.021389
364,0.019801
365,0.02284
366,0.020116
367,0.022354
368,0.022962
369,0.02182
370,0.023541
371,0.02154
372,0.021219
373,0.017976
374,0.025357
375,0.022371
376,0.020403
377,0.022416
378,0.019311
379,0.028062
380,0.019743
381,0.021782
382,0.019081
383,0.020542
384,0.021231
385,0.02063
386,0.016912
387,0.020263
388,0.018153
389,0.023087
390,0.01982
391,0.018285
392,0.021426
393,0.021391
394,0.021182
395,0.023002
396,0.026287
397,0.017202
398,0.016521
399,0.018279
400,0.024067
401,0.018828
402,0.023525
403,0.019426
404,0.019517
405,0.018709
406,0.020365
407,0.017792
408,0.029168
409,0.018408
410,0.019838
411,0.02275
412,0.022138
413,0.024676
414,0.023864
415,0.018
416,0.018814
417,0.021116
418,0.022094
419,0.017964
420,0.0203
421,0.022761
422,0.024675
423,0.020598
424,0.026966
425,0.023429
426,0.017537
427,0.023095
428,0.022059
429,0.019712
430,0.021851
431,0.02114
432,0.019684
433,0.021586
434,0.020722
435,0.019145
436,0.020307
437,0.019571
438,0.027867
439,0.022794
440,0.023078
441,0.022081
442,0.023686
443,0.019891
444,0.021084
445,0.02432
446,0.019043
447,0.021931
448,0.021377
449,0.022992
450,0.023947
451,0.019835
452,0.028041
453,0.019318
454,0.02096
455,0.021886
456,0.022312
457,0.02229
458,0.022649
459,0.017945
460,0.021309
461,0.022393
462,0.020319
463,0.018101
464,0.028737
465,0.022596
466,0.022597
467,0.024823
468,0.020219
469,0.024255
470,0.021158
471,0.020837
472,0.0222
473,0.02249
474,0.019261
475,0.022566
476,0.032326
477,0.023569
478,0.025569
479,0.030334
480,0.032505
481,0.023661
482,0.026429
483,0.022399
484,0.01971
485,0.027316
486,0.034644
487,0.028775
488,0.022632
489,0.027943
490,0.030033
491,0.028817
492,0.027069
493,0.030824
494,0.025888
495,0.030433
496,0.02889
497,0.035078
498,0.030716
499,0.030428
500,0.03609
501,14.155084
