Iteration,IP_CPU_Time(ms)
0,0.0
1,0.024972
2,0.016581
3,0.016081
4,0.016808
5,0.014689
6,0.010843
7,0.024258
8,0.020339
9,0.01835
10,0.014268
11,0.018512
12,0.018085
13,0.013069
14,0.023755
15,0.019672
16,0.018229
17,0.017741
18,0.02036
19,0.017241
20,0.011486
21,0.017759
22,0.026769
23,0.010596
24,0.01535
25,0.022729
26,0.0166
27,0.01834
28,0.016439
29,0.017912
30,0.017399
31,0.016644
32,0.021064
33,0.022873
34,0.012908
35,0.024198
36,0.02506
37,0.014572
38,0.020136
39,0.020602
40,0.016938
41,0.017357
42,0.014877
43,0.032992
44,0.017708
45,0.016783
46,0.0164
47,0.014577
48,0.016765
49,0.01761
50,0.026281
51,0.013144
52,0.021727
53,0.01368
54,0.013033
55,0.015504
56,0.015224
57,0.012336
58,0.020682
59,0.019873
60,0.019182
61,0.011265
62,0.01419
63,0.011739
64,0.011686
65,0.018174
66,0.012835
67,0.031665
68,0.016262
69,0.01627
70,0.012181
71,0.022257
72,0.012001
73,0.011578
74,0.015502
75,0.013663
76,0.017207
77,0.013946
78,0.012961
79,0.023126
80,0.017575
81,0.010516
82,0.015146
83,0.014456
84,0.014917
85,0.014891
86,0.013244
87,0.016913
88,0.015099
89,0.024148
90,0.016464
91,0.013624
92,0.014023
93,0.015777
94,0.01588
95,0.013493
96,0.018704
97,0.010924
98,0.015768
99,0.012177
100,0.022198
101,0.020384
102,0.014604
103,0.009895
104,0.014785
105,0.013965
106,0.017698
107,0.015325
108,0.015218
109,0.015426
110,0.02739
111,0.020812
112,0.013822
113,0.023552
114,0.012051
115,0.014681
116,0.018307
117,0.019102
118,0.014705
119,0.017152
120,0.013451
121,0.013814
122,0.013445
123,0.011436
124,0.021506
125,0.01356
126,0.01799
127,0.015131
128,0.020284
129,0.016998
130,0.017401
131,0.014419
132,0.015746
133,0.014739
134,0.024402
135,0.016649
136,0.012335
137,0.017111
138,0.018062
139,0.012132
140,0.01458
141,0.014951
142,0.012678
143,0.016573
144,0.013042
145,0.012292
146,0.013545
147,0.012669
148,0.023554
149,0.015287
150,0.015221
151,0.01232
152,0.010587
153,0.012674
154,0.015698
155,0.018224
156,0.010499
157,0.015299
158,0.01873
159,0.012361
160,0.013696
161,0.017808
162,0.017423
163,0.018278
164,0.017416
165,0.018776
166,0.018696
167,0.013435
168,0.022044
169,0.012255
170,0.026197
171,0.024548
172,0.019031
173,0.021648
174,0.018587
175,0.01726
176,0.017416
177,0.022987
178,0.021062
179,0.015905
180,0.019434
181,0.030416
182,0.021966
183,0.029433
184,0.014822
185,0.014081
186,0.011622
187,0.015989
188,0.028958
189,0.01595
190,0.01584
191,0.012101
192,0.012672
193,0.015445
194,0.013934
195,0.015907
196,0.012635
197,0.016334
198,0.013152
199,0.024592
200,0.013611
201,0.012122
202,0.011028
203,0.017547
204,0.012458
205,0.028127
206,0.014044
207,0.01303
208,0.015055
209,0.022614
210,0.017935
211,0.023005
212,0.020056
213,0.019217
214,0.029059
215,0.022379
216,0.014468
217,0.015596
218,0.013029
219,0.019197
220,0.012378
221,0.012205
222,0.013445
223,0.015383
224,0.011661
225,0.016899
226,0.039049
227,0.015243
228,0.015886
229,0.013252
230,0.012667
231,0.015934
232,0.012148
233,0.012776
234,0.016112
235,0.0179
236,0.016606
237,0.020317
238,0.011974
239,0.011536
240,0.036712
241,0.016107
242,0.019979
243,0.030122
244,0.013477
245,0.014101
246,0.016687
247,0.015951
248,0.014892
249,0.019778
250,0.013138
251,0.017655
252,0.015324
253,0.017369
254,0.018148
255,0.011486
256,0.018849
257,0.014341
258,0.015467
259,0.017281
260,0.014336
261,0.016057
262,0.016801
263,0.011565
264,0.014485
265,0.013927
266,0.016853
267,0.016191
268,0.022577
269,0.023572
270,0.019162
271,0.017083
272,0.015363
273,0.017316
274,0.015229
275,0.017333
276,0.017298
277,0.02436
278,0.01254
279,0.016044
280,0.01422
281,0.028137
282,0.010202
283,0.016429
284,0.013356
285,0.012041
286,0.017963
287,0.013221
288,0.020246
289,0.015693
290,0.013345
291,0.014522
292,0.01729
293,0.02021
294,0.018027
295,0.012267
296,0.011489
297,0.013147
298,0.020031
299,0.010972
300,0.012135
301,0.017145
302,0.017526
303,0.009272
304,0.015707
305,0.019725
306,0.015222
307,0.011458
308,0.018447
309,0.015822
310,0.016589
311,0.016068
312,0.024216
313,0.025358
314,0.01535
315,0.013383
316,0.012137
317,0.01131
318,0.014273
319,0.012581
320,0.018409
321,0.016331
322,0.021441
323,0.016594
324,0.014179
325,0.010918
326,0.015649
327,0.014961
328,0.017484
329,0.01952
330,0.015259
331,0.013375
332,0.017572
333,0.017168
334,0.019134
335,0.013121
336,0.01487
337,0.014772
338,0.016906
339,0.014061
340,0.013296
341,0.017371
342,0.022827
343,0.02035
344,0.011778
345,0.021909
346,0.012652
347,0.015358
348,0.012145
349,0.011574
350,0.013579
351,0.013132
352,0.015643
353,0.015034
354,0.011332
355,0.023864
356,0.015698
357,0.013866
358,0.01496
359,0.014066
360,0.013969
361,0.024397
362,0.013921
363,0.016374
364,0.021174
365,0.016533
366,0.01462
367,0.015095
368,0.021948
369,0.014841
370,0.016912
371,0.020866
372,0.0221
373,0.024037
374,0.016946
375,0.016627
376,0.016242
377,0.012369
378,0.014351
379,0.012576
380,0.02014
381,0.02067
382,0.024188
383,0.017738
384,0.016973
385,0.013334
386,0.011928
387,0.019902
388,0.017493
389,0.013829
390,0.015022
391,0.013943
392,0.015958
393,0.013458
394,0.011655
395,0.015778
396,0.016156
397,0.020566
398,0.014168
399,0.014579
400,0.015884
401,0.018266
402,0.015483
403,0.021083
404,0.015278
405,0.01405
406,0.020021
407,0.01338
408,0.016282
409,0.012314
410,0.014884
411,0.01784
412,0.017509
413,0.025988
414,0.016653
415,0.023559
416,0.01612
417,0.012922
418,0.013846
419,0.018074
420,0.014122
421,0.013483
422,0.011856
423,0.013739
424,0.020475
425,0.013766
426,0.011635
427,0.015537
428,0.013014
429,0.020109
430,0.024548
431,0.013145
432,0.01687
433,0.011267
434,0.011092
435,0.016973
436,0.016659
437,0.016193
438,0.025193
439,0.012522
440,0.012939
441,0.024003
442,0.015117
443,0.015853
444,0.012701
445,0.017234
446,0.013272
447,0.01929
448,0.024652
449,0.014266
450,0.026168
451,0.015824
452,0.016163
453,0.020668
454,0.020454
