Iteration,IP_CPU_Time(ms)
0,0.0
1,1.574547
2,0.765683
3,0.871974
4,0.474645
5,0.497714
6,0.943731
7,0.762336
8,0.881385
9,0.587082
10,0.664927
11,0.94658
12,0.731613
13,0.753424
14,0.561884
15,0.788496
16,0.653033
17,0.593045
18,0.578749
19,0.737912
20,0.728933
21,0.888852
22,0.750608
23,0.620756
24,0.32915
25,0.338586
26,0.310625
27,0.657759
28,0.27431
29,0.382993
30,0.151299
31,0.388198
32,0.180121
33,0.1488
34,0.185141
35,0.300635
36,0.168021
37,0.147685
38,0.212438
39,0.218746
40,0.273692
41,0.160073
42,0.229017
43,0.208641
44,0.148343
45,0.341112
46,0.172661
47,0.233253
48,0.138976
49,0.223781
50,0.173506
51,0.138893
52,0.141922
53,0.151461
54,0.122962
55,0.235977
56,0.194331
57,0.160412
58,0.251882
59,0.137466
60,0.145877
61,0.187062
62,0.261714
63,0.234987
64,0.174898
65,0.208854
66,0.131889
67,0.096835
68,0.095274
69,0.201816
70,0.207186
71,0.246247
72,0.168635
73,0.148402
74,0.09614
75,0.146442
76,0.191838
77,0.329908
78,0.145593
79,0.191373
80,0.168332
81,0.203851
82,0.185566
83,0.136126
84,0.196021
85,0.214895
86,0.224308
87,0.104669
88,0.225405
89,0.238547
90,0.148066
91,0.139233
92,0.198089
93,0.157367
94,0.119085
95,0.165368
96,0.174287
97,0.145513
98,0.160904
99,0.225435
100,0.228237
101,0.196573
102,0.161975
103,0.177485
104,0.197369
105,0.232303
106,0.14655
107,0.209218
108,0.139592
109,0.173917
110,0.110741
111,0.186335
112,0.205199
113,0.145338
114,0.165681
115,0.156458
116,0.221692
117,0.234208
118,0.140583
119,0.157688
120,0.219209
121,0.366917
122,0.149013
123,0.133403
124,0.122639
125,0.319714
126,0.245902
127,0.133839
128,0.126324
129,0.161254
130,0.135848
131,0.193228
132,0.217634
133,0.302973
134,0.17253
135,0.096424
136,0.169186
137,0.152006
138,0.144305
139,0.141984
140,0.193193
141,0.177504
142,0.131822
143,0.120984
144,0.20227
145,0.138035
146,0.123921
147,0.171907
148,0.169443
149,0.163361
150,0.193498
151,0.21386
152,0.208856
153,0.212834
154,0.180412
155,0.275225
156,0.102777
157,0.133987
158,0.14583
159,0.165837
160,0.276538
161,0.149147
162,0.117327
163,0.140592
164,0.151369
165,0.102911
166,0.122253
167,0.233254
168,0.171906
169,0.205994
170,0.167398
171,0.186393
172,0.175231
173,0.127573
174,0.242774
175,0.113194
176,0.152267
177,0.189267
178,0.151226
179,0.120353
180,0.276852
181,0.205057
182,0.122014
183,0.322932
184,0.208845
185,0.13934
186,0.204027
187,0.187233
188,0.19937
189,0.189323
190,0.150547
191,0.235416
192,0.116844
193,0.258758
194,0.156451
195,0.170102
196,0.183087
197,0.138665
198,0.234144
199,0.125195
200,0.176747
201,0.273548
202,0.174682
203,0.198104
204,0.205072
205,0.103066
206,0.121497
207,0.112421
208,0.237706
209,0.105339
210,0.120576
211,0.279855
212,0.227194
213,0.187771
214,0.183563
215,0.200996
216,0.1401
217,0.171947
218,0.127269
219,0.12131
220,0.193472
221,0.107114
222,0.181301
223,0.214815
224,0.135815
225,0.241171
226,0.174051
227,0.101161
228,0.095813
229,0.262358
230,0.302719
231,0.171119
232,0.115152
233,0.180564
234,0.145866
235,0.121256
236,0.344745
237,0.131861
238,0.219169
239,0.116434
240,0.109817
241,0.165163
242,0.156523
243,0.200868
244,0.177928
245,0.231799
246,0.139128
247,0.097715
248,0.262656
249,0.165981
250,0.17515
251,0.166724
252,0.208345
253,0.237474
254,0.124147
255,0.250281
256,0.267507
257,0.245408
258,0.250754
259,0.255031
260,0.203764
261,0.181159
262,0.137979
263,0.119088
264,0.10752
265,0.104282
266,0.083996
267,0.09344
268,0.075579
269,0.094858
270,0.081649
271,0.070973
272,0.122466
273,0.073727
274,0.116247
275,0.079514
276,0.107786
277,0.095609
278,0.091678
279,0.101112
280,0.097514
281,0.160431
282,0.069581
283,0.124515
284,0.10023
285,0.070933
286,0.053564
287,0.096211
288,0.15383
289,0.048215
290,0.090741
291,0.143097
292,0.083031
293,0.117828
294,0.103725
295,0.073952
296,0.101889
297,0.13076
298,0.08916
299,0.090559
300,0.096131
301,0.058366
302,0.125995
303,0.117287
304,0.073263
305,0.086827
306,0.088872
307,0.119416
308,0.068676
309,0.073109
310,0.066316
311,0.065386
312,0.117405
313,0.082665
314,0.070182
315,0.076822
316,0.085826
317,0.114368
318,0.082817
319,0.119795
320,0.101227
321,0.117989
322,0.103349
323,0.094155
324,0.061359
325,0.114681
326,0.078906
327,0.071941
328,0.133077
329,0.070309
330,0.093148
331,0.087105
332,0.064477
333,0.120078
334,0.053513
335,0.121167
336,0.072042
337,0.115371
338,0.165457
339,0.204515
340,0.141189
341,0.067228
342,0.135921
343,0.171275
344,0.111222
345,0.108353
346,0.091534
347,0.070689
348,0.075695
349,0.139336
350,0.118322
351,0.193953
352,0.168159
353,0.07442
354,0.107438
355,0.069133
356,0.100443
357,0.285861
358,0.190572
359,0.137656
360,0.145514
361,0.242265
362,0.091856
363,0.124238
364,0.141209
365,0.13956
366,0.127445
367,0.072196
368,0.065366
369,0.176897
370,0.097336
371,25.259801
372,0.104585
373,0.117281
374,0.239419
375,0.100682
376,0.191783
377,0.102505
378,0.08659
379,0.08411
380,0.054887
381,0.045565
382,0.068014
383,0.051539
384,0.103234
385,0.090247
386,0.053688
387,0.105506
388,0.131963
389,0.087272
390,0.143407
391,0.096828
392,0.052061
393,0.084817
394,0.107622
395,0.056414
396,0.070771
397,0.068474
398,0.084901
399,0.042946
400,0.053974
401,0.042483
402,0.052598
403,0.036638
404,0.05723
405,0.035771
406,0.049438
407,0.049055
408,0.055932
409,0.064509
410,0.031883
411,0.049073
412,0.042843
413,0.043305
414,0.037031
415,0.031595
416,0.042751
417,0.051418
418,0.055408
419,0.030564
420,0.042547
421,0.043718
422,0.033311
423,0.089106
424,0.04458
425,0.038634
426,0.034849
427,0.074881
428,0.06234
429,0.036968
430,0.041283
431,0.058281
432,0.042192
433,0.033586
434,0.088842
435,0.059391
436,0.038928
437,0.037184
438,0.062349
439,0.046268
440,0.040476
441,0.03911
442,0.040209
443,0.05511
444,0.068635
445,0.094995
446,0.068791
447,0.044819
448,0.045869
449,0.046008
450,0.046487
451,0.073021
452,0.089908
453,0.056568
454,0.063922
455,0.145867
456,0.040913
457,0.049631
458,0.059128
459,0.072831
460,0.04067
461,0.160311
462,0.0898
463,0.044066
464,0.063047
465,0.335677
466,0.082678
467,0.039549
468,0.070683
469,0.065051
470,0.037757
471,0.094372
472,0.024252
473,0.05115
474,0.023284
475,0.030243
476,0.038761
477,0.103584
478,0.042474
479,0.080502
480,0.046287
481,0.061473
482,0.068941
483,0.045995
484,0.075339
485,0.088584
486,0.039412
487,0.084958
488,0.076798
489,0.050488
490,0.072881
491,0.041188
492,0.061089
493,0.039868
494,0.04403
495,0.031552
496,0.051532
497,0.06683
498,0.027005
499,0.045218
500,0.034418
501,115.013906
