Iteration,IP_CPU_Time(ms)
0,0.0
1,0.052488
2,0.029606
3,0.027201
4,0.032013
5,0.020841
6,0.038475
7,0.021989
8,0.036901
9,0.200063
10,0.070263
11,0.038909
12,0.122291
13,0.048283
14,0.044613
15,0.19546
16,0.090469
17,0.05925
18,0.070844
19,0.030439
20,0.025587
21,0.031002
22,0.072458
23,0.033398
24,0.047944
25,0.021874
26,0.0311
27,0.019227
28,0.043511
29,0.037184
30,0.056345
31,0.036856
32,0.064883
33,0.036865
34,0.029762
35,0.03027
36,0.031051
37,0.043641
38,0.035557
39,0.040824
40,0.025499
41,0.072856
42,0.048845
43,0.02643
44,0.027564
45,0.020094
46,0.048049
47,0.051798
48,0.0354
49,0.026483
50,0.040914
51,0.036766
52,0.080003
53,0.041878
54,0.082829
55,0.04057
56,0.055414
57,0.041277
58,0.027386
59,0.036086
60,0.019942
61,0.03241
62,0.035734
63,0.036711
64,0.085328
65,0.054905
66,0.026429
67,0.049926
68,0.067481
69,0.040134
70,0.022149
71,0.021719
72,0.03678
73,0.027656
74,0.030498
75,0.059726
76,0.038056
77,0.033943
78,0.039522
79,0.081923
80,0.039987
81,0.025299
82,0.02167
83,0.047817
84,0.041769
85,0.091898
86,0.020068
87,0.036193
88,0.02034
89,0.028279
90,0.051853
91,0.029769
92,0.061088
93,0.052078
94,0.041656
95,0.029826
96,0.0415
97,0.035364
98,0.041825
99,0.040544
100,0.017775
101,0.020391
102,0.055482
103,0.047466
104,0.037098
105,0.052789
106,0.04414
107,0.081537
108,0.022562
109,0.057161
110,0.037581
111,0.022155
112,0.020426
113,0.043678
114,0.021505
115,0.04259
116,0.032849
117,0.023205
118,0.05048
119,0.048368
120,0.025406
121,0.030287
122,0.037693
123,0.026985
124,0.055792
125,0.044113
126,0.024027
127,0.025293
128,0.040781
129,0.032073
130,0.054402
131,0.022607
132,0.040903
133,0.023293
134,0.022617
135,0.04665
136,0.030608
137,0.04527
138,0.023732
139,0.032329
140,0.045413
141,0.044904
142,0.035637
143,0.032238
144,0.038782
145,0.069417
146,0.045424
147,0.073886
148,0.041695
149,0.021834
150,0.05178
151,0.065585
152,0.073027
153,0.049407
154,0.034947
155,0.033748
156,0.042455
157,0.028139
158,0.036036
159,0.023155
160,0.022434
161,0.034883
162,0.077737
163,0.036791
164,0.028154
165,0.073917
166,0.021643
167,0.043543
168,0.071599
169,0.068334
170,0.026475
171,0.028773
172,0.023495
173,0.020718
174,0.037274
175,0.047798
176,0.050242
177,0.037313
178,0.02946
179,0.026274
180,0.027037
181,0.043923
182,0.038558
183,0.056987
184,0.034175
185,0.03526
186,0.048769
187,0.025184
188,0.02143
189,0.024367
190,0.022721
191,0.025353
192,0.075572
193,0.033187
194,0.046301
195,0.042158
196,0.018835
197,0.05369
198,0.065134
199,0.060434
200,0.02157
201,0.043056
202,0.028789
203,0.024996
204,0.034856
205,0.084441
206,0.046185
207,0.061903
208,0.058494
209,0.022108
210,0.051427
211,0.051555
212,0.045178
213,0.046248
214,0.033439
215,0.052372
216,0.069299
217,0.021733
218,0.034191
219,0.037981
220,0.064397
221,0.034177
222,0.033261
223,0.048576
224,0.040318
225,0.024607
226,0.038476
227,0.052527
228,0.048059
229,0.020622
230,0.020081
231,0.051628
232,0.054879
233,0.026588
234,0.033445
235,0.056021
236,0.049513
237,0.021234
238,0.03512
239,0.030822
240,0.049366
241,0.028068
242,0.069318
243,0.027209
244,0.031949
245,0.026168
246,0.026725
247,0.023657
248,0.035244
249,0.042536
250,0.034629
251,0.043351
252,0.034699
253,0.03871
254,0.042517
255,0.03352
256,0.062856
257,0.060817
258,0.036678
259,0.026788
260,0.027873
261,0.059584
262,0.020477
263,0.034852
264,0.021211
265,0.025408
266,0.042884
267,0.026702
268,0.029027
269,0.075278
270,0.028779
271,0.027139
272,0.054971
273,0.052316
274,0.020325
275,0.053017
276,0.068366
277,0.074583
278,0.079968
279,0.055331
280,0.05878
281,0.064261
282,0.033007
283,0.027912
284,0.052957
285,0.031335
286,0.020639
287,0.075301
288,0.047799
289,0.026878
290,0.059151
291,0.06444
292,0.05394
293,0.052853
294,0.023676
295,0.021904
296,0.046816
297,0.02712
298,0.022176
299,0.032186
300,0.024648
301,0.038655
302,0.036088
303,0.029671
304,0.067782
305,0.046307
306,0.05157
307,0.04985
308,0.072217
309,0.057572
310,0.027282
311,0.022962
312,0.067438
313,0.03186
314,0.032536
315,0.052256
316,0.030539
317,0.048523
318,0.060632
319,0.01785
320,0.053427
321,0.047271
322,0.018709
323,0.048215
324,0.026537
325,0.064179
326,0.033604
327,0.057015
328,0.030271
329,0.025349
330,0.036048
331,0.027704
332,0.088922
333,0.02021
334,0.029297
335,0.036927
336,0.042074
337,0.023184
338,0.034035
339,0.032096
340,0.03879
341,0.023084
342,0.019996
343,0.035658
344,0.039582
345,0.045175
346,0.028146
347,0.026448
348,0.02502
349,0.03035
350,0.035535
351,0.055837
352,0.038051
353,0.045019
354,0.028143
355,0.045494
356,0.079717
357,0.038156
358,0.041382
359,0.021155
360,0.01971
361,0.028111
362,0.049627
363,0.018678
364,0.020253
365,0.019906
366,0.027268
367,0.035796
368,0.035016
369,0.02891
370,0.042199
371,0.046784
372,0.026346
373,0.025754
374,0.032897
375,0.073721
376,0.045873
377,0.027528
378,0.057385
379,0.035647
380,0.031289
381,0.052261
382,0.051721
383,0.029722
384,0.062187
385,0.028751
386,0.022016
387,0.02021
388,0.040291
389,0.019772
390,0.026173
391,0.077344
392,0.042402
393,0.035483
394,0.028838
395,0.05145
396,0.027234
397,0.029531
398,0.070282
399,0.05341
400,0.076383
401,0.060229
402,0.071273
403,0.037056
404,0.064498
405,0.038054
406,0.025444
407,0.052062
408,0.030497
409,0.020228
410,0.018431
411,0.052183
412,0.021585
413,0.029573
414,0.058468
415,0.048214
416,0.030571
417,0.052427
418,0.051186
419,0.040976
420,0.071237
421,0.039715
422,0.068502
423,0.046703
424,0.052502
425,0.03029
426,0.028886
427,0.033324
428,0.021909
429,0.028096
430,0.032295
431,0.045672
432,0.041989
433,0.04278
434,0.025522
435,0.027297
436,0.02527
437,0.073112
438,0.033487
439,0.047637
440,0.040521
441,0.034582
442,0.049823
443,0.072253
444,0.024904
445,0.018967
446,0.095474
447,0.023632
448,0.040022
449,0.064158
450,0.038375
451,0.063075
452,0.020132
453,0.023343
454,0.053122
455,0.036811
456,0.046434
457,0.052684
458,0.023976
459,0.020241
460,0.069347
461,0.04818
462,0.054489
463,0.034838
464,0.044555
465,0.037939
466,0.037706
467,0.03933
468,0.038854
469,0.03961
470,0.024217
471,0.05174
472,0.065247
473,0.05603
474,0.025057
475,0.029241
476,0.043219
477,0.046756
478,0.027823
479,0.04821
480,0.064305
481,0.020599
482,0.037119
483,0.059024
484,0.065414
485,0.044005
486,0.031255
487,0.019852
488,0.038958
489,0.029324
490,0.045704
491,0.053791
492,0.028884
493,0.039473
494,0.029243
495,0.040291
496,0.09255
497,0.03947
498,0.040675
499,0.051112
500,0.026989
501,21.850166
