Iteration,IP_CPU_Time(ms)
0,0.0
1,0.097811
2,0.107083
3,0.102584
4,0.075428
5,0.072812
6,0.071337
7,0.087919
8,0.101829
9,0.115143
10,0.113633
11,0.06277
12,0.132283
13,0.056737
14,0.058116
15,0.084954
16,0.095767
17,0.073611
18,0.133679
19,0.127824
20,0.058494
21,0.101021
22,0.097322
23,0.062985
24,0.087907
25,0.102309
26,0.074261
27,0.090841
28,0.062254
29,0.059842
30,0.054081
31,0.070303
32,0.059513
33,0.078116
34,0.075263
35,0.088994
36,0.093356
37,0.077652
38,0.085009
39,0.123347
40,0.069467
41,0.056961
42,0.049778
43,0.10394
44,0.191363
45,0.111479
46,0.093743
47,0.065958
48,0.068522
49,0.100643
50,0.142885
51,0.096022
52,0.056607
53,0.087726
54,0.065618
55,0.069573
56,0.094575
57,0.087095
58,0.071139
59,0.052575
60,0.05149
61,0.217665
62,0.110398
63,0.138395
64,0.097748
65,0.071595
66,0.164355
67,0.13488
68,0.069027
69,0.075133
70,0.105429
71,0.112883
72,0.076887
73,0.105008
74,0.047195
75,0.101073
76,0.100711
77,0.091405
78,0.061562
79,0.078691
80,0.069771
81,0.051373
82,0.110826
83,0.127586
84,0.126006
85,0.060456
86,0.176697
87,0.101694
88,0.143738
89,0.093356
90,0.05891
91,0.059791
92,0.098319
93,0.095317
94,0.111811
95,0.059191
96,0.068307
97,0.118901
98,0.216087
99,0.061449
100,0.063714
101,0.069244
102,0.136289
103,0.11277
104,0.055873
105,0.080972
106,0.069569
107,0.12064
108,0.059841
109,0.128186
110,0.098978
111,0.06169
112,0.107144
113,0.055319
114,0.072836
115,0.098476
116,0.100257
117,0.112468
118,0.080398
119,0.154243
120,0.13738
121,0.073307
122,0.133952
123,0.136955
124,0.096031
125,0.070246
126,0.085112
127,0.065928
128,0.059738
129,0.087905
130,0.090418
131,0.114264
132,0.048016
133,0.108684
134,0.055548
135,0.076168
136,0.102596
137,0.069343
138,0.079672
139,0.052248
140,0.097245
