Iteration,IP_CPU_Time(ms)
0,0.0
1,0.01999
2,0.01634
3,0.04475
4,0.028119
5,0.021193
6,0.027934
7,0.043382
8,0.027657
9,0.022301
10,0.023929
11,0.03004
12,0.032306
13,0.012978
14,0.026909
15,0.032043
16,0.039944
17,0.013806
18,0.017349
19,0.036182
20,0.017911
21,0.022237
22,0.019558
23,0.017523
24,0.018311
25,0.022956
26,0.015404
27,0.022642
28,0.06101
29,0.014833
30,0.020617
31,0.033055
32,0.027005
33,0.022064
34,0.030564
35,0.015591
36,0.02179
37,0.069019
38,0.023551
39,0.015736
40,0.027902
41,0.034988
42,0.021888
43,0.019057
44,0.020835
45,0.027427
46,0.014507
47,0.020706
48,0.020731
49,0.030043
50,0.013848
51,0.01765
52,0.029774
53,0.016452
54,0.026846
55,0.015689
56,0.020697
57,0.022022
58,0.024012
59,0.026337
60,0.014939
61,0.013215
62,0.023945
63,0.012671
64,0.039163
65,0.039546
66,0.034591
67,0.033137
68,0.010206
69,0.025045
70,0.030432
71,0.041715
72,0.03489
73,0.016628
74,0.03118
75,0.029292
76,0.015538
77,0.013022
78,0.030232
79,0.014367
80,0.017966
81,0.016448
82,0.018309
83,0.021991
84,0.013507
85,0.015282
86,0.022624
87,0.037714
88,0.016848
89,0.022684
90,0.024737
91,0.034915
92,0.013976
93,0.025028
94,0.021128
95,0.018721
96,0.024897
97,0.03835
98,0.036502
99,0.01552
100,0.037141
101,0.022908
102,0.019342
103,0.023065
104,0.018031
105,0.02154
106,0.024937
107,0.020274
108,0.026999
109,0.019347
110,0.013802
111,0.027302
112,0.024564
113,0.015253
114,0.031753
115,0.017102
116,0.017887
117,0.017353
118,0.046081
119,0.02093
120,0.025695
121,0.024755
122,0.035951
123,0.013525
124,0.02211
125,0.027428
126,0.01562
127,0.029393
128,0.020615
129,0.035203
130,0.022434
131,0.015
132,0.024759
133,0.026859
134,0.026895
135,0.022928
136,0.021917
137,0.02431
138,0.026455
139,0.01899
140,0.022827
141,0.036745
142,0.022152
143,0.014412
144,0.037599
145,0.021594
146,0.014097
147,0.019774
148,0.018428
149,0.035819
150,0.022365
151,0.037271
152,0.028755
153,0.045586
154,0.028415
155,0.022098
156,0.028715
157,0.018832
158,0.035573
159,0.018998
160,0.025044
161,0.013569
162,0.012072
163,0.034351
164,0.015182
165,0.019537
166,0.026459
167,0.027547
168,0.021506
169,0.022651
170,0.024743
171,0.015475
172,0.010656
173,0.024052
174,0.011479
175,0.024244
176,0.017423
177,0.025673
178,0.036599
179,0.033891
180,0.017661
181,0.020159
182,0.022334
183,0.020885
184,0.026678
185,0.035173
186,0.014439
187,0.012277
188,0.018939
189,0.022395
190,0.02226
191,0.026622
192,0.01448
193,0.00948
194,0.02203
195,0.017449
196,0.021201
197,0.030235
198,0.018237
199,0.019729
200,0.032682
201,0.02228
202,0.042324
203,0.039
204,0.03051
205,0.017013
206,0.018345
207,0.040511
208,0.022886
209,0.034822
210,0.026545
211,0.029264
212,0.022176
213,0.021221
214,0.038628
215,0.015951
216,0.028407
217,0.041107
218,0.016262
219,0.030391
220,0.022416
221,0.01226
222,0.027934
223,0.022228
224,0.030557
225,0.014033
226,0.028823
227,0.027247
228,0.033385
229,0.049022
230,0.019673
231,0.055198
232,0.043995
233,0.039934
234,0.03158
235,0.026561
236,0.032904
237,0.034209
238,0.023351
239,0.013677
240,0.018054
241,0.017519
242,0.02671
243,0.018178
244,0.011976
245,0.019029
246,0.01237
247,0.042053
248,0.034328
249,0.0205
250,0.032165
251,0.027592
252,0.018296
253,0.028625
254,0.027762
255,0.041204
256,0.03
257,0.023143
258,0.017097
259,0.029169
260,0.025938
261,0.046584
262,0.015915
263,0.021042
264,0.02686
265,0.026864
266,0.026024
267,0.033453
268,0.021084
269,0.02316
270,0.022653
271,0.016251
272,0.045849
273,0.034918
274,0.027446
275,0.028726
276,0.027521
277,0.01787
278,0.028202
279,0.023114
280,0.019591
281,0.025763
282,0.015197
283,0.024068
284,0.011596
285,0.014038
286,0.016445
287,0.013955
288,0.030361
289,0.017078
290,0.019201
291,0.016405
292,0.0259
293,0.023966
294,0.034086
295,0.016448
296,0.036536
297,0.027152
298,0.02471
299,0.017868
300,0.01713
301,0.02525
302,0.029909
303,0.027443
304,0.014599
305,0.021391
306,0.020819
307,0.020678
308,0.02674
309,0.026797
310,0.043875
311,0.018111
312,0.027756
313,0.026315
314,0.027896
315,0.045096
316,0.028481
317,0.043694
318,0.024667
319,0.024013
320,0.023779
321,0.015028
322,0.041465
323,0.018933
324,0.025489
325,0.01601
326,0.01812
327,0.018366
328,0.055285
329,0.030988
330,0.07778
331,0.029531
332,0.044174
333,0.043727
334,0.028038
335,0.026151
336,0.038584
337,0.014567
338,0.021895
339,0.017358
340,0.024771
341,0.01396
342,0.011662
343,0.024056
344,0.017833
345,0.043643
346,0.030358
347,0.035964
348,0.026557
349,0.030696
350,0.023473
351,0.023466
352,0.031747
353,0.022453
354,0.019938
355,0.031969
356,0.019535
357,0.0232
358,0.046346
359,0.030287
360,0.033765
361,0.057701
362,0.023238
363,0.039511
364,0.051306
365,0.018798
366,0.016
367,0.013185
368,0.019491
369,0.020456
370,0.035663
371,0.040293
372,0.015405
373,0.016011
374,0.011802
375,0.021644
376,0.014446
377,0.03752
378,0.024366
379,0.023086
380,0.013546
381,0.028544
382,0.028772
383,0.025307
384,0.021061
385,0.03572
386,0.035458
387,0.01591
388,0.030565
389,0.026107
390,0.012554
391,0.024824
392,0.019177
393,0.02151
394,0.043496
395,0.021173
396,0.01397
397,0.016265
398,0.019812
399,0.030238
400,0.03695
401,0.033678
402,0.033708
403,0.016828
404,0.015102
405,0.038349
406,0.02712
407,0.014946
408,0.037033
409,0.037557
410,0.025516
411,0.022755
412,0.037064
413,0.030501
414,0.01421
415,0.026747
416,0.026214
417,0.02713
418,0.02011
419,0.023422
420,0.022117
421,0.035838
422,0.055225
423,0.020711
424,0.032447
425,0.031317
426,0.020465
427,0.039781
428,0.024576
429,0.052718
430,0.048603
431,0.025703
432,0.029014
433,0.040792
434,0.03334
435,0.054036
436,0.029167
437,0.029461
438,0.023111
439,0.027714
440,0.034919
441,0.0442
442,0.028818
443,0.036173
444,0.031882
445,0.049186
446,0.030904
447,0.044735
448,0.053293
449,0.043397
450,0.06336
451,0.023751
452,0.033717
453,0.050642
454,0.056871
455,0.026645
456,0.049882
457,0.028413
458,0.040441
459,0.042634
460,0.038193
461,0.069851
462,0.08521
463,0.034148
464,0.039498
465,0.040835
466,0.050221
467,0.036823
468,0.028499
469,0.037347
470,0.029478
471,0.03483
472,0.032902
473,0.036877
474,0.023386
475,0.033197
476,0.021921
477,0.028636
478,0.033777
479,0.050341
480,0.052658
481,0.065034
482,0.022321
483,0.028588
484,0.052359
485,0.041961
486,0.055933
487,0.025572
488,0.02493
489,0.04217
490,0.058597
491,0.036554
492,0.036413
493,0.051654
494,0.023126
495,0.02361
496,0.04414
497,0.025982
498,0.026921
499,0.029763
500,0.056607
501,14.405649
