Iteration,IP_CPU_Time(ms)
0,0.0
1,0.046302
2,0.037238
3,0.054254
4,0.061402
5,0.152874
6,0.079534
7,0.054168
8,0.042774
9,0.108131
10,0.106035
11,0.183387
12,0.040912
13,0.076868
14,0.090931
15,0.091298
16,0.052841
17,0.045769
18,0.054692
19,0.134261
20,0.113263
21,0.086163
22,0.071867
23,0.088781
24,0.039479
25,0.082743
26,0.124912
27,0.087367
28,0.126031
29,0.060613
30,0.059489
31,0.034134
32,0.128176
33,0.050854
34,0.035898
35,0.107838
36,0.117661
37,0.057563
38,0.060629
39,0.046713
40,0.044613
41,0.057875
42,0.049407
43,0.062759
44,0.069761
45,0.12854
46,0.036093
47,0.02892
48,0.034108
49,0.111711
50,0.084381
51,0.097841
52,0.079201
53,0.06566
54,0.16351
55,0.030577
56,0.037586
57,0.02847
58,0.096143
59,0.124362
60,0.113163
61,0.053425
62,0.069117
63,0.150438
64,0.095533
65,0.189469
66,0.109244
67,0.066125
68,0.082381
69,0.134613
70,0.068405
71,0.052927
72,0.069379
73,0.124426
74,0.056477
75,0.079064
76,0.100891
77,0.087117
78,0.046228
79,0.095274
80,0.097959
81,0.125818
82,0.100772
83,0.05193
84,0.058401
85,0.100377
86,0.037765
87,0.077156
88,0.033952
89,0.048581
90,0.038816
91,0.0503
92,0.061383
93,0.052752
94,0.073484
95,0.125943
96,0.036477
97,0.063496
98,0.117915
99,0.074022
100,0.043147
101,0.169368
102,0.060596
103,0.078484
104,0.082832
105,0.056993
106,0.067362
107,0.085029
108,0.086595
109,0.056607
110,0.144346
111,0.107919
112,0.105634
113,0.10198
114,0.064102
115,0.098286
116,0.033149
117,0.076559
118,0.043388
119,0.153802
120,0.062441
121,0.04872
122,0.063365
123,0.063649
124,0.072194
125,0.058369
126,0.068711
127,0.150488
128,0.06649
129,0.040468
130,0.057446
131,0.121435
132,0.089151
133,0.075665
134,0.061078
135,0.121426
136,0.028967
137,0.091199
138,0.139718
139,0.041803
140,0.113009
141,0.101918
142,0.090394
143,0.087762
144,0.033594
145,0.034269
146,0.032584
147,0.086571
148,0.062795
149,0.122328
150,0.177346
151,0.036705
152,0.036722
153,0.121696
154,0.074593
155,0.064656
156,0.056743
157,0.048521
158,0.093224
159,0.070443
160,0.078592
161,0.074373
162,0.075335
163,0.049096
164,0.055835
165,0.063871
166,0.047633
167,0.106914
168,0.096342
169,0.090891
170,0.057142
171,0.083201
172,0.063555
173,0.041218
174,0.078415
175,0.04365
176,0.151109
177,0.083575
178,0.238444
179,0.188195
180,0.075009
181,0.082366
182,0.04524
183,0.102324
184,0.103517
185,0.05687
186,0.174347
187,0.076763
188,0.030639
189,0.064911
190,0.151245
191,0.104524
192,0.077959
193,0.044274
194,0.096373
195,0.109555
196,0.086368
197,0.099992
198,0.069405
199,0.060434
200,0.071063
201,0.064142
202,0.054636
203,0.053805
204,0.061997
205,0.099044
206,0.103792
207,0.070434
208,0.0368
209,0.070817
210,0.090956
211,0.06527
212,0.038553
213,0.199987
214,0.183775
215,0.047518
216,0.128147
217,0.069869
218,0.042575
219,0.06388
220,0.034911
221,0.145013
222,0.077368
223,0.09361
224,0.066041
225,0.121724
226,0.157938
227,0.106702
228,0.152022
229,0.130858
230,0.13698
231,0.132404
232,0.181015
233,0.187213
234,0.056493
235,0.16327
236,0.060383
237,0.195815
238,0.069705
239,0.11614
240,0.22493
241,0.089881
242,0.141537
243,0.072483
244,0.071888
245,0.139754
246,0.106806
247,0.155174
248,0.094074
249,0.169416
250,0.135466
251,0.11575
252,0.120253
253,0.139204
254,0.194063
255,0.142792
256,0.187908
257,0.058211
258,0.075267
259,0.060014
260,0.066711
261,0.029981
262,0.049971
263,0.155536
264,0.050241
265,0.086022
266,0.099461
267,0.040638
268,0.105773
269,0.049384
270,0.04049
271,0.107278
272,0.054323
273,0.044631
274,0.028464
275,0.059441
276,0.07777
277,0.096927
278,0.186172
279,0.114069
280,0.158954
281,0.095942
282,0.068821
283,0.148365
284,0.097007
285,0.068019
286,0.147305
287,0.053762
288,0.196097
289,0.10151
290,0.099008
291,0.05118
292,0.150305
293,0.054783
294,0.110828
295,0.137654
296,0.099199
297,0.124493
298,0.094464
299,0.103327
300,0.122694
301,0.110014
302,0.150649
303,0.142827
304,0.05512
305,0.07713
306,0.077036
307,0.055423
308,0.160064
309,0.126773
310,0.097019
311,0.11449
312,0.153049
313,0.058387
314,0.05745
315,0.064534
316,0.12934
317,0.125605
318,0.201895
319,0.165641
320,0.075757
321,0.109328
322,0.247395
323,0.114663
324,0.244678
325,0.123187
326,0.088089
327,0.11679
328,0.06859
329,0.112053
330,0.11768
331,0.078822
332,0.184967
333,0.126143
334,0.176067
335,0.07216
336,0.187663
337,0.074406
338,0.066619
339,0.110041
340,0.152875
341,0.093207
342,0.071943
343,0.067226
344,0.044021
345,0.052823
346,0.171436
347,0.172354
348,0.138031
349,0.084491
350,0.094775
351,0.120145
352,0.115538
353,0.130617
354,0.08175
355,0.119029
356,0.079553
357,0.192085
358,0.136839
359,0.107457
360,0.127804
361,0.083841
362,0.060827
363,0.168005
364,0.12081
365,0.153297
366,0.138646
367,0.187817
368,0.067661
369,0.156621
370,0.083861
371,0.307492
372,0.14629
373,0.079907
374,0.108765
375,0.147815
376,0.082001
377,0.196504
378,0.052178
379,0.228402
380,0.241952
381,0.179861
382,0.083034
383,0.085392
384,0.184172
385,0.114875
386,0.158624
387,0.150454
388,0.038393
389,0.054231
390,0.037198
391,0.082119
392,0.089361
393,0.037148
394,0.068556
395,0.190428
396,0.144988
397,0.091187
398,0.086038
399,0.075688
400,0.034423
401,0.062108
402,0.077495
403,0.129946
404,0.056259
405,0.064514
406,0.090832
407,0.105652
408,0.062222
409,0.099813
410,0.126762
411,0.06237
412,0.145853
413,0.065557
414,0.110088
415,0.04806
416,0.157259
417,0.050685
418,0.080423
419,0.069709
420,0.065541
421,0.050971
422,0.093179
423,0.109581
424,0.034252
425,0.103689
426,0.125619
427,0.07635
428,0.078915
429,0.099895
430,0.091695
431,0.03485
432,0.082984
433,0.032735
434,0.04696
435,0.079345
436,0.084316
437,0.059134
438,0.037063
439,0.092947
440,0.138652
441,0.040532
442,0.138874
443,0.117605
444,0.098408
445,0.05967
446,0.053703
447,0.095821
448,0.034179
449,0.050601
450,0.122679
451,0.054025
452,0.054031
453,0.048803
454,0.110865
455,0.071019
456,0.072192
457,0.128722
458,0.053515
459,0.050099
460,0.190592
461,0.172544
462,0.096387
463,0.044852
464,0.057924
465,0.046384
466,0.036531
467,0.031839
468,0.081383
469,0.110646
470,0.106635
471,0.086036
472,0.136393
473,0.114484
474,0.111165
475,0.042694
476,0.077696
477,0.123473
478,0.032986
479,0.132506
480,0.097201
481,0.171426
482,0.045115
483,0.072823
484,0.081407
485,0.109836
486,0.050926
487,0.090627
488,0.113985
489,0.067619
490,0.130643
491,0.058231
492,0.183339
493,0.05427
494,0.084829
495,0.031162
496,0.051161
497,0.10405
498,0.046544
499,0.160159
500,0.042431
501,47.237362
