Iteration,IP_CPU_Time(ms)
0,0.0
1,0.053333
2,0.036854
3,0.024315
4,0.034881
5,0.028392
6,0.037841
7,0.028458
8,0.023695
9,0.038822
10,0.026403
11,0.03651
12,0.025464
13,0.026941
14,0.032152
15,0.038209
16,0.047695
17,0.038536
18,0.03692
19,0.016285
20,0.038421
21,0.034149
22,0.014928
23,0.025402
24,0.018499
25,0.032165
26,0.027261
27,0.026926
28,0.032693
29,0.020208
30,0.021773
31,0.034285
32,0.025217
33,0.051658
34,0.024843
35,0.044287
36,0.021709
37,0.049021
38,0.03052
39,0.03058
40,0.043819
41,0.015119
42,0.015091
43,0.060236
44,0.032401
45,0.03297
46,0.03501
47,0.028716
48,0.041302
49,0.040168
50,0.033806
51,0.026254
52,0.029187
53,0.026206
54,0.040355
55,0.033904
56,0.02313
57,0.044345
58,0.027745
59,0.044594
60,0.029829
61,0.038325
62,0.024169
63,0.017632
64,0.029213
65,0.026843
66,0.020719
67,0.030746
68,0.023382
69,0.01924
70,0.017838
71,0.021269
72,0.034785
73,0.033453
74,0.032311
75,0.03129
76,0.031362
77,0.033547
78,0.041924
79,0.017574
80,0.036246
81,0.015635
82,0.023364
83,0.020836
84,0.029225
85,0.029861
86,0.026633
87,0.020912
88,0.023795
89,0.028274
90,0.035785
91,0.021571
92,0.026322
93,0.032522
94,0.022531
95,0.021216
96,0.02377
97,0.022833
98,0.042465
99,0.024813
100,0.022656
101,0.037173
102,0.030934
103,0.029546
104,0.026048
105,0.03706
106,0.047677
107,0.025804
108,0.030354
109,0.03561
110,0.040839
111,0.05306
112,0.023666
113,0.033335
114,0.039854
115,0.024405
116,0.031299
117,0.039066
118,0.034167
119,0.032182
120,0.015913
121,0.013316
122,0.052587
123,0.050661
124,0.017936
125,0.015947
126,0.034437
127,0.03085
128,0.032284
129,0.036175
130,0.025305
131,0.028903
132,0.026709
133,0.022404
134,0.020518
135,0.019302
136,0.027043
137,0.023681
138,0.018738
139,0.030392
140,0.036501
141,0.029335
142,0.03706
143,0.021529
144,0.040995
145,0.028641
146,0.032966
147,0.037053
148,0.021629
149,0.02991
150,0.015405
151,0.032165
152,0.025699
153,0.048294
154,0.045345
155,0.032369
156,0.018892
157,0.024529
158,0.028108
159,0.043007
160,0.015391
161,0.044962
162,0.029641
163,0.044648
164,0.030075
165,0.036622
166,0.024972
167,0.015997
168,0.023968
169,0.024836
170,0.025354
171,0.036463
172,0.03931
173,0.037602
174,0.026768
175,0.029034
176,0.025691
