Iteration,IP_CPU_Time(ms)
0,0.0
1,0.200198
2,0.144159
3,0.090732
4,0.188284
5,0.095663
6,0.081724
7,0.165245
8,0.080877
9,0.092804
10,0.088129
11,0.096883
12,0.066675
13,0.095624
14,0.067362
15,0.134072
16,0.054921
17,0.081864
18,0.078183
19,0.084952
20,0.076712
21,0.10093
22,0.094808
23,0.079736
24,0.063477
25,0.058437
26,0.062067
27,0.09362
28,0.07014
29,0.129879
30,0.119076
31,0.145882
32,0.099061
33,0.113833
34,0.109007
35,0.098974
36,0.09186
37,0.083176
38,0.088833
39,0.092128
40,0.091008
41,0.137834
42,0.118365
43,0.076638
44,0.137003
45,0.096602
46,0.056002
47,0.091103
48,0.04724
49,0.092001
50,0.071778
51,0.078195
52,0.094184
53,0.081478
54,0.048116
55,0.089127
56,0.050896
57,0.07133
58,0.107113
59,0.061509
60,0.079596
61,0.059336
62,0.064931
63,0.114767
64,0.0475
65,0.113524
66,0.135558
67,0.073697
68,0.068285
69,0.107441
70,0.109301
71,0.0619
72,0.078246
73,0.095922
74,0.055778
75,0.161798
76,0.058237
77,0.075798
78,0.142092
79,0.103727
80,0.20384
81,0.145291
82,0.090672
83,0.145668
84,0.101007
85,0.193067
86,0.07739
87,0.113087
88,0.188496
89,0.089443
90,0.097787
91,0.082351
92,0.058048
93,0.098696
94,0.065823
95,0.079264
96,0.076881
97,0.097469
98,0.062991
99,0.093668
100,0.057823
101,0.090645
102,0.112636
103,0.072313
104,0.160777
105,0.048572
106,0.058638
107,0.094744
108,0.087861
109,0.093875
110,0.083788
111,0.119021
112,0.124313
113,0.076121
114,0.104675
115,0.055896
116,0.067671
117,0.088719
118,0.139059
119,0.156026
120,0.096985
121,0.161253
122,0.244229
123,0.140324
124,0.163749
125,0.165896
126,0.105424
127,0.098675
128,0.147299
129,0.088474
130,0.140216
131,0.127533
132,0.098077
133,0.107025
134,0.173616
135,0.124679
136,0.216951
137,0.194766
138,0.140635
139,0.159269
140,0.132407
141,0.161294
142,0.105468
143,0.109715
144,0.130547
145,0.128466
146,0.211806
147,0.100762
148,0.140445
149,0.170901
150,0.158637
151,0.247876
152,0.124052
153,0.11005
154,0.203586
155,0.111909
156,0.223574
157,0.180622
158,0.17398
159,0.166457
160,0.120218
161,0.129993
162,0.122158
163,0.1082
164,0.212018
165,0.157399
166,0.119629
167,0.09509
168,0.229423
169,0.098355
170,0.217345
171,0.132055
172,0.201625
173,0.147215
174,0.135357
175,0.103819
176,0.119883
177,0.107107
178,0.125716
179,0.145874
180,0.120692
181,0.065508
182,0.069715
183,0.071842
184,0.052631
185,0.085309
186,0.128037
187,0.138798
188,0.096091
189,0.06337
190,0.104573
191,0.060164
192,0.06163
193,0.059323
194,0.088207
195,0.084743
196,0.069992
197,0.050154
198,0.13537
199,0.075144
200,0.085657
201,0.071956
202,0.084684
203,0.160389
204,0.065974
205,0.065045
206,0.071127
207,0.093038
208,0.070744
209,0.066346
210,0.089264
211,0.113028
212,0.098301
213,0.089588
214,0.07173
215,0.070739
216,0.074552
217,0.078655
218,0.047082
219,0.126679
220,0.080308
221,0.059785
222,0.075221
223,0.116073
224,0.054835
225,0.066983
226,0.07227
227,0.063216
228,0.05923
229,0.06305
230,0.122174
231,0.060102
232,0.075334
233,0.066108
234,0.078162
235,0.070737
236,0.068718
237,0.100805
238,0.119703
239,0.096672
240,0.243454
241,0.093488
242,0.130524
243,0.105196
244,0.192795
245,0.196328
246,0.089456
247,0.095349
248,0.208961
249,0.238701
250,0.178316
251,0.161889
252,0.158785
253,0.11828
254,0.118302
255,0.199836
256,0.209739
257,0.140317
258,0.112897
259,0.147142
260,0.097938
261,0.118224
262,0.199886
263,0.164076
264,0.097176
265,0.101581
266,0.127405
267,0.139408
268,0.095379
269,0.133413
270,0.158784
271,0.099793
272,0.152731
273,0.209766
274,0.114326
275,0.11267
276,0.249398
277,0.089419
278,0.196091
279,0.120147
280,0.336422
281,0.182686
282,0.15616
283,0.116693
284,0.200255
285,0.146918
286,0.162171
287,0.190694
288,0.264678
289,0.146404
290,0.219114
291,0.055306
292,0.066529
293,0.123152
294,0.067871
295,0.080268
296,0.125846
297,0.089205
298,0.093458
299,0.12513
300,0.106384
301,0.130877
302,0.0788
303,0.071547
304,0.13391
305,0.138665
306,0.174025
307,0.192299
308,0.179253
309,0.095467
310,0.0942
311,0.093112
312,0.11147
313,0.06623
314,0.119322
315,0.068195
316,0.104309
317,0.092859
318,0.060063
319,0.082907
320,0.108529
321,0.142136
322,0.113725
323,0.153084
324,0.112851
325,0.138244
326,0.079595
327,0.090045
328,0.070626
329,0.078445
330,0.055909
331,0.088625
332,0.089934
333,0.059654
334,0.150878
335,0.077029
336,0.081991
337,0.184898
338,0.118953
339,0.086918
340,0.10322
341,0.097931
342,0.15778
343,0.115611
344,0.112365
345,0.104551
346,0.100454
347,0.102627
348,0.128478
349,0.157008
350,0.127515
351,0.099811
352,0.123871
353,0.096153
354,0.132593
355,0.105495
356,0.167414
357,0.12359
358,0.142275
359,0.151767
360,0.135678
361,0.117575
362,0.169928
363,0.190676
364,0.126441
365,0.184685
366,0.055456
367,0.089888
368,0.066417
369,0.085994
370,0.074419
371,0.083533
372,0.124403
373,0.106249
374,0.091573
375,0.066625
376,0.049848
377,0.060713
378,0.104091
379,0.177031
380,0.169001
381,0.109346
382,0.060739
383,0.050984
384,0.070319
385,0.092657
386,0.052964
387,0.083846
388,0.060572
389,0.104121
390,0.056477
391,0.075092
392,0.064496
393,0.091589
394,0.059558
395,0.076549
396,0.103857
397,0.100472
398,0.060708
399,0.072052
400,0.108548
401,0.052877
402,0.056318
403,0.084028
404,0.086499
405,0.103262
406,0.098045
407,0.081878
408,0.053535
409,0.082471
410,0.067887
411,0.124452
412,0.099008
413,0.07256
414,0.093725
415,0.111138
416,0.056757
417,0.056384
418,0.07483
419,0.069791
420,0.056319
421,0.052152
422,0.063737
423,0.100502
424,0.121754
425,0.119367
426,0.058964
427,0.067624
428,0.079793
429,0.071238
430,0.083095
431,0.050857
432,0.068637
433,0.109016
434,0.078218
435,0.092179
436,0.108989
437,0.138557
438,0.085156
439,0.101116
440,0.065456
441,0.062988
442,0.066454
443,0.133321
444,0.08148
445,0.069413
446,0.057049
447,0.047439
448,0.073098
449,0.099349
450,0.073172
451,0.077926
452,0.070936
453,0.061598
454,0.069072
455,0.137779
456,0.086035
457,0.064101
458,0.060893
459,0.057177
460,0.069878
461,0.061619
462,0.068395
463,0.048718
464,0.135485
465,0.051513
466,0.108787
467,0.0697
468,0.064045
469,0.069255
470,0.061498
471,0.07974
472,0.063944
473,0.062818
474,0.058404
475,0.073667
476,0.06438
477,0.060978
478,0.118524
479,0.068501
480,0.076475
481,0.077477
482,0.113776
483,0.079383
484,0.064377
485,0.051163
486,0.070535
487,0.077981
488,0.058183
489,0.093763
490,0.0526
491,0.06209
492,0.084682
493,0.063731
494,0.11374
495,0.069403
496,0.046364
497,0.052998
498,0.098299
499,0.068923
500,0.071916
501,53.61167
