Iteration,IP_CPU_Time(ms)
0,0.0
1,0.116266
2,0.114132
3,0.133118
4,0.050979
5,0.065458
6,0.046002
7,0.139566
8,0.200555
9,0.078304
10,0.101552
11,0.067727
12,0.079101
13,0.073826
14,0.067194
15,0.079175
16,0.061361
17,0.042558
18,0.061593
19,0.060008
20,0.059071
21,0.073322
22,0.088146
23,0.082713
24,0.07487
25,0.041891
26,0.100805
27,0.062888
28,0.073563
29,0.110338
30,0.060829
31,0.04356
32,0.043363
33,0.106218
34,0.096244
35,0.071454
36,0.123454
37,0.061197
38,0.066144
39,0.107645
40,0.041981
41,0.08125
42,0.046785
43,0.041495
44,0.067079
45,0.083599
46,0.064121
47,0.090845
48,0.072523
49,0.055775
50,0.098274
51,0.107849
52,0.042655
53,0.091271
54,0.065992
55,0.083653
56,0.082837
57,0.11567
58,0.102489
59,0.094007
60,0.091982
61,0.094351
62,0.085557
63,0.043982
64,0.122691
65,0.143667
66,0.127925
67,0.086336
68,0.061785
69,0.103812
70,0.099706
71,0.072409
72,0.155572
73,0.155883
74,0.14719
75,0.062837
76,0.086207
77,0.073819
78,0.093119
79,0.080113
80,0.069339
81,0.059201
82,0.066218
83,0.045841
84,0.111128
85,0.061566
86,0.072426
87,0.068254
88,0.087318
89,0.079047
90,0.082116
91,0.075192
92,0.053148
93,0.043183
94,0.161088
95,0.056513
96,0.061497
97,0.088285
98,0.119206
99,0.068582
100,0.081404
101,0.059924
102,0.048062
103,0.090262
104,0.10833
105,0.076725
106,0.069759
107,0.059104
108,0.176733
109,0.064901
110,0.088029
111,0.068235
112,0.135334
113,0.049584
114,0.106639
115,0.086022
116,0.082263
117,0.112979
118,0.096712
119,0.064089
120,0.067151
121,0.106202
122,0.050566
123,0.063504
124,0.041624
125,0.116295
126,0.102894
127,0.074581
128,0.09606
129,0.063221
130,0.112403
131,0.074708
132,0.052702
133,0.090754
134,0.077961
135,0.055953
136,0.152885
137,0.081422
138,0.07105
139,0.077331
140,0.106714
141,0.055762
142,0.074699
143,0.109201
144,0.042406
145,0.09867
146,0.158851
147,0.043491
148,0.055732
149,0.06592
150,0.059433
151,0.054653
152,0.04108
153,0.116558
154,0.082692
155,0.080981
156,0.07861
157,0.095105
158,0.04411
159,0.109968
160,0.072002
161,0.039792
162,0.043472
163,0.104049
164,0.114505
165,0.0776
166,0.064448
167,0.072945
168,0.0977
169,0.11322
170,0.054632
171,0.085304
172,0.084541
173,0.080603
174,0.053042
175,0.037008
176,0.042942
177,0.052622
178,0.040139
179,0.055761
180,0.061676
181,0.050804
182,0.052727
183,0.04317
184,0.106489
185,0.068792
186,0.112653
187,0.051245
188,0.057897
189,0.104714
190,0.049672
191,0.063274
192,0.050698
193,0.124767
194,0.037263
195,0.050735
196,0.055829
197,0.0523
198,0.049902
199,0.066733
200,0.044662
201,0.042413
202,0.079213
203,0.071853
204,0.053741
205,0.042454
206,0.070608
207,0.044714
208,0.076395
209,0.119622
210,0.1078
211,0.065126
212,0.069434
213,0.06054
214,0.070435
215,0.077735
216,0.063037
217,0.040184
218,0.11265
219,0.078048
220,0.120802
221,0.049016
222,0.089831
223,0.150926
224,0.046958
225,0.120393
226,0.084972
227,0.051475
228,0.047118
229,0.052769
230,0.190439
231,0.057397
232,0.077621
233,0.051491
234,0.121713
235,0.06271
236,0.106598
237,0.087811
238,0.045768
239,0.08748
240,0.105202
241,0.078863
242,0.040006
243,0.069693
244,0.041465
245,0.073714
246,0.110717
247,0.103364
248,0.068831
249,0.078911
250,0.03863
251,0.071288
252,0.054586
253,0.105644
