Iteration,IP_CPU_Time(ms)
0,0.0
1,0.296421
2,0.866664
3,0.152037
4,0.139435
5,0.238496
6,0.273607
7,0.238502
8,0.273762
9,0.283192
10,0.132123
11,0.136781
12,0.109376
13,0.171247
14,0.451633
15,0.558916
16,0.223557
17,0.561503
18,0.49367
19,0.551854
20,0.151876
21,0.120172
22,0.204941
23,0.234288
24,0.083786
25,0.133871
26,0.105469
27,0.247045
28,0.200485
29,0.178869
30,0.195234
31,0.576955
32,0.688327
33,0.128227
34,0.203588
35,0.139692
36,0.405282
37,0.147571
38,0.181265
39,0.230041
40,0.112514
41,0.144311
42,0.268187
43,0.119234
44,0.279178
45,0.146292
46,0.397811
47,0.23151
48,0.390571
49,0.154994
50,0.400119
51,0.205361
52,0.358598
53,0.131839
54,0.240582
55,0.202709
56,0.158491
57,0.339547
58,0.305698
59,0.351686
60,0.08586
61,0.228476
62,0.112083
63,0.215454
64,0.127437
65,0.145706
66,0.45395
67,0.122175
68,0.251713
69,0.194428
70,0.214495
71,0.162889
72,0.206627
73,0.204329
74,0.240683
75,0.161305
76,0.135248
77,0.155442
78,0.254492
79,0.10177
80,0.229219
81,0.331488
82,0.162434
83,0.209011
84,0.08209
85,0.167431
86,0.140113
87,0.16626
88,0.251658
89,0.243449
90,0.18721
91,0.148155
92,0.107353
93,0.283895
94,0.116856
95,0.213859
96,0.311109
97,0.111572
98,0.376382
99,0.224478
100,0.107402
101,0.234392
102,0.138142
103,0.155756
104,0.104504
105,0.197725
106,0.282292
107,0.295171
108,0.165554
109,0.297546
110,0.235232
111,0.300318
112,0.235605
113,0.214396
114,0.125569
115,0.165321
116,0.192212
117,0.105075
118,0.255372
119,0.070638
120,0.137171
121,0.275613
122,0.341577
123,0.085162
124,0.101623
125,0.269502
126,0.102418
127,0.318266
128,0.181839
129,0.172761
130,0.448781
131,0.272786
132,0.087708
133,0.426829
134,0.216645
135,0.124852
136,0.281672
137,0.153654
138,0.130838
139,0.094296
140,0.297461
141,0.209685
142,0.228834
143,0.276827
144,0.147371
145,0.099652
146,0.188191
147,0.172771
148,0.345555
149,0.293417
150,0.255268
151,0.232698
152,0.218318
153,0.269032
154,0.15605
155,0.112398
156,0.131861
157,0.106306
158,0.146636
159,0.300579
160,0.176683
161,0.329294
162,0.194878
163,0.146496
164,0.17869
165,0.191379
166,0.254026
167,0.223994
168,0.31123
169,0.311815
170,0.160637
171,0.310499
172,0.224389
173,0.211873
174,0.122105
175,0.148308
176,0.120943
177,0.14648
178,0.320305
179,0.226038
180,0.065413
181,0.242747
182,0.189351
183,0.12682
184,0.234366
185,0.212145
186,0.176414
187,0.214908
188,0.171451
189,0.202231
190,0.232737
191,0.234771
192,0.432061
193,0.220983
194,0.255232
195,0.20395
196,0.176762
197,0.144377
198,0.231583
199,0.235804
200,0.209207
201,0.116113
202,0.206069
203,0.236325
204,0.323148
205,0.110981
206,0.338794
207,0.351305
208,0.128937
209,0.215589
210,0.660435
211,0.169239
212,0.297169
213,0.182353
214,0.176363
215,0.162414
216,0.166792
217,0.332984
218,0.220028
219,0.172028
220,0.256735
221,0.147511
222,0.331804
223,0.427383
224,0.359634
225,0.177478
226,0.092077
227,0.14378
228,0.261117
229,0.220816
230,0.32727
231,0.170794
232,0.129237
233,0.172143
234,0.178604
235,0.163998
236,0.171401
237,0.542767
238,0.283773
239,0.264453
240,0.185846
241,0.177604
242,0.212746
243,0.460929
244,0.178393
245,0.568337
246,0.322665
247,0.311517
248,0.173161
249,0.356467
250,0.20029
251,0.176202
252,0.45553
253,0.310829
254,0.413199
255,0.296514
256,0.539575
257,0.253798
258,0.320499
259,0.407546
260,0.432895
261,0.140893
262,0.249772
263,0.373297
264,0.242026
265,0.208376
266,0.185297
267,0.281492
268,0.493003
269,0.435703
270,0.213909
271,0.239943
272,0.199985
273,0.271246
274,0.520141
275,0.318774
276,0.364754
277,0.42582
278,0.178358
279,0.331179
280,0.23385
281,0.218959
282,0.552818
283,0.196446
284,0.225301
285,0.241065
286,0.333383
287,0.45605
288,0.167365
289,0.368528
290,0.327085
291,0.250057
292,0.184766
293,0.15356
294,0.323358
295,0.311523
296,0.208368
297,0.381934
298,0.384492
299,0.190254
300,0.320717
301,0.336063
302,0.272921
303,0.437269
304,0.670441
305,0.380809
306,0.183094
307,0.174652
308,0.17064
309,0.597282
310,0.20862
311,0.306554
312,0.35011
313,0.360211
314,0.311936
315,0.204666
316,0.212828
317,0.155884
318,0.326818
319,0.274881
320,0.150202
321,0.204279
322,0.460715
323,0.26894
324,0.202594
325,0.335502
326,0.337869
327,0.304778
328,0.460284
329,0.159553
330,0.399808
331,0.172613
332,0.252634
333,0.248018
334,0.175326
335,0.32963
336,0.547191
337,0.453901
338,0.228402
339,0.410133
340,0.497455
341,0.300908
342,0.413151
343,0.447794
344,0.476626
345,0.245527
346,0.386021
347,0.407115
348,0.248135
349,0.275197
350,0.322769
351,0.217164
352,0.4265
353,0.257776
354,0.16047
355,0.173652
356,0.263228
357,0.235874
358,0.234108
359,0.191805
360,0.305146
361,0.156396
362,0.451602
363,0.331787
364,0.206726
365,0.232021
366,0.214048
367,0.181482
368,0.318263
369,0.303207
370,0.311237
371,0.423853
372,0.474191
373,0.261377
374,0.35363
375,0.243087
376,0.44455
377,0.397433
378,0.148248
379,0.286546
380,0.511784
381,0.319908
382,0.257683
383,0.341442
384,0.17985
385,0.186792
386,0.31872
387,0.297813
388,0.146525
389,0.179534
390,0.257255
391,0.386425
392,0.21636
393,0.157536
394,0.216982
395,0.644877
396,0.370046
397,0.174644
398,0.325838
399,0.217663
400,0.186674
401,0.36821
402,0.319542
403,0.302644
404,0.369429
405,0.381953
406,0.166543
407,0.344739
408,0.166361
409,0.362138
410,0.28803
411,0.268598
412,0.267915
413,0.341691
414,0.199341
415,0.151983
416,0.406824
417,0.293174
418,0.695508
419,0.160665
420,0.306664
421,0.430753
422,0.228348
423,0.23086
424,0.238888
425,0.174673
426,0.180478
427,0.385447
428,0.407123
429,0.278396
430,0.23441
431,0.337383
432,0.35164
433,0.277236
434,0.415417
435,0.18344
436,0.536585
437,0.171481
438,0.227867
439,0.49764
440,0.522792
441,0.275913
442,0.253491
443,0.201091
444,0.270009
445,0.218509
446,0.353742
447,0.346587
448,0.235745
449,0.310282
450,0.418933
451,0.432209
452,0.205147
453,0.301456
454,0.170337
455,0.167101
456,0.258951
457,0.307855
458,0.431061
459,0.355827
460,0.264421
461,0.320526
462,0.197118
463,0.238772
464,0.371302
465,0.163381
466,0.379383
467,0.434875
468,0.245077
469,0.515341
470,0.363515
471,0.157357
472,0.186811
473,0.461572
474,0.48762
475,0.226262
476,0.172159
477,0.188752
478,0.380925
479,0.210472
480,0.249689
481,0.324385
482,0.566571
483,0.147057
484,0.454759
485,0.242433
486,0.251282
487,0.443741
488,0.363806
489,0.520232
490,0.546267
491,0.341562
492,0.387276
493,0.236207
494,0.350948
495,0.176597
496,0.232472
497,0.365178
498,0.137711
499,0.252361
500,0.367573
501,134.899661
