Iteration,IP_CPU_Time(ms)
0,0.0
1,0.11607
2,0.067483
3,0.140906
4,0.086884
5,0.072444
6,0.11109
7,0.111015
8,0.146011
9,0.140764
10,0.102706
11,0.090574
12,0.071325
13,0.076243
14,0.146704
15,0.062166
16,0.12167
17,0.128915
18,0.05731
19,0.106332
20,0.104614
21,0.074606
22,0.103218
23,0.054404
24,0.052263
25,0.054572
26,0.057387
27,0.149637
28,0.112079
29,0.127165
30,0.072262
31,0.065196
32,0.064873
33,0.099988
34,0.168426
35,0.106728
36,0.064254
37,0.101039
38,0.112657
39,0.09422
40,0.068359
41,0.134027
42,0.164151
43,0.077019
44,0.113482
45,0.110641
46,0.089523
47,0.08462
48,0.164956
49,0.050386
50,0.119866
51,0.071812
52,0.10785
53,0.115446
54,0.052439
55,0.079426
56,0.096308
57,0.285433
58,0.184213
59,0.085767
60,0.109524
61,0.109262
62,0.0656
63,0.06019
64,0.067759
65,0.089613
66,0.069088
67,0.084306
68,0.051389
69,0.14936
70,0.071741
71,0.108637
72,0.088182
73,0.057977
74,0.130939
75,0.110078
76,0.073171
77,0.071435
78,0.093874
79,0.13183
80,0.078835
81,0.120176
82,0.049567
83,0.032283
84,0.131815
85,0.045754
86,0.055116
87,0.042355
88,0.04463
89,0.036278
90,0.057647
91,0.043122
92,0.086574
93,0.094405
94,0.081885
95,0.078039
96,0.077671
97,0.074032
98,0.042673
99,0.040089
100,0.112098
101,0.07049
102,0.033827
103,0.035571
104,0.040732
105,0.066999
106,0.036762
107,0.030797
108,0.07484
109,0.042224
110,0.062167
111,0.045197
112,0.055949
113,0.034661
114,0.09504
115,0.039709
116,0.054067
117,0.05617
118,0.037271
119,0.030617
120,0.038659
121,0.041545
122,0.097551
123,0.090312
124,0.044607
125,0.080954
126,0.044121
127,0.094971
128,0.067393
129,0.137979
130,0.079326
131,0.085817
132,0.038358
133,0.128262
134,0.131021
135,0.117425
136,0.10364
137,0.068526
138,0.053925
139,0.060346
140,0.050817
141,0.070533
142,0.051042
143,0.034139
144,0.087811
145,0.079063
146,0.040343
147,0.040512
148,0.056014
149,0.051801
150,0.089899
151,0.076055
152,0.09271
153,0.037052
154,0.124029
155,0.108759
156,0.029798
157,0.055089
158,0.065593
159,0.034148
160,0.059418
161,0.069527
162,0.049718
163,0.053902
164,0.060783
165,0.062086
166,0.08107
167,0.069597
168,0.06944
169,0.077859
170,0.064868
171,0.03471
172,0.040181
173,0.04229
174,0.050298
175,0.032646
176,0.057333
177,0.029653
178,0.062691
179,0.027691
180,0.033595
181,0.103813
182,0.062399
183,0.073093
184,0.087584
185,0.066092
186,0.039421
187,0.075193
188,0.035567
189,0.074257
190,0.050206
191,0.098878
192,0.072888
193,0.064537
194,0.095777
195,0.03049
196,0.049619
197,0.053412
198,0.075011
199,0.072181
200,0.06699
201,0.083356
202,0.13058
203,0.046868
204,0.055226
205,0.042817
206,0.050083
207,0.055555
208,0.043517
209,0.077768
210,0.148179
211,0.084451
212,0.096026
213,0.068082
214,0.048436
215,0.061994
216,0.074748
217,0.094256
218,0.056417
219,0.078329
220,0.073271
221,0.077846
222,0.116161
223,0.079175
224,0.047232
225,0.064764
226,0.11418
227,0.034388
228,0.035537
229,0.039701
230,0.041589
231,0.045593
232,0.078749
233,0.032336
234,0.035991
235,0.096047
236,0.058156
237,0.066298
238,0.040212
239,0.045046
240,0.224377
241,0.031344
242,0.040702
243,0.03436
244,0.107858
245,0.03181
246,0.086807
247,0.048078
248,0.055756
249,0.048396
250,0.142396
251,0.121448
252,0.048646
253,0.03466
254,0.097776
255,0.049907
256,0.075219
257,0.071484
258,0.066108
259,0.053922
260,0.109084
261,0.047847
262,0.076101
263,0.047165
264,0.065261
265,0.036636
266,0.104957
267,0.036163
268,0.065582
269,0.033002
270,0.074498
271,0.05819
272,0.03207
273,0.080595
274,0.119009
275,0.048496
276,0.039251
277,0.10745
278,0.077479
279,0.029479
280,0.079327
281,0.037435
282,0.055405
283,0.047026
284,0.07312
285,0.037364
286,0.217461
287,0.081319
288,0.030499
289,0.041072
290,0.047725
291,0.086679
292,0.055644
293,0.083201
294,0.049569
295,0.034966
296,0.063176
297,0.045418
298,0.126907
299,0.067944
300,0.037928
301,0.031988
302,0.041017
303,0.15627
304,0.090887
305,0.053724
306,0.068435
307,0.080402
308,0.061983
309,0.044937
310,0.071578
311,0.071358
312,0.0616
313,0.055201
314,0.034836
315,0.055149
316,0.105234
317,0.051056
318,0.126943
319,0.085255
320,0.046998
321,0.034433
322,0.156826
323,0.065666
324,0.043924
325,0.046568
326,0.056117
327,0.030104
328,0.037091
329,0.035292
330,0.042547
331,0.031998
332,0.029615
333,0.071944
334,0.030303
335,0.051473
336,0.104319
337,0.051627
338,0.053895
339,0.049807
340,0.044144
341,0.095558
342,0.072929
343,0.045444
344,0.102421
345,0.041258
346,0.06416
347,0.080443
348,0.035905
349,0.072266
350,0.048187
351,0.135646
352,0.155772
353,0.0467
354,0.04445
355,0.05355
356,0.057028
357,0.063128
358,0.03981
359,0.05373
360,0.062555
361,0.104543
362,0.083029
363,0.032539
364,0.037344
365,0.052999
366,0.096964
367,0.034982
368,0.033705
369,0.107877
370,0.050944
371,0.052677
372,0.099962
373,0.077828
374,0.085841
375,0.094977
376,0.058853
377,0.059961
378,0.033402
379,0.035886
380,0.055647
381,0.08233
382,0.03465
383,0.065101
384,0.11943
385,0.093069
386,0.066266
387,0.072006
388,0.072767
389,0.088939
390,0.106704
391,0.116306
392,0.044047
393,0.08352
394,0.075151
395,0.054241
396,0.076258
397,0.039063
398,0.039548
399,0.07376
400,0.055263
401,0.035775
402,0.06644
403,0.034307
404,0.035127
405,0.033823
406,0.088022
407,0.102527
408,0.047252
409,0.059879
410,0.090118
411,0.042306
412,0.123695
413,0.083026
414,0.039239
415,0.051682
416,0.03398
417,0.051925
418,0.049027
419,0.03993
420,0.069004
421,0.035868
422,0.109917
423,0.046647
424,0.041731
425,0.057146
426,0.105977
427,0.038883
428,0.061639
429,0.045144
430,0.054345
431,0.05268
432,0.065732
433,0.043231
434,0.028665
435,0.059438
436,0.038504
437,0.082832
438,0.032421
439,0.075443
440,0.084745
441,0.030402
442,0.039962
443,0.035668
444,0.032891
445,0.030933
446,0.03795
447,0.080428
448,0.052177
449,0.152413
450,0.06283
451,0.073733
452,0.075899
453,0.068856
454,0.055684
455,0.054766
456,0.127314
457,0.057176
458,0.032657
459,0.095091
460,0.041141
461,0.09008
462,0.043133
463,0.030144
464,0.03825
465,0.044819
466,0.03923
467,0.100973
468,0.038128
469,0.100392
470,0.112577
471,0.032456
472,0.031323
473,0.093387
474,0.032751
475,0.064716
476,0.043117
477,0.058274
478,0.028203
479,0.044678
480,0.036927
481,0.084831
482,0.039854
483,0.095799
484,0.093838
485,0.06669
486,0.081481
487,0.103452
488,0.045424
489,0.047092
490,0.046488
491,0.071194
492,0.067244
493,0.069098
494,0.032292
495,0.04188
496,0.060118
497,0.076249
498,0.042067
499,0.039938
500,0.049555
501,35.478293
