Iteration,IP_CPU_Time(ms)
0,0.0
1,0.115452
2,0.18019
3,0.135838
4,0.314591
5,0.302432
6,0.23223
7,0.117689
8,0.330427
9,0.148449
10,0.249246
11,0.10658
12,0.319989
13,0.383924
14,0.437468
15,0.110248
16,0.220317
17,0.241706
18,0.259889
19,0.10982
20,0.08777
21,0.097332
22,0.223591
23,0.284099
24,0.253777
25,0.344642
26,0.181877
27,0.207865
28,0.193983
29,0.140745
30,0.249089
31,0.14077
32,0.21414
33,0.204368
34,0.145263
35,0.134606
36,0.245365
37,0.181984
38,0.172046
39,0.28513
40,0.099965
41,0.156029
42,0.208602
43,0.065088
44,0.132367
45,0.135167
46,0.190266
47,0.053989
48,0.094231
49,0.146362
50,0.085096
51,0.058278
52,0.055902
53,0.178489
54,0.064483
55,0.15109
56,0.101997
57,0.135984
58,0.135055
59,0.06736
60,0.11989
61,0.108315
62,0.157033
63,0.089155
64,0.124881
65,0.093173
66,0.082527
67,0.088933
68,0.118807
69,0.146939
70,0.078092
71,0.149421
72,0.129466
73,0.080697
74,0.130393
75,0.161017
76,0.084654
77,0.126088
78,0.096278
79,0.1188
80,0.178433
81,0.138439
82,0.134092
83,0.131173
84,0.211707
85,0.075634
86,0.229802
87,0.172548
88,0.126377
89,0.234843
90,0.189269
91,0.178489
92,0.064079
93,0.242348
94,0.126202
95,0.086108
96,0.294328
97,0.099526
98,0.156843
99,0.20091
100,0.182271
101,0.153894
102,0.123387
103,0.08467
104,0.144699
105,0.213689
106,0.159111
107,0.26502
108,0.12143
109,0.139878
110,0.156626
111,0.164791
112,0.080451
113,0.144374
114,0.067172
115,0.074969
116,0.103432
117,0.116755
118,0.069646
119,0.215286
120,0.131985
121,0.169188
122,0.109028
123,0.256003
124,0.154814
125,0.058595
126,0.055591
127,0.158956
128,0.05172
129,0.085918
130,0.121376
131,0.094197
132,0.082814
133,0.156044
134,0.116553
135,0.142514
136,0.100291
137,0.134138
138,0.192311
139,0.111103
140,0.125992
141,0.082322
142,0.083114
143,0.073363
144,0.202784
145,0.154817
146,0.072197
147,0.103304
148,0.165733
149,0.077222
150,0.151042
151,0.112032
152,0.190992
153,0.076574
154,0.136869
155,0.059972
156,0.158378
157,0.091003
158,0.140906
159,0.125318
160,0.262972
161,0.081931
162,0.115965
163,0.116218
164,0.131096
165,0.095188
166,0.117088
167,0.068474
168,0.084288
169,0.20777
170,0.050257
171,0.199989
172,0.103688
173,0.111444
174,0.166083
175,0.151082
176,0.159182
177,0.167524
178,0.229451
179,0.199808
180,0.083293
181,0.064952
182,0.193922
183,0.094007
184,0.121726
185,0.141921
186,0.120592
187,0.11033
188,0.121414
189,0.186782
190,0.116978
191,0.157831
192,0.140994
193,0.072504
194,0.177237
195,0.073676
196,0.124705
197,0.173121
198,0.381648
199,0.174316
200,0.132617
201,0.168319
202,0.167763
203,0.229106
204,0.163234
205,0.181972
206,0.176415
207,0.166476
208,0.191807
209,0.086535
210,0.178748
211,0.05599
212,0.200871
213,0.096814
214,0.132804
215,0.313724
216,0.109422
217,0.13923
218,0.195268
219,0.097994
220,0.077307
221,0.078688
222,0.158254
223,0.186509
224,0.104951
225,0.088507
226,0.0691
227,0.274531
228,0.292445
229,0.192275
230,0.129673
231,0.125126
232,0.122238
233,0.239708
234,0.166149
235,0.21803
236,0.085939
237,0.146287
238,0.126664
239,0.110173
240,0.200492
241,0.155668
242,0.146497
243,0.093458
244,0.089456
245,0.203715
246,0.225609
247,0.204365
248,0.14665
249,0.304544
250,0.084724
251,0.175492
252,0.147624
253,0.111803
254,0.125342
255,0.105708
256,0.076376
257,0.143391
258,0.107174
259,0.074319
260,0.215588
261,0.127566
