Iteration,IP_CPU_Time(ms)
0,0.0
1,0.411826
2,0.371147
3,0.322964
4,0.46245
5,0.225695
6,0.447799
7,0.455016
8,0.443558
9,0.22807
10,0.540571
11,0.779993
12,0.728521
13,0.35421
14,0.212629
15,0.437274
16,0.391478
17,0.402732
18,0.483182
19,0.749496
20,0.526627
21,4.902634
22,0.260575
23,0.637176
24,0.725892
25,0.221301
26,0.253897
27,0.231964
28,0.284952
29,0.21769
30,0.594849
31,0.275981
32,0.394047
33,0.454841
34,0.344282
35,0.383722
36,0.502438
37,0.295739
38,0.199725
39,0.322107
40,0.196902
41,0.423003
42,0.411004
43,0.259372
44,0.23361
45,0.726878
46,0.344134
47,0.227081
48,0.284941
49,0.491478
50,0.49727
51,0.233886
52,0.246134
53,0.432247
54,0.524124
55,0.707953
56,0.354826
57,0.292982
58,0.285073
59,0.391222
60,0.437948
61,0.364429
62,0.400688
63,0.420005
64,0.461681
65,0.36475
66,0.327517
67,0.509182
68,0.411181
69,0.427919
70,0.238516
71,0.37874
72,0.554396
73,0.305057
74,0.235672
75,0.547878
76,0.276142
77,0.368276
78,0.327008
79,0.359684
80,0.227791
81,0.245419
82,0.264381
83,0.256093
84,0.54995
85,0.492421
86,0.645598
87,0.618644
88,0.405812
89,0.36926
90,0.375109
91,0.316494
92,0.502564
93,0.63577
94,0.69429
95,0.441654
96,0.556913
97,0.200945
98,0.470071
99,0.21379
100,0.359972
101,0.221541
102,0.698478
103,0.505599
104,0.478793
105,0.242714
106,0.378178
107,0.216355
108,0.207685
109,0.372677
110,0.314446
111,0.796526
112,0.247537
113,0.29011
114,0.321842
115,0.224744
116,0.309883
117,0.219227
118,0.860526
119,0.386415
120,0.303681
121,0.521636
122,0.629198
123,0.302379
124,0.219012
125,0.540104
126,0.249498
127,0.492038
128,0.239961
129,0.45997
130,0.247538
131,0.577202
132,0.232401
133,0.587692
134,0.41937
135,0.242936
136,0.511971
137,0.315904
138,0.609055
139,0.28056
140,0.447771
141,0.278998
142,0.23252
143,0.294286
144,0.522303
145,0.489642
146,4.29177
147,0.988095
148,0.472254
149,0.498148
150,0.396384
151,0.372701
152,0.545594
153,0.503202
154,0.390811
155,0.581199
156,0.656463
157,0.701323
158,0.476138
159,0.351147
160,0.442653
161,0.563224
162,0.943024
163,0.430337
164,0.963728
165,0.348533
166,0.405066
167,0.695081
168,0.421359
169,0.695047
170,0.597252
171,0.683439
172,0.571031
173,0.50908
174,0.505301
175,0.334082
176,0.367927
177,0.558756
178,0.457974
179,0.580364
180,0.332471
181,0.811974
182,0.378302
183,0.425727
184,0.484108
185,0.426946
186,0.384886
187,0.356525
188,0.450915
189,1.027321
190,0.565247
191,0.782007
192,0.35067
