Iteration,IP_CPU_Time(ms)
0,0.0
1,0.100793
2,0.062598
3,0.070053
4,0.064834
5,0.10319
6,0.060326
7,0.032212
8,0.033932
9,0.029415
10,0.067063
11,0.048024
12,0.048419
13,0.058119
14,0.036792
15,0.049897
16,0.094631
17,0.051619
18,0.033488
19,0.035512
20,0.043861
21,0.077455
22,0.06115
23,0.067989
24,0.068144
25,0.062537
26,0.057494
27,0.040649
28,0.029514
29,0.100343
30,0.056205
31,0.073418
32,0.038407
33,0.051405
34,0.070444
35,0.033639
36,0.046118
37,0.086802
38,0.038769
39,0.045016
40,0.047776
41,0.053025
42,0.080871
43,0.097726
44,0.035782
45,0.059264
46,0.036941
47,0.031602
48,0.065449
49,0.083572
50,0.065616
51,0.062584
52,0.035858
53,0.071234
54,0.051705
55,0.119423
56,0.093262
57,0.076413
58,0.056253
59,0.071048
60,0.057754
61,0.07249
62,0.032407
63,0.047504
64,0.036477
65,0.036558
66,0.085084
67,0.072481
68,0.089094
69,0.068839
70,0.090109
71,0.037229
72,0.065238
73,0.068681
74,0.099722
75,0.034477
76,0.078265
77,0.04944
78,0.062644
79,0.032052
80,0.036684
81,0.060575
82,0.085936
83,0.090592
84,0.067767
85,0.060648
86,0.048403
87,0.074783
88,0.05864
89,0.059976
90,0.059047
91,0.036968
92,0.045422
93,0.07089
94,0.053217
95,0.044257
96,0.0385
97,0.061614
98,0.044685
99,0.068198
100,0.035138
101,0.038968
102,0.065296
103,0.039804
104,0.034644
105,0.0591
106,0.039267
107,0.085789
108,0.089157
109,0.04748
110,0.055776
111,0.048816
112,0.034908
113,0.02809
114,0.084342
115,0.053296
116,0.070423
117,0.067212
118,0.046251
119,0.044918
120,0.059675
121,0.052037
122,0.097913
123,0.045393
124,0.041871
125,0.034966
126,0.072498
127,0.037172
128,0.046719
129,0.037587
130,0.062482
131,0.053789
132,0.038345
133,0.036316
134,0.046871
135,0.039586
136,0.071948
137,0.051324
138,0.087246
139,0.054303
140,0.056836
141,0.065227
142,0.068182
143,0.055549
144,0.042466
145,0.037522
146,0.058811
147,0.043475
148,0.045172
149,0.066941
150,0.04784
151,0.070734
152,0.067939
153,0.03994
154,0.052489
155,0.033546
156,0.064661
157,0.050914
158,0.04671
159,0.073473
160,0.055815
161,0.06501
162,0.056024
163,0.055004
164,0.037951
165,0.066547
166,0.046796
167,0.044313
168,0.06613
169,0.095202
170,0.034422
171,0.040203
172,0.054439
173,0.051263
174,0.064337
175,0.099034
176,0.055062
177,0.088105
178,0.076741
179,0.052936
180,0.052696
181,0.032431
182,0.056518
