Iteration,IP_CPU_Time(ms)
0,0.0
1,1.057672
2,0.391198
3,0.516573
4,0.546058
5,0.450637
6,0.374
7,0.387065
8,0.327536
9,0.401487
10,0.350444
11,0.309782
12,0.466304
13,0.474634
14,0.413255
15,0.304263
16,0.449621
17,0.4411
18,0.421776
19,0.480156
20,0.317972
21,0.496545
22,0.371654
23,0.377622
24,0.317904
25,0.558994
26,0.417902
27,0.317123
28,0.29246
29,0.40989
30,0.378008
31,0.46844
32,0.343246
33,0.444259
34,0.388851
35,0.375378
36,0.399841
37,0.418702
38,0.263754
39,0.324213
40,0.317988
41,0.388454
42,0.266385
43,0.14161
44,0.137776
45,0.15111
46,0.146751
47,0.084993
48,0.128985
49,0.080187
50,0.075374
51,0.120867
52,0.203092
53,0.097958
54,0.156744
55,0.085798
56,0.080015
57,0.092619
58,0.087024
59,0.067898
60,0.118732
61,0.087698
62,0.101666
63,0.085463
64,0.074298
65,0.070473
66,0.086089
67,0.083461
68,0.073687
69,0.111658
70,0.150316
71,0.080637
72,0.10241
73,0.149195
74,0.068635
75,0.094983
76,0.126369
77,0.081217
78,0.091739
79,0.153075
80,0.079927
81,0.120897
82,0.086945
83,0.079552
84,0.11939
85,0.111715
86,0.209268
87,0.152517
88,0.146867
89,0.097567
90,0.103289
91,0.070092
92,0.104178
93,0.073648
94,0.06678
95,0.112077
96,0.118205
97,0.080546
98,0.084962
99,0.087667
100,0.102202
101,0.071939
102,0.088757
103,0.167116
104,0.124818
105,0.075755
106,0.133816
107,0.0916
108,0.098284
109,0.103217
110,0.122506
111,0.072716
112,0.106121
113,0.095342
114,0.073613
115,0.071597
116,0.18278
117,0.128225
118,0.07922
119,0.095858
120,0.144849
121,0.114324
122,0.078831
123,0.062925
124,0.101062
125,0.11051
126,0.144332
127,0.19429
128,0.160437
129,0.178992
130,0.155788
131,0.134907
132,0.115813
133,0.099579
134,0.21282
135,0.178281
136,0.223589
137,0.116968
138,0.130591
139,0.132242
140,0.074139
141,0.082465
142,0.089892
143,0.153668
144,0.088994
145,0.087896
146,0.104023
147,0.091406
148,0.085589
149,0.067619
150,0.08082
151,0.066914
152,0.07849
153,0.081764
154,0.070393
155,0.103307
156,0.061253
157,0.061058
158,0.082857
159,0.06785
160,0.089043
161,0.079457
162,0.059803
163,0.082652
164,0.083912
165,0.084752
166,0.119931
167,0.08108
168,0.084801
169,0.100945
170,0.107238
171,0.076549
172,0.09468
173,0.177476
174,0.082799
175,0.105965
176,0.083687
177,0.084763
178,0.098937
179,0.07589
180,0.058273
181,0.057595
182,0.06391
183,0.055463
184,0.07136
185,0.149199
186,0.103497
187,0.069572
188,0.057522
189,0.109048
190,0.0795
191,0.068969
192,0.107022
193,0.063454
194,0.062388
195,0.068268
196,0.094246
197,0.093731
198,0.072954
199,0.0877
200,0.088175
201,0.064155
202,0.053962
203,0.076073
204,0.067412
205,0.077295
206,0.086063
207,0.200895
208,0.082544
209,0.115816
210,0.103237
211,0.127821
212,0.107202
213,0.126942
214,0.173794
215,0.101897
216,0.159585
217,0.215458
218,0.101295
219,0.101245
220,0.142052
221,0.11913
222,0.218327
223,0.132143
224,0.09495
225,0.143262
226,0.106092
227,0.091033
228,0.151393
229,0.113296
230,0.138144
231,0.137278
232,0.114538
233,0.229687
234,0.121146
235,0.111023
236,0.153131
237,0.131135
238,0.122314
239,0.138571
240,0.09577
241,0.089849
242,0.130738
243,0.1572
244,0.125581
245,0.142896
246,0.169942
247,0.163215
248,0.11594
249,0.377487
250,0.112658
251,0.144954
252,0.110759
253,0.126225
254,0.109493
255,0.110264
256,0.102923
257,0.114863
258,0.117591
259,0.137653
260,0.157429
261,0.272535
262,0.174416
263,0.130044
264,0.175125
265,0.183364
266,0.129628
267,0.139244
268,0.151571
269,0.132132
270,0.11199
271,0.134325
272,0.09403
273,0.093374
274,0.131861
275,0.114553
276,0.161609
277,0.087804
278,0.069171
279,0.053136
280,0.070473
281,0.07205
282,0.09171
283,0.13284
