Iteration,IP_CPU_Time(ms)
0,0.0
1,0.068299
2,0.039304
3,0.041914
4,0.037031
5,0.037223
6,0.039496
7,0.041458
8,0.037709
9,0.035923
10,0.038284
11,0.036658
12,0.040569
13,0.03584
14,0.039639
15,0.035365
16,0.035743
17,0.046448
18,0.048103
19,0.036909
20,0.037124
21,0.034471
22,0.036512
23,0.036186
24,0.034067
25,0.035996
26,0.033585
27,0.0349
28,0.036805
29,0.037809
30,0.037071
31,0.036112
32,0.035218
33,0.036194
34,0.034845
35,0.035433
36,0.035616
37,0.035286
38,0.03651
39,0.035316
40,0.041505
41,0.03572
42,0.035092
43,0.035
44,0.034928
45,0.033595
46,0.037142
47,0.036647
48,0.03428
49,0.034576
50,0.034614
51,0.036894
52,0.039997
53,0.034846
54,0.037611
55,0.035949
56,0.035495
57,0.036545
58,0.036235
59,0.036359
60,0.03726
61,0.037888
62,0.040539
63,0.03463
64,0.035469
65,0.033748
66,0.035175
67,0.034471
68,0.036256
69,0.035052
70,0.034037
71,0.033879
72,0.03649
73,0.036219
74,0.039268
75,0.034988
76,0.034885
77,0.035486
78,0.036814
79,0.034715
80,0.033228
81,0.035713
82,0.034212
83,0.036332
84,0.037103
85,0.038057
86,0.035373
87,0.035978
88,0.035841
89,0.034791
90,0.035983
91,0.033854
92,0.047728
93,0.035591
94,0.035653
95,0.036149
96,0.03511
97,0.03478
98,0.034536
99,0.034497
100,0.035894
101,0.043316
102,0.036793
103,0.034975
104,0.03849
105,0.035715
106,0.043399
107,0.066983
108,0.049146
109,0.053961
110,0.06087
111,0.07832
112,0.068967
113,0.081709
114,0.075833
115,0.039105
116,0.036587
117,0.035376
118,0.040467
119,0.038659
120,0.038297
121,0.037405
122,0.041234
123,0.044278
124,0.044022
125,0.046401
126,0.04582
127,0.046929
128,0.045403
129,0.050595
130,0.040587
131,0.038292
132,0.037261
133,0.034029
134,0.035057
135,0.036159
136,0.037652
137,0.037638
138,0.040296
139,0.036247
140,0.039543
141,0.034966
142,0.035299
143,0.034942
144,0.037546
145,0.037658
146,0.035331
147,0.038072
148,0.036813
149,0.036084
