Iteration,IP_CPU_Time(ms)
0,0.0
1,0.087604
2,0.073362
3,0.067427
4,0.062152
5,0.091711
6,0.062554
7,0.062408
8,0.083677
9,0.067678
10,0.061804
11,0.062538
12,0.060969
13,0.064645
14,0.073974
15,0.062757
16,0.061557
17,0.062501
18,0.066473
19,0.064875
20,0.061652
21,0.064772
22,0.062534
23,0.063066
24,0.076366
25,0.068543
26,0.060794
27,0.086932
28,0.098328
29,0.065346
30,0.07782
31,0.063157
32,0.061924
33,0.062926
34,0.063047
35,0.061765
36,0.061927
37,0.063968
38,0.062018
39,0.060431
40,0.061199
41,0.067403
42,0.061913
43,0.06556
44,0.063172
45,0.063213
46,0.062171
47,0.062256
48,0.063939
49,0.080245
50,0.069271
51,0.076778
52,0.081291
53,0.061577
54,0.089444
55,0.070859
56,0.062497
57,0.063224
58,0.062019
59,0.062656
60,0.067678
61,0.061815
62,0.063473
63,0.061981
64,0.064109
65,0.062874
66,0.063477
67,0.062682
68,0.061881
69,0.062609
70,0.062261
71,0.06407
72,0.06498
73,0.063774
74,0.062378
75,0.06332
76,0.064545
77,0.063804
78,0.064529
79,0.062254
80,0.062319
81,0.061748
82,0.068074
83,0.067143
84,0.062738
85,0.063263
86,0.061621
87,0.06172
88,0.0614
89,0.062231
90,0.062775
91,0.062517
92,0.062385
93,0.065171
94,0.063762
95,0.06525
96,0.06598
97,0.062107
98,0.062258
99,0.077031
100,0.061555
101,0.063253
102,0.062738
103,0.061949
104,0.062889
105,0.078426
106,0.06281
107,0.075561
108,0.068047
109,0.062701
110,0.06756
111,0.064607
112,0.062306
113,0.063446
114,0.063648
115,0.062804
116,0.06287
117,0.060811
118,0.069338
119,0.066992
120,0.064987
121,0.065125
122,0.064262
123,0.062905
124,0.069245
125,0.063665
126,0.063929
127,0.062948
128,0.063625
129,0.063355
130,0.069296
131,0.064792
132,0.06562
133,0.064421
134,0.073821
135,0.070914
136,0.064402
137,0.063662
138,0.062905
139,0.070887
140,0.06412
141,0.065537
142,0.067533
143,0.067454
144,0.064367
145,0.064942
146,0.064763
147,0.063384
148,0.064842
149,0.063996
150,0.064408
151,0.065016
152,0.064409
153,0.066951
154,0.068918
155,0.063628
156,0.063196
157,0.06419
158,0.066285
159,0.064868
160,0.064754
161,0.063707
162,0.061934
163,0.069662
164,0.090117
165,0.067495
166,0.06415
167,0.066073
168,0.063682
169,0.069108
170,0.078352
171,0.064717
172,0.064113
173,0.063906
174,0.068165
175,0.099224
176,0.073587
177,0.066433
178,0.067224
179,0.085464
180,0.068054
181,0.067897
182,0.105428
183,0.110623
184,0.095479
185,0.112504
186,0.128091
187,0.096127
188,0.10626
189,0.086404
190,0.107617
191,0.069863
192,0.072057
193,0.065236
194,0.071664
195,0.065652
196,0.067764
197,0.064609
198,0.062602
199,0.062605
200,0.067925
201,0.065178
202,0.063853
203,0.064754
204,0.061932
205,0.062386
206,0.064425
207,0.070273
208,0.064351
209,0.065443
210,0.064609
211,0.067344
212,0.08309
213,0.063396
214,0.067978
215,0.063495
216,0.06362
217,0.064575
218,0.061458
219,0.06179
220,0.063602
221,0.063012
222,0.068028
223,0.067845
224,0.062994
225,0.064944
226,0.063609
227,0.062794
228,0.062884
229,0.064707
230,0.064846
231,0.063371
232,0.06187
233,0.064677
234,0.06316
235,0.065539
236,0.066202
237,0.066778
238,0.065008
239,0.062682
240,0.064139
241,0.06338
242,0.064105
243,0.062713
244,0.064323
245,0.063776
246,0.069462
247,0.065511
248,0.065417
249,0.066773
250,0.065405
251,0.063204
252,0.067205
253,0.064244
254,0.062141
255,0.063041
256,0.062579
257,0.065068
258,0.067185
259,0.065126
260,0.064116
261,0.063671
262,0.064829
263,0.065213
264,0.063581
265,0.068661
266,0.063034
267,0.066446
268,0.069662
269,0.064006
270,0.076691
271,0.063145
272,0.082055
273,0.063652
274,0.062707
275,0.063528
276,0.06527
277,0.062653
278,0.063231
279,0.062257
280,0.077863
281,0.067774
282,0.063911
283,0.06882
284,0.063946
285,0.065784
286,0.064044
287,0.064924
288,0.064591
289,0.063172
290,0.064446
291,0.063742
292,0.063578
293,0.066612
294,0.064362
295,0.06349
296,0.077404
297,0.062879
298,0.063536
299,0.068337
300,0.066225
301,0.064361
302,0.064545
303,0.063726
304,0.063756
305,0.065488
306,0.063638
307,0.063912
308,0.063371
309,0.065452
310,0.063461
311,0.06427
312,0.066057
313,0.066136
314,0.064009
315,0.071001
316,0.068659
317,0.063462
318,0.063916
319,0.062876
320,0.064447
321,0.063828
322,0.063331
323,0.061618
324,0.066488
325,0.066201
326,0.064561
327,0.063352
328,0.065208
329,0.086511
330,0.069289
331,0.067451
332,0.063588
333,0.063787
334,0.065705
335,0.064201
336,0.06563
337,0.063348
338,0.06373
339,0.065851
340,0.065612
341,0.06382
342,0.065252
343,0.061594
344,0.062658
345,0.065783
346,0.06856
347,0.065125
348,0.065359
349,0.063959
350,0.0651
351,0.066454
352,0.065337
353,0.06259
354,0.062376
355,0.063823
356,0.064387
357,0.065071
358,0.064712
359,0.063996
360,0.06529
361,0.063076
362,0.06987
363,0.066206
364,0.063836
365,0.064282
366,0.063674
367,0.064036
368,0.066581
369,0.064017
370,0.065048
371,0.063205
372,0.06445
373,0.064207
374,0.067238
375,0.065456
376,0.064731
377,0.062316
378,0.068321
379,0.064397
380,0.066158
381,0.064568
382,0.065753
383,0.06712
384,0.061891
385,0.064996
386,0.067454
387,0.088626
388,0.078823
389,0.067716
390,0.064192
391,0.064666
392,0.070474
393,0.063719
394,0.063091
395,0.064475
396,0.067674
397,0.064411
398,0.06646
399,0.062996
400,0.064508
401,0.064363
402,0.065891
403,0.065107
404,0.063091
405,0.062795
406,0.063754
407,0.066937
408,0.069766
409,0.068092
410,0.065087
411,0.066852
412,0.067413
413,0.065651
414,0.06839
415,0.070294
416,0.067039
417,0.064042
418,0.07903
419,0.067575
420,0.065712
421,0.081235
422,0.067276
423,0.083975
424,0.064358
425,0.065279
426,0.064536
427,0.064038
428,0.067315
429,0.063223
430,0.074369
431,0.066969
432,0.06768
433,0.064844
434,0.078446
435,0.06553
436,0.06333
437,0.065765
438,0.069963
439,0.06556
440,0.06519
441,0.065706
442,0.063004
443,0.064258
444,0.068108
445,0.069355
446,0.068829
447,0.062089
448,0.063541
449,0.062381
450,0.063928
451,0.066731
452,0.063135
453,0.063975
454,0.066845
455,0.063293
456,0.070168
457,0.062732
458,0.062163
459,0.063819
460,0.064798
461,0.062759
462,0.065639
463,0.062835
464,0.064449
465,0.062668
466,0.062629
467,0.067734
468,0.06307
469,0.062875
470,0.065683
471,0.064341
472,0.064359
473,0.064511
474,0.066637
475,0.06285
476,0.06238
477,0.064525
478,0.062746
479,0.066783
480,0.063489
481,0.063
482,0.064518
483,0.064149
484,0.067678
485,0.066084
486,0.062529
487,0.067492
488,0.063166
489,0.062853
490,0.063594
491,0.067112
492,0.06365
493,0.065138
494,0.062411
495,0.06219
496,0.062543
497,0.064918
498,0.062965
499,0.065541
500,0.067456
501,36.036888
