Iteration,IP_CPU_Time(ms)
0,0.0
1,1.252571
2,9.291979
3,3.000282
4,1.452718
5,4.304653
6,2.817894
7,0.550891
8,2.191131
9,8.55058
10,0.724034
11,3.16927
12,2.68454
13,2.074955
14,1.22508
15,1.430901
16,0.649934
17,1.356833
18,2.300992
19,3.411794
20,1.19216
21,2.442505
22,1.541915
23,1.35784
24,1.035463
25,4.355664
26,4.93517
27,0.959397
28,0.894312
29,3.240342
30,0.077622
31,1.245071
32,0.390654
33,1.152043
34,1.363043
35,4.186725
36,4.137493
37,1.402122
38,2.35601
39,0.704497
40,6.220811
41,2.582095
42,0.242299
43,2.664709
44,0.460472
45,5.915758
46,1.432571
47,4.180626
48,1.622992
49,6.922686
50,1.131331
51,0.224271
52,1.141003
53,0.426296
54,0.183649
55,2.329192
56,1.260303
57,2.041801
58,2.908667
59,6.014214
60,2.587666
61,1.193822
62,1.927027
63,2.255029
64,2.914798
65,4.966631
66,3.019607
67,1.434997
68,9.2461
69,8.134224
70,0.546903
71,0.626634
72,2.372113
73,0.361933
74,0.74576
75,7.902152
76,0.270647
77,0.996316
78,0.12231
79,1.018012
80,8.957583
81,5.314166
82,1.144163
83,7.194145
84,1.161377
85,1.090287
86,3.230823
87,0.349701
88,0.628413
89,2.190152
90,9.794562
91,1.15401
92,0.207578
93,0.387327
94,3.230691
95,0.686631
96,2.045018
97,2.74179
98,0.952064
99,0.168384
100,11.719542
101,4.527499
102,8.755868
103,3.373868
104,0.35304
105,4.142641
106,2.013009
107,1.884626
108,1.817258
109,4.45176
110,1.890995
111,0.330642
112,2.724083
113,0.651608
114,8.227843
115,1.36442
116,3.690304
117,0.190257
118,1.525059
119,4.607952
120,2.382747
121,10.11311
122,1.892217
123,4.316599
124,11.012486
125,0.399028
126,1.67769
127,1.130909
128,8.44576
129,7.836609
130,12.357012
131,0.684668
132,0.174021
133,0.554302
134,1.487044
135,2.38694
136,1.105963
137,1.96013
138,3.551021
139,11.000716
140,2.349435
141,7.844806
142,14.024524
143,3.250453
144,14.363309
