Iteration,IP_CPU_Time(ms)
0,0.0
1,0.282352
2,0.28169
3,0.34721
4,0.599272
5,0.083178
6,1.602777
7,0.117638
8,0.603744
9,0.019259
10,1.529774
11,0.010816
12,0.052338
13,0.319521
14,0.193527
15,1.250033
16,0.198891
17,0.649677
18,1.560992
19,0.279576
20,0.082736
21,0.198219
22,0.15323
23,1.18531
24,1.333464
25,0.479379
26,0.457177
27,0.841199
28,0.53783
29,1.120894
30,1.002076
31,0.676622
32,0.450759
33,1.796333
34,0.482385
35,0.686596
36,1.002812
37,0.811907
38,0.843593
39,1.362948
40,0.643889
41,0.257699
42,0.062329
43,1.16939
44,1.946511
45,0.088734
46,1.629629
47,0.602553
48,1.323897
49,0.264248
50,0.908975
51,0.463077
52,0.159746
53,0.745352
54,0.44717
55,0.138611
56,1.360832
57,0.008572
58,0.861233
59,0.071645
60,0.551059
61,0.103188
62,0.587536
63,0.549384
64,0.843767
65,0.142515
66,0.16591
67,0.034755
68,1.344295
69,1.174846
70,0.116639
71,0.023671
72,0.17285
73,1.361254
74,1.195034
75,0.877964
76,0.35601
77,0.907891
78,1.029636
79,0.930654
80,0.661659
81,0.610041
82,1.125547
83,0.79886
84,0.235801
85,0.786609
86,0.798698
87,0.495085
88,0.285569
89,0.757282
90,0.246815
91,1.638385
92,1.553462
93,0.02167
94,0.340594
95,0.299216
96,0.29008
97,1.029665
98,0.123128
99,0.024859
100,0.146483
101,1.277011
102,0.636615
103,0.161631
104,0.159783
105,1.486406
106,1.21886
107,1.137082
108,1.474792
109,0.935908
110,0.137253
111,0.267527
112,2.555869
113,0.081211
114,3.67283
115,0.240705
116,0.165435
117,0.162743
118,0.204198
119,1.544029
120,0.355734
121,0.424976
122,0.52645
123,2.587497
124,0.688828
125,0.136209
126,1.274036
127,0.045479
128,0.301199
129,1.429586
130,0.158965
131,1.509439
132,0.123934
133,0.022487
134,0.596732
135,0.12006
136,0.438275
137,0.343363
138,0.38147
139,0.393628
140,0.092134
141,2.480662
142,0.266771
143,1.947806
144,0.294547
145,0.512928
146,0.058818
147,0.169955
148,1.66261
149,0.098083
150,0.324012
151,0.155485
152,0.254344
153,0.077783
154,0.010769
155,0.522518
156,0.010483
157,0.129572
158,2.456186
159,0.562678
160,1.240581
161,0.780024
162,0.258586
163,0.340335
164,0.668513
165,0.094212
166,0.221442
167,0.340256
168,1.195217
169,0.071613
170,0.676881
171,0.803388
172,0.355688
173,0.414352
174,0.090568
175,0.163012
176,1.059365
177,0.007792
178,0.066174
179,0.195098
180,0.008858
181,0.264194
182,0.91659
183,0.294307
184,0.251632
185,0.491469
186,0.034164
187,0.216452
188,0.138
189,0.098612
190,0.570747
191,0.625478
192,0.297757
193,0.171331
194,0.8885
195,0.078878
196,0.294833
197,0.176049
198,0.832282
199,0.168663
200,1.515867
201,0.583472
202,0.828142
203,0.796046
204,0.202693
205,0.115338
206,0.7354
207,0.665585
208,0.372074
209,1.243395
210,0.811542
211,1.247758
212,1.127762
213,0.008842
214,0.250752
215,0.161412
216,1.973124
217,0.009035
218,0.961671
219,1.188721
220,0.397775
221,1.339197
222,0.058279
223,0.142011
224,0.576863
225,1.430172
226,0.261723
227,1.002867
228,0.597005
229,1.299787
230,0.062692
231,0.133332
232,0.873675
233,0.092856
234,0.42879
235,1.416825
236,0.395055
237,0.109176
238,0.390778
239,0.508094
240,0.150345
241,1.054578
242,0.062989
243,0.827224
244,0.008388
245,0.315548
246,0.123764
247,0.908536
248,0.196699
249,0.211304
250,1.031994
251,0.863298
252,1.166627
253,0.398454
254,1.072124
255,1.442753
256,0.91005
257,0.395323
258,0.681687
259,0.721282
260,1.054029
261,0.370724
262,0.282844
263,0.584201
264,0.382808
265,1.534167
266,0.029655
267,0.116202
268,0.052988
269,0.292168
270,0.61922
271,0.174109
272,0.389665
273,0.130927
274,0.693441
275,0.381159
276,0.586898
277,0.222645
278,0.377576
279,1.484516
280,3.224077
281,0.27165
282,0.382131
283,0.29148
284,0.710259
285,1.726385
286,1.514003
287,0.306696
288,0.549489
289,1.054486
290,0.745849
291,1.311693
292,0.967894
293,1.114559
294,0.02723
295,0.50708
296,0.401456
297,0.099606
298,0.713097
299,0.072259
300,0.052594
301,0.816954
302,0.951232
303,1.88973
304,0.146258
305,0.279049
306,0.380702
307,0.325275
308,0.669695
309,0.053612
310,0.223878
311,0.558674
312,0.414004
313,0.579923
314,0.209047
315,0.419295
316,0.213703
317,0.792316
318,0.441019
319,0.572472
320,0.540521
321,1.106536
322,0.95427
323,2.047433
324,0.457274
325,0.338322
326,0.253774
327,0.444328
328,0.790046
329,0.319781
330,0.537999
331,0.552298
332,0.621751
333,0.163163
334,0.669125
335,0.17969
336,0.090874
337,0.954077
338,0.22423
339,0.169396
340,0.700324
341,0.775015
342,0.691746
343,0.503152
344,2.427283
345,0.69224
346,1.433963
347,0.841602
348,0.047548
349,0.015977
350,0.84949
351,0.672431
352,0.189462
353,0.71288
354,0.09658
355,0.362822
356,0.017795
357,0.129664
358,0.552343
359,1.676391
360,1.330974
361,0.526808
362,0.054291
363,0.933916
364,0.080747
365,0.104408
366,1.301074
367,0.571461
368,0.058759
369,0.679605
370,1.535651
371,0.790109
372,1.163315
373,0.781614
374,0.753616
375,0.87071
376,0.240135
377,0.045204
378,1.085716
379,0.262122
380,1.116661
381,0.514068
382,0.119827
383,0.750061
384,0.161684
385,0.42016
386,0.417621
387,0.038311
388,0.511289
389,0.719859
390,0.700438
391,0.171805
392,0.024444
393,0.227574
394,0.342168
395,2.504072
396,0.885764
397,0.146153
398,0.33146
399,0.28874
400,0.297365
401,0.826312
402,0.864868
403,0.426028
404,0.186508
405,0.037508
406,0.737132
407,1.049648
408,0.645828
409,0.231515
410,0.368466
411,0.958165
412,0.532023
413,0.058401
414,0.029572
415,0.866744
416,0.840658
417,0.774395
418,0.559238
419,0.424039
420,1.619473
421,0.151267
422,0.024541
423,1.221924
424,0.446447
425,0.188281
426,1.219328
427,0.263237
428,0.190812
429,1.226986
430,0.667139
431,0.070557
432,1.000099
433,0.529287
434,0.189141
435,1.816603
436,0.112753
437,0.894813
438,0.447933
439,0.310641
440,0.139457
441,0.72233
442,0.98317
443,1.354048
444,0.850262
445,0.009617
446,0.350824
447,0.150738
448,0.151053
449,1.990467
450,0.345639
451,0.425596
452,0.365426
453,0.134453
454,0.010669
455,0.83542
456,1.018305
457,1.127723
458,1.511338
459,0.032375
460,0.207836
461,0.68513
462,0.256026
463,0.80612
464,0.090013
465,1.618588
466,0.351625
467,1.052692
468,0.135497
