Iteration,IP_CPU_Time(ms)
0,0.0
1,9.595098
2,3.349101
3,0.139255
4,5.965864
5,3.456436
6,1.660393
7,3.388262
8,9.864456
9,2.431631
10,7.536092
11,2.961601
12,0.674893
13,2.160168
14,4.05519
15,2.161264
16,4.19121
17,0.653006
18,1.646869
19,0.91035
20,7.047195
21,2.108595
22,0.490992
23,6.390564
24,4.825005
25,1.155427
26,1.49941
27,4.334471
28,0.74768
29,7.100129
30,1.037305
31,2.150434
32,0.438272
33,8.8667
34,0.943145
35,2.333646
36,2.283334
37,0.203532
38,6.86746
39,11.056127
40,1.347374
41,10.166912
42,0.139106
43,1.510822
44,4.116497
45,2.155058
46,3.524536
47,4.3596
48,3.580682
49,5.269553
50,10.855882
51,0.169751
52,1.635103
53,0.998543
54,0.399307
55,2.343347
56,2.546035
57,15.210168
58,1.899561
59,3.564161
60,0.51998
61,15.34448
62,4.802885
63,2.815221
64,3.743582
65,1.753053
66,1.167468
67,4.0628
68,3.58463
69,5.025769
70,1.471016
71,4.111704
72,2.258658
73,6.354559
74,2.260655
75,0.879826
76,11.951762
77,22.117773
78,0.570692
79,7.554157
80,11.626006
81,0.159908
82,1.867353
83,6.369493
84,17.444367
85,4.067965
86,3.253189
87,10.136275
88,12.833658
89,2.259078
90,0.030855
91,3.425657
92,1.911081
93,0.297933
94,2.072653
95,7.401202
96,9.700049
97,3.041945
98,2.233713
99,0.41825
100,2.625761
101,1.096286
102,9.517203
103,1.264237
104,1.621765
105,18.01191
106,4.413625
107,3.614668
108,3.04478
109,4.658768
110,0.589985
111,12.806655
112,0.146552
113,2.492267
114,1.727478
115,1.79659
116,5.612643
117,1.261231
118,0.107843
119,1.447228
120,1.737647
121,4.918853
122,2.472197
123,0.851982
124,1.782327
125,6.193168
126,0.453627
127,1.715973
128,4.105551
129,8.016434
130,0.125026
131,2.101224
132,0.309224
133,2.501174
134,1.266169
135,0.011761
136,0.84552
137,6.590113
138,1.831039
139,2.647617
140,2.028321
141,0.630699
142,1.111918
143,0.577703
144,2.620986
145,5.181334
146,0.320433
147,11.391943
148,1.672481
149,0.975248
150,9.44182
151,7.813434
152,2.92098
153,3.487955
154,1.042265
155,0.725348
156,3.126939
157,4.21283
158,1.917146
159,0.712193
160,0.629726
161,1.718212
162,2.606381
163,1.075889
164,2.548455
165,2.276769
166,1.497813
167,2.470377
168,0.113426
169,0.758498
170,2.487826
171,1.092421
172,3.480186
173,3.264961
174,2.700289
175,1.771615
176,0.161513
177,0.236462
178,3.84502
179,3.333062
180,0.125685
181,4.529092
182,1.885723
183,1.345263
184,10.14738
185,10.153736
186,5.488071
187,6.455654
188,1.311742
189,2.187638
190,5.487618
191,0.37062
192,5.248274
193,2.78645
194,2.338649
195,1.302367
196,2.269653
197,10.900533
198,1.792515
199,1.020345
200,5.912711
201,3.643018
202,3.200881
203,2.83421
204,4.912236
205,6.636419
206,1.620185
207,2.092389
208,0.310477
209,1.822265
210,2.956367
211,7.50957
212,1.30588
213,0.690384
214,1.210903
215,10.990704
216,6.630766
217,8.381108
218,0.62197
219,0.688198
220,1.474834
221,1.328387
222,0.347916
223,8.373647
224,1.704454
225,3.660305
226,1.915799
227,0.848361
228,2.421378
229,1.901972
230,1.262975
231,0.970469
232,1.060186
233,3.961085
234,8.876898
235,0.530831
236,0.366561
237,1.02061
238,1.885202
239,11.390047
240,2.491115
241,1.176793
242,4.354814
243,0.076477
244,0.117503
245,2.477831
246,7.500389
247,6.822357
248,0.872681
249,0.814685
250,2.670859
251,1.414971
252,2.67211
253,5.386807
254,2.845623
255,7.098827
256,3.840791
257,3.321844
258,0.938553
259,3.810427
260,8.103741
261,2.773828
