Iteration,Itemset_CPU_Time(ms)
1,2.994079
2,0.647316
3,0.658479
4,0.808315
5,0.718762
6,0.592935
7,0.543917
8,0.528217
9,0.692376
10,0.595002
11,0.532338
12,0.481557
13,0.457998
14,0.481713
15,0.449641
16,0.463682
17,0.45186
18,0.452971
19,0.478367
20,0.494207
21,0.649919
22,0.543103
23,0.479904
24,0.465217
25,0.483329
26,0.463053
27,0.471625
28,0.460997
29,0.493171
30,0.45757
31,0.43453
32,0.463198
33,2.753175
34,0.5273
35,0.48582
36,0.62604
37,0.618847
38,0.476253
39,0.405399
40,0.316281
41,0.35536
42,0.390194
43,0.32355
44,0.278787
45,0.281427
46,0.279796
47,0.283382
48,0.217863
49,0.161953
50,0.219346
51,0.192051
52,0.178014
53,0.169157
54,0.162367
55,0.250292
56,0.238773
57,0.231587
58,0.206004
59,0.189951
60,0.180174
61,0.151128
62,0.157273
63,0.143903
64,0.140358
65,0.147229
66,0.177892
67,0.155899
68,0.133165
69,0.14516
70,0.157431
71,0.144099
72,0.146224
73,0.149122
74,0.145081
75,0.140619
76,0.143904
77,0.1484
78,0.187369
79,0.165154
80,0.141898
81,0.143466
82,0.15197
83,0.141556
84,0.141359
85,0.160643
86,0.202459
87,0.184485
88,0.219731
89,0.222717
90,0.221106
91,0.191433
92,0.148808
93,0.153013
94,0.149965
95,0.146338
96,0.141838
97,0.135587
98,0.138066
99,0.142903
100,0.133111
101,0.139607
102,0.145765
103,0.156957
104,0.135748
105,0.152392
106,0.134348
107,0.146219
108,0.13529
109,0.129384
110,0.128535
111,0.112685
112,0.115318
113,0.11738
114,0.115559
115,0.115028
116,0.110348
117,0.112863
118,0.137642
119,0.157256
120,0.160409
121,0.150677
122,0.122487
123,0.112997
124,0.114806
125,0.121669
126,0.101015
127,0.105122
128,0.112675
129,0.106591
130,0.104638
131,0.104777
132,0.101707
133,0.102319
134,0.105976
135,0.101494
136,0.111346
137,0.107143
138,0.101462
139,0.113196
140,0.101149
141,0.109177
142,0.106701
143,0.105394
144,0.108848
145,0.112761
146,0.104703
147,0.103755
148,0.102139
149,0.101357
150,0.124206
151,0.142275
152,0.156636
153,0.143763
154,0.118427
155,0.103253
156,0.114727
157,0.107774
158,0.111312
159,0.105329
160,0.106013
161,0.105173
162,0.120009
163,0.128199
164,0.121286
165,0.105666
166,0.105619
167,0.113902
168,0.125379
169,0.114209
170,0.107918
171,0.10522
172,0.109554
173,0.11374
174,0.112589
175,0.113526
176,0.131303
177,0.136729
178,0.109068
179,0.116692
180,0.187686
181,0.148667
182,0.157473
183,0.151925
184,0.148219
185,0.198731
186,0.106197
187,0.105089
188,0.103189
189,0.10066
190,0.222964
191,0.108498
192,0.106396
193,0.102619
194,0.114247
195,0.244321
196,0.10183
197,0.105615
198,0.099889
199,0.101704
200,0.223969
201,0.106599
202,0.100128
203,0.103793
204,0.104971
205,0.225837
206,0.106357
207,0.115101
208,0.111704
209,0.103898
210,0.22438
211,0.105793
212,0.105045
213,0.113082
214,0.103012
215,0.228089
216,0.108002
217,0.097537
218,0.100899
219,0.109313
220,0.240961
221,0.102955
222,0.246339
223,0.107762
224,0.111191
225,0.23574
226,0.115854
227,0.131574
228,0.306383
229,0.173175
230,0.313999
231,0.145263
232,0.109656
233,0.112658
234,0.198253
235,0.221901
236,0.10163
237,0.120645
238,0.100493
239,0.097888
240,0.293979
241,0.126773
242,0.099635
243,0.107905
244,0.102372
245,0.22245
246,0.165328
247,0.097569
248,0.100385
249,0.103588
250,0.216672
251,0.107582
252,0.149289
253,0.100251
254,0.102042
255,0.215826
256,0.106296
257,0.102944
258,0.153388
259,0.100647
260,0.21647
261,0.099369
262,0.099633
263,0.100116
264,0.135524
265,0.211549
266,0.112638
267,0.098492
268,0.10074
269,0.09778
270,0.230843
271,0.102775
272,0.099035
273,0.097424
274,0.124396
275,0.293189
276,0.167667
277,0.135866
278,0.145538
279,0.110323
280,0.28768
281,0.101616
282,0.103637
283,0.212733
284,0.113619
285,0.236863
286,0.155105
287,0.145067
288,0.143076
289,0.226749
290,0.245607
291,0.134733
292,0.113692
293,0.109195
294,0.105724
