Iteration,Itemset_CPU_Time(ms)
1,0.223534
2,0.041602
3,0.035785
4,0.019536
5,0.01962
6,0.018745
7,0.019078
8,0.019007
9,0.019687
10,0.019372
11,0.019242
12,0.018723
13,0.018394
14,0.019266
15,0.018144
16,0.019151
17,0.018902
18,0.018035
19,0.018309
20,0.018187
21,0.017838
22,0.017857
23,0.01865
24,0.018442
25,0.018041
26,0.022389
27,0.018466
28,0.019172
29,0.018481
30,0.018139
31,0.017936
32,0.017678
33,0.018547
34,0.028283
35,0.023422
36,0.024472
37,0.02475
38,0.026516
39,0.025357
40,0.025818
41,0.025921
42,0.025684
43,0.024125
44,0.025641
45,0.026517
46,0.025779
47,0.028792
48,0.023837
49,0.025542
50,0.024791
51,0.025598
52,0.026148
53,0.02487
54,0.024413
55,0.025264
56,0.025709
57,0.024363
58,0.028426
59,0.025625
60,0.025575
61,0.025105
62,0.024039
63,0.033625
64,0.01761
65,0.023255
66,0.018572
67,0.038221
68,0.018686
69,0.020743
70,0.017707
71,0.017742
72,0.016842
73,0.017125
74,0.018189
75,0.020743
76,0.01709
77,0.017206
78,0.016607
79,0.016688
80,0.015606
81,0.020031
82,0.022415
83,0.022509
84,0.022037
85,0.023006
86,0.020042
87,0.024642
88,0.024008
89,0.026871
90,0.018874
91,0.017024
92,0.017244
93,0.019652
94,0.017175
95,0.018319
96,0.016764
97,0.017265
98,0.01835
99,0.017711
100,0.016893
101,0.016733
102,0.017465
103,0.016292
104,0.017123
105,0.018085
106,0.017405
107,0.018446
108,0.017684
109,0.017171
110,0.018027
111,0.017591
112,0.018257
113,0.016242
114,0.016993
115,0.017375
116,0.017294
117,0.017411
118,0.017905
119,0.016795
120,0.031852
121,0.022183
122,0.020044
123,0.020664
124,0.021799
125,0.02218
126,0.023133
127,0.023158
128,0.020604
129,0.020298
130,0.019991
131,0.017762
132,0.021617
133,0.021914
134,0.025311
135,0.023886
136,0.022065
137,0.034426
138,0.023635
139,0.020605
140,0.022293
141,0.022429
142,0.024325
143,0.023404
144,0.021437
145,0.018189
146,0.020859
147,0.018436
148,0.021718
149,0.021535
150,0.017858
151,0.091504
152,0.019374
153,0.018204
154,0.018601
155,0.018014
156,0.01799
157,0.018829
158,0.017684
159,0.018843
160,0.020519
161,0.023463
162,0.02287
163,0.017984
164,0.017276
165,0.019167
166,0.017567
167,0.017062
168,0.017525
169,0.018163
170,0.017508
171,0.018663
172,0.020833
173,0.017194
174,0.017235
175,0.019722
176,0.022917
177,0.020025
178,0.017995
179,0.018464
180,0.018596
181,0.017951
182,0.017908
183,0.021457
184,0.017516
185,0.017585
186,0.017823
187,0.018537
188,0.017117
189,0.017847
190,0.017534
191,0.017748
192,0.017216
193,0.017201
194,0.017548
195,0.018321
196,0.01774
197,0.017166
198,0.01825
199,0.018044
200,0.018596
201,0.017739
202,0.018363
203,0.017487
204,0.017123
205,0.017419
206,0.018594
207,0.017235
208,0.017654
209,0.018001
210,0.018876
211,0.01759
212,0.018095
213,0.02018
214,0.017495
215,0.017799
216,0.019661
217,0.017917
218,0.017727
219,0.016855
220,0.017938
221,0.017575
222,0.018036
223,0.018328
224,0.017269
225,0.017388
226,0.016812
227,0.021003
228,0.018124
229,0.017515
230,0.016186
231,0.01827
232,0.016455
233,0.017524
234,0.033817
235,0.018917
236,0.01775
237,0.017629
238,0.022116
239,0.017497
240,0.017158
241,0.018054
242,0.017294
243,0.017021
244,0.019115
245,0.017325
246,0.018638
247,0.017288
248,0.017803
249,0.0171
250,0.017305
251,0.018071
252,0.017826
253,0.018647
254,0.017191
255,0.017109
256,0.033399
257,0.018011
258,0.016665
259,0.016368
260,0.016032
261,0.017981
262,0.018082
263,0.017766
264,0.017663
265,0.016933
266,0.017473
267,0.054102
268,0.018213
269,0.016321
270,0.017345
271,0.016576
272,0.017661
273,0.016135
274,0.022816
275,0.027353
276,0.021884
277,0.023309
278,0.023798
279,0.023165
280,0.021384
281,0.024461
282,0.025241
283,0.024996
284,0.02418
285,0.025114
286,0.022625
287,0.02433
288,0.024026
289,0.023986
290,0.026286
291,0.024079
292,0.024379
293,0.025204
294,0.024571
295,0.025582
296,0.024143
297,0.025156
298,0.027374
299,0.024201
300,0.024363
301,0.023647
302,0.024273
303,0.023815
304,0.024687
305,0.024922
306,0.021899
307,0.026283
308,0.023002
309,0.022336
310,0.022468
311,0.023607
312,0.019172
313,0.019854
314,0.022442
315,0.024265
316,0.026766
317,0.022269
318,0.040266
319,0.024812
320,0.018782
321,0.016696
322,0.017451
323,0.017234
324,0.018404
325,0.018006
326,0.017499
327,0.017433
328,0.018754
329,0.016868
330,0.017718
331,0.017328
332,0.017156
333,0.01805
334,0.017388
335,0.018324
336,0.018369
337,0.017676
338,0.019177
339,0.017361
340,0.018838
341,0.017541
342,0.018524
343,0.0173
344,0.016809
345,0.016993
346,0.017596
347,0.017096
348,0.017197
349,0.019703
350,0.019071
351,0.017725
352,0.017259
353,0.016988
354,0.017189
355,0.017695
356,0.017615
357,0.01691
358,0.017016
359,0.016439
360,0.017996
361,0.017378
362,0.017248
363,0.016529
364,0.018364
365,0.017385
366,0.016916
367,0.017008
368,0.017377
369,0.019127
370,0.017184
371,0.017597
372,0.017116
373,0.017465
374,0.017013
375,0.017712
376,0.0178
377,0.017062
378,0.01733
379,0.017443
380,0.018222
381,0.017036
382,0.016916
383,0.017317
384,0.018352
385,0.017048
386,0.017489
387,0.018091
388,0.018177
389,0.017204
390,0.017165
391,0.016801
392,0.017179
393,0.017835
394,0.017687
395,0.017397
396,0.017222
397,0.017097
398,0.017148
399,0.017213
400,0.020359
401,0.016429
402,0.030767
403,0.017233
404,0.018315
405,0.01612
406,0.01795
407,0.016899
408,0.017517
409,0.019353
410,0.01754
411,0.016935
412,0.018278
413,0.016839
414,0.016575
415,0.015971
416,0.017359
417,0.018572
418,0.016953
419,0.017102
420,0.01857
421,0.01876
422,0.017463
423,0.017421
424,0.018293
425,0.017144
426,0.017518
427,0.019269
428,0.017602
429,0.017167
430,0.017168
431,0.020181
432,0.017729
433,0.017469
434,0.016908
435,0.017792
436,0.017257
437,0.017117
438,0.01698
439,0.018583
440,0.017785
441,0.016891
442,0.016864
443,0.016823
444,0.018954
445,0.017895
446,0.017864
447,0.017279
448,0.017055
449,0.017355
450,0.018039
451,0.017096
452,0.017266
453,0.018071
454,0.017491
455,0.017684
456,0.017596
457,0.017571
458,0.017401
459,0.017439
460,0.017228
461,0.016916
462,0.019582
463,0.017424
464,0.016917
465,0.017041
466,0.016208
467,0.017279
468,0.017548
469,0.018052
470,0.019243
471,0.017216
472,0.017349
473,0.017097
474,0.01597
475,0.017302
476,0.018183
477,0.01702
478,0.017343
479,0.016823
480,0.017492
481,0.016862
482,0.017544
483,0.017029
484,0.018694
485,0.025471
486,0.01699
487,0.016039
488,0.015795
489,0.017988
490,0.017091
491,0.017877
492,0.018351
493,0.017182
494,0.017348
495,0.019501
496,0.019018
497,0.01782
498,0.016866
499,0.018311
500,0.017509
501,0.017056
502,0.017069
503,0.017319
504,0.017369
505,0.016432
506,0.016594
507,0.016382
508,0.017909
509,0.017245
510,0.017501
511,0.017805
512,0.017173
513,0.017634
514,0.018563
515,0.016761
516,0.017029
517,0.017108
518,0.017139
519,0.017081
520,0.017229
521,0.018002
522,0.017998
523,0.01702
524,0.017629
525,0.01708
526,0.019052
527,0.016917
528,0.017092
529,0.018712
530,0.017541
531,0.017481
532,0.026774
533,0.021543
534,0.023186
535,0.02255
536,0.021744
537,0.01963
538,0.021897
539,0.017947
540,0.017705
541,0.016923
542,0.017129
543,0.017575
544,0.023432
545,0.020257
546,0.017294
547,0.016817
548,0.01769
549,0.018058
550,0.01786
551,0.018156
552,0.016809
553,0.01598
554,0.016449
555,0.01788
556,0.016115
557,0.021056
558,0.018853
559,0.020559
560,0.016988
561,0.017381
562,0.019146
563,0.024078
564,0.021776
565,0.017657
566,0.018393
567,0.017174
568,0.016958
569,0.032739
570,0.017237
571,0.017169
572,0.017265
573,0.017468
574,0.018912
575,0.017268
576,0.01813
577,0.017382
578,0.017323
579,0.017084
580,0.016987
581,0.019001
582,0.017149
583,0.022547
584,0.01779
585,0.017036
586,0.017524
587,0.017382
588,0.02015
589,0.01665
590,0.016114
591,0.016912
592,0.01909
593,0.017717
594,0.017154
595,0.017166
596,0.01804
597,0.01703
598,0.016777
599,0.018054
600,0.016648
601,0.017094
602,0.021198
603,0.019789
604,0.017111
605,0.017102
606,0.017416
607,0.017142
608,0.017217
609,0.017641
610,0.019233
611,0.018184
612,0.017073
613,0.01741
614,0.015945
615,0.016606
616,0.016519
617,0.016732
618,0.018115
619,0.017499
620,0.017458
621,0.017418
622,0.017353
623,0.01759
624,0.017134
625,0.017636
626,0.016746
627,0.018286
628,0.017771
629,0.017417
630,0.017157
631,0.017259
632,0.017403
633,0.017913
634,0.018903
635,0.017477
636,0.017188
637,0.017487
638,0.017584
639,0.01697
640,0.017713
641,0.017307
642,0.018353
643,0.017428
644,0.017283
645,0.01734
646,0.01856
647,0.017192
648,0.017696
649,0.019866
650,0.021675
651,0.02007
652,0.031578
653,0.020584
654,0.023902
655,0.01627
656,0.018037
657,0.016106
658,0.017542
659,0.017968
660,0.017248
661,0.018546
662,0.017214
663,0.017582
664,0.017065
665,0.017433
666,0.017465
667,0.017738
668,0.019377
669,0.022099
670,0.017556
671,0.017341
672,0.021039
673,0.022471
674,0.020101
675,0.017974
676,0.018464
677,0.017896
678,0.019324
679,0.02038
680,0.031839
681,0.017887
682,0.017731
683,0.018745
684,0.017274
685,0.01649
686,0.018085
687,0.017859
688,0.017488
689,0.016976
690,0.019376
691,0.017584
692,0.01869
693,0.017728
694,0.020795
695,0.019077
696,0.016856
697,0.017662
698,0.018713
699,0.018342
700,0.017533
701,0.01758
702,0.017711
703,0.016726
704,0.017355
705,0.018796
706,0.020769
707,0.016418
708,0.016486
709,0.019029
710,0.020418
711,0.017651
712,0.01831
713,0.017802
714,0.019824
715,0.016737
716,0.017113
717,0.017165
718,0.017344
719,0.017252
720,0.017487
721,0.016061
722,0.019679
723,0.021161
724,0.017557
725,0.017425
726,0.01704
727,0.017424
728,0.018409
729,0.017356
730,0.018954
731,0.019746
732,0.022986
733,0.03116
734,0.020767
735,0.022213
736,0.05279
737,0.024319
738,0.022539
739,0.024106
740,0.024495
741,0.02405
742,0.033451
743,0.023271
744,0.02352
745,0.022905
746,0.024872
747,0.024919
748,0.020168
749,0.020363
750,0.018369
751,0.018083
752,0.017572
753,0.022849
754,0.020592
755,0.019417
756,0.018981
757,0.019348
758,0.019475
759,0.018934
760,0.018945
761,0.018279
762,0.018579
763,0.019495
764,0.019154
765,0.019535
766,0.017433
767,0.018657
768,0.017347
769,0.018038
770,0.017123
771,0.017969
772,0.018765
773,0.020106
774,0.018087
775,0.020009
776,0.018024
777,0.018992
778,0.024208
779,0.023138
780,0.016418
781,0.016135
782,0.018029
783,0.019292
784,0.017759
785,0.018521
786,0.019257
787,0.016534
788,0.016795
789,0.017968
790,0.0176
791,0.018045
792,0.050793
793,0.019354
794,0.019638
795,0.018657
796,0.023017
797,0.023278
798,0.023871
799,0.016806
800,0.018657
801,0.019152
802,0.018698
803,0.018829
804,0.027984
805,0.02042
806,0.017859
807,0.021363
808,0.01834
809,0.019429
810,0.019227
811,0.017648
812,0.018118
813,0.018021
814,0.017355
815,0.018402
816,0.0193
817,0.018114
818,0.018979
819,0.07043
820,0.020059
821,0.020717
822,0.020044
823,0.017536
824,0.018627
825,0.017687
826,0.017554
827,0.017337
828,0.016808
829,0.01619
830,0.016588
831,0.01803
832,0.017019
833,0.018359
834,0.027173
835,0.024672
836,0.020621
837,0.021623
838,0.02413
839,0.020844
840,0.020069
841,0.018707
842,0.01758
843,0.017388
844,0.017844
845,0.017558
846,0.017804
847,0.01955
848,0.017635
849,0.019476
850,0.017761
851,0.019008
852,0.018933
853,0.017904
854,0.021256
855,0.023896
856,0.023146
857,0.0207
858,0.017875
859,0.017623
860,0.018334
861,0.017976
862,0.017636
863,0.017893
864,0.017469
865,0.017583
866,0.020015
867,0.018576
868,0.01766
869,0.018124
870,0.024066
871,0.018564
872,0.019833
873,0.019152
874,0.018869
875,0.017231
876,0.017421
877,0.017388
878,0.018319
879,0.018118
880,0.018021
881,0.019664
882,0.017694
883,0.017965
884,0.017754
885,0.017993
886,0.017995
887,0.017736
888,0.017523
889,0.018921
890,0.017713
891,0.016762
892,0.017817
893,0.017913
894,0.018141
895,0.017317
896,0.016925
897,0.016394
898,0.018313
899,0.016326
900,0.01818
901,0.018394
902,0.018743
903,0.049438
904,0.023187
905,0.02268
906,0.021652
907,0.022724
908,0.022535
909,0.018682
910,0.017624
911,0.018303
912,0.017652
913,0.017339
914,0.017467
915,0.017481
916,0.018597
917,0.016044
918,0.024329
919,0.018139
920,0.017076
921,0.016824
922,0.017255
923,0.018859
924,0.022164
925,0.018194
926,0.017893
927,0.017469
928,0.017641
929,0.01733
930,0.017793
931,0.016328
932,0.016457
933,0.018893
934,0.017822
935,0.017613
936,0.016955
937,0.017103
938,0.016649
939,0.0175
940,0.017156
941,0.018338
942,0.017623
943,0.017238
944,0.023848
945,0.01764
946,0.017797
947,0.017698
948,0.030539
949,0.016955
950,0.017266
951,0.017656
952,0.016969
953,0.017178
954,0.017258
955,0.017635
956,0.018341
957,0.017751
958,0.016666
959,0.020008
960,0.017058
961,0.017254
962,0.017757
963,0.021455
964,0.017641
965,0.018086
966,0.017414
967,0.017104
968,0.017349
969,0.017576
970,0.018064
971,0.017759
972,0.017615
973,0.017269
974,0.017839
975,0.016615
976,0.01749
977,0.017939
978,0.017296
979,0.018006
980,0.01745
981,0.017002
982,0.018585
983,0.017034
984,0.018267
985,0.017231
986,0.017254
987,0.03884
988,0.018665
989,0.017938
990,0.017301
991,0.018541
992,0.017691
993,0.017646
994,0.017175
995,0.017528
996,0.017669
997,0.017802
998,0.017455
999,0.018161
1000,0.017785
