Iteration,Itemset_CPU_Time(ms)
1,0.20796
2,0.035384
3,0.025358
4,0.025059
5,0.022645
6,0.022665
7,0.030324
8,0.031004
9,0.031176
10,0.027615
11,0.030626
12,0.024858
13,0.02414
14,0.021339
15,0.021404
16,0.022583
17,0.021775
18,0.02052
19,0.021106
20,0.024008
21,0.025397
22,0.034691
23,0.029837
24,0.02925
25,0.030336
26,0.043442
27,0.024029
28,0.022556
29,0.021907
30,0.027085
31,0.0285
32,0.028832
33,0.027424
34,0.032295
35,0.028666
36,0.030452
37,0.031003
38,0.030214
39,0.03296
40,0.030124
41,0.031026
42,0.030732
43,0.030055
44,0.032679
45,0.032125
46,0.030569
47,0.031491
48,0.029933
49,0.028933
50,0.039629
51,0.031414
52,0.029268
53,0.031933
54,0.032028
55,0.031119
56,0.029888
57,0.027572
58,0.022579
59,0.02659
60,0.047119
61,0.027131
62,0.037184
63,0.024913
64,0.02488
65,0.021647
66,0.031638
67,0.027067
68,0.037791
69,0.025088
70,0.021873
71,0.020733
72,0.021261
73,0.021181
74,0.021867
75,0.0212
76,0.020486
77,0.022839
78,0.021037
79,0.021178
80,0.023482
81,0.020872
82,0.020862
83,0.021733
84,0.020903
85,0.022027
86,0.021484
87,0.022479
88,0.020946
89,0.020993
90,0.02312
91,0.020581
92,0.021417
93,0.020443
94,0.021598
95,0.021475
96,0.023159
97,0.022098
98,0.023161
99,0.021839
100,0.020931
101,0.020956
102,0.022176
103,0.022567
104,0.021272
105,0.021412
106,0.021761
107,0.021068
108,0.021547
109,0.028728
110,0.025473
111,0.021513
112,0.021985
113,0.020997
114,0.02094
115,0.022475
116,0.026554
117,0.035522
118,0.02083
119,0.023895
120,0.020701
121,0.023337
122,0.020443
123,0.020938
124,0.020326
125,0.021776
126,0.021154
127,0.021242
128,0.022784
129,0.022866
130,0.020237
131,0.021237
132,0.022871
133,0.022417
134,0.022632
135,0.021746
136,0.021344
137,0.021034
138,0.02181
139,0.036542
140,0.02619
141,0.033373
142,0.040353
143,0.021313
144,0.024771
145,0.021319
146,0.024892
147,0.025207
148,0.020449
149,0.021521
150,0.021618
151,0.021132
152,0.021711
153,0.021613
154,0.021672
155,0.021709
156,0.021549
157,0.020926
158,0.021914
159,0.020972
160,0.023594
161,0.020987
162,0.020739
163,0.0207
164,0.022457
165,0.02133
166,0.022737
167,0.025586
168,0.026947
169,0.029747
170,0.027123
171,0.027036
172,0.024008
173,0.021133
174,0.02134
175,0.022117
176,0.024923
177,0.02286
178,0.022629
179,0.023846
180,0.021727
181,0.021467
182,0.020874
183,0.021379
184,0.021882
185,0.023193
186,0.022796
187,0.020912
188,0.021389
189,0.020271
190,0.023223
191,0.021543
192,0.020335
193,0.022607
194,0.026996
195,0.022704
196,0.020464
197,0.021487
198,0.020778
199,0.021949
200,0.020974
201,0.020929
202,0.020422
203,0.021865
204,0.021618
205,0.021211
206,0.021496
207,0.021008
208,0.020128
209,0.020602
210,0.021342
211,0.025277
212,0.022536
213,0.024768
214,0.027038
215,0.02794
216,0.026449
217,0.022717
218,0.020764
219,0.021332
220,0.021216
221,0.02355
222,0.021474
223,0.022881
224,0.021141
225,0.021342
226,0.022386
227,0.021552
228,0.020625
229,0.02245
230,0.021257
231,0.019914
232,0.022191
233,0.020685
234,0.022151
235,0.021143
236,0.022002
237,0.020897
238,0.021928
239,0.021316
240,0.022649
241,0.022284
242,0.022703
243,0.027448
244,0.025866
245,0.027627
246,0.025746
247,0.026927
248,0.027994
249,0.026318
250,0.027425
251,0.027669
252,0.02656
253,0.028619
254,0.028023
255,0.03009
256,0.032067
257,0.027369
258,0.028786
259,0.026996
260,0.027297
261,0.029129
262,0.028712
263,0.028506
264,0.027459
265,0.032623
266,0.032687
267,0.028755
268,0.028441
269,0.028057
270,0.029786
271,0.026736
272,0.028696
273,0.027548
274,0.034598
275,0.031298
276,0.025032
277,0.022679
278,0.02468
279,0.021592
280,0.023143
281,0.02338
282,0.022792
283,0.022256
284,0.02374
285,0.021716
286,0.0243
287,0.022229
288,0.021831
289,0.022764
290,0.021507
291,0.023082
292,0.020424
293,0.023713
294,0.030337
295,0.023453
296,0.022856
297,0.020638
298,0.021119
299,0.022627
300,0.021667
301,0.020188
302,0.021911
303,0.021778
304,0.02011
305,0.021397
306,0.021697
307,0.02078
308,0.021099
309,0.021166
310,0.020514
311,0.020383
312,0.023047
313,0.021395
314,0.02188
315,0.020676
316,0.020826
317,0.020836
318,0.021286
319,0.021135
320,0.023735
321,0.021705
322,0.021463
323,0.021003
324,0.02148
325,0.021533
326,0.021472
327,0.021688
328,0.026305
329,0.027538
330,0.023153
331,0.022719
332,0.021699
333,0.027453
334,0.025228
335,0.022469
336,0.022077
337,0.021324
338,0.023569
339,0.020801
340,0.021446
341,0.02025
342,0.021096
343,0.020804
344,0.022943
345,0.020775
346,0.020574
347,0.023796
348,0.020807
349,0.021586
350,0.02294
351,0.020683
352,0.023843
353,0.022434
354,0.020833
355,0.021569
356,0.022137
357,0.021876
358,0.021235
359,0.021585
360,0.020493
361,0.021911
362,0.021799
363,0.027922
364,0.027141
365,0.028126
366,0.026741
367,0.030502
368,0.026921
369,0.025199
370,0.02486
371,0.022709
372,0.02583
373,0.02488
374,0.02084
375,0.022271
376,0.021784
377,0.021939
378,0.022541
379,0.021628
380,0.02228
381,0.021905
382,0.022773
383,0.020696
384,0.021339
385,0.021349
386,0.020331
387,0.020825
388,0.021155
389,0.022357
390,0.031507
391,0.026829
392,0.025261
393,0.022482
394,0.0227
395,0.023298
396,0.020622
397,0.023185
398,0.021503
399,0.021992
400,0.022659
401,0.022252
402,0.022689
403,0.022275
404,0.020494
405,0.020954
406,0.02116
407,0.021424
408,0.023035
409,0.021366
410,0.022819
411,0.021342
412,0.020864
413,0.021109
414,0.021698
415,0.021622
416,0.02042
417,0.021671
418,0.022636
419,0.020924
420,0.022722
421,0.020225
422,0.021045
423,0.02149
424,0.020706
425,0.020568
426,0.020461
427,0.020802
428,0.020282
429,0.021722
430,0.020596
431,0.02129
432,0.021138
433,0.022399
434,0.021074
435,0.02084
436,0.021207
437,0.020576
438,0.021158
439,0.021575
440,0.02167
441,0.020553
442,0.022004
443,0.020918
444,0.021959
445,0.021166
446,0.021836
447,0.020534
448,0.020793
449,0.020857
450,0.020378
451,0.021932
452,0.02132
453,0.021663
454,0.022242
455,0.024804
456,0.020693
457,0.021407
458,0.022508
459,0.021778
460,0.021595
461,0.020629
462,0.021484
463,0.021382
464,0.021319
465,0.022663
466,0.036185
467,0.022034
468,0.022243
469,0.021353
470,0.021696
471,0.027349
472,0.021957
473,0.020298
474,0.020766
475,0.021153
476,0.020553
477,0.02226
478,0.022415
479,0.022077
480,0.022449
481,0.020654
482,0.021728
483,0.020648
484,0.0217
485,0.020792
486,0.022086
487,0.021217
488,0.022146
489,0.020869
490,0.020772
491,0.021202
492,0.022206
493,0.021344
494,0.022454
495,0.023671
496,0.021669
497,0.021662
498,0.020607
499,0.022061
500,0.020496
501,0.020682
502,0.021749
503,0.021544
504,0.020631
505,0.021014
506,0.020127
507,0.022147
508,0.021271
509,0.020234
510,0.021762
511,0.020233
512,0.022166
513,0.020879
514,0.021563
515,0.021274
516,0.023416
517,0.021304
518,0.021839
519,0.020467
520,0.020733
521,0.020383
522,0.023149
523,0.021053
524,0.022067
525,0.021028
526,0.020977
527,0.020196
528,0.020796
529,0.021453
530,0.021991
531,0.020788
532,0.020442
533,0.021803
534,0.022312
535,0.021498
536,0.021827
537,0.022058
538,0.020961
539,0.020875
540,0.02042
541,0.023108
542,0.020955
543,0.022786
544,0.022366
545,0.021572
546,0.021549
547,0.021216
548,0.022469
549,0.022505
550,0.021648
551,0.021579
552,0.02164
553,0.021658
554,0.022669
555,0.021632
556,0.02089
557,0.022102
558,0.021124
559,0.020894
560,0.023901
561,0.021237
562,0.022518
563,0.021059
564,0.022473
565,0.021332
566,0.020591
567,0.021509
568,0.022028
569,0.021207
570,0.022439
571,0.020961
572,0.021328
573,0.022773
574,0.02084
575,0.021394
576,0.023292
577,0.021093
578,0.021437
579,0.022886
580,0.021403
581,0.022138
582,0.021788
583,0.021397
584,0.022251
585,0.021587
586,0.022169
587,0.023403
588,0.021228
589,0.02152
590,0.0226
591,0.020813
592,0.023348
593,0.02151
594,0.020982
595,0.022067
596,0.022816
597,0.021636
598,0.023102
599,0.021771
600,0.023032
601,0.020971
602,0.021318
603,0.022093
604,0.020723
605,0.024647
606,0.023451
607,0.021255
608,0.020922
609,0.021321
610,0.020859
611,0.021921
612,0.021484
613,0.022179
614,0.023756
615,0.021486
616,0.021933
617,0.030669
618,0.021239
619,0.020535
620,0.022131
621,0.020727
622,0.021894
623,0.022543
624,0.022502
625,0.022264
626,0.02114
627,0.034304
628,0.02156
629,0.020936
630,0.022166
631,0.020909
632,0.020793
633,0.0225
634,0.021882
635,0.021059
636,0.022754
637,0.021007
638,0.020856
639,0.021706
640,0.023221
641,0.021454
642,0.032009
643,0.026647
644,0.027918
645,0.026696
646,0.021647
647,0.022173
648,0.023519
649,0.021229
650,0.022303
651,0.023056
652,0.020735
653,0.022792
654,0.021236
655,0.021806
656,0.022644
657,0.021381
658,0.022145
659,0.021776
660,0.021735
661,0.022766
662,0.021481
663,0.021678
664,0.021905
665,0.022272
666,0.022905
667,0.023406
668,0.021868
669,0.021371
670,0.020921
671,0.020844
672,0.021735
673,0.021367
674,0.022788
675,0.022419
676,0.021334
677,0.021666
678,0.022964
679,0.021542
680,0.022027
681,0.022642
682,0.021725
683,0.0213
684,0.020884
685,0.021646
686,0.020432
687,0.023851
688,0.021314
689,0.02267
690,0.021888
691,0.02108
692,0.022822
693,0.023368
694,0.021055
695,0.021453
696,0.021076
697,0.020606
698,0.022218
699,0.021491
700,0.021521
701,0.022694
702,0.021013
703,0.021056
704,0.022059
705,0.020297
706,0.02208
707,0.021003
708,0.021878
709,0.021098
710,0.022096
711,0.021222
712,0.023676
713,0.020966
714,0.022755
715,0.02131
716,0.021143
717,0.022708
718,0.021306
719,0.023845
720,0.023242
721,0.021049
722,0.021113
723,0.021773
724,0.021589
725,0.023132
726,0.021158
727,0.022341
728,0.022103
729,0.022157
730,0.021247
731,0.021875
732,0.021939
733,0.021199
734,0.020878
735,0.022506
