Iteration,Itemset_CPU_Time(ms)
1,0.061314
2,0.010418
3,0.010377
4,0.010018
5,0.009291
6,0.009722
7,0.009855
8,0.009325
9,0.009818
10,0.009605
11,0.009039
12,0.010076
13,0.00943
14,0.010041
15,0.009386
16,0.009775
17,0.00947
18,0.009506
19,0.009348
20,0.009896
21,0.00964
22,0.009232
23,0.009395
24,0.010018
25,0.009756
26,0.009196
27,0.009059
28,0.009426
29,0.009389
30,0.009706
31,0.009243
32,0.009431
33,0.009386
34,0.009136
35,0.00992
36,0.009454
37,0.009608
38,0.00968
39,0.009146
40,0.009277
41,0.00967
42,0.009744
43,0.009555
44,0.009041
45,0.009383
46,0.009368
47,0.012592
48,0.009643
49,0.009259
50,0.009211
51,0.009449
52,0.0093
53,0.00942
54,0.009285
55,0.009459
56,0.00932
57,0.009422
58,0.009475
59,0.009684
60,0.009725
61,0.009455
62,0.009543
63,0.0092
64,0.009453
65,0.009648
66,0.009319
67,0.009173
68,0.009386
69,0.00958
70,0.009455
71,0.00924
72,0.008918
73,0.009384
74,0.009195
75,0.009509
76,0.009581
77,0.008892
78,0.009365
79,0.009455
80,0.009027
81,0.009022
82,0.009232
83,0.009062
84,0.009259
85,0.009091
86,0.009566
87,0.009499
88,0.00916
89,0.009454
90,0.009754
91,0.009381
92,0.009488
93,0.009404
94,0.009421
95,0.009377
96,0.00927
97,0.009713
98,0.0092
99,0.009468
100,0.009257
101,0.009502
102,0.009582
103,0.009174
104,0.008852
105,0.009441
106,0.009052
107,0.00924
108,0.009526
109,0.009755
110,0.00877
111,0.00973
112,0.009349
113,0.009091
114,0.009632
115,0.009449
116,0.00914
117,0.008873
118,0.009495
119,0.009458
120,0.009453
121,0.009054
122,0.008968
123,0.00971
124,0.009259
125,0.009306
126,0.009549
127,0.009369
128,0.009129
129,0.00923
130,0.009126
131,0.008856
132,0.009393
133,0.008918
134,0.009888
135,0.009311
136,0.009169
137,0.0097
138,0.009317
139,0.00952
140,0.009217
141,0.009604
142,0.009568
143,0.00989
144,0.009389
145,0.009085
146,0.008786
147,0.009334
148,0.009193
149,0.009684
150,0.009903
151,0.009424
152,0.009686
153,0.009088
154,0.021596
155,0.009182
156,0.00968
157,0.00929
158,0.008998
159,0.008976
160,0.009608
161,0.009358
162,0.009413
163,0.009357
164,0.009377
165,0.009285
166,0.009458
167,0.008801
168,0.009431
169,0.009353
170,0.00959
171,0.008975
172,0.008781
173,0.009357
174,0.009598
175,0.008919
176,0.007768
177,0.008157
178,0.007435
179,0.006341
180,0.006453
181,0.006097
182,0.006366
183,0.006174
184,0.006171
185,0.006266
186,0.006346
187,0.006163
188,0.006108
189,0.006264
190,0.010844
191,0.006436
192,0.005658
193,0.006161
194,0.006159
195,0.006108
196,0.006057
197,0.00628
198,0.006245
199,0.005984
200,0.006242
201,0.006065
202,0.005813
203,0.006129
204,0.006183
205,0.006461
206,0.006062
207,0.005992
208,0.006098
209,0.006225
210,0.006113
211,0.006294
212,0.006665
213,0.006099
214,0.006244
215,0.006131
216,0.006365
217,0.006394
218,0.006667
219,0.018056
220,0.008413
221,0.008119
222,0.006121
223,0.006101
224,0.006152
225,0.006363
226,0.006102
227,0.00622
228,0.006194
229,0.00618
230,0.0061
231,0.006069
232,0.006249
233,0.006437
234,0.005958
235,0.007769
236,0.006907
237,0.00885
238,0.008239
239,0.007221
240,0.006184
241,0.006336
242,0.006299
243,0.00616
244,0.005986
245,0.006166
246,0.005759
247,0.006258
248,0.005945
249,0.006394
250,0.006221
251,0.005958
252,0.006042
253,0.006328
254,0.006088
255,0.006141
256,0.006295
257,0.006177
258,0.00607
259,0.00616
260,0.00628
261,0.006269
262,0.006055
263,0.006292
264,0.006008
265,0.006309
266,0.006512
267,0.006087
268,0.005904
269,0.006226
270,0.006319
271,0.006154
272,0.006192
273,0.005995
274,0.006326
275,0.006464
276,0.006307
277,0.006226
278,0.006126
279,0.005845
280,0.006119
281,0.005928
282,0.005793
283,0.006055
284,0.005973
285,0.006233
286,0.005836
287,0.005965
288,0.00594
289,0.012413
290,0.006373
291,0.006225
292,0.005591
293,0.00617
294,0.006305
295,0.006251
296,0.0064
297,0.005925
298,0.006371
299,0.005929
300,0.006319
301,0.006158
302,0.006144
303,0.006477
304,0.00619
305,0.006007
306,0.006228
307,0.006283
308,0.006169
309,0.006367
310,0.006218
311,0.005783
312,0.006407
313,0.006254
314,0.006064
315,0.006334
316,0.006182
317,0.012479
318,0.006303
319,0.006179
320,0.006186
321,0.006156
322,0.005731
323,0.006305
324,0.006165
325,0.006144
326,0.006517
327,0.006137
328,0.005976
329,0.006148
330,0.006354
331,0.006228
332,0.005792
333,0.006238
334,0.00589
335,0.00614
336,0.006242
337,0.006057
338,0.0062
339,0.006131
340,0.006117
341,0.006583
342,0.005977
343,0.00624
344,0.006385
345,0.006236
346,0.006249
347,0.006296
348,0.006113
349,0.00603
350,0.006399
351,0.006339
352,0.006088
353,0.006323
354,0.006082
355,0.006337
356,0.005923
357,0.005808
358,0.005984
359,0.006098
360,0.005958
361,0.006152
362,0.006159
363,0.005957
364,0.006201
365,0.006122
366,0.005782
367,0.006139
368,0.006152
369,0.006147
370,0.006296
371,0.006168
372,0.006156
373,0.006185
374,0.006013
375,0.006107
376,0.007656
377,0.006122
378,0.006407
379,0.006327
380,0.006256
381,0.006226
382,0.006369
383,0.006255
384,0.00576
385,0.006206
386,0.006294
387,0.005961
388,0.006106
389,0.006344
390,0.006286
391,0.005671
392,0.006214
393,0.006263
394,0.00605
395,0.006356
396,0.006211
397,0.006057
398,0.006265
399,0.006084
400,0.006287
401,0.006105
402,0.00612
403,0.006217
404,0.006402
405,0.006153
406,0.006023
407,0.006008
408,0.006146
409,0.005993
410,0.006089
411,0.006084
412,0.006088
413,0.006245
414,0.006165
415,0.006043
416,0.006168
417,0.006121
418,0.006416
419,0.006335
420,0.006274
421,0.006062
422,0.006434
423,0.006424
424,0.005752
425,0.005961
426,0.005946
427,0.00626
428,0.006156
429,0.006076
430,0.0065
431,0.005938
432,0.005987
433,0.006174
434,0.005831
435,0.006363
436,0.006255
437,0.006298
438,0.006272
439,0.00595
440,0.006178
441,0.006567
442,0.00622
443,0.006074
444,0.00618
445,0.006039
446,0.006176
447,0.005968
448,0.006169
449,0.006084
450,0.00626
451,0.006123
452,0.006189
453,0.005771
454,0.006378
455,0.006364
456,0.006136
457,0.006168
458,0.006222
459,0.006302
460,0.006081
461,0.006248
462,0.006202
463,0.006218
464,0.006091
465,0.006271
466,0.006225
467,0.00617
468,0.006248
469,0.006321
470,0.006243
471,0.005849
472,0.005881
473,0.006141
474,0.006328
475,0.006176
476,0.006101
477,0.005898
478,0.006073
479,0.006138
480,0.006039
481,0.005785
482,0.006114
483,0.006018
484,0.006139
485,0.006247
486,0.006176
487,0.006139
488,0.006317
489,0.006281
490,0.00626
491,0.00622
492,0.006248
493,0.006094
494,0.006026
495,0.006192
496,0.005871
497,0.006092
498,0.006223
499,0.006245
500,0.006343
501,0.006072
502,0.006255
503,0.006229
504,0.006291
505,0.006043
506,0.006018
507,0.017115
508,0.006216
509,0.006274
510,0.006073
511,0.006181
512,0.005925
513,0.005943
514,0.005992
515,0.006093
