Iteration,Itemset_CPU_Time(ms)
1,0.076974
2,0.01547
3,0.014233
4,0.018149
5,0.014293
6,0.014398
7,0.013725
8,0.013473
9,0.028561
10,0.013786
11,0.013517
12,0.013761
13,0.013655
14,0.013361
15,0.013853
16,0.013431
17,0.013515
18,0.013357
19,0.016899
20,0.013346
21,0.013984
22,0.014171
23,0.013626
24,0.014015
25,0.013989
26,0.013706
27,0.013621
28,0.013215
29,0.013173
30,0.013375
31,0.01313
32,0.013213
33,0.013641
34,0.013436
35,0.013148
36,0.015786
37,0.014723
38,0.013044
39,0.013221
40,0.013755
41,0.013
42,0.01318
43,0.013515
44,0.013711
45,0.023275
46,0.013424
47,0.014465
48,0.013332
49,0.013527
50,0.012834
51,0.013474
52,0.013269
53,0.013072
54,0.012964
55,0.013061
56,0.013295
57,0.01333
58,0.013407
59,0.012916
60,0.013718
61,0.013766
62,0.012974
63,0.01352
64,0.013183
65,0.013605
66,0.013135
67,0.013469
68,0.013764
69,0.013404
70,0.013491
71,0.01327
72,0.013734
73,0.013379
74,0.013057
75,0.013063
76,0.013201
77,0.013709
78,0.01382
79,0.012878
80,0.013575
81,0.013551
82,0.013897
83,0.013182
84,0.013021
85,0.013501
86,0.013206
87,0.01363
88,0.013705
89,0.013255
90,0.012914
91,0.012853
92,0.013683
93,0.013113
94,0.013231
95,0.013572
96,0.01335
97,0.013205
98,0.013242
99,0.013181
100,0.01322
101,0.013443
102,0.013354
103,0.012906
104,0.01369
105,0.012793
106,0.013315
107,0.013313
108,0.012972
109,0.013589
110,0.013596
111,0.013258
112,0.015877
113,0.01322
114,0.013458
115,0.013441
116,0.012954
117,0.013298
118,0.012863
119,0.013487
120,0.015519
121,0.01359
122,0.013359
123,0.013742
124,0.01629
125,0.019297
126,0.015339
127,0.01762
128,0.015845
129,0.018325
130,0.015933
131,0.017154
132,0.017282
133,0.017019
134,0.016846
135,0.017191
136,0.018915
137,0.0172
138,0.016785
139,0.017661
140,0.016997
141,0.017552
142,0.016738
143,0.017116
144,0.0178
145,0.017344
146,0.018093
147,0.017496
148,0.017389
149,0.017782
150,0.017792
151,0.018101
152,0.017578
153,0.017475
154,0.018503
155,0.017142
156,0.017415
157,0.016608
158,0.017117
159,0.017752
160,0.017227
161,0.017308
162,0.017412
163,0.017482
164,0.017749
165,0.017335
166,0.017367
167,0.017537
168,0.017256
169,0.016129
170,0.017171
171,0.01505
172,0.015878
173,0.016368
174,0.017145
175,0.017599
176,0.016165
177,0.016306
178,0.016395
179,0.017022
180,0.019255
181,0.017977
182,0.0189
183,0.017743
184,0.018911
185,0.019931
186,0.019356
187,0.019192
188,0.019625
189,0.024095
190,0.019449
191,0.019018
192,0.018406
193,0.019129
194,0.0191
195,0.019224
196,0.019708
197,0.01801
198,0.019515
199,0.019006
200,0.019213
201,0.019294
202,0.018937
203,0.01921
204,0.018679
205,0.01907
206,0.018322
207,0.019712
208,0.017864
209,0.019798
210,0.016844
211,0.015962
212,0.016664
213,0.016589
214,0.01746
215,0.018775
216,0.017398
217,0.016464
218,0.016235
219,0.016634
220,0.016907
221,0.016357
222,0.016031
223,0.016927
224,0.016256
225,0.018091
226,0.017183
227,0.017512
228,0.016329
229,0.017435
230,0.017871
231,0.013526
232,0.014028
233,0.013923
234,0.013223
235,0.013586
236,0.013729
237,0.014097
238,0.015634
239,0.014789
240,0.01481
241,0.014036
242,0.01367
243,0.015344
244,0.017364
245,0.017074
246,0.017637
247,0.017466
248,0.019148
249,0.020305
250,0.01689
251,0.013776
252,0.014343
253,0.012714
254,0.014487
255,0.014963
256,0.01464
257,0.014534
258,0.013811
259,0.013307
260,0.01485
261,0.014368
262,0.014577
263,0.014794
264,0.015427
265,0.013558
266,0.016153
267,0.017575
268,0.014868
269,0.014337
270,0.015929
271,0.014135
272,0.013449
273,0.014432
274,0.013298
275,0.013223
276,0.015438
277,0.015765
278,0.017376
279,0.014233
280,0.013663
281,0.013592
282,0.013386
283,0.01345
284,0.013402
285,0.013234
286,0.01348
287,0.01331
288,0.013641
289,0.013721
290,0.013888
291,0.013223
292,0.013562
293,0.01332
294,0.013445
295,0.013929
296,0.014349
297,0.013333
298,0.0138
299,0.013475
300,0.013059
301,0.01358
302,0.013299
303,0.013296
304,0.013294
305,0.013989
306,0.019067
307,0.013539
308,0.014016
309,0.014138
310,0.013991
311,0.013523
312,0.013927
313,0.013251
314,0.013209
315,0.013702
316,0.013247
317,0.013434
318,0.01368
319,0.013682
320,0.013404
321,0.013685
322,0.013363
323,0.014018
324,0.013525
325,0.013565
326,0.013233
327,0.013874
328,0.013403
329,0.013683
330,0.013706
331,0.013113
332,0.013386
333,0.013693
334,0.013891
335,0.013633
336,0.013386
337,0.013347
338,0.013482
339,0.013477
340,0.013416
341,0.013921
342,0.013435
343,0.013351
344,0.013699
345,0.013003
346,0.013853
347,0.013605
348,0.013553
349,0.013904
350,0.013389
351,0.01333
352,0.014043
353,0.013339
354,0.013504
355,0.013215
356,0.013209
357,0.012936
358,0.013281
359,0.013205
360,0.01329
361,0.013637
362,0.013229
363,0.013772
364,0.0135
365,0.013638
366,0.013843
367,0.013543
368,0.013173
369,0.01367
370,0.013681
371,0.013599
372,0.012958
373,0.014019
374,0.013524
375,0.013543
376,0.013443
377,0.013606
378,0.013358
379,0.013508
380,0.013406
381,0.014322
382,0.01376
383,0.01367
384,0.013465
385,0.013675
386,0.013239
387,0.013635
388,0.013544
389,0.013468
390,0.013754
391,0.013136
392,0.013788
393,0.013324
394,0.013593
395,0.013014
396,0.013422
397,0.013822
398,0.013582
399,0.01338
400,0.01306
401,0.013408
402,0.013889
403,0.013577
404,0.013237
405,0.013507
406,0.013704
407,0.0132
408,0.013352
409,0.013092
410,0.01339
411,0.013106
412,0.013484
413,0.013557
414,0.013494
415,0.013835
416,0.013934
417,0.01357
418,0.01368
419,0.013385
420,0.013752
421,0.013605
422,0.013438
423,0.013559
424,0.01312
425,0.013427
426,0.013266
427,0.013389
428,0.013486
429,0.013318
430,0.013203
431,0.012859
432,0.013519
433,0.013301
434,0.013289
435,0.013742
436,0.013007
437,0.01377
438,0.014733
439,0.01377
440,0.013676
441,0.013936
442,0.013575
443,0.013964
444,0.013493
445,0.014058
446,0.013542
447,0.013663
448,0.013876
449,0.014347
450,0.013706
451,0.01372
452,0.013854
453,0.01453
454,0.013855
455,0.014421
456,0.023645
457,0.015143
458,0.01385
459,0.016119
460,0.013842
461,0.014324
462,0.013664
463,0.014066
464,0.01379
465,0.014351
466,0.01412
467,0.013476
468,0.013974
469,0.013499
470,0.013803
471,0.013834
472,0.013991
473,0.013744
474,0.01382
475,0.014044
476,0.013981
477,0.013698
478,0.013492
479,0.014053
480,0.014205
481,0.013913
482,0.01329
483,0.014082
484,0.013962
485,0.013457
486,0.014132
487,0.013763
488,0.013071
489,0.013621
490,0.013858
491,0.01342
492,0.013376
493,0.013101
494,0.013933
495,0.014497
496,0.013708
497,0.013892
498,0.014057
499,0.014139
500,0.014184
501,0.014061
502,0.013806
503,0.013994
504,0.014253
505,0.013683
506,0.013943
507,0.013621
508,0.013827
509,0.014254
510,0.01392
511,0.013721
512,0.01434
513,0.013747
514,0.014157
515,0.013795
516,0.014304
517,0.013371
518,0.013604
519,0.013811
520,0.014074
521,0.014138
522,0.014584
523,0.013914
524,0.013844
525,0.014239
526,0.013248
527,0.013779
528,0.013866
529,0.013472
530,0.01384
531,0.013554
532,0.013572
533,0.013444
534,0.013814
535,0.013847
536,0.013933
537,0.013958
538,0.013802
539,0.013688
540,0.014067
541,0.013202
542,0.013552
543,0.013537
544,0.013623
545,0.013303
546,0.013873
547,0.014122
548,0.013767
549,0.01384
550,0.014099
551,0.013596
552,0.013768
553,0.0138
554,0.013944
555,0.013743
556,0.013738
557,0.013359
558,0.014147
559,0.013981
560,0.013213
561,0.013982
562,0.013914
563,0.013764
564,0.013881
565,0.013661
566,0.013722
567,0.013845
568,0.014224
569,0.01366
570,0.013838
571,0.013822
572,0.013567
573,0.0138
574,0.013515
575,0.01381
576,0.013956
577,0.013584
578,0.0135
579,0.013692
580,0.014315
581,0.01329
582,0.013661
583,0.013358
584,0.013889
585,0.013448
586,0.013617
587,0.013898
588,0.013402
589,0.01377
590,0.013556
591,0.013641
592,0.014042
593,0.013888
594,0.013579
595,0.014153
596,0.013532
597,0.013194
598,0.013875
599,0.01384
600,0.014299
601,0.013563
602,0.013979
603,0.013446
604,0.014017
605,0.013614
606,0.013746
607,0.013696
608,0.013795
609,0.013929
610,0.013767
611,0.01402
612,0.01393
613,0.014087
614,0.013923
615,0.013885
616,0.013661
617,0.013549
618,0.013637
619,0.015668
620,0.017234
621,0.01678
622,0.016016
623,0.013698
624,0.013582
625,0.013998
626,0.013592
627,0.013441
628,0.014161
629,0.01375
630,0.014162
631,0.013381
632,0.013536
633,0.013813
634,0.013458
635,0.013316
636,0.013524
637,0.013616
638,0.013317
639,0.013682
640,0.014063
641,0.016286
642,0.014249
643,0.014528
644,0.014732
645,0.014689
646,0.013844
647,0.014131
648,0.01437
649,0.014377
650,0.01443
651,0.014151
652,0.014148
653,0.014701
654,0.014445
655,0.014525
656,0.01414
657,0.013836
658,0.014192
659,0.013877
660,0.013964
661,0.014298
662,0.014186
663,0.014213
664,0.019851
665,0.014234
666,0.013933
667,0.014188
668,0.014031
669,0.013728
670,0.014386
671,0.013772
672,0.013819
673,0.013871
674,0.013947
675,0.014519
676,0.014517
677,0.014516
678,0.014528
679,0.014356
680,0.01451
681,0.014405
682,0.013795
683,0.014571
684,0.014237
685,0.014325
686,0.014533
687,0.014217
688,0.014272
689,0.01384
690,0.014053
691,0.014436
692,0.013929
693,0.014642
694,0.014115
695,0.014606
696,0.014524
697,0.014244
698,0.014438
699,0.014073
700,0.014073
701,0.014069
702,0.013898
703,0.014385
704,0.014349
705,0.014499
706,0.014502
707,0.014214
708,0.014525
709,0.016189
710,0.014239
711,0.014647
712,0.014222
713,0.013825
714,0.014578
715,0.014322
716,0.014801
717,0.013613
718,0.014193
719,0.014439
720,0.014052
721,0.014338
722,0.014514
723,0.014218
724,0.014055
725,0.013306
726,0.013907
727,0.014409
728,0.014745
729,0.01431
730,0.025178
731,0.018293
732,0.01426
733,0.014326
734,0.014334
735,0.014437
736,0.014375
737,0.015107
738,0.017134
739,0.017284
740,0.013837
741,0.014917
742,0.014897
743,0.014666
744,0.014272
745,0.014687
746,0.01411
747,0.013748
748,0.013831
749,0.014461
750,0.014258
751,0.014275
752,0.014286
753,0.013755
754,0.014312
755,0.014078
756,0.014554
757,0.014088
758,0.014216
759,0.014166
760,0.014034
761,0.014082
762,0.014107
763,0.013888
764,0.01447
765,0.014308
766,0.014387
767,0.014418
768,0.013966
769,0.013984
770,0.014397
771,0.014334
772,0.014067
773,0.014722
774,0.013906
775,0.014119
776,0.013965
777,0.014242
778,0.014617
779,0.013846
780,0.014106
781,0.014262
782,0.014143
783,0.014349
784,0.014047
785,0.014063
786,0.014009
787,0.013707
788,0.014238
789,0.01369
790,0.014315
791,0.013896
792,0.014441
793,0.014254
794,0.014821
795,0.017109
796,0.014198
797,0.013877
798,0.014236
799,0.013279
800,0.013555
801,0.013717
802,0.014519
803,0.014112
804,0.014385
805,0.014293
806,0.014182
807,0.014087
808,0.014098
809,0.013951
810,0.014207
811,0.014105
812,0.014175
813,0.013465
814,0.013899
815,0.013705
816,0.013873
817,0.014207
818,0.014229
819,0.014055
820,0.014218
821,0.014179
822,0.014394
823,0.014285
824,0.014246
825,0.014636
826,0.014137
827,0.0146
828,0.014117
829,0.01389
830,0.013887
831,0.014016
832,0.013849
833,0.014502
834,0.014076
835,0.013682
836,0.013582
837,0.013911
838,0.013503
839,0.01416
840,0.014258
841,0.0143
842,0.014365
843,0.014315
844,0.014063
845,0.013508
846,0.014227
847,0.014484
848,0.014231
849,0.014157
850,0.014847
851,0.013466
852,0.014354
853,0.014362
854,0.014401
855,0.014393
856,0.014133
857,0.014125
858,0.014405
859,0.01474
860,0.014219
861,0.014596
862,0.014495
863,0.014343
864,0.013673
865,0.014187
866,0.014114
867,0.014769
868,0.014357
869,0.013508
870,0.014439
871,0.014
872,0.014226
873,0.014308
874,0.014149
875,0.014174
876,0.013456
877,0.014166
878,0.014086
879,0.01472
880,0.013915
881,0.014156
882,0.014388
883,0.014041
884,0.014263
885,0.014298
886,0.014205
887,0.013508
888,0.014336
889,0.013961
890,0.014184
891,0.01411
892,0.014192
893,0.014045
894,0.014215
895,0.014358
896,0.015375
897,0.013833
898,0.014149
899,0.014111
900,0.013883
901,0.014022
902,0.014441
903,0.013942
904,0.013965
905,0.014321
906,0.014721
907,0.014084
908,0.014343
909,0.013376
910,0.014283
911,0.014166
912,0.013905
913,0.013844
914,0.014184
915,0.013772
916,0.014089
917,0.013759
918,0.0142
919,0.014344
920,0.014681
921,0.013517
922,0.014299
923,0.013784
924,0.014138
925,0.014042
926,0.014411
927,0.014458
928,0.013804
929,0.013973
930,0.013873
931,0.014886
932,0.013719
933,0.014184
934,0.0147
935,0.014473
936,0.013918
937,0.01342
938,0.014238
939,0.014285
940,0.013964
941,0.014073
942,0.014297
943,0.014136
944,0.0145
945,0.013988
946,0.013804
947,0.014089
948,0.014275
949,0.013422
950,0.01426
951,0.014017
952,0.013973
953,0.014191
954,0.01425
955,0.014393
956,0.013712
957,0.013886
958,0.014078
959,0.013948
960,0.015908
961,0.015974
962,0.014373
963,0.014213
964,0.013967
965,0.014293
966,0.013943
967,0.014435
968,0.014124
969,0.013622
970,0.014387
971,0.013806
972,0.013637
973,0.014435
974,0.014698
975,0.014397
976,0.014681
977,0.014177
978,0.013891
979,0.014194
980,0.01437
981,0.014245
982,0.014611
983,0.013888
984,0.014547
985,0.014161
986,0.013847
987,0.01429
988,0.014314
989,0.013927
990,0.014231
991,0.014679
992,0.014549
993,0.013913
994,0.013565
995,0.01393
996,0.014228
997,0.014264
998,0.01421
999,0.014448
1000,0.01426
