Iteration,Itemset_CPU_Time(ms)
1,0.046014
2,0.007562
3,0.006849
4,0.006512
5,0.007174
6,0.006288
7,0.006723
8,0.007046
9,0.006707
10,0.006949
11,0.006572
12,0.007075
13,0.006973
14,0.006545
15,0.007167
16,0.006424
17,0.006535
18,0.006951
19,0.006548
20,0.00633
21,0.006433
22,0.006591
23,0.006973
24,0.005999
25,0.006358
26,0.006485
27,0.006426
28,0.006569
29,0.00622
30,0.006333
31,0.006532
32,0.007293
33,0.00665
34,0.006429
35,0.006753
36,0.006566
37,0.006811
38,0.006606
39,0.006327
40,0.006527
41,0.006369
42,0.006908
43,0.006713
44,0.006288
45,0.006666
46,0.006654
47,0.00644
48,0.006424
49,0.006421
50,0.006709
51,0.005983
52,0.006401
53,0.006163
54,0.006794
55,0.006529
56,0.006604
57,0.006732
58,0.006192
59,0.006823
60,0.006667
61,0.006379
62,0.00635
63,0.006426
64,0.006376
65,0.006542
66,0.006748
67,0.006148
68,0.006502
69,0.006573
70,0.006295
71,0.006831
72,0.006415
73,0.006628
74,0.006367
75,0.006621
76,0.006141
77,0.006407
78,0.006321
79,0.006463
80,0.006552
81,0.006245
82,0.006764
83,0.006579
84,0.006544
85,0.01462
86,0.006332
87,0.006897
88,0.00657
89,0.006224
90,0.006575
91,0.006714
92,0.006069
93,0.009547
94,0.005601
95,0.006626
96,0.006517
97,0.006173
98,0.006467
99,0.006336
100,0.006951
101,0.006603
102,0.0066
103,0.006544
104,0.006341
105,0.006758
106,0.006407
107,0.006253
108,0.006044
109,0.006369
110,0.006182
111,0.006786
112,0.006298
113,0.006565
114,0.005898
115,0.006687
116,0.006245
117,0.006513
118,0.006281
119,0.006418
120,0.006124
121,0.006348
122,0.006404
123,0.00664
124,0.006716
125,0.006181
126,0.00647
127,0.006164
128,0.006441
129,0.005929
130,0.006882
131,0.006477
132,0.006613
133,0.006069
134,0.0064
135,0.006262
136,0.006675
137,0.006587
138,0.00672
139,0.0064
140,0.006536
141,0.006527
142,0.006393
143,0.006797
144,0.006578
145,0.006756
146,0.006024
147,0.006604
148,0.006453
149,0.006462
150,0.006345
151,0.006393
152,0.006529
153,0.006556
154,0.006526
155,0.006053
156,0.006434
157,0.006415
158,0.006532
159,0.005873
160,0.006468
161,0.006184
162,0.006288
163,0.006598
164,0.006459
165,0.006645
166,0.006443
167,0.006666
168,0.005963
169,0.006264
170,0.006399
171,0.00623
172,0.00621
173,0.006428
174,0.006645
175,0.006255
176,0.006188
177,0.006757
178,0.006614
179,0.006489
180,0.006195
181,0.006666
182,0.006204
183,0.006636
184,0.00597
185,0.00634
186,0.00672
187,0.006278
188,0.006352
189,0.006426
190,0.0062
191,0.006426
192,0.006507
193,0.006227
194,0.006314
195,0.00616
196,0.006409
197,0.006174
198,0.00626
199,0.006471
200,0.006424
201,0.006206
202,0.006286
203,0.006597
204,0.006318
205,0.006465
206,0.006784
207,0.006366
208,0.006385
209,0.006485
210,0.006567
211,0.006639
212,0.006171
213,0.006774
214,0.006313
215,0.006846
216,0.006475
217,0.00602
218,0.006236
219,0.006537
220,0.006918
221,0.006534
222,0.006837
223,0.006136
224,0.006181
225,0.006463
226,0.006857
227,0.006078
228,0.006463
229,0.005891
230,0.006441
231,0.00633
232,0.006453
233,0.006352
234,0.006111
235,0.006036
236,0.006184
237,0.006322
238,0.006641
239,0.006689
240,0.006292
241,0.006424
242,0.006482
243,0.006206
244,0.006364
245,0.006317
246,0.006544
247,0.008208
248,0.006631
249,0.006198
250,0.006432
251,0.006482
252,0.006318
253,0.006567
254,0.00632
255,0.006412
256,0.006555
257,0.006656
258,0.006147
259,0.006236
260,0.006133
261,0.006408
262,0.006678
263,0.006186
264,0.006397
265,0.006386
266,0.00628
267,0.006011
268,0.006266
269,0.005834
270,0.006204
271,0.00691
272,0.006588
273,0.006238
274,0.006659
275,0.006424
276,0.006382
277,0.006323
278,0.006247
279,0.006593
280,0.006334
281,0.00654
282,0.006309
283,0.006208
284,0.014175
285,0.00668
286,0.019157
287,0.006242
288,0.006335
289,0.005872
290,0.005952
291,0.005909
292,0.006693
293,0.006378
294,0.006028
295,0.006538
296,0.006347
297,0.006404
298,0.006584
299,0.006405
300,0.006135
301,0.006478
302,0.00634
303,0.006173
304,0.00648
305,0.006591
306,0.006104
307,0.006386
308,0.006559
309,0.00648
310,0.006103
311,0.006536
312,0.006235
313,0.006548
314,0.006123
315,0.006586
316,0.006036
317,0.006913
318,0.006342
319,0.006478
320,0.006035
321,0.006177
322,0.006207
323,0.006567
324,0.006449
325,0.00645
326,0.006306
327,0.006198
328,0.006328
329,0.006162
330,0.006422
331,0.00621
332,0.00637
333,0.006618
334,0.006492
335,0.006342
336,0.006637
337,0.006037
338,0.006434
339,0.006749
340,0.006419
341,0.006169
342,0.006451
343,0.006464
344,0.006282
345,0.006284
346,0.006383
347,0.00648
348,0.006626
349,0.006461
350,0.006445
351,0.006701
352,0.006267
353,0.00615
354,0.006325
355,0.00623
356,0.006495
357,0.006115
358,0.006526
359,0.006404
360,0.006288
361,0.006505
362,0.006314
363,0.006576
364,0.006415
365,0.006404
366,0.006077
367,0.00627
368,0.006909
369,0.00604
370,0.006184
371,0.00629
372,0.00665
373,0.005954
374,0.006578
375,0.006552
376,0.006444
377,0.006777
378,0.00638
379,0.006371
380,0.006446
381,0.006499
382,0.006598
383,0.006558
384,0.006699
385,0.006337
386,0.00638
387,0.006586
388,0.006396
389,0.006572
390,0.006006
391,0.006234
