Iteration,Itemset_CPU_Time(ms)
1,0.181322
2,0.060315
3,0.038421
4,0.019182
5,0.022564
6,0.023004
7,0.02496
8,0.022237
9,0.023302
10,0.02022
11,0.019873
12,0.02201
13,0.026887
14,0.024246
15,0.019613
16,0.025349
17,0.018536
18,0.024061
19,0.019949
20,0.020431
21,0.026077
22,0.020148
23,0.031433
24,0.025522
25,0.025229
26,0.015014
27,0.018813
28,0.019888
29,0.020948
30,0.021347
31,0.031144
32,0.017386
33,0.023037
34,0.018674
35,0.020275
36,0.017552
37,0.020026
38,0.017801
39,0.02017
40,0.023484
41,0.016049
42,0.01642
43,0.018564
44,0.022478
45,0.020602
46,0.021909
47,0.017726
48,0.020035
49,0.01958
50,0.017003
51,0.018544
52,0.02444
53,0.020324
54,0.020811
55,0.022891
56,0.020287
57,0.021364
58,0.019979
59,0.016033
60,0.023187
61,0.020948
62,0.019284
63,0.019728
64,0.016727
65,0.021705
66,0.018669
67,0.019735
68,0.048221
69,0.022659
70,0.019819
71,0.013324
72,0.055102
73,0.030928
74,0.02464
75,0.021282
76,0.022711
77,0.028663
78,0.023011
79,0.025812
80,0.018519
81,0.021916
82,0.019705
83,0.023161
84,0.018572
85,0.019497
86,0.01935
87,0.026988
88,0.020862
89,0.020875
90,0.020592
91,0.018896
92,0.020387
93,0.02137
94,0.018484
95,0.015176
96,0.017133
97,0.015974
98,0.023461
99,0.04066
100,0.021678
101,0.020725
102,0.019619
103,0.01562
104,0.025178
105,0.021137
106,0.021235
107,0.020127
108,0.018658
109,0.021289
110,0.019685
111,0.019097
112,0.016306
113,0.019842
114,0.017454
115,0.021613
116,0.024073
117,0.02587
118,0.02068
119,0.021734
120,0.022973
121,0.017558
122,0.021652
123,0.022351
124,0.022154
125,0.017773
126,0.018167
127,0.020654
128,0.023678
129,0.020485
130,0.019124
131,0.017301
132,0.021547
133,0.022417
134,0.024161
135,0.018618
136,0.016721
137,0.019377
138,0.017789
139,0.018214
140,0.017071
141,0.023276
142,0.022259
143,0.022166
144,0.013762
145,0.018295
146,0.015648
147,0.016274
148,0.022039
149,0.023166
150,0.020355
151,0.020085
152,0.021627
153,0.023141
154,0.023402
155,0.019959
156,0.021266
157,0.01982
158,0.018412
159,0.017101
160,0.021633
161,0.020488
162,0.019564
163,0.017565
164,0.019735
165,0.022116
166,0.016579
167,0.021817
168,0.023522
169,0.01815
170,0.020966
171,0.02196
172,0.018502
173,0.022583
174,0.022827
175,0.013405
176,0.012186
177,0.018552
178,0.016738
179,0.020269
180,0.021675
181,0.015341
182,0.019843
183,0.018586
184,0.02153
185,0.022461
186,0.027256
187,0.018483
188,0.021032
189,0.022071
190,0.018456
191,0.028942
192,0.014015
193,0.018634
194,0.010473
195,0.026585
196,0.019783
197,0.016184
198,0.018479
199,0.03052
200,0.014545
201,0.016816
202,0.015489
203,0.019027
204,0.018363
205,0.019643
206,0.02213
207,0.016677
208,0.018232
209,0.023073
210,0.015828
211,0.033614
212,0.016989
213,0.017887
214,0.016501
215,0.015869
216,0.016906
217,0.017152
218,0.018086
219,0.019511
220,0.021055
221,0.020775
222,0.019239
223,0.019921
224,0.014727
225,0.020765
226,0.019149
227,0.021696
228,0.016268
229,0.017106
230,0.018971
231,0.018296
232,0.038094
233,0.022514
234,0.02115
235,0.019439
236,0.016879
237,0.022229
238,0.020615
239,0.023028
240,0.022684
241,0.022331
242,0.021012
243,0.016861
244,0.019281
245,0.021634
246,0.02106
247,0.017388
248,0.019756
249,0.022069
250,0.021529
251,0.018373
252,0.01838
253,0.018123
254,0.01908
255,0.019313
256,0.019917
257,0.015001
258,0.018777
259,0.015906
260,0.017347
261,0.020662
262,0.020574
263,0.021859
264,0.024083
265,0.020163
266,0.021061
267,0.011813
268,0.012153
269,0.018216
270,0.016677
271,0.017321
272,0.019178
273,0.020279
274,0.015477
275,0.021363
276,0.016359
277,0.018624
278,0.018013
279,0.021399
280,0.019109
281,0.018802
282,0.016336
283,0.010951
284,0.025782
285,0.017062
286,0.013402
287,0.014352
288,0.020064
289,0.016218
290,0.015968
291,0.018078
292,0.026044
293,0.01972
294,0.019649
295,0.016824
296,0.019718
297,0.020062
298,0.018835
299,0.019777
300,0.015056
301,0.022164
302,0.019972
303,0.021924
304,0.017242
305,0.017532
306,0.021209
307,0.019881
308,0.017899
309,0.020105
310,0.018444
311,0.019357
312,0.017791
313,0.017155
314,0.017104
315,0.018658
316,0.013905
317,0.017434
318,0.019047
319,0.017566
320,0.020752
321,0.027939
322,0.018482
323,0.018097
324,0.018937
325,0.022524
326,0.018364
327,0.019472
328,0.017735
329,0.020961
330,0.018827
331,0.023068
332,0.020374
333,0.015842
334,0.016826
335,0.016828
336,0.017281
337,0.017227
338,0.01742
339,0.014576
340,0.01977
341,0.017073
342,0.017148
343,0.019289
344,0.020174
345,0.019922
346,0.016189
347,0.024147
348,0.018261
349,0.01818
350,0.017874
351,0.020366
352,0.018364
353,0.018633
354,0.018605
355,0.01927
356,0.014948
357,0.021295
358,0.018627
359,0.01701
360,0.023501
361,0.021005
362,0.018749
363,0.01643
364,0.012186
365,0.023363
366,0.018388
367,0.018194
368,0.016883
369,0.016205
370,0.016595
371,0.019323
372,0.013975
373,0.019521
374,0.016637
375,0.011577
376,0.02301
377,0.017639
378,0.022186
379,0.013987
380,0.018387
381,0.017444
382,0.018437
383,0.016523
384,0.017885
385,0.019471
386,0.019815
387,0.014793
388,0.017164
389,0.018685
390,0.019024
391,0.015865
392,0.014712
393,0.014838
394,0.016625
395,0.012073
396,0.018337
397,0.01859
398,0.019624
399,0.018182
400,0.018944
401,0.01743
402,0.037531
403,0.017148
404,0.017665
405,0.013935
406,0.017273
407,0.01582
408,0.014528
409,0.012187
410,0.013245
411,0.016589
412,0.012725
413,0.021261
414,0.01279
415,0.015321
416,0.013464
417,0.01365
418,0.011313
419,0.011462
420,0.015707
421,0.015456
422,0.014402
423,0.015439
424,0.011245
425,0.015222
426,0.012408
427,0.017079
428,0.012296
429,0.012685
430,0.014476
431,0.010428
432,0.013106
433,0.011732
434,0.009474
435,0.014123
436,0.012371
437,0.010547
438,0.011863
439,0.012257
440,0.012209
441,0.011053
442,0.012469
443,0.012692
444,0.019797
445,0.010352
446,0.012992
447,0.012968
448,0.01157
449,0.028197
450,0.017821
451,0.012392
452,0.013565
453,0.012162
454,0.00986
455,0.011531
456,0.012677
457,0.014401
458,0.01109
459,0.009586
460,0.010619
461,0.012725
462,0.009194
463,0.011781
464,0.014041
465,0.013888
466,0.013194
467,0.011174
468,0.011198
469,0.011966
470,0.012271
471,0.012302
472,0.011107
473,0.011788
474,0.012045
475,0.012837
476,0.010425
477,0.012981
478,0.013794
479,0.01171
480,0.012062
481,0.010505
482,0.012077
483,0.01336
484,0.011526
485,0.012731
486,0.011991
487,0.010692
488,0.012961
489,0.012558
490,0.012696
491,0.011688
492,0.012476
493,0.011358
494,0.010214
495,0.012411
496,0.012546
497,0.010593
498,0.011844
499,0.010711
500,0.012478
501,0.012945
502,0.010673
503,0.026882
504,0.010441
505,0.01098
506,0.017771
507,0.011361
508,0.0104
509,0.016194
510,0.011233
511,0.011716
512,0.010458
513,0.008934
514,0.007697
515,0.008745
516,0.00812
517,0.006406
518,0.009216
519,0.008065
520,0.007682
521,0.006174
522,0.023196
523,0.007946
524,0.016718
525,0.008113
526,0.006967
527,0.007228
528,0.007881
529,0.007535
530,0.007712
531,0.006814
532,0.007465
533,0.007996
534,0.007638
535,0.008186
536,0.00879
537,0.007319
538,0.006823
539,0.007968
540,0.007467
541,0.007697
542,0.006075
543,0.007392
544,0.007751
545,0.00808
546,0.006704
547,0.007544
548,0.008066
549,0.007079
550,0.008292
