Iteration,Itemset_CPU_Time(ms)
1,0.364216
2,0.057208
3,0.054984
4,0.071004
5,0.083617
6,0.067761
7,0.066071
8,0.064594
9,0.06344
10,0.066901
11,0.056111
12,0.052482
13,0.049042
14,0.048794
15,0.047325
16,0.049633
17,0.066754
18,0.05294
19,0.051311
20,0.058743
21,0.059179
22,0.071553
23,0.062207
24,0.05052
25,0.10229
26,0.051943
27,0.059307
28,0.050121
29,0.048465
30,0.051638
31,0.048258
32,0.049323
33,0.047995
34,0.049785
35,0.048647
36,0.047301
37,0.047105
38,0.05486
39,0.048761
40,0.050293
41,0.047632
42,0.048596
43,0.050604
44,0.046852
45,0.047941
46,0.047255
47,0.04674
48,0.047044
49,0.047622
50,0.04769
51,0.049755
52,0.047821
53,0.046892
54,0.046616
55,0.064146
56,0.048396
57,0.049132
58,0.047205
59,0.047713
60,0.047742
61,0.05266
62,0.049186
63,0.047494
64,0.04829
65,0.047199
66,0.047589
67,0.051279
68,0.048091
69,0.045744
70,0.048478
71,0.048011
72,0.047126
73,0.047394
74,0.047445
75,0.048227
76,0.047946
77,0.047159
78,0.046422
79,0.047695
80,0.049248
81,0.046871
82,0.048466
83,0.04804
84,0.047319
85,0.064774
86,0.047609
87,0.048953
88,0.048916
89,0.047512
90,0.046506
91,0.047698
92,0.050714
93,0.048088
94,0.058934
95,0.046137
96,0.047221
97,0.048786
98,0.047179
99,0.047274
100,0.048841
101,0.055535
102,0.047956
103,0.050119
104,0.045547
105,0.050596
106,0.047889
107,0.047032
108,0.046034
109,0.048417
110,0.046018
111,0.047652
112,0.047981
113,0.046903
114,0.060012
115,0.04953
116,0.04878
117,0.049159
118,0.0483
119,0.047844
120,0.04837
121,0.047094
122,0.047481
123,0.048052
124,0.047538
125,0.046972
126,0.046995
127,0.049812
128,0.050458
129,0.047462
130,0.050493
131,0.047976
132,0.047511
133,0.049133
134,0.048342
135,0.049347
136,0.048076
137,0.048223
138,0.04751
139,0.048205
140,0.046944
141,0.054463
142,0.065826
143,0.062472
