Iteration,Itemset_CPU_Time(ms)
1,0.70559
2,0.17528
3,0.156903
4,0.126622
5,0.101099
6,0.114171
7,0.122713
8,0.110073
9,0.105141
10,0.132499
11,0.132454
12,0.107119
13,0.115523
14,0.114627
15,0.104512
16,0.107751
17,0.099672
18,0.12324
19,0.113334
20,0.113315
21,0.116566
22,0.112188
23,0.11207
24,0.102966
25,0.102753
26,0.093299
27,0.103568
28,0.095623
29,0.134674
30,0.095678
31,0.099958
32,0.086563
33,0.100111
34,0.101177
35,0.092358
36,0.094754
37,0.114839
38,0.096005
39,0.094702
40,0.097616
41,0.093004
42,0.098615
43,0.097134
44,0.09042
45,0.099514
46,0.085045
47,0.084316
48,0.082191
49,0.090192
50,0.093288
51,0.092154
52,0.095394
53,0.09582
54,0.093171
55,0.088665
56,0.09158
57,0.098991
58,0.088588
59,0.094197
60,0.086913
61,0.092135
62,0.087532
63,0.087321
64,0.095821
65,0.0881
66,0.098072
67,0.085339
68,0.089182
69,0.081622
70,0.090176
71,0.080895
72,0.063788
73,0.066831
74,0.062474
75,0.063381
76,0.064221
77,0.084982
78,0.082067
79,0.078927
80,0.073688
81,0.083098
82,0.081068
83,0.073607
84,0.063223
85,0.060578
86,0.059719
87,0.06067
88,0.062791
89,0.060619
90,0.060734
91,0.069119
92,0.062821
93,0.059242
94,0.0605
95,0.070167
96,0.063671
97,0.058107
98,0.070159
99,0.060771
100,0.058687
101,0.068968
102,0.078223
103,0.085499
104,0.067204
105,0.061381
106,0.058735
107,0.059584
108,0.058644
109,0.057352
110,0.060637
111,0.059187
112,0.062503
113,0.066243
114,0.063799
115,0.062776
116,0.069127
117,0.06456
118,0.081996
119,0.07768
120,0.078824
121,0.082653
122,0.091619
123,0.094296
124,0.090182
125,0.083785
126,0.085034
127,0.098526
128,0.080735
129,0.084033
130,0.085183
131,0.082843
132,0.084689
133,0.085755
134,0.082823
135,0.087365
136,0.080158
137,0.082633
138,0.090711
139,0.076331
140,0.075156
141,0.084386
142,0.082273
143,0.08391
144,0.088462
145,0.076953
146,0.078792
147,0.073982
148,0.069527
149,0.058935
150,0.063059
151,0.060365
152,0.059888
153,0.058082
154,0.060039
155,0.058854
156,0.05791
157,0.057867
158,0.060259
159,0.058974
160,0.062338
161,0.058781
162,0.05661
163,0.064
164,0.057765
165,0.087345
166,0.077949
167,0.081641
168,0.087459
169,0.087695
170,0.080232
171,0.082182
172,0.083193
173,0.086343
174,0.083615
175,0.090508
176,0.085375
177,0.085836
178,0.102254
179,0.092766
180,0.082752
181,0.087605
182,0.084705
183,0.082799
184,0.085251
185,0.083645
186,0.084359
187,0.084357
188,0.082222
189,0.088981
190,0.087073
191,0.085151
192,0.087928
193,0.084118
194,0.086759
195,0.083856
196,0.085565
197,0.088679
198,0.088293
199,0.081371
200,0.086506
201,0.089864
202,0.100965
203,0.085753
204,0.0895
205,0.085067
206,0.08695
207,0.085993
208,0.085021
209,0.085106
210,0.08595
211,0.08267
212,0.081627
213,0.083691
214,0.091466
215,0.083864
216,0.082673
217,0.080246
218,0.08426
219,0.083758
220,0.082195
221,0.083392
222,0.083434
223,0.07945
224,0.104972
225,0.082905
226,0.148349
227,0.079203
228,0.084492
229,0.081649
230,0.082109
231,0.083775
232,0.083635
233,0.087164
234,0.085302
235,0.112798
236,0.101007
237,0.093862
238,0.087241
239,0.08728
240,0.084982
241,0.085538
242,0.086618
243,0.087235
244,0.086803
245,0.09405
246,0.091828
247,0.093952
248,0.09156
249,0.09026
250,0.084177
251,0.085095
252,0.462839
253,0.413043
254,0.090975
255,0.089712
256,0.08558
257,0.088874
258,0.084817
259,0.084137
260,0.090047
261,0.084304
262,0.089087
263,0.084937
264,0.084122
265,0.082035
266,0.08434
267,0.083578
268,0.086026
269,0.086983
270,0.084765
271,0.084515
272,0.083995
273,0.086321
274,0.083351
275,0.085343
276,0.083522
277,0.083734
278,0.08788
279,0.087379
280,0.085763
281,0.091273
282,0.081982
283,0.08396
284,0.08439
285,0.089613
286,0.086105
287,0.086374
288,0.084321
289,0.087598
290,0.081282
291,0.080051
292,0.084368
293,0.087085
294,0.080999
295,0.082734
296,0.085101
297,0.080725
298,0.091802
299,0.084187
300,0.081572
301,0.082645
302,0.088488
303,0.087947
304,0.097156
305,0.085511
306,0.087067
307,0.081901
308,0.082136
309,0.114954
310,0.063375
311,0.059434
312,0.061655
313,0.065352
314,0.05764
315,0.059427
316,0.062192
317,0.059299
318,0.057322
319,0.061339
320,0.06002
321,0.057017
322,0.057384
323,0.059554
324,0.058827
325,0.087482
326,0.058456
327,0.062412
328,0.059637
329,0.058527
330,0.060068
331,0.057386
332,0.060078
333,0.05601
334,0.058507
335,0.058764
336,0.060013
337,0.061335
338,0.059374
339,0.057174
340,0.059236
341,0.056876
342,0.059669
343,0.059143
344,0.061214
345,0.060453
346,0.058137
347,0.056285
348,0.062201
349,0.057697
350,0.058435
351,0.061237
352,0.058825
353,0.058505
354,0.056672
355,0.058554
356,0.059731
357,0.059036
358,0.057243
359,0.057568
360,0.058616
361,0.058943
362,0.060918
363,0.05719
364,0.056747
365,0.059139
366,0.059329
367,0.0596
368,0.05962
369,0.059545
370,0.059684
371,0.073492
372,0.059774
373,0.066678
374,0.058493
375,0.058491
376,0.059549
377,0.060471
378,0.061747
379,0.05951
380,0.059644
381,0.058795
382,0.061917
383,0.060802
384,0.06224
385,0.059624
386,0.058395
387,0.058946
388,0.060383
389,0.061678
390,0.060456
391,0.059869
392,0.059679
393,0.060494
394,0.059496
395,0.059444
396,0.058898
397,0.060798
398,0.059999
399,0.060507
400,0.062788
401,0.061684
402,0.059491
403,0.058135
404,0.059232
405,0.060297
406,0.059075
407,0.059041
408,0.059433
409,0.060339
410,0.057408
411,0.060059
412,0.060483
413,0.059205
414,0.058691
415,0.063807
416,0.061589
417,0.05943
418,0.058926
419,0.059101
420,0.059023
421,0.076617
422,0.061915
423,0.060167
424,0.060953
425,0.059985
426,0.059905
427,0.075557
428,0.073979
429,0.085591
430,0.084039
431,0.085208
432,0.086198
433,0.08888
434,0.094397
435,0.085443
436,0.08357
437,0.081881
438,0.081264
439,0.083793
440,0.084789
441,0.087939
442,0.085881
443,0.088087
444,0.086895
445,0.094256
446,0.089373
447,0.087068
448,0.089969
449,0.086639
450,0.084935
451,0.088404
452,0.079712
453,0.087788
454,0.063198
455,0.060179
456,0.058699
457,0.059378
458,0.057973
459,0.059684
460,0.061316
461,0.059666
462,0.059859
463,0.05964
464,0.060239
465,0.059271
466,0.062479
467,0.059744
468,0.073733
469,0.060822
470,0.061847
471,0.066093
472,0.060896
473,0.059342
474,0.058162
475,0.059166
476,0.059164
477,0.057317
478,0.079637
479,0.080922
480,0.086864
481,0.088248
482,0.088005
483,0.086011
484,0.07142
485,0.061131
486,0.062182
487,0.058502
488,0.063885
489,0.058369
490,0.060678
491,0.060391
492,0.062277
493,0.058995
494,0.060021
495,0.058198
496,0.067057
497,0.063641
498,0.059502
499,0.061831
500,0.06878
501,0.067407
502,0.073646
503,0.078104
504,0.07369
505,0.060415
506,0.06148
507,0.05944
508,0.062813
509,0.060803
510,0.060996
511,0.059673
512,0.058719
513,0.059961
514,0.057386
515,0.059904
516,0.058893
517,0.078217
518,0.084489
519,0.087272
520,0.082101
521,0.083301
522,0.085092
523,0.085777
524,0.083806
525,0.083466
526,0.083751
527,0.08514
