Iteration,Itemset_CPU_Time(ms)
1,0.321064
2,0.057173
3,0.053619
4,0.048106
5,0.043636
6,0.043511
7,0.042239
8,0.045392
9,0.043607
10,0.042467
11,0.043404
12,0.041519
13,0.042291
14,0.04739
15,0.041684
16,0.04273
17,0.041906
18,0.049467
19,0.040494
20,0.042644
21,0.039899
22,0.041872
23,0.041511
24,0.040777
25,0.04191
26,0.04192
27,0.04178
28,0.046538
29,0.042957
30,0.041395
31,0.040829
32,0.040959
33,0.043669
34,0.04259
35,0.042435
36,0.041863
37,0.043194
38,0.041026
39,0.041452
40,0.040886
41,0.042034
42,0.040249
43,0.040618
44,0.04119
45,0.040893
46,0.039855
47,0.04014
48,0.040722
49,0.040687
50,0.041037
51,0.040732
52,0.040917
53,0.039269
54,0.039836
55,0.040635
56,0.039761
57,0.039802
58,0.044044
59,0.03914
60,0.039189
61,0.038534
62,0.037882
63,0.039727
64,0.039003
65,0.038449
66,0.038082
67,0.038587
68,0.039015
69,0.039419
70,0.039316
71,0.039552
72,0.040046
73,0.037885
74,0.039944
75,0.040522
76,0.039323
77,0.038506
78,0.039963
79,0.039302
80,0.040105
81,0.038884
82,0.039135
83,0.040078
84,0.03936
85,0.042161
86,0.038478
87,0.039627
88,0.038855
89,0.038705
90,0.037861
91,0.039107
92,0.041735
93,0.038195
94,0.038321
95,0.037495
96,0.038287
97,0.038118
98,0.038449
99,0.038222
100,0.038248
101,0.038197
102,0.038711
103,0.038731
104,0.037587
105,0.039531
106,0.03899
107,0.03769
108,0.037721
109,0.037498
110,0.037904
111,0.037645
112,0.040769
113,0.039288
114,0.039356
115,0.038522
116,0.043175
117,0.048033
118,0.03822
119,0.03835
120,0.038843
121,0.038229
122,0.038237
123,0.039029
124,0.038251
125,0.038116
126,0.038947
127,0.037949
128,0.038629
129,0.037562
130,0.038521
131,0.038529
132,0.037846
133,0.038346
134,0.038654
135,0.038586
136,0.037717
137,0.038832
138,0.039401
139,0.039799
140,0.037896
141,0.039099
142,0.037365
143,0.038893
144,0.037415
145,0.037743
146,0.038102
147,0.03852
148,0.039513
149,0.038998
150,0.038512
151,0.038234
152,0.037853
153,0.03798
154,0.037655
155,0.039857
156,0.038143
157,0.038349
158,0.039212
159,0.038713
160,0.039132
161,0.039083
162,0.038347
163,0.038472
164,0.039205
165,0.042074
166,0.038753
167,0.038551
168,0.045424
169,0.038373
170,0.037879
171,0.039072
172,0.039014
173,0.037996
174,0.038979
175,0.038006
176,0.038308
177,0.037553
178,0.037959
179,0.037827
180,0.038682
181,0.039318
182,0.038101
183,0.039072
184,0.039083
185,0.037847
186,0.038302
187,0.038288
188,0.038529
189,0.038213
190,0.038292
191,0.038663
192,0.041291
193,0.038003
194,0.038735
195,0.038163
196,0.037685
197,0.037678
198,0.037781
199,0.038516
200,0.03773
201,0.039292
202,0.038258
203,0.036845
204,0.03834
205,0.037684
206,0.038109
207,0.038781
208,0.037431
209,0.038038
210,0.037349
211,0.038728
212,0.038215
213,0.036822
214,0.037441
215,0.037354
216,0.037347
217,0.038146
218,0.03868
219,0.053842
220,0.038313
221,0.038235
222,0.040423
223,0.03759
224,0.037304
225,0.038948
226,0.038094
227,0.037376
228,0.038202
229,0.037898
230,0.039105
231,0.038019
232,0.037838
233,0.038978
234,0.037787
235,0.037743
236,0.038431
237,0.039182
238,0.038602
239,0.039513
240,0.037954
241,0.037775
242,0.038378
243,0.037658
244,0.038721
245,0.038871
246,0.042032
247,0.03913
248,0.038895
249,0.038748
250,0.038201
251,0.03718
252,0.036965
253,0.037572
254,0.037156
255,0.038277
256,0.038249
257,0.037688
258,0.037674
259,0.037745
260,0.038493
261,0.038271
262,0.038174
263,0.037451
264,0.038171
265,0.03828
266,0.037301
267,0.038491
268,0.03794
269,0.038046
270,0.037972
271,0.03884
272,0.038912
273,0.040502
274,0.038509
275,0.038996
276,0.037707
277,0.054419
278,0.038739
279,0.03817
280,0.039051
281,0.038143
282,0.039225
283,0.038985
284,0.037531
285,0.038543
286,0.039292
287,0.038554
288,0.040626
289,0.038946
290,0.038961
291,0.039388
292,0.038444
293,0.038672
294,0.039353
295,0.039037
296,0.039794
297,0.03925
298,0.038868
299,0.039303
300,0.040366
301,0.0395
302,0.038819
303,0.039204
304,0.038782
305,0.038997
306,0.038998
307,0.039083
308,0.039839
309,0.039483
310,0.039412
311,0.039662
312,0.039157
313,0.039879
314,0.040371
315,0.039713
316,0.039308
317,0.038567
318,0.039691
319,0.039094
320,0.045355
321,0.039824
322,0.053474
323,0.039206
324,0.038886
325,0.046045
326,0.041827
327,0.039495
328,0.039711
329,0.039998
330,0.039095
331,0.037955
332,0.039305
333,0.039604
334,0.039647
335,0.038907
336,0.039406
337,0.039534
338,0.038377
339,0.040207
340,0.038002
341,0.039212
342,0.038221
343,0.039638
344,0.039223
345,0.039477
346,0.038758
347,0.03916
348,0.039302
349,0.039272
350,0.04008
351,0.039497
352,0.041576
353,0.038821
354,0.039667
355,0.039024
356,0.03968
357,0.03903
358,0.038497
359,0.039068
360,0.039401
361,0.038864
362,0.038945
363,0.03971
364,0.038697
365,0.03902
366,0.039064
367,0.038542
368,0.038809
369,0.039675
370,0.03837
371,0.038987
372,0.039392
373,0.038684
374,0.039049
375,0.039479
376,0.039169
377,0.038958
378,0.039567
379,0.041933
380,0.038709
381,0.039339
382,0.039324
383,0.039354
384,0.039259
385,0.038121
386,0.040263
387,0.040532
388,0.039242
389,0.038911
390,0.040527
391,0.038869
392,0.038653
393,0.039718
394,0.038512
395,0.039843
396,0.040453
397,0.039148
398,0.039756
399,0.03893
400,0.039178
401,0.040375
402,0.039508
403,0.038254
404,0.039873
405,0.04325
406,0.038502
407,0.040117
408,0.038908
409,0.03942
410,0.039183
411,0.039005
412,0.042245
413,0.039591
414,0.040981
415,0.040708
416,0.039952
417,0.040196
418,0.040787
419,0.040134
420,0.047934
421,0.049914
422,0.040929
423,0.039435
424,0.039205
425,0.040947
426,0.039616
427,0.040075
428,0.039838
429,0.039921
430,0.040025
431,0.04283
432,0.040461
433,0.040442
434,0.039589
435,0.040814
436,0.041161
437,0.040902
438,0.039756
439,0.040547
440,0.040241
441,0.040309
442,0.040126
443,0.040178
444,0.040355
445,0.04067
446,0.040044
447,0.040566
448,0.040661
449,0.039049
450,0.040261
451,0.039316
452,0.039977
453,0.040326
454,0.040682
455,0.039502
456,0.040192
457,0.042356
458,0.04095
459,0.039457
460,0.040179
461,0.039294
462,0.039353
463,0.040326
464,0.0409
465,0.040783
466,0.040458
467,0.040251
468,0.038976
469,0.040745
470,0.039701
471,0.039664
472,0.04022
473,0.039975
474,0.040563
475,0.039822
476,0.040252
477,0.039458
478,0.039289
479,0.03961
480,0.040143
481,0.039478
482,0.039991
483,0.04347
484,0.039898
485,0.040423
486,0.040128
487,0.039144
488,0.03919
489,0.040337
490,0.039319
491,0.039653
492,0.039378
493,0.040162
494,0.040566
495,0.040778
496,0.040035
497,0.039974
498,0.040321
499,0.039815
500,0.04034
501,0.039797
502,0.040948
503,0.040136
504,0.040191
505,0.039475
506,0.038885
507,0.039747
508,0.040164
509,0.043301
510,0.040685
511,0.042061
512,0.04266
513,0.041283
514,0.041379
515,0.04203
516,0.04234
517,0.041461
518,0.04784
519,0.05029
520,0.041572
521,0.042866
522,0.04038
523,0.041233
524,0.040256
525,0.040858
526,0.040226
527,0.040971
528,0.041017
529,0.040672
530,0.041087
531,0.0413
532,0.042282
533,0.040336
534,0.042075
535,0.041371
536,0.040073
537,0.040468
538,0.040452
539,0.039912
540,0.039829
541,0.040364
542,0.040575
543,0.039571
544,0.039682
545,0.040522
546,0.040821
547,0.040233
548,0.046759
549,0.038935
550,0.040226
551,0.040444
552,0.039825
553,0.039595
554,0.04938
555,0.040443
556,0.040244
557,0.040309
558,0.03942
559,0.039825
560,0.0425
561,0.039351
562,0.039807
563,0.040162
564,0.04018
565,0.040486
566,0.039775
567,0.039254
568,0.038952
569,0.040829
570,0.039318
571,0.04022
572,0.039694
573,0.039236
574,0.040531
575,0.040073
576,0.0403
577,0.040364
578,0.040191
579,0.039357
580,0.04013
581,0.041849
582,0.039759
583,0.040917
584,0.040912
585,0.040964
586,0.043204
587,0.04033
588,0.04086
589,0.040757
590,0.041866
591,0.040914
592,0.040562
593,0.041625
594,0.04076
595,0.040329
596,0.040792
597,0.041096
598,0.040941
599,0.041059
600,0.040774
601,0.040439
602,0.041022
603,0.04138
604,0.040737
605,0.041414
606,0.040593
607,0.041212
608,0.04086
609,0.040682
610,0.041599
611,0.043399
612,0.041758
613,0.041006
614,0.040731
615,0.04568
616,0.051045
617,0.041377
618,0.042037
619,0.039676
620,0.040984
621,0.040382
622,0.040866
623,0.040538
624,0.040818
625,0.04161
626,0.040751
627,0.040509
628,0.041139
629,0.040864
630,0.040395
631,0.041218
632,0.040152
633,0.040754
634,0.040946
635,0.039619
636,0.043744
637,0.04141
638,0.041163
639,0.041521
640,0.042113
641,0.040381
642,0.041412
643,0.053186
644,0.046355
645,0.040473
646,0.041173
647,0.04206
648,0.041339
649,0.040101
650,0.041099
651,0.041364
652,0.041309
653,0.041557
654,0.05121
655,0.04039
656,0.04007
657,0.043648
658,0.041306
659,0.040218
660,0.04373
661,0.041365
662,0.040502
663,0.041116
664,0.041273
665,0.040825
666,0.041512
667,0.040898
668,0.041344
669,0.040297
670,0.0411
671,0.045241
672,0.04114
673,0.040711
674,0.041362
675,0.040287
676,0.041068
677,0.041029
678,0.040132
679,0.041281
680,0.040568
681,0.040938
682,0.041112
683,0.040818
684,0.040822
685,0.042966
686,0.041134
687,0.041531
688,0.041077
689,0.041059
690,0.041149
691,0.040737
692,0.041482
693,0.040159
694,0.041006
695,0.041386
696,0.041206
697,0.041189
698,0.041296
699,0.041023
700,0.043134
701,0.041835
702,0.042048
703,0.041852
704,0.041851
705,0.041561
706,0.042485
707,0.042426
708,0.04603
709,0.057081
710,0.044068
711,0.043192
712,0.041345
713,0.041249
714,0.041798
715,0.042292
716,0.041379
717,0.041583
718,0.041547
719,0.042262
720,0.040883
721,0.041346
722,0.041426
723,0.042428
724,0.041497
725,0.04222
726,0.041949
727,0.041494
728,0.042558
729,0.041
730,0.042414
731,0.04168
732,0.041273
733,0.042389
734,0.041485
735,0.044206
736,0.041291
737,0.041682
738,0.042565
739,0.041528
740,0.041878
741,0.040864
742,0.041256
743,0.040988
744,0.042476
745,0.041567
746,0.042351
747,0.041596
748,0.042263
749,0.042489
750,0.041897
751,0.041042
752,0.041531
753,0.042213
754,0.041448
755,0.042174
756,0.041837
757,0.041786
758,0.041054
759,0.042261
760,0.04476
761,0.041902
762,0.041365
763,0.041887
764,0.040445
765,0.042565
766,0.042901
767,0.04199
768,0.041916
769,0.04157
770,0.04227
771,0.041836
772,0.041041
773,0.040781
774,0.041662
775,0.041877
776,0.04086
777,0.041518
778,0.042524
779,0.041535
780,0.042118
781,0.042065
782,0.042441
783,0.04284
784,0.041649
785,0.044172
786,0.042021
787,0.04207
788,0.042047
789,0.041296
790,0.041233
791,0.041863
792,0.047376
793,0.042131
794,0.042002
795,0.041657
796,0.041131
797,0.04195
798,0.042186
799,0.042119
800,0.042053
801,0.042031
802,0.057015
803,0.049492
804,0.041586
805,0.043487
806,0.042001
807,0.04182
808,0.042902
809,0.044656
810,0.043186
811,0.042208
812,0.041695
813,0.041707
814,0.040995
815,0.042305
816,0.041044
817,0.042351
818,0.042323
819,0.040966
820,0.042541
821,0.041072
822,0.042117
823,0.041997
824,0.042029
825,0.042402
826,0.04219
827,0.041719
828,0.042095
829,0.041135
830,0.041744
831,0.041321
832,0.042393
833,0.042375
834,0.043922
835,0.042505
836,0.04183
837,0.041427
838,0.042064
839,0.040347
840,0.041372
841,0.041969
842,0.041734
843,0.04186
844,0.041898
845,0.040911
846,0.042474
847,0.041887
848,0.04241
849,0.042314
850,0.042115
851,0.040998
852,0.041752
853,0.041195
854,0.041888
855,0.040503
856,0.041711
857,0.042143
858,0.042349
859,0.044534
860,0.042546
861,0.041729
862,0.042931
863,0.041692
864,0.04225
865,0.041555
866,0.041359
867,0.042627
868,0.042374
869,0.041467
870,0.043443
871,0.042653
872,0.042753
873,0.042666
874,0.043521
875,0.042316
876,0.043332
877,0.04206
878,0.048834
879,0.043744
880,0.041893
881,0.045257
882,0.042142
883,0.044187
884,0.041248
885,0.041649
886,0.042206
887,0.042052
888,0.042786
889,0.041299
890,0.040601
891,0.040979
892,0.040617
893,0.040942
894,0.041351
895,0.04067
896,0.045935
897,0.045203
898,0.040985
899,0.041173
900,0.041457
901,0.040052
902,0.041833
903,0.040545
904,0.040623
905,0.040691
906,0.041386
907,0.039945
908,0.042446
909,0.040883
910,0.040084
911,0.041399
912,0.042068
913,0.041956
914,0.040743
915,0.042253
916,0.041344
917,0.041173
918,0.042388
919,0.041428
920,0.041003
921,0.040843
922,0.041633
923,0.04146
924,0.041213
925,0.040725
926,0.040917
927,0.041239
928,0.040927
929,0.041134
930,0.040716
931,0.041119
932,0.041192
933,0.0443
934,0.042619
935,0.041311
936,0.041655
937,0.040283
938,0.041978
939,0.039644
940,0.04018
941,0.038823
942,0.039108
943,0.039626
944,0.039305
945,0.039071
946,0.040109
947,0.040423
948,0.03983
949,0.039287
950,0.039972
951,0.039995
952,0.039727
953,0.041058
954,0.040717
955,0.040829
956,0.039757
957,0.039266
958,0.04042
959,0.042974
960,0.042629
961,0.040657
962,0.04022
963,0.039465
964,0.040163
965,0.041029
966,0.03929
967,0.04031
968,0.040282
969,0.040231
970,0.040106
971,0.039435
972,0.039606
973,0.040178
974,0.039428
975,0.039714
976,0.040028
977,0.039348
978,0.039795
979,0.040099
980,0.040481
981,0.039844
982,0.0393
983,0.038861
984,0.038363
985,0.041333
986,0.042103
987,0.04122
988,0.040896
989,0.038777
990,0.039251
991,0.039192
992,0.039668
993,0.04243
994,0.039929
995,0.060011
996,0.039106
997,0.037763
998,0.03966
999,0.038946
1000,0.038736
