Iteration,Itemset_CPU_Time(ms)
1,0.130238
2,0.02226
3,0.021783
4,0.02039
5,0.0205
6,0.020214
7,0.024483
8,0.027672
9,0.025952
10,0.027347
11,0.025303
12,0.01916
13,0.020069
14,0.019708
15,0.019318
16,0.019816
17,0.019139
18,0.019175
19,0.01896
20,0.019285
21,0.018772
22,0.019208
23,0.019219
24,0.018909
25,0.018119
26,0.018913
27,0.020125
28,0.019613
29,0.02172
30,0.019683
31,0.018659
32,0.018926
33,0.019571
34,0.020071
35,0.018943
36,0.019505
37,0.018689
38,0.018348
39,0.018701
40,0.018149
41,0.018996
42,0.01904
43,0.019046
44,0.018815
45,0.018866
46,0.018791
47,0.018954
48,0.018689
49,0.018695
50,0.018839
51,0.018929
52,0.018656
53,0.019453
54,0.01855
55,0.018979
56,0.019001
57,0.018786
58,0.019132
59,0.019203
60,0.019082
61,0.020062
62,0.018588
63,0.01862
64,0.01945
65,0.018662
66,0.019209
67,0.018031
68,0.018524
69,0.01855
70,0.018917
71,0.018762
72,0.018414
73,0.019342
74,0.018817
75,0.018023
76,0.018724
77,0.018321
78,0.019038
79,0.018611
80,0.018354
81,0.018629
82,0.018852
83,0.018356
84,0.021177
85,0.01901
86,0.019152
87,0.018726
88,0.018722
89,0.01904
90,0.019213
91,0.018948
92,0.018686
93,0.019281
94,0.018521
95,0.018261
96,0.018438
97,0.018376
98,0.019449
99,0.018921
100,0.018604
101,0.018711
102,0.018152
103,0.018898
104,0.019158
105,0.018831
106,0.018605
107,0.018141
108,0.018578
109,0.019126
110,0.018221
111,0.019219
112,0.022498
113,0.019
114,0.019209
115,0.019133
116,0.019172
117,0.018336
118,0.018037
119,0.018674
120,0.018091
121,0.019067
122,0.018866
123,0.018543
124,0.018541
125,0.018305
126,0.01878
127,0.018235
128,0.019149
129,0.018906
130,0.01866
131,0.019074
132,0.023313
133,0.018954
134,0.018801
135,0.018101
136,0.018434
137,0.019458
138,0.018615
139,0.020508
140,0.019151
141,0.019513
142,0.019907
143,0.018793
144,0.019369
145,0.017973
146,0.018803
147,0.019043
148,0.018562
149,0.018531
150,0.018452
151,0.018607
152,0.018434
153,0.018964
154,0.019189
155,0.018083
156,0.01801
157,0.018484
158,0.020756
159,0.018131
160,0.018521
161,0.018525
162,0.017914
163,0.018424
164,0.018217
165,0.01855
166,0.01805
167,0.01787
168,0.01833
169,0.018328
170,0.018352
171,0.01807
172,0.018299
173,0.018686
174,0.018336
175,0.017365
176,0.018397
177,0.01778
178,0.0181
179,0.018131
180,0.01824
181,0.017876
182,0.017903
183,0.01879
184,0.018227
185,0.017702
186,0.018662
187,0.018218
188,0.018083
189,0.018017
190,0.018481
191,0.018543
192,0.01833
193,0.01818
194,0.017542
195,0.02103
196,0.018641
197,0.017993
198,0.018216
199,0.018365
200,0.018633
201,0.018577
202,0.018422
203,0.017761
204,0.018561
205,0.018244
206,0.018576
207,0.01854
208,0.017792
209,0.018365
210,0.018671
211,0.018232
212,0.018166
213,0.018141
214,0.018339
215,0.018412
216,0.018834
217,0.017856
218,0.018542
219,0.018284
220,0.018139
221,0.021974
222,0.018136
223,0.018106
224,0.018509
225,0.018159
226,0.019108
227,0.0183
228,0.017654
229,0.018626
230,0.018665
231,0.018623
232,0.017417
233,0.018093
234,0.017558
235,0.01772
236,0.018239
237,0.018499
238,0.018489
239,0.017641
240,0.018753
241,0.018572
242,0.018544
243,0.018162
244,0.018277
245,0.018615
246,0.017855
247,0.018442
248,0.017889
249,0.018424
250,0.018231
251,0.020725
252,0.018486
253,0.018083
254,0.018384
255,0.018454
256,0.01854
257,0.017834
258,0.018606
259,0.018076
260,0.017444
261,0.018051
262,0.018293
263,0.01801
264,0.017983
265,0.018486
266,0.017941
267,0.018125
268,0.017927
269,0.018876
270,0.018078
271,0.018014
272,0.018488
273,0.018725
274,0.018694
275,0.018661
276,0.018839
277,0.017762
278,0.017994
279,0.01837
280,0.018359
281,0.017869
282,0.018203
283,0.018427
284,0.018454
285,0.018022
286,0.018238
287,0.018527
288,0.027537
289,0.018286
290,0.018338
291,0.018562
292,0.01825
293,0.017909
294,0.018143
295,0.018384
296,0.018419
297,0.018346
298,0.018632
299,0.018804
300,0.021659
301,0.017938
302,0.017906
303,0.017907
304,0.018688
305,0.018545
306,0.018351
307,0.02098
308,0.018208
309,0.019137
310,0.017877
311,0.018367
312,0.018147
313,0.018065
314,0.018336
315,0.018527
316,0.018245
317,0.017606
318,0.018071
319,0.018207
320,0.018482
321,0.018427
322,0.018572
323,0.017824
324,0.018102
325,0.018189
326,0.018014
327,0.018055
328,0.018492
329,0.017484
330,0.018396
331,0.017067
332,0.017849
333,0.018
334,0.018093
335,0.01833
336,0.018066
