Iteration,Itemset_CPU_Time(ms)
1,5.358751
2,1.518332
3,1.255991
4,1.39653
5,1.010859
6,1.125803
7,1.220591
8,1.167959
9,1.273463
10,1.210088
11,1.08663
12,1.15058
13,1.115558
14,1.264797
15,1.204637
16,1.070801
17,1.006002
18,1.137798
19,1.083165
20,1.065982
21,1.134086
22,1.043981
23,1.126928
24,1.081417
25,1.097346
26,1.048709
27,1.304344
28,1.236657
29,1.153639
30,1.178874
31,1.111899
32,1.101908
33,1.192162
34,0.987852
35,1.21199
36,1.175885
37,1.025316
38,1.086774
39,1.064304
40,1.023489
41,1.03827
42,1.053685
43,1.043812
44,1.127827
45,1.063066
46,1.052008
47,1.12065
48,1.116326
49,1.031081
50,1.008905
51,0.977211
52,1.114483
53,1.137923
54,1.037089
55,1.12795
56,1.040247
57,1.179794
58,1.169179
59,1.109882
60,1.04075
61,1.035716
62,1.133734
63,1.067518
64,1.030368
65,1.059858
66,1.08242
67,1.410326
68,1.787265
69,1.766203
70,1.615585
71,1.076721
72,1.067713
73,1.071088
74,1.092008
75,1.193485
76,1.044276
77,1.049157
78,1.105387
79,1.15869
80,1.039389
81,1.085554
82,1.549451
83,1.786007
84,1.508267
85,1.328415
86,1.121077
87,1.122871
88,1.086992
89,1.131264
90,1.058369
91,1.110559
92,1.107602
93,1.162112
94,1.032846
95,1.105248
96,1.093569
97,1.305617
98,1.291248
99,1.133853
100,1.049936
101,1.038797
102,1.037274
103,1.021838
104,1.049061
105,1.039537
106,1.078755
107,1.094818
108,1.008308
109,1.080659
110,1.058142
111,1.417065
112,1.300536
113,1.080766
114,1.099835
115,1.264103
116,1.029817
117,1.06184
118,1.0431
119,1.080135
120,1.1328
121,1.061522
122,1.052121
123,1.165643
124,1.131763
125,1.071877
126,1.035404
127,1.062509
128,1.115209
129,1.090357
130,1.071527
131,1.096451
132,1.064583
133,1.118989
134,1.174816
135,1.132861
136,1.160971
137,1.080383
138,1.13224
139,1.572081
140,1.721565
141,1.773082
142,1.674347
143,1.719245
144,1.809132
145,1.521476
146,1.158967
147,1.127858
148,1.070693
149,1.101499
150,1.100386
151,1.10297
152,1.392014
153,1.113917
154,1.089796
155,1.12604
156,1.122535
157,1.07898
158,1.085294
159,1.076234
160,1.05869
161,1.085308
162,1.077209
163,1.225581
164,1.124291
165,1.057993
166,1.125759
167,1.210643
168,1.151808
169,1.081367
170,1.171148
171,1.092522
172,1.048812
173,1.051119
174,1.104569
175,1.008929
176,1.024897
177,1.044744
178,1.157322
179,1.05255
180,1.073994
181,1.179092
182,1.35894
183,1.360518
184,1.254163
185,1.127002
186,1.082192
187,1.005969
188,1.070541
189,1.025533
190,1.012912
191,1.015586
192,1.039774
193,1.072317
194,0.996811
195,1.04684
196,1.157537
197,1.423838
198,1.220676
199,1.112766
200,1.075828
201,1.086958
202,1.216466
203,1.047561
204,1.110738
205,1.090987
206,1.143943
207,1.071188
208,1.06588
209,1.083611
210,1.177602
211,1.178426
212,1.430295
213,1.13772
214,1.138702
215,1.058731
216,1.134553
217,1.079654
218,1.135251
219,1.235157
220,1.095204
221,1.04221
222,1.12937
223,1.068945
224,1.252119
225,1.504864
226,1.559862
227,1.594033
228,1.648602
229,1.571723
230,1.581803
231,1.616956
232,1.612403
233,1.592727
234,1.722224
235,1.740593
236,1.825093
237,1.802072
238,1.848988
239,1.866335
240,1.551096
241,1.195696
242,1.1241
243,1.142805
244,1.148318
245,1.160392
246,1.130183
247,1.24828
248,1.496643
249,1.516642
250,1.542484
251,1.466681
252,1.464303
253,1.159059
254,1.0762
255,1.11323
256,1.123681
257,1.053166
258,1.098415
259,1.17275
260,1.124266
261,1.539425
262,1.486707
263,1.501042
264,1.478008
265,1.463375
266,1.502809
267,1.464246
268,1.758359
269,1.768906
270,1.716905
271,1.508319
272,1.572584
273,1.594336
274,1.574366
275,1.576262
276,1.346445
277,1.169238
278,1.136648
279,1.095669
280,1.07551
281,1.094744
282,1.171915
283,1.092062
284,1.443449
285,1.527652
286,1.481197
287,1.559167
288,1.529418
289,1.545482
290,1.224555
291,1.150349
292,1.071463
293,1.0821
294,1.106327
295,1.155146
296,1.511705
297,1.548439
298,1.560779
299,1.540657
300,1.546437
301,1.518791
302,1.307054
303,1.824676
304,1.82144
305,1.954865
306,1.8884
307,1.881075
308,1.943722
309,1.971276
310,1.877523
311,1.851928
312,1.902644
313,1.829406
314,1.934309
315,1.855862
316,1.864855
317,1.946902
318,1.909062
319,1.902312
320,1.877579
321,1.915294
322,1.865232
323,1.919893
324,1.834383
325,1.876081
326,1.890155
327,1.885878
328,1.914046
329,1.853582
330,1.841954
331,1.787933
332,1.820627
333,1.833358
334,1.324435
335,1.847879
336,1.879116
337,1.239019
338,1.206081
339,1.19759
340,1.185362
341,1.185365
342,1.203245
343,1.143763
344,1.171549
345,1.184499
346,1.278689
347,1.274901
348,1.209713
349,1.180881
350,1.15525
351,1.181844
352,1.143851
353,1.120699
354,1.158244
355,1.170267
356,1.116024
357,1.123234
358,1.09457
359,1.166338
360,1.216256
361,1.521845
362,1.309469
363,1.147812
364,1.727679
365,1.780334
366,1.332702
367,1.146733
368,1.098832
369,1.206103
370,1.120061
371,1.342833
372,1.327159
373,1.171776
374,1.162427
375,1.208136
376,1.176148
377,1.123086
378,1.178235
379,1.168998
380,1.142941
381,1.135125
382,1.139608
383,1.135858
384,1.101338
385,1.109989
386,1.547061
387,1.783288
388,1.747217
389,1.770919
390,1.859106
391,1.763088
392,1.872074
393,1.88115
394,1.89501
395,1.645092
396,1.190185
397,1.224874
398,1.472532
399,1.155931
400,1.157687
401,1.177631
402,1.248266
403,1.13366
404,1.157625
405,1.128648
406,1.122838
407,1.062758
408,1.096082
409,1.304064
410,1.128953
411,1.103752
412,1.741041
413,1.694117
414,1.744661
415,1.751926
416,1.755418
417,1.725869
418,1.139694
419,1.125968
420,1.138747
421,1.159784
422,1.455073
423,1.147202
424,1.094376
425,1.070488
426,1.090499
427,1.109707
428,1.709318
429,1.742842
430,1.695944
431,1.665519
432,1.61932
433,1.40647
434,1.16094
435,1.106868
436,1.098103
437,1.139488
438,1.785416
439,1.723702
440,1.777101
441,1.77246
442,1.790228
443,1.511327
444,1.174332
445,1.700392
446,1.760689
447,1.734196
448,1.794299
449,1.708325
450,1.450165
451,1.093706
452,1.113174
453,1.498499
454,1.144962
455,1.117025
456,1.229905
457,1.175858
458,1.096822
459,1.147197
460,1.061042
461,1.432596
462,1.096103
463,1.137459
464,1.104988
465,1.055793
466,1.107105
467,1.072584
468,1.09663
469,1.094107
470,1.28485
471,1.102947
472,1.039344
473,1.063597
474,1.024912
475,1.085544
476,1.022862
477,1.063438
478,1.06359
479,1.020294
480,1.058861
481,0.993061
482,1.037324
483,1.012883
484,0.98569
485,1.061062
486,1.013525
487,1.057948
488,1.039754
489,1.041336
490,1.058502
491,1.051855
492,1.002925
493,1.053941
494,1.007894
495,1.043431
496,1.011759
497,1.000175
498,1.015174
499,0.992508
500,1.053433
501,1.046251
502,1.036017
503,1.04409
504,1.050349
505,1.05057
506,1.046462
507,1.026317
508,1.021332
509,1.011899
510,0.998726
511,0.999269
512,1.054193
513,1.031028
514,10.103409
515,1.002465
516,0.998903
517,0.946327
518,0.994399
519,0.953103
520,0.960238
521,0.994602
522,0.99254
523,1.015789
524,0.951698
525,0.959083
526,1.028509
527,1.196535
528,1.030652
529,1.071371
530,1.05997
531,1.035093
532,1.065664
533,1.072177
534,1.06939
535,1.111125
536,1.033074
537,1.025641
538,1.034897
539,1.011315
540,1.022848
541,0.967417
542,1.327094
543,1.345922
544,1.408781
545,1.425627
546,1.423639
547,1.406888
548,1.217282
549,1.053513
550,1.055394
551,1.013924
552,1.073607
553,1.05499
554,1.016232
555,1.301462
556,1.135192
557,1.093667
558,1.038866
559,1.156901
560,1.053428
561,1.056605
562,1.05121
563,0.995686
564,1.009961
565,1.048866
566,1.079134
567,1.116608
568,1.011505
569,1.010133
570,1.063118
571,0.997265
572,0.974773
573,1.017827
574,1.0405
575,0.965214
576,1.007818
577,0.980404
578,1.012576
579,0.996198
580,0.9976
581,1.064533
582,1.045534
583,1.054637
584,1.054267
585,1.060408
586,1.053623
587,1.225471
588,1.060102
589,1.036259
590,1.096003
591,0.999121
592,1.031213
593,1.048259
594,0.993579
595,0.998391
596,1.038758
597,1.031485
598,1.046877
599,1.04159
600,0.998237
601,1.051112
602,0.989138
603,1.30049
604,1.065197
605,1.07463
606,1.051454
607,1.025706
608,1.034553
609,1.235299
610,1.034352
611,0.97505
612,1.031095
613,1.004405
614,1.016308
615,0.971389
616,1.008389
617,1.025296
618,1.018047
619,1.1872
620,1.023674
621,1.022329
622,1.012244
623,1.017712
624,1.132912
625,1.379222
626,1.364496
627,1.488843
628,1.312964
629,1.023475
630,1.031294
631,1.031754
632,1.045709
633,1.232308
634,1.038283
635,1.002727
636,1.012731
637,0.999187
638,1.01002
639,1.004054
640,0.977179
641,1.011465
642,0.989405
643,1.617531
644,1.61257
645,1.633703
646,1.618171
647,1.6155
648,1.646573
649,1.624564
650,1.565419
651,1.661609
652,1.687338
653,1.680112
654,1.68066
655,1.696764
656,1.690856
657,1.627407
658,1.718016
659,1.626654
660,1.702696
661,1.645633
662,1.599302
663,1.669448
664,1.238732
665,1.088429
666,1.027795
667,0.996984
668,1.050424
669,1.004594
670,1.046019
671,0.991101
672,1.006394
673,0.993507
674,1.050774
675,1.002683
676,1.041082
677,0.993392
678,0.999937
679,1.024845
680,0.967378
681,1.019543
682,0.979762
683,0.984075
684,1.030733
685,0.989318
686,1.212994
687,0.982831
688,0.938553
689,0.929109
690,0.968522
691,0.98057
692,0.974922
693,0.942414
694,0.946308
695,0.969789
696,0.972175
697,0.938582
698,0.926972
699,0.957219
700,0.985872
701,0.973479
702,1.092919
703,1.067374
704,0.957711
705,0.972943
706,0.919953
707,0.969469
708,0.993659
709,0.951365
710,0.939807
711,0.93294
712,0.998325
713,0.999457
714,0.949643
715,0.995077
716,0.989349
717,0.992566
718,0.974589
719,0.995858
720,1.199049
721,0.952573
722,0.988245
723,0.945853
724,1.004009
725,1.022408
726,1.017629
727,1.02848
728,1.05615
729,1.01904
730,0.986982
731,0.991954
732,1.012228
733,0.973319
734,0.969918
735,1.013558
736,1.202865
737,0.979468
738,0.979937
739,1.015575
740,0.981607
741,1.022911
742,1.035544
743,1.043864
744,0.986284
745,1.025145
746,1.019157
747,0.970308
748,0.991943
749,1.026784
750,1.01476
751,1.03919
752,1.252288
753,1.116005
754,0.969817
755,1.017856
756,0.968785
757,1.022821
758,1.027179
759,1.001447
760,0.968546
761,0.975887
762,1.010619
763,1.04353
764,0.979022
765,1.03601
766,1.00558
767,1.022771
768,1.052877
769,1.235395
770,1.025685
771,0.995767
772,0.984937
773,0.994652
774,0.99315
775,1.499914
776,1.636438
777,1.578835
778,1.659065
779,1.703069
780,1.653597
781,1.144563
782,1.073128
783,1.101314
784,1.079208
785,1.092222
786,1.026529
787,1.080686
788,1.081197
789,1.038912
790,1.15287
791,1.055103
792,0.999972
793,0.994793
794,1.047678
795,0.990721
796,1.015399
797,1.050696
798,1.022859
799,1.009495
800,1.016968
801,1.027345
802,1.043192
803,1.006278
804,1.01312
805,0.970639
806,0.970905
807,1.020503
808,1.019446
809,1.006771
810,1.038075
811,0.958293
812,1.013244
813,0.99954
814,0.992138
815,1.047858
816,1.005616
817,1.002656
818,1.042073
819,1.030381
820,0.973833
821,1.023706
822,1.030947
823,1.010203
824,1.009834
825,0.970928
826,1.021743
827,1.009455
828,1.022863
829,1.008829
830,1.030575
831,1.014262
832,0.988659
833,1.041823
834,1.034682
835,0.978636
836,1.007469
837,1.042898
838,1.367782
839,1.323651
840,1.3563
841,1.352121
842,1.3384
843,1.373032
844,1.067286
845,0.96558
846,1.014849
847,1.031878
848,1.049193
849,1.015304
850,1.02863
851,0.996072
852,1.310027
853,1.332135
854,0.972797
