Iteration,Itemset_CPU_Time(ms)
1,0.156967
2,0.02716
3,0.026469
4,0.021635
5,0.021655
6,0.020363
7,0.022583
8,0.024033
9,0.023091
10,0.026219
11,0.027365
12,0.02392
13,0.026686
14,0.024971
15,0.025868
16,0.022477
17,0.026592
18,0.022319
19,0.021049
20,0.023573
21,0.023322
22,0.022122
23,0.021098
24,0.023729
25,0.023177
26,0.022716
27,0.023099
28,0.02215
29,0.027963
30,0.02121
31,0.021111
32,0.022576
33,0.021208
34,0.025329
35,0.023758
36,0.022429
37,0.023677
38,0.021013
39,0.02055
40,0.020643
41,0.021604
42,0.020495
43,0.018793
44,0.019838
45,0.021314
46,0.019511
47,0.021643
48,0.021982
49,0.022685
50,0.021484
51,0.021165
52,0.02145
53,0.020292
54,0.019624
55,0.022239
56,0.020455
57,0.019683
58,0.021362
59,0.018643
60,0.019046
61,0.02126
62,0.021663
63,0.021372
64,0.01982
65,0.02114
66,0.023518
67,0.023513
68,0.022467
69,0.022544
70,0.022649
71,0.020022
72,0.0211
73,0.020755
74,0.019586
75,0.020199
76,0.019271
77,0.022029
78,0.02052
79,0.021518
80,0.021062
81,0.019035
82,0.020017
83,0.019141
84,0.020641
85,0.023404
86,0.02223
87,0.022509
88,0.023121
89,0.023217
90,0.022239
91,0.020898
92,0.023476
93,0.020717
94,0.019389
95,0.022688
96,0.022406
97,0.02296
98,0.022897
99,0.022053
100,0.022397
101,0.023106
102,0.025005
103,0.02167
104,0.020921
105,0.021232
106,0.021119
107,0.021791
108,0.021952
109,0.020657
110,0.021286
111,0.022422
112,0.020963
113,0.021959
114,0.022381
115,0.022034
116,0.02118
117,0.020896
118,0.022129
119,0.021303
120,0.022155
121,0.020928
122,0.020855
123,0.021619
124,0.02217
125,0.02178
126,0.021657
127,0.022549
128,0.022163
129,0.029601
130,0.022047
131,0.022245
132,0.020237
133,0.021169
134,0.02133
135,0.021813
136,0.02274
137,0.022935
138,0.022586
139,0.022125
140,0.021698
141,0.021204
142,0.021782
143,0.02018
144,0.021755
145,0.022516
146,0.021491
147,0.021911
148,0.022702
149,0.021041
150,0.021948
151,0.020227
152,0.020747
153,0.020975
154,0.021485
155,0.022213
156,0.021737
157,0.021771
158,0.021513
159,0.021845
160,0.022196
161,0.021309
162,0.021931
163,0.022101
164,0.022118
165,0.021433
166,0.021554
167,0.021673
168,0.021927
169,0.022614
170,0.022577
171,0.020753
172,0.02209
173,0.020985
174,0.020852
175,0.021215
176,0.020315
177,0.021618
178,0.020896
179,0.020733
180,0.02032
181,0.021613
182,0.022184
183,0.020232
184,0.021375
185,0.031957
186,0.021624
187,0.021097
188,0.021584
189,0.021578
190,0.021842
191,0.021105
192,0.021223
193,0.020313
194,0.021275
195,0.021065
196,0.022439
197,0.021106
198,0.021092
199,0.022226
200,0.020977
201,0.021292
202,0.022093
203,0.022587
204,0.021241
205,0.021788
206,0.020865
207,0.021041
208,0.021651
209,0.021716
210,0.021667
211,0.02073
212,0.021277
213,0.021752
214,0.020946
215,0.020885
216,0.020599
217,0.021011
218,0.021182
219,0.020661
220,0.020922
221,0.023429
222,0.021118
223,0.021774
224,0.021598
225,0.022269
226,0.021659
227,0.021862
228,0.020213
229,0.021983
230,0.021504
231,0.020026
232,0.022228
233,0.021684
234,0.021102
235,0.021648
236,0.021158
237,0.020705
238,0.020676
239,0.023361
240,0.024069
241,0.02363
242,0.021037
243,0.021667
244,0.020908
245,0.020984
246,0.020553
247,0.020821
248,0.022459
249,0.020981
250,0.021939
251,0.021638
252,0.021889
253,0.021451
254,0.021519
255,0.022279
256,0.021084
257,0.021187
258,0.021465
259,0.020547
260,0.021798
261,0.021391
262,0.021612
263,0.020727
264,0.021434
265,0.021675
266,0.020761
267,0.021031
268,0.021876
269,0.0214
270,0.022282
271,0.02239
272,0.019812
273,0.021532
274,0.020554
275,0.021612
276,0.018372
277,0.02095
278,0.020719
279,0.021861
280,0.020943
281,0.0215
282,0.021596
283,0.020109
284,0.021176
285,0.020902
286,0.02156
287,0.023361
288,0.022477
289,0.021186
290,0.021267
291,0.021371
292,0.020945
293,0.02103
294,0.019375
295,0.020738
296,0.020793
297,0.020459
298,0.020259
299,0.01941
300,0.019447
301,0.021546
302,0.021533
303,0.021757
304,0.02177
305,0.019766
306,0.021563
307,0.020026
308,0.028544
309,0.019948
310,0.021085
311,0.020793
312,0.021488
313,0.020376
314,0.021845
315,0.020944
316,0.019858
317,0.020265
318,0.020586
319,0.020486
320,0.020359
321,0.02066
322,0.021751
323,0.021708
324,0.02043
325,0.019845
326,0.020352
327,0.021317
328,0.020759
329,0.020504
330,0.020719
331,0.021326
332,0.021671
333,0.019843
334,0.020496
335,0.020131
336,0.020393
337,0.020957
338,0.021396
339,0.020055
340,0.020464
341,0.022526
342,0.021366
343,0.020792
344,0.021554
345,0.021125
346,0.020713
347,0.021569
348,0.020674
349,0.020372
350,0.020251
351,0.01945
352,0.022198
353,0.022074
354,0.021059
355,0.020296
356,0.023075
357,0.021564
358,0.020303
359,0.023186
360,0.022968
361,0.023297
362,0.023113
363,0.023803
364,0.024042
365,0.021492
366,0.018936
367,0.020662
368,0.019021
369,0.018741
370,0.019636
371,0.020852
372,0.019424
373,0.019246
374,0.018888
375,0.02002
376,0.01999
377,0.018949
378,0.019519
379,0.020482
380,0.020898
381,0.021985
382,0.020223
383,0.021725
384,0.023518
385,0.022389
386,0.021547
387,0.021514
388,0.017931
389,0.016869
390,0.015414
391,0.017325
392,0.01703
393,0.01646
394,0.016025
395,0.015875
396,0.016545
397,0.016279
398,0.015945
399,0.016549
400,0.016279
401,0.016458
402,0.015843
403,0.016967
404,0.015785
405,0.016969
406,0.016606
407,0.016236
408,0.016917
409,0.015948
410,0.015596
411,0.016228
412,0.015932
413,0.016536
414,0.016015
415,0.01675
416,0.016896
417,0.016135
418,0.015951
419,0.016201
420,0.020493
421,0.021157
422,0.021173
423,0.019822
424,0.020746
425,0.019994
426,0.021755
427,0.021105
428,0.020897
429,0.020704
430,0.023234
431,0.021905
432,0.021552
433,0.021834
434,0.021891
435,0.022294
436,0.021496
437,0.021926
438,0.020643
439,0.023106
440,0.020672
441,0.020102
442,0.019632
443,0.021073
444,0.020495
445,0.02036
446,0.021539
447,0.019988
448,0.021639
449,0.01708
450,0.016615
451,0.016873
452,0.016666
453,0.017417
454,0.016346
455,0.016098
456,0.015521
457,0.018399
458,0.018824
459,0.019553
460,0.02434
461,0.02183
462,0.023113
463,0.017084
464,0.015915
465,0.015438
466,0.017171
467,0.016912
468,0.01631
469,0.016397
470,0.015614
471,0.018299
472,0.016439
473,0.018603
474,0.016533
475,0.017472
476,0.018014
477,0.016847
478,0.015736
479,0.016349
480,0.016941
481,0.015414
482,0.016124
483,0.016567
484,0.016807
485,0.016476
486,0.016543
487,0.016841
488,0.015713
489,0.016169
490,0.01552
491,0.016255
492,0.016262
493,0.016296
494,0.015762
495,0.015817
496,0.015573
497,0.016181
498,0.016267
499,0.016455
500,0.016236
501,0.01522
502,0.016225
503,0.015658
504,0.016014
505,0.016282
506,0.015748
507,0.016061
508,0.015782
509,0.016766
510,0.01569
511,0.02791
512,0.016351
513,0.016486
514,0.015775
515,0.016371
516,0.016264
517,0.01597
518,0.016258
519,0.016138
520,0.016657
521,0.016266
522,0.016165
523,0.015556
524,0.015588
525,0.01569
526,0.016386
527,0.015862
528,0.015885
529,0.016049
530,0.015651
531,0.015144
532,0.016484
533,0.016118
534,0.015844
535,0.015927
536,0.015441
537,0.01667
538,0.016374
539,0.01598
540,0.015486
541,0.015903
542,0.015906
543,0.016133
544,0.015124
545,0.015623
546,0.015532
547,0.015533
548,0.015692
549,0.016811
550,0.015778
551,0.016019
552,0.015061
553,0.016182
554,0.015867
555,0.016288
556,0.015521
557,0.015529
558,0.015615
559,0.015903
560,0.015791
561,0.015546
562,0.015723
563,0.015935
564,0.016192
565,0.015264
566,0.016
567,0.016118
568,0.015788
569,0.015348
570,0.015936
571,0.016035
572,0.016119
573,0.015663
574,0.015288
575,0.014956
576,0.015587
577,0.016198
578,0.01541
579,0.016218
580,0.01601
581,0.015853
582,0.015867
583,0.016307
584,0.015753
585,0.015965
586,0.016273
587,0.016287
588,0.016001
589,0.016188
590,0.015198
591,0.016094
592,0.015445
593,0.015645
594,0.015865
595,0.015754
596,0.015892
597,0.015672
598,0.020519
599,0.016598
600,0.015226
601,0.015662
602,0.017602
603,0.015289
604,0.015769
605,0.015829
606,0.015879
607,0.016311
608,0.015984
609,0.01618
610,0.016818
611,0.015591
612,0.015846
613,0.015549
614,0.015493
615,0.016533
616,0.015841
617,0.016224
618,0.016189
619,0.015664
620,0.016147
621,0.015826
622,0.015554
623,0.016023
624,0.015488
625,0.015581
626,0.016165
627,0.015728
628,0.01526
629,0.016262
630,0.016054
631,0.016418
632,0.0158
633,0.015655
634,0.015784
635,0.015982
636,0.01543
637,0.015851
638,0.016487
639,0.015932
640,0.015858
641,0.016676
642,0.020021
643,0.016504
644,0.015986
645,0.016657
646,0.015583
647,0.016078
648,0.015676
649,0.015878
650,0.015908
651,0.015676
652,0.01624
653,0.016181
654,0.015622
655,0.01551
656,0.015807
657,0.016096
658,0.016159
659,0.015833
660,0.015904
661,0.015252
662,0.015616
663,0.016009
664,0.015885
665,0.015604
666,0.01571
667,0.01576
668,0.016685
669,0.015854
670,0.015548
671,0.015224
672,0.015146
673,0.015955
674,0.015987
675,0.015371
676,0.01574
677,0.015447
678,0.016195
679,0.015458
680,0.016091
681,0.015786
682,0.016183
683,0.015959
684,0.016125
685,0.015954
686,0.016037
687,0.014997
688,0.01556
689,0.016154
690,0.015476
691,0.016012
692,0.016263
693,0.015651
694,0.015662
695,0.015915
696,0.016033
697,0.015845
698,0.015976
699,0.015903
700,0.016117
701,0.01555
702,0.014993
703,0.015077
704,0.016277
705,0.017966
706,0.018226
707,0.01584
708,0.015099
709,0.015925
710,0.016324
711,0.015719
712,0.015809
713,0.016279
714,0.015754
715,0.015747
716,0.015403
717,0.016112
718,0.015973
719,0.0158
720,0.015972
721,0.015725
722,0.015824
723,0.015982
724,0.015863
725,0.01603
726,0.015737
727,0.015903
728,0.015351
729,0.015707
730,0.015765
731,0.015697
732,0.015554
733,0.015411
734,0.015825
735,0.015637
736,0.015988
737,0.016482
738,0.015713
739,0.015757
740,0.015456
741,0.016152
742,0.015901
743,0.015552
744,0.015612
745,0.016117
746,0.0157
747,0.015964
748,0.015534
749,0.015627
750,0.016576
751,0.02184
752,0.015665
753,0.015682
754,0.0159
755,0.018074
756,0.015418
757,0.015933
758,0.016105
759,0.01539
760,0.015685
761,0.015547
762,0.016216
763,0.015729
764,0.01599
765,0.015491
766,0.015716
767,0.015975
768,0.015457
769,0.015603
770,0.015289
771,0.015798
772,0.015667
773,0.016048
774,0.016205
775,0.015025
776,0.016628
777,0.015656
778,0.016274
779,0.015621
780,0.015808
781,0.015656
782,0.015435
783,0.015963
784,0.017824
785,0.033405
786,0.020128
787,0.01591
788,0.017262
789,0.019044
790,0.021269
791,0.020046
792,0.019776
793,0.018987
794,0.020205
795,0.021765
796,0.023105
797,0.022655
798,0.023337
799,0.022757
800,0.023896
801,0.024147
802,0.024034
803,0.023222
804,0.023414
805,0.023827
806,0.02325
807,0.024209
808,0.024029
809,0.023062
810,0.022894
811,0.023556
812,0.023634
813,0.022467
814,0.024396
815,0.023406
816,0.02383
817,0.023166
818,0.023044
819,0.024103
820,0.024277
821,0.023318
822,0.023743
823,0.023707
824,0.023733
825,0.023976
826,0.023552
827,0.023026
828,0.023551
829,0.023191
830,0.02321
831,0.023688
832,0.023889
833,0.023401
834,0.023291
835,0.023862
836,0.023799
837,0.023481
838,0.023484
839,0.023733
840,0.023268
841,0.023433
842,0.023731
843,0.024141
844,0.023601
845,0.023522
846,0.023658
847,0.025334
848,0.025116
849,0.024731
850,0.024507
851,0.023752
852,0.024186
853,0.023989
854,0.02397
855,0.024712
856,0.024875
857,0.023688
858,0.024254
859,0.024005
860,0.02421
861,0.024133
862,0.023617
863,0.02301
864,0.023176
865,0.02312
866,0.024049
867,0.023473
868,0.023795
869,0.023758
