Iteration,Itemset_CPU_Time(ms)
1,2.596509
2,1.194197
3,1.316919
4,1.067924
5,0.644814
6,0.547517
7,0.944149
8,0.878425
9,0.467006
10,1.063093
11,1.056884
12,1.051315
13,0.86914
14,1.152181
15,0.69451
16,0.884515
17,0.79431
18,0.474762
19,0.405419
20,0.415469
21,0.321587
22,0.370037
23,0.347596
24,0.398361
25,0.289026
26,0.425337
27,0.430499
28,0.376819
29,0.306054
30,0.383326
31,0.356519
32,0.32313
33,0.394903
34,0.34473
35,0.394735
36,0.378814
37,0.419918
38,0.365658
39,0.357668
40,0.321909
41,0.375628
42,0.396251
43,0.37873
44,0.398532
45,0.411302
46,0.308167
47,0.383674
48,0.492805
49,0.338975
50,0.347865
51,0.242611
52,0.176057
53,0.248586
54,0.195181
55,0.236611
56,0.165416
57,0.160187
58,0.233212
59,0.200329
60,0.236094
61,0.218906
62,0.248435
63,0.243211
64,0.1765
65,0.259053
66,0.198758
67,0.20268
68,0.24847
69,0.248194
70,0.128223
71,0.232417
72,0.239433
73,0.162815
74,0.238177
75,0.245518
76,0.251054
77,0.231718
78,0.241334
79,0.246834
80,0.252345
81,0.232151
82,0.238015
83,0.187074
84,0.218546
85,0.278943
86,0.107344
87,0.263903
88,0.249065
89,0.244017
90,0.170198
91,0.258238
92,0.171072
93,0.178432
94,0.254924
95,0.218154
96,0.265508
97,0.289688
98,0.26071
99,0.252175
100,0.147194
101,0.261543
102,0.238825
103,0.214135
104,0.218491
105,0.144026
106,0.234329
107,0.215634
108,0.174513
109,0.140543
110,0.186657
111,0.351211
112,0.247419
113,0.292065
114,0.290976
115,0.323683
116,0.13949
117,0.229047
118,0.325384
119,0.253572
120,0.410271
121,0.234324
122,0.329916
123,0.212953
124,0.174604
125,0.330824
126,0.242656
127,0.146051
128,0.127442
129,0.313464
130,0.178359
131,0.159202
132,0.405712
133,0.235932
134,0.421516
135,0.154231
136,0.125776
137,0.144222
138,0.420753
139,0.199356
140,0.392637
141,0.263171
142,0.56491
143,0.153275
144,0.276748
145,0.256318
146,0.380168
147,0.216823
148,0.426707
149,0.239266
150,0.397492
151,0.185393
152,0.228446
153,0.204235
154,0.240323
155,0.337293
156,0.251928
157,0.38821
158,0.131013
159,0.208384
160,0.299087
161,0.11059
162,0.275191
163,0.220368
164,0.321235
165,0.15232
166,0.240667
167,0.250675
168,0.22282
169,0.107298
170,0.095209
171,0.104606
172,0.109183
173,0.109963
174,0.10753
175,0.101372
176,0.104665
