Iteration,Itemset_CPU_Time(ms)
1,0.054106
2,0.019643
3,0.017456
4,0.020108
5,0.016855
6,0.030463
7,0.019854
8,0.020419
9,0.016264
10,0.019444
11,0.018708
12,0.020673
13,0.015758
14,0.019961
15,0.016516
16,0.019319
17,0.019604
18,0.017175
19,0.018787
20,0.019416
21,0.017171
22,0.020003
23,0.017784
24,0.020186
25,0.017912
26,0.017858
27,0.017915
28,0.020824
29,0.021022
30,0.020239
31,0.019076
32,0.01848
33,0.017191
34,0.017001
35,0.020297
36,0.017806
37,0.021197
38,0.016077
39,0.020318
40,0.019882
41,0.028055
42,0.015189
43,0.017643
44,0.01605
45,0.019354
46,0.016723
47,0.017723
48,0.020576
49,0.015841
50,0.019546
51,0.018786
52,0.018832
53,0.02016
54,0.020356
55,0.017593
56,0.015252
57,0.015759
58,0.021832
59,0.014754
60,0.019744
61,0.020441
62,0.019309
63,0.020022
64,0.020461
65,0.020389
66,0.046883
67,0.016171
68,0.021291
69,0.019682
70,0.020114
71,0.019257
72,0.022242
73,0.018076
74,0.019787
75,0.020699
76,0.019742
77,0.019014
78,0.017705
79,0.017583
80,0.016758
81,0.017666
82,0.017235
83,0.020463
84,0.019204
85,0.020147
86,0.019679
87,0.016647
88,0.024157
89,0.021329
90,0.019912
91,0.018976
92,0.017655
93,0.01748
94,0.020509
95,0.017205
96,0.017497
97,0.01746
98,0.017906
99,0.019521
100,0.020164
101,0.016884
102,0.018539
103,0.015446
104,0.016993
105,0.021593
106,0.019407
107,0.02019
108,0.017948
109,0.016804
110,0.020842
111,0.01882
112,0.016985
113,0.020577
114,0.015548
115,0.016842
116,0.021163
117,0.018273
118,0.01878
119,0.019605
120,0.01786
121,0.019016
122,0.021322
123,0.016171
124,0.01999
125,0.017558
126,0.019447
127,0.017491
128,0.020819
129,0.018424
130,0.016463
131,0.016243
132,0.018335
133,0.020348
134,0.018094
135,0.022174
136,0.032548
137,0.01534
138,0.019814
139,0.020549
140,0.022005
141,0.01585
142,0.020163
143,0.017145
144,0.019356
145,0.02102
146,0.018126
147,0.015842
148,0.020194
149,0.020099
150,0.020752
151,0.018918
152,0.020458
153,0.02097
154,0.020142
155,0.018661
156,0.019922
157,0.020426
158,0.020532
159,0.020002
160,0.017682
161,0.018172
162,0.017562
163,0.017686
164,0.014707
165,0.016909
166,0.019829
167,0.018659
168,0.019108
169,0.02003
170,0.016338
171,0.019223
172,0.020074
173,0.016704
174,0.01917
175,0.020566
176,0.020654
177,0.015442
178,0.019406
179,0.02205
180,0.018796
181,0.01611
182,0.017927
183,0.01748
184,0.015647
185,0.020106
186,0.020771
187,0.020382
188,0.017394
189,0.019291
190,0.021403
191,0.019478
192,0.017735
193,0.020112
194,0.018088
195,0.016681
196,0.015906
197,0.018721
198,0.019282
199,0.021363
200,0.020403
201,0.019387
202,0.017921
203,0.017595
204,0.017047
205,0.016202
206,0.018765
207,0.016475
208,0.019479
209,0.01724
210,0.017849
211,0.016684
212,0.01928
213,0.01638
214,0.019674
215,0.019847
216,0.019183
217,0.019533
218,0.017079
219,0.016774
220,0.020423
221,0.01869
222,0.018863
223,0.020946
224,0.017655
225,0.020115
226,0.015538
227,0.016214
228,0.020712
229,0.019191
230,0.018482
231,0.020108
232,0.019965
233,0.020604
234,0.016189
235,0.019579
236,0.01498
237,0.017007
238,0.019248
239,0.015069
240,0.019802
241,0.016726
242,0.01503
243,0.015942
244,0.020254
245,0.020888
246,0.018059
247,0.01931
248,0.018727
249,0.019596
