Iteration,Itemset_CPU_Time(ms)
1,0.06771
2,0.027714
3,0.034534
4,0.030081
5,0.028699
6,0.030979
7,0.031436
8,0.026863
9,0.032157
10,0.030266
11,0.026356
12,0.025839
13,0.03054
14,0.028042
15,0.024922
16,0.023909
17,0.028006
18,0.031432
19,0.025526
20,0.027556
21,0.02766
22,0.028534
23,0.025178
24,0.025958
25,0.027879
26,0.028603
27,0.029722
28,0.032361
29,0.032045
30,0.027532
31,0.028866
32,0.021879
33,0.028032
34,0.024233
35,0.030188
36,0.028467
37,0.027293
38,0.029855
39,0.028444
40,0.028217
41,0.032036
42,0.027704
43,0.026118
44,0.025295
45,0.038059
46,0.025842
47,0.023602
48,0.0264
49,0.028791
50,0.02448
51,0.028213
52,0.024698
53,0.023792
54,0.020972
55,0.028782
56,0.025394
57,0.030907
58,0.025364
59,0.029847
60,0.025047
61,0.018408
62,0.019494
63,0.019188
64,0.016182
65,0.027362
66,0.024611
67,0.022776
68,0.017658
69,0.019673
70,0.017428
71,0.021289
72,0.019039
73,0.016651
74,0.020591
75,0.022321
76,0.021563
77,0.021788
78,0.018183
79,0.020232
80,0.020611
81,0.02182
82,0.020525
83,0.02123
84,0.019201
85,0.02642
86,0.025807
87,0.029367
88,0.020363
89,0.021144
90,0.021079
91,0.021675
92,0.020155
93,0.021513
94,0.019652
95,0.021285
96,0.022409
97,0.016927
98,0.023599
99,0.022168
100,0.021635
101,0.022326
102,0.020917
103,0.021151
104,0.022278
105,0.019349
106,0.021438
107,0.020489
108,0.021656
109,0.020691
110,0.019302
111,0.019496
112,0.021096
113,0.017939
114,0.019875
115,0.021776
116,0.019602
117,0.022551
118,0.027555
119,0.029019
120,0.025589
121,0.021763
122,0.023363
123,0.023633
124,0.027857
125,0.029552
126,0.030458
127,0.022708
128,0.031546
129,0.031203
130,0.023381
131,0.028745
132,0.026613
133,0.024538
134,0.031055
135,0.024409
136,0.027686
137,0.028269
138,0.024139
139,0.024488
140,0.026308
141,0.031913
142,0.024486
143,0.028854
144,0.027339
145,0.028998
146,0.022628
147,0.031438
148,0.026089
149,0.026201
150,0.025353
151,0.031352
152,0.023919
153,0.022451
154,0.023569
155,0.026858
156,0.027893
157,0.024367
158,0.025599
159,0.026268
160,0.03004
161,0.029655
162,0.026478
163,0.024971
164,0.028697
165,0.028298
166,0.028549
167,0.022669
168,0.026358
169,0.022958
170,0.027663
171,0.033437
172,0.027997
173,0.024715
174,0.02664
175,0.02343
176,0.029813
177,0.028635
178,0.022972
179,0.025425
180,0.026622
181,0.026812
182,0.025122
183,0.02509
184,0.023335
185,0.030196
186,0.028367
