Iteration,Itemset_CPU_Time(ms)
1,0.014203
2,0.008343
3,0.008613
4,0.007598
5,0.006624
6,0.007398
7,0.009263
8,0.006109
9,0.008899
10,0.008709
11,0.008449
12,0.008298
13,0.008745
14,0.009404
15,0.007653
16,0.009358
17,0.007129
18,0.008955
19,0.008669
20,0.008901
21,0.007924
22,0.007828
23,0.009328
24,0.008985
25,0.007844
26,0.008694
27,0.007607
28,0.007357
29,0.0084
30,0.008903
31,0.009103
32,0.008767
33,0.007505
34,0.007578
35,0.008606
36,0.009099
37,0.009156
38,0.00917
39,0.00877
40,0.008539
41,0.007826
42,0.007507
43,0.00853
44,0.00705
45,0.009582
46,0.007607
47,0.006473
48,0.009273
49,0.005733
50,0.008443
51,0.007639
52,0.008057
53,0.00875
54,0.007725
55,0.005366
56,0.008552
57,0.008195
58,0.008525
59,0.007855
60,0.009773
61,0.007212
62,0.008521
63,0.008561
64,0.00963
65,0.008358
66,0.007744
67,0.006905
68,0.005184
69,0.006046
70,0.007604
71,0.00678
72,0.006873
73,0.009185
74,0.008397
75,0.0085
76,0.00918
77,0.008924
78,0.009434
79,0.007578
80,0.007618
81,0.007211
82,0.008786
83,0.008865
84,0.007978
85,0.008508
86,0.008938
87,0.007014
88,0.008827
89,0.006476
90,0.008907
91,0.010014
92,0.005934
93,0.007825
94,0.008412
95,0.008923
96,0.009005
97,0.007201
98,0.007303
99,0.007392
100,0.008734
101,0.00844
102,0.009601
103,0.007134
104,0.009018
105,0.005524
106,0.005491
107,0.007083
108,0.008864
109,0.007484
110,0.007684
111,0.006079
112,0.007149
113,0.008772
114,0.00777
115,0.005934
116,0.008664
117,0.008447
118,0.008229
119,0.009983
120,0.008809
121,0.008067
122,0.006369
123,0.008066
124,0.008294
125,0.00769
126,0.008519
127,0.008216
128,0.008711
129,0.007885
130,0.00849
131,0.00586
132,0.007268
133,0.009482
134,0.008633
135,0.00899
136,0.008916
137,0.007719
138,0.007411
139,0.008611
140,0.008858
141,0.007333
142,0.008044
143,0.008672
144,0.008841
145,0.007376
146,0.009005
147,0.009324
148,0.009
149,0.008896
150,0.007614
151,0.00879
152,0.009663
153,0.00588
154,0.007244
155,0.007648
156,0.008016
157,0.008194
158,0.007383
159,0.007204
160,0.008339
161,0.0132
162,0.008222
163,0.008292
164,0.017161
165,0.00725
166,0.008803
167,0.007476
168,0.007714
169,0.008936
170,0.008152
171,0.009025
