Iteration,Itemset_CPU_Time(ms)
1,0.006792
2,0.004507
3,0.005913
4,0.005833
5,0.004032
6,0.004591
7,0.00641
8,0.005683
9,0.005905
10,0.005896
11,0.003673
12,0.006407
13,0.005754
14,0.006634
15,0.005788
16,0.005724
17,0.005875
18,0.003802
19,0.005825
20,0.006448
21,0.004402
22,0.005836
23,0.005518
24,0.0059
25,0.005008
26,0.006008
27,0.00594
28,0.005402
29,0.005583
30,0.005138
31,0.004924
32,0.007076
33,0.005758
34,0.004845
35,0.00608
36,0.005937
37,0.005823
38,0.005896
39,0.00488
40,0.005767
41,0.005893
42,0.005846
43,0.004182
44,0.003821
45,0.0055
46,0.005331
47,0.005039
48,0.005921
49,0.005736
50,0.005863
51,0.006216
52,0.005643
53,0.005523
54,0.003904
55,0.005961
56,0.005635
57,0.006228
58,0.006099
59,0.005515
60,0.006098
61,0.00556
62,0.005891
63,0.005432
64,0.004774
65,0.005317
66,0.006037
67,0.005665
68,0.00658
69,0.005075
70,0.006648
71,0.006337
72,0.006789
73,0.005886
74,0.003891
75,0.005377
76,0.005889
77,0.006669
78,0.006058
79,0.005393
80,0.006241
81,0.005585
82,0.00346
83,0.005926
84,0.005719
85,0.005791
86,0.005121
87,0.004856
88,0.004982
89,0.006506
90,0.005032
91,0.005468
92,0.00498
93,0.007227
94,0.006517
95,0.007361
96,0.005815
97,0.005562
98,0.005139
99,0.005741
100,0.003836
101,0.005519
102,0.006071
103,0.00576
104,0.006084
105,0.004229
106,0.003516
107,0.00563
108,0.005676
109,0.004799
110,0.006548
111,0.005159
112,0.006025
113,0.005227
114,0.005247
115,0.005116
116,0.00636
117,0.005544
118,0.00545
119,0.004397
120,0.004293
121,0.00587
122,0.005914
123,0.005649
124,0.006366
125,0.005326
126,0.005803
127,0.006264
128,0.005471
129,0.00581
130,0.006012
131,0.005493
132,0.006163
133,0.005995
134,0.005887
135,0.005656
136,0.004575
137,0.006191
138,0.005671
139,0.006239
140,0.005653
141,0.005232
142,0.005648
143,0.005941
144,0.006232
145,0.00621
146,0.004789
147,0.005054
148,0.005597
149,0.005189
150,0.003715
151,0.006189
152,0.004998
153,0.005428
154,0.00547
155,0.005583
156,0.005858
157,0.004295
158,0.006006
159,0.006309
160,0.006145
161,0.005429
162,0.006367
163,0.005417
164,0.006801
165,0.005745
166,0.005622
167,0.005464
168,0.005361
169,0.005528
170,0.006254
171,0.00588
172,0.005248
173,0.004691
174,0.005503
175,0.006102
176,0.004373
177,0.005476
178,0.005763
179,0.00624
180,0.004878
181,0.006135
182,0.005964
183,0.005462
184,0.005818
185,0.004844
186,0.008285
187,0.006412
188,0.006319
189,0.005943
190,0.005888
191,0.006246
192,0.005814
193,0.005726
194,0.005732
195,0.005661
196,0.005768
197,0.005402
198,0.005961
199,0.005309
200,0.005501
201,0.005315
202,0.005572
203,0.00461
204,0.005932
205,0.004416
206,0.00552
207,0.005916
208,0.006513
209,0.004603
210,0.003715
211,0.005181
212,0.005348
213,0.006624
214,0.005879
215,0.005576
216,0.005518
217,0.005287
218,0.005896
219,0.005468
220,0.00514
221,0.00534
222,0.005736
223,0.005549
224,0.004967
225,0.005981
226,0.003752
227,0.005759
228,0.004349
229,0.00641
230,0.006105
231,0.005322
232,0.005539
233,0.005336
234,0.005718
235,0.00434
236,0.005648
237,0.005675
238,0.005349
239,0.005605
240,0.005057
241,0.005199
242,0.005207
243,0.006896
244,0.004922
245,0.00532
246,0.006013
247,0.00464
248,0.00564
249,0.006062
250,0.005607
251,0.005322
252,0.005
253,0.005688
254,0.004876
255,0.005837
256,0.006047
257,0.005124
258,0.005876
259,0.005375
260,0.005715
261,0.006038
262,0.005962
263,0.003781
264,0.005599
265,0.005683
266,0.00455
267,0.004752
268,0.006444
269,0.007654
270,0.005619
271,0.004508
272,0.004076
273,0.003894
274,0.006458
275,0.006029
276,0.00491
277,0.005192
278,0.005945
279,0.005859
280,0.004932
281,0.004644
282,0.005781
283,0.004006
284,0.006196
285,0.005618
286,0.003646
287,0.003665
288,0.005408
289,0.005348
290,0.004924
291,0.005959
292,0.004416
293,0.005949
294,0.005277
295,0.004075
296,0.006104
297,0.005465
298,0.006879
299,0.005283
300,0.005786
301,0.005307
302,0.005292
303,0.003799
304,0.005922
305,0.00436
306,0.003778
307,0.00473
308,0.005964
309,0.004471
310,0.004954
311,0.005514
312,0.006413
313,0.004708
314,0.005677
315,0.005799
316,0.005441
317,0.005599
318,0.005938
319,0.006177
320,0.005975
321,0.006417
322,0.005664
323,0.005805
324,0.004779
325,0.005681
326,0.005997
327,0.005791
328,0.005725
329,0.004946
330,0.005705
331,0.004254
332,0.006311
333,0.004975
334,0.005602
335,0.006096
336,0.005823
337,0.005238
338,0.005953
339,0.005476
340,0.005135
341,0.006225
342,0.005098
343,0.00591
344,0.004682
345,0.005061
346,0.006345
347,0.005211
348,0.005674
349,0.005686
350,0.00438
351,0.005702
352,0.005382
353,0.005198
354,0.00541
355,0.005407
356,0.004755
357,0.004757
358,0.006036
359,0.005784
360,0.005322
361,0.006327
362,0.00522
363,0.005016
364,0.004992
365,0.003798
366,0.005905
367,0.005786
368,0.004737
369,0.005464
370,0.003897
371,0.005738
372,0.004796
373,0.005632
374,0.005462
375,0.005824
376,0.006004
377,0.005509
378,0.004845
379,0.008501
380,0.006448
381,0.006009
382,0.005781
383,0.00596
384,0.005677
385,0.006164
386,0.005768
387,0.006346
388,0.005474
389,0.005294
390,0.005119
391,0.005637
392,0.005523
393,0.005629
394,0.006395
395,0.007516
396,0.006055
397,0.003834
398,0.006087
399,0.006141
400,0.005444
401,0.005645
402,0.00522
403,0.005371
404,0.005236
405,0.00712
406,0.00688
407,0.006656
408,0.007621
409,0.006471
410,0.00587
411,0.004668
412,0.005481
413,0.005436
414,0.00507
415,0.005116
416,0.005861
417,0.004581
418,0.005359
419,0.00538
420,0.00508
421,0.005507
422,0.003636
423,0.005631
424,0.004064
425,0.005873
426,0.005327
427,0.006203
428,0.00581
429,0.005507
430,0.005524
431,0.005259
432,0.005067
433,0.006021
434,0.005834
435,0.00622
436,0.005832
437,0.005233
438,0.006251
439,0.005482
440,0.005535
441,0.005088
442,0.006358
443,0.004445
444,0.005042
445,0.005491
446,0.008524
447,0.006068
448,0.005561
449,0.005416
450,0.005949
451,0.006301
452,0.003865
453,0.004049
454,0.005477
455,0.004847
456,0.005637
457,0.005361
458,0.005356
459,0.00561
460,0.005922
461,0.005858
462,0.006144
463,0.005826
464,0.005841
465,0.005053
466,0.005636
467,0.005725
468,0.005968
469,0.005542
470,0.005017
471,0.005002
472,0.004996
473,0.005978
474,0.004071
475,0.005783
476,0.004079
477,0.00591
478,0.005554
479,0.005357
480,0.005762
481,0.005875
482,0.005535
483,0.006079
484,0.005197
485,0.006049
486,0.006152
487,0.006013
488,0.006164
489,0.005581
490,0.004812
491,0.006169
492,0.005331
493,0.005141
494,0.005893
495,0.005075
496,0.006754
497,0.004474
498,0.004178
499,0.005647
500,0.007485
501,0.008571
502,0.007767
503,0.008053
504,0.009016
505,0.007671
506,0.006501
507,0.006568
508,0.007299
509,0.00666
510,0.007892
511,0.008387
512,0.008044
513,0.008743
514,0.006247
515,0.008801
516,0.007511
517,0.007017
518,0.006892
519,0.00603
520,0.008573
521,0.006956
522,0.007474
523,0.006694
524,0.006926
525,0.008151
526,0.006712
527,0.005816
528,0.006114
529,0.006639
530,0.008893
531,0.006896
532,0.007375
533,0.00835
534,0.007784
535,0.007103
536,0.007555
537,0.007166
538,0.006296
539,0.008311
540,0.008002
541,0.007162
542,0.006043
543,0.007789
544,0.008202
545,0.008495
546,0.007806
547,0.006933
548,0.008384
549,0.008397
550,0.009229
551,0.005839
552,0.007488
553,0.007977
554,0.006953
555,0.008667
556,0.006971
557,0.007667
558,0.009099
559,0.006641
560,0.006916
561,0.009295
562,0.009706
563,0.007447
564,0.007074
565,0.007389
566,0.007821
567,0.007794
