Iteration,Itemset_CPU_Time(ms)
1,0.067809
2,0.023885
3,0.024898
4,0.01694
5,0.013573
6,0.011155
7,0.011661
8,0.013155
9,0.013774
10,0.010235
11,0.012169
12,0.015701
13,0.012989
14,0.013932
15,0.013326
16,0.011825
17,0.011875
18,0.01316
19,0.013795
20,0.012547
21,0.012375
22,0.011913
23,0.01124
24,0.012431
25,0.012741
26,0.012021
27,0.019651
28,0.016989
29,0.017913
30,0.012245
31,0.011658
32,0.010908
33,0.010878
34,0.01641
35,0.014258
36,0.012795
37,0.010209
38,0.012103
39,0.009538
40,0.009954
41,0.014876
42,0.010855
43,0.012647
44,0.014417
45,0.014034
46,0.010605
47,0.013074
48,0.010166
49,0.012333
50,0.01373
51,0.01384
52,0.016796
53,0.010496
54,0.014475
55,0.012588
56,0.011916
57,0.009638
58,0.010617
59,0.0113
60,0.011441
61,0.010946
62,0.013357
63,0.016425
64,0.011011
65,0.013807
66,0.012619
67,0.012085
68,0.012064
69,0.013247
70,0.014246
71,0.012539
72,0.011864
73,0.009253
74,0.012863
75,0.011452
76,0.012393
77,0.013819
78,0.008909
79,0.01121
80,0.01095
81,0.013253
82,0.012348
83,0.011568
84,0.011093
85,0.012254
86,0.010089
87,0.011776
88,0.011605
89,0.011454
90,0.011602
91,0.023548
92,0.013557
93,0.011953
94,0.013009
95,0.014982
96,0.013511
97,0.011248
98,0.013082
99,0.012652
100,0.012396
101,0.013784
102,0.014526
103,0.01271
104,0.011809
105,0.010904
106,0.012499
107,0.012087
108,0.011602
109,0.015181
110,0.014343
111,0.013333
112,0.012538
113,0.01177
114,0.013375
115,0.011402
116,0.013016
117,0.011449
118,0.011254
119,0.010052
120,0.010859
121,0.009448
122,0.011331
123,0.0167
124,0.012151
125,0.014753
126,0.012083
127,0.011998
128,0.011278
129,0.011508
130,0.009807
131,0.01413
132,0.012582
133,0.012651
134,0.010146
135,0.012917
136,0.012807
137,0.016495
138,0.011179
139,0.011026
140,0.01407
141,0.010168
142,0.009309
143,0.01175
144,0.014333
145,0.013812
146,0.011622
147,0.010423
148,0.012419
149,0.013673
150,0.013808
151,0.012284
152,0.009533
153,0.012606
154,0.011208
155,0.012207
156,0.012585
157,0.013652
158,0.011012
159,0.010148
160,0.010307
161,0.012966
162,0.012224
163,0.014145
164,0.011398
165,0.014271
166,0.009425
167,0.015381
168,0.010926
169,0.011761
170,0.01461
171,0.017984
172,0.009313
173,0.009935
174,0.012731
175,0.011198
176,0.012958
177,0.011738
178,0.013092
179,0.01096
180,0.015793
181,0.011535
182,0.011242
183,0.013881
184,0.013498
185,0.012311
186,0.01269
187,0.01542
188,0.014573
189,0.010905
190,0.009816
191,0.013716
192,0.012285
193,0.014699
194,0.009413
195,0.01429
196,0.011792
197,0.010246
198,0.014106
199,0.008697
200,0.012311
201,0.011799
202,0.013126
203,0.012462
204,0.014763
205,0.012165
206,0.013939
207,0.010869
208,0.015611
209,0.010494
210,0.011891
211,0.012431
212,0.013168
213,0.011334
214,0.008728
215,0.012361
216,0.013553
217,0.013517
218,0.014055
219,0.013442
220,0.014087
221,0.013619
222,0.0121
223,0.012922
224,0.012006
225,0.012824
226,0.011298
227,0.01222
228,0.009857
229,0.014315
230,0.009819
231,0.016136
232,0.011715
233,0.01365
234,0.015523
235,0.011866
236,0.011305
237,0.012236
238,0.011569
239,0.01069
240,0.01116
241,0.014262
242,0.014974
243,0.014273
244,0.009394
245,0.013999
246,0.01042
247,0.01098
248,0.013358
249,0.012297
250,0.012799
251,0.021069
252,0.010962
253,0.014772
254,0.010528
255,0.01027
256,0.011329
257,0.010059
258,0.009832
259,0.012645
260,0.015924
261,0.013034
262,0.013842
263,0.011067
264,0.010007
265,0.013381
266,0.01427
267,0.010778
268,0.02135
269,0.013557
270,0.014237
271,0.012722
272,0.013461
273,0.011017
274,0.009765
275,0.011115
276,0.009678
277,0.01139
278,0.012024
279,0.01321
280,0.013104
281,0.010848
282,0.012643
283,0.010304
284,0.012761
285,0.012159
286,0.011134
287,0.012842
288,0.008794
289,0.012592
290,0.013605
291,0.014278
292,0.012286
293,0.011259
294,0.011061
295,0.011241
296,0.009662
297,0.009037
298,0.01147
299,0.009541
300,0.008267
301,0.009059
302,0.010377
303,0.012134
304,0.014145
305,0.011454
306,0.015394
307,0.017468
308,0.01138
309,0.024605
310,0.014606
311,0.013377
312,0.011056
313,0.011529
314,0.011151
315,0.012908
316,0.010208
317,0.012632
318,0.012022
319,0.01189
320,0.013129
321,0.010027
322,0.014066
323,0.012543
324,0.01468
325,0.011187
326,0.012627
327,0.013339
328,0.012128
329,0.011283
330,0.012281
331,0.012713
332,0.009168
333,0.011893
334,0.009311
335,0.011859
336,0.011539
337,0.010147
338,0.010851
339,0.011798
340,0.011793
341,0.009849
342,0.015947
343,0.010654
344,0.01461
345,0.009497
346,0.012404
347,0.010619
348,0.013322
349,0.010117
350,0.012747
351,0.01086
352,0.01054
353,0.013706
354,0.012703
355,0.013903
356,0.010451
357,0.011571
358,0.009618
359,0.014987
360,0.013273
361,0.010997
362,0.010918
363,0.010689
364,0.012642
365,0.009619
366,0.012272
367,0.008922
368,0.011338
369,0.012746
370,0.015135
371,0.011065
372,0.012806
373,0.011397
374,0.010841
375,0.013897
376,0.013151
377,0.011492
378,0.012943
379,0.010771
380,0.01235
381,0.014022
382,0.012758
383,0.012823
384,0.011235
385,0.011845
386,0.012466
387,0.012685
388,0.013212
389,0.017653
390,0.012469
391,0.014981
392,0.015022
393,0.013387
394,0.008788
395,0.010886
396,0.013486
397,0.010644
398,0.009446
399,0.013559
400,0.011749
401,0.015368
402,0.009085
403,0.010895
404,0.014411
405,0.014537
406,0.010403
407,0.01206
408,0.010388
409,0.011358
410,0.012908
411,0.012339
412,0.010871
413,0.013075
414,0.011188
415,0.013018
416,0.013083
417,0.011298
418,0.016583
419,0.010336
420,0.010385
421,0.01318
422,0.015018
423,0.010126
424,0.013688
425,0.009884
426,0.012218
427,0.013411
428,0.013253
429,0.012922
430,0.012262
431,0.009557
432,0.012178
433,0.013045
434,0.012057
435,0.014248
436,0.012753
437,0.010056
438,0.011858
439,0.012568
440,0.009378
441,0.01297
442,0.009057
443,0.011466
444,0.013225
445,0.01324
446,0.01249
447,0.009611
448,0.009836
449,0.011865
450,0.011091
451,0.014927
452,0.01352
453,0.015474
454,0.017577
455,0.010262
456,0.011636
457,0.01094
458,0.012421
459,0.013683
460,0.011196
461,0.011073
462,0.011909
463,0.016646
464,0.012908
465,0.015107
466,0.012653
467,0.011982
468,0.014527
469,0.012928
470,0.010864
471,0.013176
472,0.012123
473,0.008611
474,0.010965
475,0.014624
476,0.016955
477,0.01272
478,0.012109
479,0.012965
480,0.010365
481,0.013251
482,0.01364
483,0.01331
484,0.014048
485,0.012915
486,0.018582
487,0.011828
488,0.013677
489,0.012619
490,0.008987
491,0.014296
492,0.015952
493,0.014593
494,0.012271
495,0.011341
496,0.009506
497,0.013134
498,0.01227
499,0.012891
500,0.010378
501,0.01399
502,0.011776
503,0.012379
504,0.011189
505,0.011924
506,0.01266
507,0.012806
508,0.010825
509,0.016177
510,0.01466
511,0.013822
512,0.015185
513,0.010749
514,0.012955
515,0.010533
516,0.010394
517,0.01274
518,0.011199
519,0.017238
520,0.013131
521,0.012387
522,0.010733
523,0.012082
524,0.009779
525,0.015347
526,0.010913
527,0.013133
528,0.011577
529,0.016052
530,0.016829
531,0.009384
532,0.015426
533,0.012082
534,0.013656
535,0.014551
536,0.015587
537,0.012917
538,0.01536
539,0.013056
540,0.014121
541,0.009736
542,0.018551
543,0.013093
544,0.012703
545,0.018786
546,0.012246
547,0.011566
548,0.016413
549,0.011162
550,0.009373
551,0.012103
552,0.012327
553,0.013227
554,0.01246
555,0.011258
556,0.013148
557,0.011184
558,0.011597
559,0.013377
560,0.012909
561,0.012541
562,0.013161
563,0.01365
564,0.012082
565,0.009824
566,0.013642
567,0.01144
568,0.010744
569,0.011545
570,0.014103
571,0.016231
572,0.010972
573,0.014073
574,0.012439
575,0.014631
576,0.012037
577,0.010676
578,0.008416
579,0.012993
580,0.010345
581,0.012177
582,0.012642
583,0.01073
584,0.015207
585,0.011313
586,0.011759
587,0.009966
588,0.010782
589,0.013166
590,0.009727
591,0.011521
592,0.011254
593,0.011567
594,0.012717
595,0.009671
596,0.014441
597,0.013305
598,0.009143
599,0.013685
600,0.010293
601,0.011627
602,0.010418
603,0.012991
604,0.011617
605,0.012061
606,0.011095
607,0.010636
608,0.010401
609,0.010986
610,0.009336
611,0.00976
612,0.010175
613,0.011858
614,0.009066
615,0.011164
616,0.009208
617,0.008256
