Iteration,Itemset_CPU_Time(ms)
1,0.071102
2,0.041453
3,0.040731
4,0.038377
5,0.037407
6,0.039095
7,0.037669
8,0.041949
9,0.040078
10,0.037774
11,0.039849
12,0.042545
13,0.045778
14,0.052447
15,0.040077
16,0.041392
17,0.042809
18,0.036557
19,0.040646
20,0.039847
21,0.041276
22,0.038643
23,0.03987
24,0.039497
25,0.039006
26,0.041965
27,0.040575
28,0.040141
29,0.040239
30,0.03863
31,0.040159
32,0.039462
33,0.047593
34,0.038443
35,0.04192
36,0.039744
37,0.039919
38,0.041422
39,0.037962
40,0.038293
41,0.037071
42,0.04152
43,0.041935
44,0.041164
45,0.0365
46,0.041921
47,0.040142
48,0.040579
49,0.0391
50,0.036994
51,0.039287
52,0.049843
53,0.039219
54,0.038428
55,0.039297
56,0.041061
57,0.041543
58,0.04139
59,0.039334
60,0.039719
61,0.040359
62,0.039559
63,0.040855
64,0.040195
65,0.039686
66,0.043412
67,0.040089
68,0.038305
69,0.045732
70,0.04866
71,0.040557
72,0.040255
73,0.03941
74,0.041744
75,0.03752
76,0.040673
77,0.039103
78,0.03785
79,0.039137
80,0.040379
81,0.043016
82,0.041269
83,0.047473
84,0.042911
85,0.039109
86,0.039818
87,0.038603
88,0.042696
89,0.054799
90,0.043372
91,0.045763
92,0.045235
93,0.041644
94,0.044578
95,0.037817
96,0.035777
97,0.034777
98,0.033045
99,0.039157
100,0.036147
101,0.035752
102,0.031669
103,0.035184
104,0.035845
105,0.033327
106,0.032906
107,0.056874
108,0.040661
109,0.042507
110,0.041141
111,0.043105
112,0.042678
113,0.044949
114,0.046358
115,0.056886
116,0.042453
117,0.046472
118,0.042354
119,0.043604
120,0.037255
121,0.034682
122,0.034562
123,0.037628
124,0.041734
125,0.035263
126,0.050625
127,0.035687
128,0.038406
129,0.034021
130,0.033566
131,0.034212
132,0.033257
133,0.034385
134,0.033894
135,0.034778
136,0.035493
137,0.041489
138,0.035885
139,0.040391
140,0.044111
141,0.041258
142,0.041414
143,0.044141
144,0.061987
145,0.04317
146,0.041239
147,0.042298
148,0.043171
149,0.046353
150,0.038628
151,0.033686
152,0.033904
153,0.032331
154,0.033087
155,0.033685
156,0.035377
157,0.034974
158,0.043343
159,0.033022
160,0.03552
161,0.033642
162,0.032005
163,0.042674
164,0.034081
165,0.034596
166,0.033676
167,0.035931
168,0.032959
169,0.033825
170,0.033917
171,0.033524
172,0.040063
173,0.039783
174,0.03668
175,0.031564
176,0.039676
177,0.03807
178,0.044131
179,0.041067
180,0.044238
181,0.042324
182,0.043998
183,0.034257
184,0.034146
185,0.03439
186,0.034261
187,0.035956
188,0.033726
189,0.03453
190,0.03541
191,0.031598
192,0.034861
193,0.033996
194,0.03563
195,0.03667
196,0.032247
197,0.03337
198,0.032969
199,0.034499
200,0.044213
201,0.034902
202,0.034633
203,0.032168
204,0.034402
205,0.047797
206,0.034315
207,0.035998
208,0.033059
209,0.040668
210,0.042803
211,0.039148
212,0.032227
213,0.032703
214,0.03523
215,0.034821
216,0.034586
217,0.034903
218,0.034715
219,0.045594
220,0.034966
221,0.033905
222,0.035067
223,0.03369
224,0.039295
225,0.032816
226,0.031999
227,0.0355
228,0.035935
229,0.035252
230,0.035375
231,0.034322
232,0.033862
233,0.036033
234,0.033443
235,0.034802
236,0.033574
237,0.041325
238,0.034251
239,0.033083
240,0.031568
241,0.033406
242,0.032166
243,0.031615
244,0.034213
245,0.032995
246,0.033072
247,0.03374
248,0.03444
249,0.033963
250,0.03482
251,0.033878
252,0.034003
253,0.03446
254,0.035632
255,0.030715
256,0.040184
257,0.035153
258,0.034127
259,0.033966
260,0.035172
261,0.034972
262,0.03338
263,0.034413
264,0.037362
265,0.037181
266,0.035626
267,0.03392
268,0.034483
269,0.036809
270,0.034595
271,0.034999
272,0.035141
273,0.038765
274,0.045675
275,0.039876
276,0.035677
277,0.042526
278,0.042582
279,0.043304
280,0.041216
281,0.04285
282,0.043844
283,0.0385
284,0.040892
285,0.043394
286,0.043217
287,0.045838
288,0.044023
289,0.044482
290,0.043159
291,0.041801
292,0.037445
293,0.04866
294,0.03557
295,0.051981
296,0.044151
297,0.033795
298,0.033367
299,0.033931
300,0.034043
301,0.03632
302,0.042129
303,0.037825
304,0.041347
305,0.039771
306,0.04444
307,0.044885
308,0.053187
309,0.045986
310,0.040453
311,0.056415
312,0.043998
313,0.043863
314,0.044238
315,0.049492
316,0.04623
317,0.047211
318,0.042394
319,0.04387
320,0.045699
321,0.044489
322,0.045294
323,0.044317
324,0.04445
325,0.042025
326,0.046225
327,0.04435
328,0.045484
329,0.045262
330,0.053028
331,0.045937
332,0.042758
333,0.044016
334,0.042945
335,0.047118
336,0.044764
337,0.043836
338,0.042506
339,0.043513
340,0.043997
341,0.044588
342,0.043033
343,0.042453
344,0.044124
345,0.040993
346,0.045437
347,0.046143
348,0.044369
349,0.055968
350,0.042449
351,0.045042
352,0.04459
353,0.047516
354,0.043297
355,0.044917
356,0.043158
357,0.049234
358,0.045399
359,0.047157
360,0.043304
361,0.043912
362,0.047779
363,0.042358
364,0.045008
365,0.04721
366,0.04699
367,0.053475
368,0.045618
369,0.045626
370,0.047504
371,0.047815
372,0.04231
373,0.045125
374,0.041796
375,0.043951
376,0.045508
377,0.044787
378,0.046333
379,0.045721
380,0.047491
381,0.043528
382,0.042559
383,0.046958
384,0.044941
385,0.044026
386,0.054876
387,0.04607
388,0.046563
389,0.040433
390,0.044447
391,0.051905
392,0.04616
393,0.046261
394,0.045283
395,0.04373
396,0.045761
397,0.045202
398,0.044089
399,0.045449
400,0.045075
401,0.045456
402,0.043642
403,0.035114
404,0.040887
405,0.03474
406,0.035569
407,0.03629
408,0.034395
409,0.036645
410,0.033271
411,0.034994
412,0.034347
413,0.034599
414,0.035444
415,0.038322
416,0.039973
417,0.03572
418,0.033893
419,0.036298
420,0.032541
421,0.033308
422,0.035938
423,0.043783
424,0.034428
425,0.033999
426,0.034384
427,0.03522
428,0.032832
429,0.034709
430,0.034897
431,0.03314
432,0.039799
433,0.033579
434,0.034035
435,0.033537
436,0.034828
437,0.036027
438,0.035182
439,0.034902
440,0.034452
441,0.043409
442,0.035656
443,0.034798
444,0.034706
445,0.046422
446,0.035136
447,0.033419
448,0.035604
449,0.034911
450,0.03523
451,0.03497
452,0.034171
453,0.03363
454,0.033954
455,0.034315
456,0.033269
457,0.035569
458,0.034687
459,0.033457
460,0.041294
461,0.033269
462,0.034234
463,0.032498
464,0.034605
465,0.035485
466,0.03481
467,0.035384
468,0.037132
469,0.035574
470,0.033763
471,0.033064
472,0.036486
473,0.034964
474,0.036392
475,0.033383
476,0.033036
477,0.034666
478,0.042253
479,0.032874
480,0.034099
481,0.03617
482,0.035531
483,0.035417
484,0.035255
485,0.034798
486,0.035056
487,0.035586
488,0.033948
489,0.034415
490,0.035482
491,0.034133
492,0.035458
493,0.034952
494,0.035499
495,0.034816
496,0.034221
497,0.040407
498,0.048706
499,0.041159
500,0.039764
501,0.032071
