Iteration,Itemset_CPU_Time(ms)
1,0.115219
2,0.076644
3,0.099781
4,0.065838
5,0.06301
6,0.081773
7,0.060998
8,0.070534
9,0.061144
10,0.066701
11,0.062047
12,0.064189
13,0.059231
14,0.065457
15,0.05901
16,0.061507
17,0.064991
18,0.067479
19,0.089322
20,0.071375
21,0.061023
22,0.05952
23,0.060604
24,0.063093
25,0.05394
26,0.065199
27,0.061509
28,0.066501
29,0.066457
30,0.071087
31,0.064885
32,0.072916
33,0.060976
34,0.065428
35,0.087291
36,0.10204
37,0.067041
38,0.067508
39,0.064273
40,0.060446
41,0.068705
42,0.105024
43,0.068817
44,0.057187
45,0.071802
46,0.060653
47,0.070311
48,0.063098
49,0.085575
50,0.063477
51,0.060097
52,0.07213
53,0.076392
54,0.059504
55,0.080252
56,0.072499
57,0.073283
58,0.065857
59,0.069511
60,0.064318
61,0.064061
62,0.066474
63,0.061801
64,0.08593
65,0.058679
66,0.063533
67,0.059791
68,0.069354
69,0.068991
70,0.060939
71,0.062765
72,0.065334
73,0.059246
74,0.073567
75,0.05892
76,0.063583
77,0.061124
78,0.06071
79,0.060241
80,0.065002
81,0.059038
82,0.067492
83,0.060642
84,0.067509
85,0.061954
86,0.055994
87,0.065631
88,0.061382
89,0.057471
90,0.057487
91,0.054798
92,0.075955
93,0.052848
94,0.05952
95,0.067749
96,0.06751
97,0.063319
98,0.06666
99,0.062357
100,0.060924
101,0.066604
102,0.05985
103,0.067253
104,0.061323
105,0.057603
106,0.06098
107,0.067116
108,0.052539
109,0.064371
110,0.06784
111,0.069759
112,0.061706
113,0.068019
114,0.064065
115,0.061181
116,0.070812
117,0.058677
118,0.060809
119,0.064844
120,0.068776
121,0.062811
122,0.066005
123,0.074484
124,0.062032
125,0.165056
126,0.069521
127,0.060437
128,0.059579
129,0.070372
130,0.057544
131,0.063891
132,0.058459
133,0.06076
134,0.066539
135,0.061277
136,0.061545
137,0.071945
138,0.066223
139,0.063848
140,0.063614
141,0.059867
142,0.062273
143,0.054541
144,0.059154
145,0.076662
146,0.072701
147,0.061146
148,0.066307
149,0.066918
150,0.060225
151,0.062062
152,0.065592
153,0.066544
154,0.071499
155,0.067664
156,0.061222
157,0.064888
158,0.077194
159,0.073349
160,0.061266
161,0.071877
162,0.060125
163,0.063584
164,0.063776
165,0.076118
166,0.062231
167,0.05487
168,0.066029
169,0.060469
170,0.061508
171,0.059551
172,0.063812
173,0.065165
174,0.080708
175,0.076878
176,0.074715
177,0.061291
178,0.067881
179,0.063646
180,0.070362
181,0.073803
182,0.061365
183,0.065302
184,0.060811
185,0.068758
186,0.064046
187,0.119159
188,0.063283
189,0.066253
190,0.069979
191,0.059619
192,0.078709
193,0.063118
194,0.064925
195,0.06586
196,0.112595
197,0.061488
198,0.061268
199,0.065281
200,0.065335
201,0.068784
202,0.064444
203,0.059516
204,0.065469
205,0.064011
206,0.06231
207,0.066121
208,0.0628
209,0.05825
210,0.066939
211,0.063093
212,0.069668
213,0.075373
214,0.063387
215,0.05599
216,0.06341
217,0.063619
218,0.066671
219,0.058857
220,0.061203
221,0.06518
222,0.061743
223,0.061145
224,0.07359
225,0.064912
226,0.070421
227,0.058778
228,0.063655
229,0.066236
230,0.061806
231,0.061964
232,0.089571
233,0.067712
234,0.060223
235,0.057085
236,0.063172
237,0.065596
238,0.063127
239,0.060301
240,0.066485
241,0.063225
242,0.070199
243,0.060673
244,0.083002
245,0.141386
246,0.086746
247,0.101447
248,0.085312
249,0.080322
250,0.090011
251,0.095846
252,0.079805
253,0.079109
254,0.079494
255,0.079408
256,0.078391
257,0.082376
258,0.089252
259,0.08081
260,0.130518
261,0.081075
262,0.079328
263,0.085548
264,0.126598
265,0.104807
266,0.083403
267,0.087158
268,0.100204
269,0.09595
270,0.089492
271,0.087945
272,0.088161
273,0.082064
274,0.081653
275,0.087313
276,0.085077
277,0.083754
278,0.078804
279,0.08304
280,0.081242
281,0.100869
282,0.078881
283,0.094418
284,0.145041
285,0.088538
286,0.104082
287,0.088428
288,0.078315
289,0.105135
290,0.092489
291,0.080068
292,0.102861
293,0.089887
294,0.080259
295,0.085506
296,0.085259
297,0.085385
298,0.084388
299,0.090461
300,0.080367
301,0.079444
302,0.093505
303,0.077632
304,0.079181
305,0.086006
306,0.080492
307,0.086544
308,0.097438
309,0.076431
310,0.08816
311,0.092657
312,0.083194
313,0.078823
314,0.111549
315,0.091933
316,0.106111
317,0.089011
318,0.080493
319,0.095358
320,0.093618
321,0.090341
322,0.142856
323,0.080154
324,0.08447
325,0.086456
326,0.086461
327,0.080413
328,0.106044
329,0.099815
330,0.092038
331,0.102593
332,0.089212
333,0.084369
334,0.09047
335,0.074318
336,0.083163
337,0.100954
338,0.10305
339,0.090887
340,0.078136
341,0.084473
342,0.09263
343,0.092376
344,0.080438
345,0.080865
346,0.086932
347,0.091345
348,0.080781
349,0.132306
350,0.080443
351,0.092342
352,0.11275
353,0.091006
354,0.107798
355,0.141456
356,0.093884
357,0.084713
358,0.120674
359,0.089094
360,0.094212
361,0.104042
362,0.103613
363,0.079905
364,0.076959
365,0.064989
366,0.06733
367,0.073292
368,0.065064
369,0.071719
370,0.060597
371,0.061969
372,0.068365
373,0.073598
374,0.083151
375,0.096897
376,0.076072
377,0.112632
378,0.07501
379,0.070692
380,0.075759
381,0.085177
382,0.087584
383,0.078676
384,0.083022
385,0.075352
386,0.089286
387,0.072158
388,0.068734
389,0.072243
390,0.07052
391,0.063285
392,0.063615
393,0.057443
394,0.065151
395,0.066221
396,0.061668
397,0.063602
398,0.057801
399,0.062043
400,0.065121
401,0.059779
402,0.079949
403,0.061957
404,0.064017
405,0.063424
406,0.066996
407,0.060851
408,0.068903
409,0.060164
410,0.063725
411,0.070836
412,0.06017
413,0.063069
414,0.059413
415,0.059735
416,0.061799
417,0.058569
418,0.063364
419,0.058501
420,0.061108
421,0.066682
422,0.066077
423,0.084253
424,0.062151
425,0.06281
426,0.062041
427,0.063396
428,0.063718
429,0.065359
430,0.068774
431,0.063687
432,0.07075
433,0.061558
434,0.059963
435,0.059763
436,0.064045
437,0.073106
438,0.074622
439,0.092382
440,0.10018
441,0.061444
442,0.069504
443,0.064017
444,0.064143
445,0.066164
446,0.066639
447,0.074923
448,0.070751
449,0.064294
450,0.074747
451,0.062017
452,0.058702
453,0.116257
454,0.060959
455,0.073547
456,0.065568
457,0.060586
458,0.065672
459,0.062165
460,0.061801
461,0.061444
462,0.059103
463,0.059095
464,0.064137
465,0.058361
466,0.061622
467,0.065976
468,0.06431
469,0.068989
470,0.092008
471,0.073182
472,0.060812
473,0.071804
474,0.064314
475,0.061362
476,0.063964
477,0.067481
478,0.073879
479,0.065687
480,0.061379
481,0.058227
482,0.061762
483,0.060411
484,0.062112
485,0.065129
486,0.078432
487,0.100634
488,0.089536
489,0.09277
490,0.079633
491,0.077384
492,0.131695
493,0.083246
494,0.078071
495,0.086717
496,0.084365
497,0.124643
498,0.095936
499,0.071615
500,0.080214
501,0.066296
502,0.063469
503,0.065225
504,0.057761
505,0.065994
506,0.067085
507,0.063289
508,0.071569
509,0.063271
510,0.063344
511,0.060376
512,0.066395
513,0.060021
514,0.064412
515,0.059483
516,0.06686
517,0.069855
518,0.064063
519,0.069543
520,0.10618
521,0.121536
522,0.117713
523,0.085968
524,0.084714
525,0.080081
526,0.08012
527,0.094531
528,0.082021
529,0.082365
530,0.09465
531,0.084765
532,0.094134
533,0.086184
534,0.09761
535,0.092286
536,0.080519
537,0.097868
538,0.099377
539,0.077844
540,0.080715
541,0.092947
542,0.081839
543,0.106875
544,0.09232
545,0.079307
546,0.089131
547,0.088006
548,0.087108
549,0.0723
550,0.090118
551,0.084654
552,0.088324
553,0.080861
554,0.08128
555,0.083705
556,0.090106
557,0.088781
558,0.087812
559,0.07327
560,0.07478
561,0.084601
562,0.084225
563,0.094885
564,0.071466
565,0.077843
566,0.062447
567,0.059471
568,0.070611
569,0.12054
570,0.076292
571,0.063958
572,0.061038
573,0.074414
574,0.066904
575,0.057903
576,0.058536
577,0.05597
578,0.07144
579,0.065429
580,0.062707
581,0.066347
582,0.062463
583,0.060765
584,0.06319
585,0.071214
586,0.063827
587,0.062129
588,0.073667
589,0.060657
590,0.061841
591,0.07072
592,0.059305
593,0.061368
594,0.063038
595,0.057641
596,0.063748
597,0.062511
598,0.064479
599,0.059404
600,0.063269
601,0.063969
602,0.06496
603,0.067829
604,0.063854
605,0.065232
606,0.066494
607,0.057116
608,0.065164
609,0.068502
610,0.057303
611,0.057815
612,0.071163
613,0.059324
614,0.063797
615,0.061995
616,0.068592
617,0.066115
618,0.063003
619,0.061168
620,0.0581
621,0.059191
622,0.072332
623,0.061225
624,0.059354
625,0.061886
626,0.058638
627,0.054719
628,0.059068
629,0.060975
630,0.073732
631,0.066484
632,0.059406
633,0.075601
634,0.060455
635,0.062932
636,0.057589
637,0.060686
638,0.059657
639,0.060512
640,0.10765
641,0.050676
642,0.06644
643,0.06436
644,0.05705
645,0.056192
646,0.060962
647,0.066646
648,0.060477
649,0.078485
650,0.058149
651,0.057445
652,0.060705
653,0.057906
654,0.06409
655,0.066411
656,0.057637
657,0.057175
658,0.065842
659,0.057214
660,0.059267
661,0.071423
662,0.100191
663,0.061573
664,0.06479
665,0.057914
666,0.05854
667,0.061117
668,0.057427
669,0.079756
670,0.05726
671,0.06737
672,0.068341
673,0.067154
674,0.082732
675,0.056421
676,0.057359
677,0.064732
678,0.087085
679,0.060186
680,0.062946
681,0.06767
682,0.069547
683,0.05665
684,0.055381
685,0.059173
686,0.059678
687,0.057447
688,0.06224
689,0.056468
690,0.058003
691,0.065584
692,0.059864
693,0.06119
694,0.062705
695,0.055807
696,0.065148
697,0.069029
698,0.059463
699,0.072986
700,0.06069
701,0.063744
702,0.06438
703,0.055414
704,0.066429
705,0.067018
706,0.064087
707,0.058406
708,0.063611
709,0.059385
710,0.059418
711,0.058049
712,0.072821
713,0.067153
714,0.058266
715,0.067191
716,0.062178
717,0.060419
718,0.09077
719,0.05827
720,0.057589
721,0.06741
722,0.057394
723,0.069483
724,0.064291
725,0.115818
726,0.063256
727,0.059787
728,0.064037
729,0.062544
730,0.059543
731,0.058999
732,0.079205
733,0.058718
734,0.068308
735,0.06815
736,0.06065
737,0.061779
738,0.057788
739,0.056605
740,0.058105
741,0.060161
742,0.058686
743,0.071624
744,0.060044
745,0.056148
746,0.063064
747,0.068991
748,0.058295
749,0.05984
750,0.06572
751,0.062482
752,0.063283
753,0.058367
754,0.073369
755,0.065124
756,0.056955
757,0.074788
758,0.054459
759,0.059849
760,0.060761
761,0.058249
762,0.059962
763,0.059512
764,0.059955
765,0.056163
766,0.063041
767,0.063828
768,0.058114
769,0.062958
770,0.059481
771,0.06273
772,0.064263
773,0.059736
774,0.065297
775,0.066022
776,0.062263
777,0.062018
778,0.066239
779,0.059367
780,0.063512
781,0.058919
782,0.063098
783,0.060695
784,0.068907
785,0.058307
786,0.059724
787,0.068315
788,0.051072
789,0.060509
790,0.05612
791,0.065768
792,0.071894
793,0.058833
794,0.051115
795,0.05638
796,0.06276
797,0.060672
798,0.066418
799,0.071776
800,0.060378
801,0.05756
802,0.061981
803,0.06247
804,0.063581
805,0.060337
806,0.059617
807,0.057775
808,0.061941
809,0.057072
810,0.057706
811,0.05809
812,0.056941
813,0.067318
814,0.057185
815,0.057469
816,0.062015
817,0.060566
818,0.061564
819,0.077561
820,0.058977
821,0.057071
822,0.064764
823,0.058621
824,0.056486
825,0.05872
826,0.056278
827,0.056426
828,0.066156
829,0.06344
830,0.055792
831,0.056188
832,0.057474
833,0.062828
834,0.061452
835,0.058029
836,0.061463
837,0.058796
838,0.057828
839,0.069999
840,0.077973
841,0.062097
842,0.064788
843,0.060363
844,0.062519
845,0.059994
846,0.056281
847,0.054965
848,0.054792
849,0.063004
850,0.058421
851,0.059179
852,0.05891
853,0.059344
854,0.059465
855,0.056956
856,0.069612
857,0.058787
858,0.057109
859,0.062748
860,0.063013
861,0.056342
862,0.06098
863,0.057792
864,0.063476
865,0.054111
866,0.057294
867,0.059054
868,0.063154
869,0.056716
870,0.058352
871,0.055691
872,0.065602
873,0.058882
874,0.086545
875,0.062489
876,0.061346
877,0.06018
878,0.054885
879,0.058156
880,0.057971
881,0.079185
882,0.062577
883,0.066195
884,0.056666
885,0.057102
886,0.073569
887,0.061294
888,0.079983
889,0.083769
