Iteration,Itemset_CPU_Time(ms)
1,0.079447
2,0.047332
3,0.0466
4,0.045685
5,0.041977
6,0.032136
7,0.041023
8,0.039363
9,0.038595
10,0.042956
11,0.0428
12,0.031579
13,0.045116
14,0.04159
15,0.040484
16,0.039139
17,0.044395
18,0.03947
19,0.042244
20,0.040983
21,0.041456
22,0.042272
23,0.042282
24,0.044061
25,0.04236
26,0.043165
27,0.035616
28,0.035855
29,0.04295
30,0.040616
31,0.041335
32,0.043814
33,0.043038
34,0.042338
35,0.051898
36,0.043407
37,0.040595
38,0.044372
39,0.043165
40,0.038893
41,0.046967
42,0.04057
43,0.032763
44,0.034379
45,0.062417
46,0.059614
47,0.042254
48,0.04528
49,0.042455
50,0.046867
51,0.051494
52,0.041841
53,0.039795
54,0.038583
55,0.03193
56,0.03968
57,0.041718
58,0.042298
59,0.029899
60,0.04022
61,0.042794
62,0.040419
63,0.042064
64,0.041252
65,0.041615
66,0.041166
67,0.041859
68,0.033556
69,0.042016
70,0.041066
71,0.033549
72,0.0425
73,0.056141
74,0.043972
75,0.061367
76,0.057295
77,0.055494
78,0.050351
79,0.057111
80,0.039232
81,0.056583
82,0.051616
83,0.04705
84,0.060629
85,0.059025
86,0.056428
87,0.063901
88,0.053103
89,0.075722
90,0.047992
91,0.05523
92,0.075852
93,0.060346
94,0.054984
95,0.043556
96,0.05688
97,0.059171
98,0.057698
99,0.05523
100,0.04178
101,0.058374
102,0.058973
103,0.042963
104,0.055161
105,0.058221
106,0.0583
107,0.070801
108,0.055813
109,0.064433
110,0.049609
111,0.051733
112,0.056724
113,0.052823
114,0.043882
115,0.05939
116,0.05799
117,0.048617
118,0.057413
119,0.068705
120,0.048654
121,0.0372
122,0.040866
123,0.04052
124,0.03213
125,0.035137
126,0.041855
127,0.042203
128,0.038494
129,0.04054
130,0.040083
131,0.055876
132,0.055496
133,0.056115
134,0.051997
135,0.050526
136,0.047794
137,0.048648
138,0.058123
139,0.049004
140,0.050107
141,0.058078
142,0.055378
143,0.054481
144,0.049592
145,0.057208
146,0.055656
147,0.057539
148,0.046587
149,0.058773
150,0.051384
151,0.050771
152,0.06121
153,0.04561
154,0.06068
155,0.056148
156,0.061694
157,0.061132
158,0.057714
159,0.056778
160,0.055119
161,0.057079
162,0.05972
163,0.052329
164,0.042232
165,0.041172
166,0.032379
167,0.040819
168,0.040299
169,0.03743
170,0.037972
171,0.039183
172,0.041511
173,0.041325
174,0.040973
175,0.040514
176,0.03958
177,0.03672
178,0.03274
179,0.042453
180,0.039505
181,0.041868
182,0.033758
183,0.030222
184,0.038157
