Iteration,Itemset_CPU_Time(ms)
1,0.077641
2,0.03197
3,0.026761
4,0.031084
5,0.030086
6,0.030096
7,0.027764
8,0.018785
9,0.020391
10,0.024218
11,0.023612
12,0.018983
13,0.021562
14,0.022491
15,0.023333
16,0.023057
17,0.023768
18,0.021
19,0.019896
20,0.022082
21,0.023665
22,0.016449
23,0.018514
24,0.022209
25,0.023024
26,0.021644
27,0.018166
28,0.017447
29,0.022568
30,0.021479
31,0.02117
32,0.015954
33,0.020414
34,0.020819
35,0.018928
36,0.023183
37,0.02045
38,0.021425
39,0.021902
40,0.020719
41,0.021639
42,0.016866
43,0.022392
44,0.026952
45,0.022691
46,0.022581
47,0.01821
48,0.021233
49,0.022309
50,0.020857
51,0.014703
52,0.022857
53,0.022534
54,0.020468
55,0.023401
56,0.017106
57,0.022827
58,0.021735
59,0.016818
60,0.022387
61,0.024632
62,0.022495
63,0.01935
64,0.019928
65,0.022899
66,0.022909
67,0.022093
68,0.022862
69,0.021086
70,0.023462
71,0.021549
72,0.021922
73,0.023132
74,0.019348
75,0.02024
76,0.021441
77,0.021612
78,0.0224
79,0.020505
80,0.02247
81,0.021084
82,0.022896
83,0.021013
84,0.019163
85,0.021214
86,0.015997
87,0.022045
88,0.022192
89,0.015902
90,0.022339
91,0.017301
92,0.021887
93,0.020359
94,0.021975
95,0.021244
96,0.019083
97,0.022963
98,0.020883
99,0.017843
100,0.01747
101,0.02454
102,0.01915
103,0.020796
104,0.018575
105,0.022415
106,0.022723
107,0.021843
108,0.020113
109,0.020869
110,0.020123
111,0.021093
112,0.024124
113,0.016635
114,0.016683
115,0.020188
116,0.01806
117,0.019299
118,0.019891
119,0.023572
120,0.021624
121,0.022023
122,0.022229
123,0.019497
124,0.015687
125,0.020497
126,0.018975
127,0.017501
128,0.018785
129,0.019418
130,0.021506
131,0.016868
132,0.020876
133,0.022208
134,0.022358
135,0.017934
136,0.021532
137,0.021545
138,0.020553
139,0.01969
140,0.025147
141,0.017944
142,0.021091
143,0.021923
144,0.022205
145,0.017153
146,0.016015
147,0.022842
148,0.015827
149,0.022232
150,0.022167
151,0.014492
152,0.021571
153,0.02216
154,0.021838
155,0.021994
156,0.022424
157,0.02196
158,0.022372
159,0.018673
160,0.015233
161,0.019318
162,0.018096
163,0.020264
164,0.022622
165,0.020921
166,0.021133
167,0.021875
168,0.016657
169,0.021988
170,0.021138
171,0.018338
172,0.022636
173,0.017795
174,0.021593
175,0.020232
176,0.021332
177,0.020926
178,0.020545
179,0.021554
180,0.020289
181,0.016643
182,0.018256
183,0.022073
184,0.021286
185,0.020465
186,0.019345
187,0.02261
188,0.018867
189,0.016693
190,0.021611
191,0.025029
192,0.01901
193,0.023016
194,0.021581
195,0.019465
196,0.019424
197,0.016623
198,0.022285
199,0.020545
200,0.019305
201,0.017962
202,0.020202
203,0.021793
204,0.02113
205,0.022192
206,0.021802
207,0.017717
208,0.018021
209,0.020068
210,0.022439
211,0.022182
212,0.019902
213,0.019356
214,0.018573
215,0.018582
216,0.022027
217,0.018826
218,0.020205
219,0.022064
220,0.020106
221,0.022043
222,0.021288
223,0.019879
224,0.021212
225,0.020108
226,0.020821
227,0.021176
228,0.021334
229,0.015099
230,0.023433
231,0.020343
232,0.020919
233,0.02209
234,0.022167
235,0.017914
236,0.020545
237,0.020816
238,0.022643
239,0.021534
240,0.022563
241,0.018938
242,0.021584
243,0.021254
244,0.02029
245,0.018226
