Iteration,Itemset_CPU_Time(ms)
1,0.429089
2,0.359927
3,0.363884
4,0.345674
5,0.343298
6,0.357665
7,0.355098
8,0.364555
9,0.393321
10,0.345985
11,0.363848
12,0.34278
13,0.34151
14,0.373449
15,0.351173
16,0.345162
17,0.34469
18,0.344614
19,0.367334
20,0.346471
21,0.35636
22,0.34401
23,0.347031
24,0.346157
25,0.347187
26,0.3692
27,0.345175
28,0.356541
29,0.346625
30,0.348377
31,0.389431
32,0.371072
33,0.37342
34,0.503262
35,0.362247
36,0.360548
37,0.344654
38,0.345314
39,0.344252
40,0.353719
41,0.348376
42,0.344117
43,0.377981
44,0.350655
45,0.347197
46,0.357545
47,0.346343
48,0.353306
49,0.345811
50,0.344873
51,0.346381
52,0.344745
53,0.346251
54,0.345154
55,0.346729
56,0.346035
57,0.346791
58,0.345274
59,0.374812
60,0.352769
61,0.348328
62,0.34276
63,0.343447
64,0.352183
65,0.346428
66,0.352628
67,0.3483
68,0.360642
69,0.345703
70,0.35272
71,0.356509
72,0.346439
73,0.342158
74,0.340007
75,0.33594
76,0.342425
77,0.37035
78,0.352745
79,0.345756
80,0.347052
81,0.359431
82,0.366013
83,0.34702
84,0.350087
85,0.345663
86,0.345102
87,0.345354
88,0.345218
89,0.357658
90,0.347541
91,0.344873
92,0.345232
93,0.350441
94,0.347804
95,0.346059
96,0.344209
97,0.347377
98,0.346474
99,0.344859
100,0.335891
101,0.335991
102,0.338479
103,0.346354
104,0.342393
105,0.373584
106,0.347122
107,0.346084
108,0.347091
109,0.345402
110,0.351439
111,0.339415
112,0.348425
113,0.342522
114,0.341771
115,0.350726
116,0.348608
117,0.347481
118,0.345484
119,0.343552
120,0.343508
121,0.34635
122,0.346485
123,0.3467
124,0.341942
125,0.348577
126,0.349214
127,0.349666
128,0.368606
129,0.343596
130,0.347283
131,0.343059
132,0.337945
133,0.338982
134,0.346739
135,0.359724
136,0.352079
137,0.343978
138,0.353775
139,0.38242
140,0.36569
141,0.34463
142,0.347766
143,0.347755
144,0.34688
145,0.34439
146,0.351448
147,0.346154
148,0.343785
149,0.346379
150,0.344539
151,0.348565
152,0.343326
153,0.337171
154,0.33941
155,0.342907
156,0.347284
157,0.341792
158,0.346278
159,0.345393
160,0.347835
161,0.345289
162,0.363609
163,0.345639
164,0.348046
165,0.345952
166,0.348636
167,0.345786
168,0.347874
169,0.348075
170,0.3466
171,0.345675
172,0.343077
173,0.346542
174,0.348981
175,0.347958
176,0.34819
177,0.345392
178,0.337744
179,0.340696
180,0.351372
181,0.359389
182,0.350902
183,0.354765
184,0.348677
185,0.471848
186,0.357156
187,0.352105
188,0.340531
189,0.334159
190,0.335779
191,0.341631
192,0.339015
193,0.347495
194,0.351619
195,0.356539
196,0.352963
197,0.357736
198,0.371678
199,0.35039
200,0.353878
201,0.344292
202,0.796914
203,0.365093
204,0.343841
205,0.335427
206,0.379074
207,0.361493
208,0.35854
209,0.349692
210,0.347225
211,0.345099
212,0.344231
213,0.342986
214,0.349071
215,0.34535
216,0.351128
217,0.34621
218,0.351636
219,0.429487
220,0.347648
221,0.346527
222,0.35495
223,0.344955
224,0.372141
225,0.468686
226,0.455658
227,0.476424
228,0.448554
229,0.460695
230,0.447115
231,0.446916
232,0.453393
233,0.470363
234,0.454478
235,19.179185
236,0.400964
237,0.42281
238,0.426204
239,0.399911
240,0.503617
241,0.386398
242,0.360456
243,0.369024
244,0.360101
245,0.365083
246,0.362982
247,0.359913
248,0.370374
249,0.393847
250,0.365485
251,0.358589
252,0.36173
253,0.35796
254,0.388546
255,0.400472
256,0.40095
257,0.366696
258,0.359897
259,0.358317
260,0.438814
261,0.477829
262,0.44191
263,0.484133
264,0.376931
265,0.3586
266,0.357083
267,0.357929
268,0.361549
269,0.358706
270,0.376517
271,0.379871
272,0.360353
273,0.361739
274,0.358823
275,0.357587
276,0.357788
277,0.364497
278,0.363061
279,0.356268
280,0.364947
281,0.373408
282,0.360201
283,0.360627
284,0.356118
285,0.360354
286,0.369701
287,0.390757
288,0.400398
289,0.368698
290,0.366265
291,0.367499
292,0.380475
293,0.364017
294,0.36521
295,0.36276
296,0.36616
297,0.363977
298,0.356858
299,0.451121
300,0.415412
301,0.364531
302,0.367609
303,0.371675
304,0.360513
305,0.372047
306,0.353743
307,0.358684
308,0.359406
309,0.355511
310,0.355247
311,0.37337
312,0.361647
313,0.365159
314,0.383158
315,0.369693
316,0.369359
317,0.370869
318,0.365888
319,0.368833
320,0.360217
321,0.363944
322,0.37438
323,0.362694
324,0.397746
325,0.370545
326,0.365654
327,0.367811
328,0.362314
329,0.356292
330,0.370706
331,0.41733
332,0.376047
333,0.380713
334,0.364453
335,0.381802
336,0.376904
337,0.369044
338,0.368759
339,0.369413
340,0.363065
341,0.370256
342,0.370045
343,0.370502
344,0.370139
345,0.373431
346,0.371862
347,0.369799
348,0.367403
349,0.371672
350,0.381658
351,0.365354
352,0.385723
353,0.401042
354,0.363407
355,0.371032
356,0.370548
357,0.365973
358,0.368519
359,0.372641
360,0.365568
361,0.38766
362,0.367891
363,0.396481
364,0.368074
365,0.3638
366,0.368521
367,0.376261
368,0.366296
369,0.368037
370,0.366868
371,0.366026
372,0.369523
373,0.366682
374,0.368928
375,0.36851
376,0.367654
377,0.376393
378,0.424982
379,0.369699
380,0.368651
381,0.368414
382,0.37196
383,0.37012
384,0.370582
385,0.371827
386,0.386328
387,0.460558
388,0.461206
389,0.461259
390,0.44169
391,0.446073
392,0.454663
393,0.431308
394,0.379582
395,0.354418
396,0.358595
397,0.358094
398,0.364104
399,0.413679
400,0.409692
401,0.365632
402,0.367934
403,0.36386
404,0.403836
405,0.368299
406,0.364661
407,0.359485
408,0.359289
409,0.388892
410,0.362024
411,0.365025
412,0.395138
413,0.366617
414,0.366822
415,0.36395
416,0.367124
417,0.362265
418,0.369045
419,0.385565
420,0.367935
421,0.368342
422,0.366918
423,0.36195
424,0.368937
425,0.370731
426,0.392421
427,0.368167
428,0.373358
429,0.358413
430,0.36984
431,0.391649
432,0.46098
433,0.453744
434,0.458398
435,0.459271
436,0.449272
437,0.396018
438,0.390205
439,0.40619
440,0.366534
441,0.365666
442,0.368013
443,0.364052
444,0.372039
445,0.359419
446,0.383547
447,0.369408
448,0.357024
449,0.359303
450,0.377206
451,0.361944
452,0.36556
453,0.364662
454,0.364883
455,0.365757
456,0.366107
457,0.364387
458,0.369605
459,0.363654
460,0.365828
461,0.389479
462,0.375818
463,0.375827
464,0.373285
465,0.365818
466,0.381023
467,0.385379
468,0.387017
469,0.370227
470,0.368874
471,0.365246
472,0.382243
473,0.36881
474,0.368251
475,0.434336
476,0.455601
477,0.462294
478,0.454839
479,0.431849
480,0.453669
481,0.408988
482,0.420235
483,0.386025
484,0.374363
485,0.39482
486,0.371606
487,0.407545
488,0.391837
489,0.368011
490,0.410028
491,0.451498
492,0.372725
493,0.376314
494,0.370353
495,0.365242
496,0.369231
497,0.379777
498,0.384774
499,0.367049
500,0.366889
501,0.371497
502,0.377299
503,0.373475
504,0.374432
505,0.373436
506,0.384243
507,0.406033
508,0.455631
509,0.381893
510,0.372094
511,0.377313
512,0.380241
513,0.405259
514,0.394357
515,0.386357
516,0.382123
517,0.423339
518,0.411335
519,0.38035
520,0.42844
521,0.373823
522,0.404568
523,0.387957
524,0.386964
525,0.376035
526,0.38671
527,0.376877
528,0.374078
529,0.37229
530,0.376794
531,0.374796
532,0.372451
533,0.395747
534,0.374656
535,0.371078
536,0.375216
537,0.376374
538,0.37633
539,0.414813
540,0.376807
541,0.388023
542,0.378349
543,0.379181
544,0.375266
545,0.379336
546,0.372123
547,0.375436
548,0.373345
549,0.381679
550,0.476119
551,0.388962
552,0.386056
553,0.383351
554,0.371465
555,0.377819
556,0.38709
557,0.471536
558,0.392512
559,0.383259
560,0.48478
561,0.489576
562,0.501266
563,0.498116
564,0.541508
565,0.502608
566,0.492899
567,0.497715
568,0.487412
569,0.487265
570,0.492793
571,0.503176
572,0.489624
573,0.488565
574,0.485542
575,0.489615
576,0.511399
577,0.507806
578,0.518835
579,0.421344
580,0.385019
581,0.388754
582,0.382425
583,0.38885
584,0.378592
585,0.39505
586,0.386192
587,0.376162
588,0.371526
589,0.388268
590,0.386158
591,0.370985
592,0.379979
593,0.390813
594,0.407212
595,0.388968
596,0.378745
597,0.390451
598,0.383002
599,0.420605
600,0.379621
601,0.382229
602,0.444904
603,0.376877
604,0.377728
605,0.37114
606,0.37619
607,0.381684
608,0.376761
609,0.383953
610,0.38574
611,0.375695
612,0.374318
613,0.370821
614,0.38499
615,0.383652
616,0.376086
617,0.379452
618,0.376292
619,0.371773
620,0.38567
621,0.371443
622,0.36529
623,0.364136
624,0.37156
625,0.379652
626,0.369155
627,0.370287
628,0.366605
629,0.379206
630,0.374471
631,0.413526
632,0.372174
633,0.37853
634,0.36971
635,0.373406
636,0.371228
637,0.375102
638,0.442868
639,0.478748
640,0.479411
641,0.495671
642,0.50538
643,0.490243
644,0.430723
645,0.377204
646,0.380029
647,0.373798
648,0.375373
649,0.37543
650,0.383452
651,0.367382
652,0.374255
653,0.372899
654,0.381727
655,0.374242
656,0.384468
657,0.376296
658,0.365428
659,0.369312
660,0.368374
661,0.369617
662,0.366619
663,0.393876
664,0.365022
665,0.386199
666,0.371732
667,0.378228
668,0.367064
669,0.362465
670,0.368581
671,0.380543
672,0.393877
673,0.408568
674,0.376657
675,0.364617
676,0.367368
677,0.373087
678,0.364398
679,0.376443
680,0.363828
681,0.373848
682,0.373886
683,0.389503
684,0.432413
685,0.371818
686,0.413737
687,0.376538
688,0.377091
689,0.363061
690,0.378585
691,0.366691
692,0.375607
693,0.367424
694,0.387836
695,0.363543
696,0.366153
697,0.362609
698,0.386699
699,0.366517
700,0.364281
701,0.362279
702,0.363805
703,0.4043
704,0.369746
705,0.363673
706,0.36851
707,0.368173
708,0.362256
709,0.370844
710,0.394578
711,0.365775
712,0.366658
713,0.369751
714,0.36977
715,0.390685
716,0.375551
717,0.401541
718,0.365989
719,0.36357
720,0.366376
721,0.375716
722,0.366697
723,0.368298
724,0.373715
725,0.370963
726,0.407679
727,0.459506
728,0.380794
729,0.486093
730,0.445585
731,0.374819
732,0.366374
733,0.364704
734,0.377835
735,0.366599
736,0.365163
737,0.364213
738,0.381461
739,0.364796
740,0.366198
741,0.389267
742,0.460768
743,0.37459
744,0.374116
745,0.39165
746,0.365559
747,0.366559
748,0.365906
749,0.364491
750,0.362191
751,0.363532
752,0.363357
753,0.369272
754,0.364278
755,0.363878
756,0.369536
757,0.368164
758,0.36725
759,0.364577
760,0.370828
761,0.398152
762,0.368629
763,0.36847
764,0.363655
765,0.366745
766,0.382883
767,0.383296
768,0.367875
769,0.367116
770,0.365971
771,0.40299
772,0.484557
773,0.470406
774,0.45959
775,0.461427
776,0.469871
777,0.475902
778,0.491386
779,0.498535
780,0.392854
781,0.374405
782,0.375425
783,0.371741
784,0.364699
785,0.371059
786,0.375838
787,0.363351
788,0.364545
789,0.37432
790,0.365196
791,0.374598
792,0.37839
793,0.376559
794,0.367956
795,0.367261
796,0.371833
797,0.36506
798,0.365006
799,0.363148
800,0.366258
801,0.362511
802,0.365773
803,0.398232
804,0.385541
805,0.377172
806,0.362537
807,0.373545
808,0.364463
809,0.388153
810,0.463932
811,0.463982
812,0.463951
813,0.480928
814,0.502395
815,0.470066
816,0.414399
817,0.374847
818,0.366793
819,0.36263
820,0.361919
821,0.365102
822,0.365049
823,0.370238
824,0.364427
825,0.363591
826,0.365583
827,0.383773
828,0.363643
829,0.367919
830,0.368902
831,0.368645
832,0.36942
833,0.379991
834,0.36832
835,0.370026
836,0.370134
837,0.365384
838,0.372019
839,0.372354
840,0.364694
841,0.36645
842,0.371767
843,0.365499
844,0.368712
845,0.366243
846,0.39127
847,0.37986
