Iteration,Itemset_CPU_Time(ms)
1,0.034296
2,0.017897
3,0.02231
4,0.02108
5,0.018472
6,0.016069
7,0.018171
8,0.014324
9,0.01511
10,0.015632
11,0.014433
12,0.016589
13,0.017228
14,0.014718
15,0.015466
16,0.015555
17,0.015728
18,0.018805
19,0.015369
20,0.015816
21,0.017162
22,0.015303
23,0.015456
24,0.017282
25,0.01624
26,0.016432
27,0.018668
28,0.01599
29,0.015335
30,0.01436
31,0.018042
32,0.016054
33,0.016043
34,0.015229
35,0.016119
36,0.015858
37,0.016115
38,0.016344
39,0.017168
40,0.017526
41,0.018908
42,0.016681
43,0.015705
44,0.015914
45,0.015157
46,0.016635
47,0.013946
48,0.015447
49,0.016111
50,0.016517
51,0.015447
52,0.016705
53,0.014677
54,0.013999
55,0.015971
56,0.016012
57,0.014974
58,0.015749
59,0.016883
60,0.016333
61,0.015288
62,0.0151
63,0.016459
64,0.01543
65,0.02178
66,0.015348
67,0.016865
68,0.015042
69,0.015703
70,0.015773
71,0.014359
72,0.016316
73,0.01552
74,0.014209
75,0.017398
76,0.014554
77,0.016957
78,0.017186
79,0.01517
80,0.01528
81,0.01629
82,0.015271
83,0.016016
84,0.013419
85,0.015124
86,0.015235
87,0.01728
88,0.016514
89,0.014648
90,0.014918
91,0.015682
92,0.015777
93,0.014538
94,0.015489
95,0.014946
96,0.015252
97,0.01527
98,0.014502
99,0.018243
100,0.020019
101,0.016714
102,0.01747
103,0.014123
104,0.016136
105,0.017503
106,0.017181
107,0.013716
108,0.015506
109,0.01536
110,0.017073
111,0.01569
112,0.015879
113,0.014907
114,0.015643
115,0.020667
116,0.014731
117,0.014476
118,0.015519
119,0.01411
120,0.01573
121,0.014582
122,0.014577
123,0.015676
124,0.014525
125,0.014942
126,0.015883
127,0.014976
128,0.017224
129,0.015636
130,0.015351
131,0.016611
132,0.015456
133,0.013956
134,0.015592
135,0.016088
136,0.014657
137,0.014752
138,0.014753
139,0.015245
140,0.013611
141,0.014704
142,0.014383
143,0.014917
144,0.01452
145,0.015024
146,0.016762
147,0.014591
148,0.016436
149,0.018534
150,0.01997
151,0.021563
152,0.020664
153,0.01804
154,0.023298
155,0.01891
156,0.020894
157,0.020399
158,0.023599
159,0.017193
160,0.019233
161,0.018688
162,0.019764
163,0.019919
164,0.021941
165,0.01977
166,0.025323
167,0.020912
168,0.020658
169,0.0188
170,0.021147
171,0.021409
172,0.021464
173,0.020241
174,0.01985
175,0.024704
176,0.022204
177,0.02314
178,0.025643
179,0.021174
180,0.021531
181,0.023421
182,0.020369
183,0.022145
184,0.025454
185,0.023973
186,0.022862
187,0.019565
188,0.021579
189,0.022236
190,0.022111
191,0.022848
192,0.020829
193,0.020289
194,0.019057
195,0.021924
196,0.019076
197,0.019962
198,0.022721
199,0.017788
200,0.013838
201,0.01589
202,0.017397
203,0.01491
204,0.01526
205,0.019567
206,0.017088
207,0.015873
208,0.014342
209,0.016411
210,0.013682
211,0.014685
212,0.015586
213,0.017523
214,0.013776
215,0.015475
216,0.01634
217,0.016105
218,0.016997
219,0.017299
220,0.018732
221,0.014932
222,0.016925
223,0.020243
224,0.016679
225,0.01619
226,0.016199
227,0.016067
228,0.016823
229,0.014235
230,0.014893
231,0.015886
232,0.014999
233,0.015549
234,0.015221
235,0.015626
236,0.016311
237,0.015355
238,0.018113
239,0.014677
240,0.015946
241,0.016341
242,0.017208
243,0.018371
244,0.014436
245,0.017315
246,0.016192
247,0.015495
248,0.015482
249,0.01678
250,0.015479
251,0.016172
252,0.01611
253,0.015066
254,0.017188
255,0.014746
256,0.016693
257,0.014634
258,0.013796
259,0.014243
260,0.014334
261,0.014458
262,0.014067
263,0.014858
264,0.015017
265,0.016436
266,0.015408
267,0.017458
268,0.015354
269,0.016951
270,0.015311
271,0.014808
272,0.016094
273,0.016494
274,0.016149
275,0.019746
276,0.02473
277,0.021218
278,0.022443
279,0.020727
280,0.016999
281,0.015
282,0.01532
283,0.014952
284,0.014527
285,0.015949
286,0.018598
287,0.023283
288,0.014924
289,0.015656
290,0.024854
291,0.01556
292,0.01593
293,0.018146
294,0.016712
295,0.014138
296,0.014783
297,0.014245
298,0.015201
299,0.015982
300,0.0148
301,0.014041
302,0.014891
303,0.015533
304,0.015566
305,0.018373
306,0.013866
307,0.014239
308,0.014274
309,0.014496
310,0.014227
311,0.015346
312,0.013534
313,0.015615
314,0.017005
315,0.016283
316,0.014971
317,0.013807
318,0.015389
319,0.01719
320,0.021299
321,0.014591
322,0.01589
323,0.013509
324,0.01493
325,0.015183
326,0.015894
327,0.015678
328,0.016745
329,0.015091
330,0.017307
331,0.015171
332,0.015746
333,0.014684
334,0.014336
335,0.014497
336,0.014536
337,0.015807
338,0.014205
339,0.015896
340,0.014989
341,0.014615
342,0.015816
343,0.015641
344,0.015032
345,0.015496
346,0.01605
347,0.014836
348,0.015433
349,0.016591
350,0.014866
351,0.014288
352,0.014396
353,0.016419
354,0.013637
355,0.013697
356,0.015113
357,0.014569
358,0.01471
359,0.015616
360,0.01593
361,0.015878
362,0.014937
363,0.016218
364,0.01534
365,0.01511
366,0.015066
367,0.014657
368,0.015638
369,0.01587
370,0.014095
371,0.015321
372,0.014933
373,0.015609
374,0.015924
375,0.014782
376,0.015009
377,0.01568
378,0.014377
379,0.014994
380,0.017464
381,0.014723
382,0.015045
383,0.014806
384,0.014335
385,0.016267
386,0.01542
387,0.016506
388,0.013927
389,0.01579
390,0.015966
391,0.014956
392,0.013646
393,0.01582
394,0.015711
395,0.014143
396,0.015629
397,0.015646
398,0.016127
399,0.016036
400,0.016566
401,0.015645
402,0.013891
403,0.015067
404,0.015362
405,0.014303
406,0.014034
407,0.014569
408,0.01565
409,0.014106
410,0.016378
411,0.014759
412,0.016593
413,0.015537
414,0.015357
415,0.015237
416,0.014349
417,0.014677
418,0.015619
419,0.014696
420,0.014998
421,0.014417
422,0.016579
423,0.016054
424,0.014266
425,0.014492
426,0.015507
427,0.015692
428,0.015202
429,0.015021
430,0.016265
431,0.018155
432,0.016177
433,0.014675
434,0.017123
435,0.016052
436,0.014991
437,0.015003
438,0.014058
439,0.015529
440,0.016025
441,0.015186
442,0.01501
443,0.015919
444,0.015395
445,0.01667
446,0.017459
447,0.014913
448,0.014668
449,0.01651
450,0.014578
451,0.01487
452,0.015398
453,0.013849
454,0.017594
455,0.018136
456,0.015326
457,0.015179
458,0.015812
459,0.014864
460,0.015819
461,0.014889
462,0.014902
463,0.014526
464,0.014687
465,0.015909
466,0.017441
467,0.014712
468,0.015573
469,0.014752
470,0.014854
471,0.015969
472,0.014757
473,0.01546
474,0.015905
475,0.014491
476,0.014626
477,0.016693
478,0.016016
479,0.017049
480,0.01465
481,0.017407
482,0.015786
483,0.015073
484,0.014029
485,0.015887
486,0.014943
487,0.014979
488,0.015078
489,0.014024
490,0.015674
491,0.013861
492,0.015031
493,0.01569
494,0.015291
495,0.015596
496,0.01637
497,0.013838
498,0.01548
499,0.013861
500,0.014388
501,0.014874
502,0.014927
503,0.015398
504,0.015727
505,0.014202
506,0.014165
507,0.017536
508,0.015455
509,0.015338
510,0.015786
511,0.015684
512,0.014106
513,0.017511
514,0.01463
515,0.014
516,0.016501
517,0.014192
518,0.015086
519,0.014443
520,0.017219
521,0.015936
522,0.014493
523,0.014422
524,0.016833
525,0.027158
526,0.016039
527,0.015773
528,0.014124
529,0.015516
530,0.016118
531,0.017615
532,0.014717
533,0.01466
534,0.015342
535,0.015043
536,0.015694
537,0.015721
538,0.015101
539,0.014497
540,0.015231
541,0.015647
542,0.017905
543,0.015233
544,0.015645
545,0.014931
546,0.014167
547,0.013626
548,0.014981
549,0.014994
550,0.014439
551,0.015297
552,0.014433
553,0.015539
554,0.014613
