Iteration,IP_CPU_Time(ms)
0,0.0
1,0.804209
2,5.226102
3,1.160719
4,3.619596
5,5.187939
6,4.88927
7,3.010726
8,6.78253
9,0.046556
10,1.223132
11,0.20153
12,2.849299
13,4.612854
14,2.617581
15,4.675954
16,0.232552
17,0.034152
18,0.114334
19,1.588772
20,0.925521
21,0.064576
22,3.285512
23,1.330489
24,0.567738
25,2.150481
26,8.075944
27,6.467273
28,1.280281
29,0.590878
30,0.55251
31,1.265523
32,0.772206
33,1.142878
34,0.376725
35,0.706095
36,0.307357
37,0.441645
38,0.808024
39,2.402047
40,1.238499
41,0.48692
42,3.548154
43,1.473469
44,1.561549
45,0.070997
46,1.602832
47,3.569677
48,1.008189
49,1.655414
50,1.053349
51,1.382525
52,0.847088
53,3.634784
54,1.025764
55,0.862829
56,1.475685
57,0.200532
58,0.615716
59,0.200522
60,1.067311
61,1.509965
62,0.680997
63,1.902684
64,0.132912
65,0.397222
66,5.250259
67,0.890638
68,0.215173
69,1.214501
70,0.527329
71,0.638969
72,0.627606
73,0.489725
74,6.605568
75,1.65151
76,2.946241
77,3.408625
78,0.759384
79,0.636725
80,1.656613
81,1.773197
82,0.714733
83,1.23931
84,0.496377
85,3.204223
86,2.411905
87,1.215487
88,0.78349
89,5.873817
90,0.016751
91,3.875054
92,2.50593
93,0.947593
94,0.216296
95,4.175556
96,1.592882
97,2.710631
98,7.933698
99,1.815525
100,3.337608
101,7.581555
102,3.097104
103,0.122369
104,0.10914
105,0.766948
106,7.545047
107,0.508562
108,1.304611
109,0.989451
110,0.857496
111,1.828592
112,0.228072
113,2.497772
114,1.152254
115,0.040383
116,6.752638
117,1.601699
118,0.754041
119,1.754353
120,0.824276
121,0.610449
122,4.426637
123,1.28423
124,2.739049
125,0.115202
126,0.037117
127,2.624982
128,0.099032
129,1.227389
130,0.401246
131,1.431036
132,1.28625
133,7.687887
134,0.499451
135,0.561687
136,3.236184
137,6.88615
138,0.124286
139,0.928426
140,0.664545
141,2.245362
142,1.062188
143,3.536401
144,3.327989
145,0.862669
146,2.286862
147,2.513744
148,2.073275
149,1.284081
150,0.426344
151,0.316404
152,1.851148
153,5.646474
154,2.066103
155,3.545446
156,1.2209
157,0.299168
158,0.665928
159,0.666842
160,0.019252
161,2.954806
162,0.428718
163,0.715803
164,2.172572
165,1.136374
166,1.623297
167,3.930564
168,10.42291
169,0.375677
170,0.311914
171,2.937196
172,1.532605
173,4.126783
174,0.911557
175,1.061405
176,2.656109
177,0.735284
178,0.038264
179,1.46209
180,3.418638
181,4.116353
182,3.113488
183,0.04357
184,0.045115
185,3.094008
186,4.441655
187,0.395171
188,0.609894
189,1.261699
190,0.537131
191,4.125848
192,1.331289
193,4.680382
194,0.295451
195,2.582064
196,0.635201
197,1.132786
198,2.864392
199,1.091697
200,0.19547
201,4.583508
202,1.524112
203,0.36799
204,2.134492
205,0.241303
206,0.934569
207,0.217821
208,0.125023
209,0.345396
210,3.787936
211,3.417285
212,0.803969
213,4.003781
214,0.928289
215,1.537634
216,1.712334
217,0.175405
218,0.631824
219,2.163251
220,1.20964
221,0.315567
222,2.734212
223,3.186185
224,3.073231
225,0.244313
226,0.721374
227,3.497261
228,1.641041
229,1.20589
230,0.03241
231,5.426043
232,3.275877
233,1.020621
234,0.537149
235,1.162387
236,2.665296
237,0.533314
238,1.225294
239,0.726638
240,5.246077
241,3.748032
242,2.582708
243,0.252391
244,1.073454
245,0.478317
246,1.298368
247,1.388192
248,0.824286
249,2.580343
250,0.137485
251,0.412447
252,0.994945
253,2.536532
254,0.531667
255,1.372276
256,2.436963
257,0.398583
258,0.023239
259,1.010167
260,1.114563
261,7.685597
262,5.951211
263,4.131286
264,1.190855
265,1.710724
266,2.555055
267,1.247547
268,1.084074
269,0.748808
270,0.412744
271,2.676175
272,4.99024
273,0.862981
274,4.181392
275,0.060411
276,3.035497
277,2.898627
278,0.069587
279,0.486024
280,0.084679
281,0.784951
282,0.980244
283,1.293902
284,0.429722
285,2.483852
286,2.475879
287,0.999651
288,0.072101
289,0.650718
290,1.371954
291,3.938334
292,1.653083
293,0.867342
294,0.318024
295,1.133325
296,1.571615
297,2.201052
298,2.788305
299,1.392725
300,1.062603
301,3.931288
302,2.067212
303,1.414887
304,0.408941
305,0.444684
306,3.093232
307,0.487815
308,2.928254
309,3.073786
310,0.648099
311,0.659456
312,1.82015
313,0.995767
314,1.722439
315,1.662915
316,1.961494
317,3.087808
318,1.471283
319,5.818446
320,2.483007
321,0.681583
322,1.507579
323,0.150179
324,1.065914
325,0.264548
326,1.636269
327,4.414675
328,2.089318
329,1.348495
330,4.652459
331,2.932069
332,0.050472
333,0.06177
334,2.605738
335,2.691646
336,0.724678
337,0.081819
338,2.7196
339,0.257608
340,0.505648
341,10.934231
342,3.484765
343,1.845455
344,1.674394
345,2.550598
346,1.595784
347,1.402605
348,0.093121
349,1.706739
350,5.287453
351,0.40967
352,1.186826
353,0.962969
354,2.652374
355,3.728367
356,0.098497
357,1.282535
358,0.328858
359,10.434556
360,2.048983
361,2.413787
362,0.478215
363,0.095299
364,0.341876
365,2.511788
366,1.590413
367,1.574094
368,0.966223
369,0.384235
370,12.573525
371,0.988388
372,3.136241
373,1.499625
374,0.321303
375,0.944063
376,2.450879
377,0.118231
378,0.136895
379,2.66218
380,1.155147
381,0.62918
382,7.085081
383,0.428548
384,1.017953
385,3.819557
386,2.221658
387,0.020677
388,0.430555
389,4.883578
390,0.594519
391,1.049717
392,0.13442
393,0.201623
394,0.750379
395,0.719421
396,0.486002
397,1.957331
398,0.170252
399,2.00398
400,0.856003
401,0.087406
402,1.097914
403,1.780226
404,6.469143
405,1.552946
406,1.274786
407,0.9064
408,1.228096
409,4.478453
410,0.45079
411,1.213178
412,2.426968
413,1.139085
414,2.632262
415,3.88318
416,4.050988
417,1.403297
418,1.274622
419,4.16882
420,0.420852
421,0.705936
422,7.28438
423,5.157364
424,4.054833
425,0.107976
426,2.78652
427,2.516526
428,2.923527
429,0.140808
430,1.351342
431,1.194275
432,0.562219
433,0.376261
434,0.505259
435,0.636299
436,2.198479
437,0.47293
438,1.579804
439,0.946863
440,1.416446
441,3.268726
442,0.889877
443,0.07394
444,0.993659
445,3.734309
446,1.094147
447,0.684108
448,0.674485
449,2.216009
450,3.161505
451,3.558746
452,1.942518
453,0.531303
454,0.901646
455,1.115855
456,1.994649
457,0.165844
458,1.161422
459,6.472854
460,2.489692
461,2.296384
462,0.104001
463,1.891732
464,1.444233
465,4.343155
466,1.06923
467,2.072608
468,0.249389
469,4.081296
470,1.458453
471,0.843381
472,2.294581
473,0.562675
474,1.213411
475,3.286922
476,0.102445
477,1.265337
478,0.450757
479,3.404683
480,3.052985
481,0.563342
482,6.822982
483,0.911929
484,0.134348
485,1.246779
486,2.267662
487,1.391546
488,1.36074
489,0.282636
490,1.55921
491,0.368587
492,0.985941
493,2.811903
494,2.039644
495,0.787456
496,4.751047
497,1.190119
498,1.196375
499,0.640254
500,9.447772
501,936.663139
