Iteration,IP_CPU_Time(ms)
0,0.0
1,12.965455
2,35.075027
3,35.046905
4,23.090065
5,7.754889
6,5.123232
7,0.977483
8,2.659623
9,0.221003
10,1.886771
11,14.651126
12,0.178002
13,26.137212
14,6.718333
15,5.135663
16,16.394267
17,3.628416
18,12.056007
19,8.774192
20,2.920832
21,4.641026
22,0.932755
23,2.675842
24,5.986667
25,10.292122
26,8.635726
27,13.759431
28,8.876639
29,0.198756
30,1.221211
31,0.237425
32,4.871055
33,27.389505
34,4.645193
35,11.134339
36,14.665724
37,4.880546
38,9.48578
39,34.490166
40,9.432648
41,5.140544
42,1.473936
43,2.879022
44,14.305244
45,7.443138
46,37.830543
47,6.712593
48,0.733183
49,2.708039
50,4.507727
51,0.284524
52,6.581738
53,7.048824
54,1.008966
55,13.270046
56,3.951686
57,1.064529
58,8.456129
59,10.273447
60,7.894861
61,9.81513
62,5.509739
63,2.213456
64,0.682245
65,14.434578
66,0.71341
67,7.572675
68,0.716202
69,14.845498
70,9.351602
71,0.029602
72,13.936743
73,11.919057
74,4.560268
75,5.078152
76,5.462655
77,3.801717
78,3.559085
79,3.272119
80,6.62754
81,3.768283
82,2.207472
83,7.328252
84,0.168088
85,8.196516
86,10.356899
87,12.8311
88,6.134083
89,10.173398
90,3.695492
91,6.483603
92,1.912498
93,14.743407
94,11.86922
95,2.519918
96,2.771162
97,14.337936
98,0.253346
99,20.009626
100,16.32381
101,0.524945
102,4.534049
103,0.61566
104,4.47123
105,2.627555
106,10.243536
107,5.866875
108,0.810938
109,1.772384
110,5.885528
111,9.058755
112,4.342764
113,1.794899
114,1.934119
115,5.853833
116,9.264288
117,3.730557
118,1.164228
119,0.799018
120,3.607253
121,2.195221
122,7.639972
123,2.03443
124,8.265739
125,12.352247
126,9.579837
127,10.817867
128,1.034781
129,5.954652
130,1.594583
131,6.009611
132,0.462222
133,6.429685
134,3.079557
135,4.624891
136,8.385776
137,1.81428
138,10.346474
139,2.77688
140,2.942486
141,1.020216
142,2.890317
143,4.52008
144,5.417718
145,2.71528
146,6.812607
147,1.644116
148,0.420776
149,3.508221
150,2.197159
151,12.068732
152,12.11421
153,7.763233
154,1.674456
155,8.513492
156,7.35171
157,2.713939
158,0.95643
159,7.002778
160,4.859655
161,0.316658
162,16.669712
163,1.721121
164,3.182897
165,4.970602
166,3.98035
167,10.845846
168,6.266895
169,3.966345
170,2.534203
171,8.169541
172,13.298759
173,0.042534
174,3.59579
175,1.985562
176,4.269566
177,6.981435
178,3.08462
179,4.313676
180,2.501312
181,4.558496
182,2.591134
183,3.345765
184,2.676014
185,10.208322
186,2.557505
187,16.124988
188,2.939435
189,3.782431
190,1.800901
191,2.37878
192,13.473608
193,8.898623
194,6.463924
195,0.913043
196,0.347888
197,1.369969
198,15.93787
199,11.789998
200,6.714233
201,4.074632
202,2.685598
203,2.853806
204,8.323064
205,5.968241
206,2.556792
207,6.587458
208,10.128033
209,1.650761
210,3.928789
211,5.052781
212,0.227911
213,0.02642
214,0.432491
215,0.08858
216,8.360113
217,3.189277
218,1.808967
219,3.19112
220,1.035468
221,11.859087
222,4.830303
223,15.234002
224,10.388781
225,12.027056
226,3.851035
227,1.347729
228,8.467329
229,10.679371
230,0.294405
231,5.350854
232,12.052668
233,11.452367
234,3.678005
235,4.686902
236,0.061107
237,1.085908
238,5.437002
239,0.693825
240,10.6743
241,3.360905
242,11.846475
243,3.558572
244,6.143328
245,4.949793
246,6.21835
247,0.091303
248,0.763729
249,20.590608
250,6.730978
251,7.132709
252,0.835928
253,2.057426
254,5.190698
255,0.203231
256,0.321891
257,0.185911
258,4.937807
259,4.92662
260,9.12204
261,15.132635
262,4.120812
263,7.240669
264,4.170971
265,0.238962
266,4.448753
267,7.191342
268,1.951965
269,3.305715
270,7.969179
271,2.184198
272,0.553168
273,7.39112
274,2.84874
275,0.977337
276,5.209279
277,5.696651
278,9.378085
279,1.143536
280,5.003291
281,1.387573
282,13.971585
283,2.756048
284,9.666324
285,8.634758
286,1.052929
287,1.839544
288,9.076198
289,0.356088
290,8.778824
291,5.103281
292,0.658045
293,14.864817
294,2.196464
295,1.162662
296,9.552404
297,1.576954
298,8.794201
299,4.92931
300,3.07626
301,2.904184
302,0.251753
303,4.75683
304,14.250893
305,2.897031
306,2.193268
307,0.254653
308,2.525682
309,1.892687
310,1.088556
311,3.920557
312,3.011535
313,11.084165
314,5.589812
315,10.494872
316,5.129328
317,2.878738
318,2.673384
319,15.677974
320,0.816985
321,1.688247
322,5.162548
323,5.838076
324,0.485126
325,14.189825
326,3.110715
327,1.741614
328,0.737847
329,0.864062
330,7.648987
331,8.415895
332,0.36515
333,6.197764
334,8.615944
335,3.060472
336,8.148674
337,1.823082
338,12.505683
339,5.005125
340,2.108372
341,14.114205
342,9.571888
343,0.647418
344,2.268547
345,5.349051
346,0.175756
347,4.278743
348,4.293335
349,11.127795
350,22.478759
351,4.342425
352,0.43885
353,7.386548
354,8.27947
355,4.336336
356,5.971886
357,2.546421
358,3.416001
359,10.209814
360,2.332073
361,2.994212
362,1.338276
363,12.006713
364,14.170692
365,1.53412
366,2.896323
367,1.093083
368,6.177691
369,13.681655
370,5.331378
371,0.183854
372,3.475798
373,3.838343
374,3.693655
375,0.187346
376,1.00204
377,1.554437
378,0.172848
379,7.707896
380,3.510168
381,8.797621
382,0.022489
383,0.194863
384,16.82085
385,15.310916
386,4.940623
387,2.955454
388,3.373145
389,1.332323
390,11.238533
391,5.747934
392,2.710383
393,6.040132
394,0.418663
395,2.816539
396,2.769154
397,9.572303
398,4.361874
399,2.062479
400,2.376902
401,2.540508
402,2.589812
403,8.920346
404,4.02992
405,1.613383
406,2.046013
407,7.12614
408,5.131707
409,1.290921
410,0.089641
411,11.198725
412,7.076577
413,6.700067
414,0.557069
415,15.577276
416,1.230622
417,4.078013
418,4.434575
419,2.478523
420,2.661162
421,4.03617
422,0.070736
423,3.82047
424,0.218465
425,1.943468
426,0.013364
427,4.700766
428,0.383585
429,1.870137
430,13.905563
431,2.974237
432,0.52257
433,9.957017
434,8.49541
435,3.16581
436,9.377158
437,12.580408
438,1.500212
439,0.202607
440,1.527497
441,6.488678
442,0.570046
443,20.012346
444,0.247998
445,9.244729
446,5.433156
447,4.703283
448,9.726244
449,5.777763
450,4.61258
451,14.455431
452,9.547983
453,4.561329
454,1.578341
455,2.727687
456,2.920203
457,0.187183
458,0.090935
459,5.019234
460,17.328099
461,4.916208
462,2.980882
463,5.33226
464,3.518364
465,0.208279
466,10.722286
467,4.815879
468,20.156124
469,12.210568
470,9.415904
471,0.445648
472,11.758483
473,0.730018
474,10.257595
475,7.77336
476,5.71425
477,11.162043
478,26.236943
479,0.955922
480,6.085102
481,8.018522
482,4.998549
483,3.213204
484,2.220433
485,6.493349
486,0.880859
487,0.063857
488,3.836172
489,8.955097
490,4.208554
491,2.137595
492,5.556143
493,4.962503
494,13.933333
495,0.897173
496,0.105394
497,13.69798
498,4.27812
499,0.104445
500,2.541508
501,2904.92979
