Iteration,IP_CPU_Time(ms)
0,0.0
1,7.103971
2,15.010026
3,1.747478
4,21.247538
5,1.21743
6,29.14525
7,10.280694
8,18.536707
9,2.401099
10,0.501304
11,3.858387
12,0.961459
13,5.939236
14,1.933811
15,0.109948
16,0.538805
17,2.828925
18,0.091194
19,1.002653
20,0.535367
21,0.719579
22,0.794735
23,2.169166
24,1.564592
25,1.241468
26,3.515426
27,1.740396
28,0.093776
29,1.483707
30,0.180455
31,2.522179
32,0.496584
33,2.3861
34,1.239433
35,0.405761
36,5.644114
37,4.223678
38,1.227196
39,0.966234
40,3.059085
41,2.86605
42,1.575084
43,2.167386
44,1.706809
45,1.458119
46,0.409145
47,1.932367
48,1.743681
49,0.830703
50,8.399394
51,1.725166
52,2.534122
53,3.100692
54,0.25753
55,0.965695
56,0.287179
57,0.854903
58,4.478547
59,2.592516
60,1.468229
61,2.708603
62,0.333894
63,0.516167
64,1.745158
65,1.225908
66,10.574414
67,0.225229
68,1.366491
69,2.885851
70,0.372012
71,2.815107
72,0.490099
73,3.220141
74,0.738394
75,1.075222
76,1.394898
77,2.784356
78,0.304405
79,2.301527
80,0.053834
81,2.075504
82,4.311715
83,4.239284
84,0.613498
85,1.179792
86,3.578552
87,0.24341
88,3.133636
89,1.256273
90,2.257877
91,1.843645
92,0.736175
93,0.690514
94,3.196769
95,0.801905
96,2.473066
97,0.839003
98,0.636068
99,0.548638
100,1.297809
101,0.411883
102,6.390566
103,2.258137
104,0.373147
105,0.625464
106,2.541659
107,2.334195
108,4.986508
109,1.760851
110,0.620942
111,0.873783
112,4.549774
113,1.387132
114,0.854385
115,1.022537
116,0.659499
117,2.663477
118,1.443052
119,0.189442
120,0.605522
121,7.1938
122,7.074591
123,0.999952
124,0.119366
125,1.173616
126,0.219825
127,1.828379
128,0.473225
129,0.513433
130,1.85798
131,0.120539
132,0.892787
133,0.082186
134,1.357919
135,2.180103
136,0.589865
137,2.6809
138,3.581081
139,2.62197
140,5.249665
141,1.676524
142,1.654109
143,1.519311
144,3.207469
145,4.069572
146,0.081002
147,5.309383
148,2.667983
149,0.662941
150,3.618379
151,0.652929
152,1.066116
153,3.453962
154,5.138875
155,0.219188
156,1.276033
157,2.987101
158,0.247307
159,2.81587
160,1.631968
161,2.131419
162,0.769241
163,1.5933
164,0.716474
165,0.06527
166,0.235779
167,0.939551
168,1.801561
169,1.231186
170,1.697111
171,0.318962
172,0.904206
173,0.169012
174,0.354985
175,0.245566
176,7.305599
177,1.452923
178,0.525902
179,0.638641
180,0.578493
181,0.198362
182,0.715637
183,0.421641
184,1.010537
185,1.906221
186,3.159512
187,2.54425
188,1.620012
189,1.281383
190,1.501649
191,3.864262
192,8.256125
193,5.446601
194,0.777047
195,1.512041
196,2.263306
197,1.849776
198,7.998408
199,1.127073
200,1.254307
201,0.979375
202,2.320423
203,0.85352
204,2.485584
205,2.394727
206,0.728683
207,0.349328
208,0.585848
209,1.814667
210,0.68864
211,1.187234
212,0.557714
213,0.420122
214,0.158527
215,0.543832
216,0.432979
217,2.032716
218,9.439121
219,2.172663
220,0.196606
221,2.15565
222,1.114068
223,0.424249
224,0.84621
225,0.847707
