K, CoverageSize
0, 0.0768
1, 0.0192
2, 0.0288
3, 0.0048
4, 0.0192
5, 0.096
6, 0.0016
7, 0.0192
8, 0.0288
9, 0.0128
10, 0.0096
11, 0.0432
12, 0.0384
13, 0.0048
14, 0.0128
15, 0.0096
16, 0.0384
17, 0.0064
18, 0.1152
19, 0.0128
20, 0.0576
21, 0.0256
22, 0.064
23, 0.0256
24, 0.0032
25, 0.0192
26, 0.048
27, 0.0064
28, 0.0288
29, 0.0064
30, 0.0512
31, 0.0192
32, 0.0032
33, 0.096
34, 0.0288
35, 0.0384
36, 0.048
37, 0.032
38, 0.0192
39, 0.0064
40, 0.0256
41, 0.08
42, 0.0064
43, 0.096
44, 0.0064
45, 0.016
46, 0.0192
47, 0.0192
48, 0.0128
49, 0.0144
50, 0.1152
51, 0.04
52, 0.0064
53, 0.096
54, 0.0128
55, 0.064
56, 0.0096
57, 0.0144
58, 0.0064
59, 0.0512
60, 0.0096
61, 0.0048
62, 0.1728
63, 0.36
64, 0.0576
65, 0.0048
66, 0.0064
67, 0.08
68, 0.1024
69, 0.064
70, 0.048
71, 0.1728
72, 0.048
73, 0.08
74, 0.0064
75, 0.0192
76, 0.0128
77, 0.0576
78, 0.016
79, 0.0512
80, 0.0032
81, 0.0192
82, 0.0128
83, 0.0048
84, 0.0064
85, 0.0256
86, 0.0032
87, 0.0144
88, 0.0128
89, 0.1536
90, 0.1024
91, 0.0032
92, 0.0048
93, 0.0096
94, 0.0048
95, 0.0192
96, 0.0384
97, 0.0512
98, 0.0512
99, 0.0032
100, 0.0192
101, 0.0064
102, 0.0384
103, 0.0128
104, 0.0032
105, 0.0192
106, 0.0192
107, 0.024
108, 0.0384
109, 0.0256
110, 0.0016
111, 0.0768
112, 0.0512
113, 0.0288
114, 0.0576
115, 0.0288
116, 0.0192
117, 0.0032
118, 0.0128
119, 0.0384
120, 0.032
121, 0.0512
122, 0.024
123, 0.0192
124, 0.0128
125, 0.0256
126, 0.0064
127, 0.1152
128, 0.0096
129, 0.0288
130, 0.0256
131, 0.0032
132, 0.0384
133, 0.0128
134, 0.0048
135, 0.0384
136, 0.0768
137, 0.008
138, 0.032
139, 0.0096
140, 0.0192
141, 0.096
142, 0.0576
143, 0.2304
144, 0.0096
145, 0.024
146, 0.0768
147, 0.0064
148, 0.0576
149, 0.0048
150, 0.0128
151, 0.0576
152, 0.0192
153, 0.0032
154, 0.0384
155, 0.0064
156, 0.0032
157, 0.0768
158, 0.0768
159, 0.0192
160, 0.0512
161, 0.0144
162, 0.0096
163, 0.0256
164, 0.0048
165, 0.008
166, 0.0768
167, 0.1536
168, 0.0256
169, 0.0192
170, 0.0032
171, 0.0048
172, 0.0128
173, 0.0064
174, 0.0512
175, 0.0576
176, 0.0096
177, 0.0064
178, 0.0192
179, 0.0192
180, 0.0256
181, 0.0128
182, 0.0256
183, 0.0064
184, 0.1152
185, 0.0384
186, 0.0128
187, 0.016
188, 0.016
189, 0.0064
190, 0.0128
191, 0.0032
192, 0.48
193, 0.008
194, 0.0256
195, 0.0128
196, 0.0192
197, 0.048
198, 0.0192
199, 0.0096
200, 0.0384
201, 0.0064
202, 0.1024
203, 0.0288
204, 0.0192
205, 0.0256
206, 0.128
207, 0.0192
208, 0.0576
209, 0.0192
210, 0.0096
211, 0.0096
212, 0.0288
213, 0.0144
214, 0.0032
215, 0.0032
216, 0.0064
217, 0.0192
218, 0.0096
219, 0.0288
220, 0.032
221, 0.0144
222, 0.0032
223, 0.0096
224, 0.0064
225, 0.048
226, 0.0288
227, 0.0576
228, 0.072
229, 0.032
230, 0.0064
231, 0.0064
232, 0.0096
233, 0.0256
234, 0.0064
235, 0.0768
236, 0.1536
237, 0.12
238, 0.0128
239, 0.08
240, 0.064
241, 0.016
242, 0.0256
243, 0.0384
244, 0.0128
245, 0.064
246, 0.016
247, 0.0288
248, 0.0144
249, 0.0576
250, 0.0512
251, 0.0768
252, 0.096
253, 0.0096
254, 0.0096
255, 0.0032
256, 0.0192
257, 0.128
258, 0.064
259, 0.0064
260, 0.016
261, 0.0512
262, 0.0144
263, 0.0032
264, 0.0384
265, 0.032
266, 0.0064
267, 0.0128
268, 0.048
269, 0.0384
270, 0.0096
271, 0.0128
272, 0.0288
