K, MeanJaccardScore
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.14285714285714285
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 0.0
14, 0.0
15, 0.0
16, 0.0
17, 0.0
18, 0.0
19, 0.0
20, 0.0
21, 0.0
22, 0.0
23, 0.0
24, 0.0
25, 0.0
26, 0.0
27, 0.0
28, 0.03571428571428571
29, 0.0
30, 0.0
31, 0.03225806451612903
32, 0.0
33, 0.0
34, 0.0
35, 0.0
36, 0.0
37, 0.0
38, 0.0
39, 0.0
40, 0.0
41, 0.0
42, 0.0
43, 0.0
44, 0.022727272727272728
45, 0.0
46, 0.0
47, 0.02127659574468085
48, 0.0
49, 0.0
50, 0.0
51, 0.0
52, 0.0
53, 0.0
54, 0.018518518518518517
55, 0.01818181818181818
56, 0.0
57, 0.017543859649122806
58, 0.0
59, 0.0
60, 0.0
61, 0.0
62, 0.0
63, 0.0
64, 0.0
65, 0.0
66, 0.0
67, 0.029850746268656716
68, 0.0
69, 0.014492753623188406
70, 0.014285714285714285
71, 0.014084507042253521
72, 0.013888888888888888
73, 0.0
74, 0.0
75, 0.0
76, 0.0
77, 0.0
78, 0.0
79, 0.012658227848101266
80, 0.0
81, 0.0
82, 0.012195121951219513
83, 0.012048192771084338
84, 0.011904761904761904
85, 0.0
86, 0.011627906976744186
87, 0.011494252873563218
88, 0.0
89, 0.011235955056179775
90, 0.0
91, 0.0
92, 0.0
93, 0.010752688172043012
94, 0.010638297872340425
95, 0.0
96, 0.0
97, 0.0
98, 0.0
99, 0.0
100, 0.0
101, 0.009900990099009901
102, 0.0196078431372549
103, 0.0
104, 0.009615384615384616
105, 0.0
106, 0.009433962264150943
107, 0.0
108, 0.018518518518518517
109, 0.01834862385321101
110, 0.0
111, 0.0
112, 0.0
113, 0.008849557522123894
114, 0.0
115, 0.0
116, 0.008620689655172414
117, 0.0
118, 0.0
119, 0.008403361344537815
120, 0.0
121, 0.008264462809917356
122, 0.00819672131147541
123, 0.0
124, 0.0
125, 0.0
126, 0.0
127, 0.0
128, 0.0078125
129, 0.007751937984496124
130, 0.015384615384615385
131, 0.007633587786259542
132, 0.015151515151515152
133, 0.015037593984962405
134, 0.007462686567164179
135, 0.0
136, 0.0
137, 0.021897810218978103
138, 0.007246376811594203
139, 0.0
140, 0.007142857142857143
141, 0.0
142, 0.0
143, 0.013986013986013986
144, 0.013888888888888888
145, 0.006896551724137931
146, 0.0
147, 0.0
148, 0.006756756756756757
149, 0.0
150, 0.013333333333333334
151, 0.0
152, 0.006578947368421052
153, 0.0
154, 0.0
155, 0.0
156, 0.01282051282051282
157, 0.01910828025477707
158, 0.012658227848101266
159, 0.006289308176100629
160, 0.0
161, 0.0
162, 0.0
163, 0.006134969325153374
164, 0.006097560975609756
165, 0.0
166, 0.006024096385542169
167, 0.005988023952095809
168, 0.011904761904761904
169, 0.005917159763313609
